ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID	
1417185_at	0.0023235287742452	1.02403207326805e-07	-18.231170550464	5.91455320593808	-2.35600650070888	Ly6a	lymphocyte antigen 6 complex, locus A	110454	15 34.29 cM			anchored component of membrane///external side of plasma membrane///intracellular///membrane///plasma membrane			GO:0031225///GO:0009897///GO:0005622///GO:0016020///GO:0005886	
1418191_at	0.00375308497812166	3.30814013056118e-07	-15.6479872909784	5.42492437330446	-2.75553616116699	Usp18	ubiquitin specific peptidase 18	24110	6 57.17 cM	ISG15-specific protease activity///cysteine-type peptidase activity///hydrolase activity///peptidase activity///protein binding///pyroglutamyl-peptidase activity///ubiquitinyl hydrolase activity	ISG15-protein conjugation///proteolysis///ubiquitin-dependent protein catabolic process	nucleus	GO:0019785///GO:0008234///GO:0016787///GO:0008233///GO:0005515///GO:0016920///GO:0036459	GO:0032020///GO:0006508///GO:0006511	GO:0005634	
1437358_at	0.0176758584603186	2.33704607232067e-06	-12.0904993270681	4.39892677172605	-1.90035003990707	Wdfy1	WD repeat and FYVE domain containing 1	69368	1 C4	1-phosphatidylinositol binding///metal ion binding	biological_process	cytosol///early endosome///nucleus	GO:0005545///GO:0046872	GO:0008150	GO:0005829///GO:0005769///GO:0005634	
1424518_at	0.0186363378826247	3.28538349627585e-06	-11.552874830775	4.19282559157349	-1.70195806534723	Apol9a///Apol9b	apolipoprotein L 9a///apolipoprotein L 9b	223672///71898	15///15	molecular_function///molecular_function	biological_process///biological_process	cellular_component///cellular_component	GO:0003674///GO:0003674	GO:0008150///GO:0008150	GO:0005575///GO:0005575	
1427076_at	0.0237904601219314	5.24249892506202e-06	-10.8502088976267	3.89702066201041	-1.47224523299205	Mpeg1	macrophage expressed gene 1	17476	19			integral component of membrane///membrane			GO:0016021///GO:0016020	
1426118_a_at	0.0248850535056762	6.58044605703204e-06	-10.5223890751858	3.74777120328418	-1.55385553400941	Tomm40	translocase of outer mitochondrial membrane 40 homolog (yeast)	53333	7	porin activity///protein transmembrane transporter activity	ion transport///protein targeting to mitochondrion///protein transmembrane transport///protein transport///transmembrane transport///transport	extracellular vesicular exosome///integral component of membrane///integral component of mitochondrial membrane///integral component of mitochondrial outer membrane///membrane///mitochondrial outer membrane///mitochondrial outer membrane translocase complex///mitochondrion///mitochondrion///pore complex	GO:0015288///GO:0008320	GO:0006811///GO:0006626///GO:0071806///GO:0015031///GO:0055085///GO:0006810	GO:0070062///GO:0016021///GO:0032592///GO:0031307///GO:0016020///GO:0005741///GO:0005742///GO:0005739///GO:0005739///GO:0046930	
1435792_at	0.0281103935854613	8.67222367114275e-06	-10.1360593534583	3.56188995408145	-1.53793074551275	Gm7592///Csprs	predicted gene 7592///component of Sp100-rs	665338///114564	1///1			nucleus			GO:0005634	
1449145_a_at	0.0282165615476808	1.14073455265795e-05	-9.76468701675315	3.37232508988578	-1.48461230706443	Cav1	caveolin 1, caveolae protein	12389	6 A2	SNARE binding///enzyme binding///kinase binding///nitric-oxide synthase binding///peptidase activator activity///protein binding///receptor binding///structural molecule activity///syntaxin binding	MAPK cascade///T cell costimulation///angiogenesis///apoptotic signaling pathway///calcium ion homeostasis///calcium ion transport///caveola assembly///caveola assembly///caveolin-mediated endocytosis///cellular calcium ion homeostasis///cellular calcium ion homeostasis///cellular response to hyperoxia///cellular response to mechanical stimulus///cholesterol efflux///cholesterol homeostasis///cytosolic calcium ion homeostasis///endocytosis///inactivation of MAPK activity///lactation///lipid storage///maintenance of protein location in cell///mammary gland development///mammary gland involution///membrane depolarization///microtubule polymerization///negative regulation of BMP signaling pathway///negative regulation of ERK1 and ERK2 cascade///negative regulation of JAK-STAT cascade///negative regulation of JAK-STAT cascade///negative regulation of JAK-STAT cascade///negative regulation of MAP kinase activity///negative regulation of MAPK cascade///negative regulation of anoikis///negative regulation of anoikis///negative regulation of canonical Wnt signaling pathway///negative regulation of cation channel activity///negative regulation of cell proliferation///negative regulation of cytokine-mediated signaling pathway///negative regulation of endothelial cell proliferation///negative regulation of endothelial cell proliferation///negative regulation of epithelial cell differentiation///negative regulation of muscle cell apoptotic process///negative regulation of neuron differentiation///negative regulation of nitric oxide biosynthetic process///negative regulation of nitric-oxide synthase activity///negative regulation of peptidyl-serine phosphorylation///negative regulation of pinocytosis///negative regulation of protein binding///negative regulation of protein ubiquitination///negative regulation of protein ubiquitination///negative regulation of signal transduction///negative regulation of smooth muscle cell proliferation///negative regulation of transcription from RNA polymerase II promoter///negative regulation of tyrosine phosphorylation of Stat5 protein///negative regulation of tyrosine phosphorylation of Stat5 protein///nitric oxide homeostasis///positive regulation of calcium ion transport into cytosol///positive regulation of canonical Wnt signaling pathway///positive regulation of endocytosis///positive regulation of endothelial cell proliferation///positive regulation of extrinsic apoptotic signaling pathway///positive regulation of intrinsic apoptotic signaling pathway///positive regulation of metalloenzyme activity///positive regulation of microtubule polymerization///positive regulation of peptidase activity///positive regulation of peptidyl-serine phosphorylation///positive regulation of signal transduction///positive regulation of vasoconstriction///positive regulation of vasoconstriction///protein homooligomerization///protein localization///protein oligomerization///receptor internalization involved in canonical Wnt signaling pathway///regulation of blood coagulation///regulation of fatty acid metabolic process///regulation of peptidase activity///regulation of smooth muscle contraction///regulation of the force of heart contraction///regulation of the force of heart contraction by chemical signal///response to calcium ion///response to estrogen///response to estrogen///response to hypoxia///response to ischemia///response to mechanical stimulus///response to progesterone///skeletal muscle tissue development///triglyceride metabolic process///vasculogenesis///vasoconstriction///vesicle organization	Golgi apparatus///Golgi apparatus///Golgi membrane///acrosomal membrane///apical plasma membrane///basal plasma membrane///basolateral plasma membrane///caveola///caveola///caveola///cell///cell cortex///cell surface///cilium///cytoplasm///cytoplasmic vesicle///cytosol///endoplasmic reticulum///endoplasmic reticulum///endosome///focal adhesion///integral component of membrane///integral component of plasma membrane///intracellular///intracellular///lipid particle///membrane///membrane raft///membrane raft///mitochondrion///perinuclear region of cytoplasm///perinuclear region of cytoplasm///peroxisomal membrane///plasma membrane///plasma membrane///protein complex///protein complex	GO:0000149///GO:0019899///GO:0019900///GO:0050998///GO:0016504///GO:0005515///GO:0005102///GO:0005198///GO:0019905	GO:0000165///GO:0031295///GO:0001525///GO:0097190///GO:0055074///GO:0006816///GO:0070836///GO:0070836///GO:0072584///GO:0006874///GO:0006874///GO:0071455///GO:0071260///GO:0033344///GO:0042632///GO:0051480///GO:0006897///GO:0000188///GO:0007595///GO:0019915///GO:0032507///GO:0030879///GO:0060056///GO:0051899///GO:0046785///GO:0030514///GO:0070373///GO:0046426///GO:0046426///GO:0046426///GO:0043407///GO:0043409///GO:2000811///GO:2000811///GO:0090090///GO:2001258///GO:0008285///GO:0001960///GO:0001937///GO:0001937///GO:0030857///GO:0010656///GO:0045665///GO:0045019///GO:0051001///GO:0033137///GO:0048550///GO:0032091///GO:0031397///GO:0031397///GO:0009968///GO:0048662///GO:0000122///GO:0042524///GO:0042524///GO:0033484///GO:0010524///GO:0090263///GO:0045807///GO:0001938///GO:2001238///GO:2001244///GO:0048554///GO:0031116///GO:0010952///GO:0033138///GO:0009967///GO:0045907///GO:0045907///GO:0051260///GO:0008104///GO:0051259///GO:2000286///GO:0030193///GO:0019217///GO:0052547///GO:0006940///GO:0002026///GO:0003057///GO:0051592///GO:0043627///GO:0043627///GO:0001666///GO:0002931///GO:0009612///GO:0032570///GO:0007519///GO:0006641///GO:0001570///GO:0042310///GO:0016050	GO:0005794///GO:0005794///GO:0000139///GO:0002080///GO:0016324///GO:0009925///GO:0016323///GO:0005901///GO:0005901///GO:0005901///GO:0005623///GO:0005938///GO:0009986///GO:0005929///GO:0005737///GO:0031410///GO:0005829///GO:0005783///GO:0005783///GO:0005768///GO:0005925///GO:0016021///GO:0005887///GO:0005622///GO:0005622///GO:0005811///GO:0016020///GO:0045121///GO:0045121///GO:0005739///GO:0048471///GO:0048471///GO:0005778///GO:0005886///GO:0005886///GO:0043234///GO:0043234	
1422010_at	0.0282165615476808	1.24141351560515e-05	-9.65251233953798	3.31285648304228	-2.24064574245334	Tlr7	toll-like receptor 7	170743	X	double-stranded RNA binding///drug binding///protein binding///siRNA binding///single-stranded RNA binding///transmembrane signaling receptor activity	I-kappaB phosphorylation///MyD88-dependent toll-like receptor signaling pathway///defense response to virus///defense response to virus///immune response///immune system process///inflammatory response///innate immune response///microglial cell activation///positive regulation of NF-kappaB import into nucleus///positive regulation of chemokine production///positive regulation of interferon-alpha biosynthetic process///positive regulation of interferon-alpha biosynthetic process///positive regulation of interferon-beta biosynthetic process///positive regulation of interferon-gamma biosynthetic process///positive regulation of interleukin-6 production///positive regulation of interleukin-8 biosynthetic process///positive regulation of interleukin-8 production///signal transduction///toll-like receptor 7 signaling pathway///toll-like receptor signaling pathway	cytoplasm///cytoplasmic vesicle///early phagosome///endoplasmic reticulum///endosome///integral component of membrane///lysosome///membrane///plasma membrane///receptor complex	GO:0003725///GO:0008144///GO:0005515///GO:0035197///GO:0003727///GO:0004888	GO:0007252///GO:0002755///GO:0051607///GO:0051607///GO:0006955///GO:0002376///GO:0006954///GO:0045087///GO:0001774///GO:0042346///GO:0032722///GO:0045356///GO:0045356///GO:0045359///GO:0045078///GO:0032755///GO:0045416///GO:0032757///GO:0007165///GO:0034154///GO:0002224	GO:0005737///GO:0031410///GO:0032009///GO:0005783///GO:0005768///GO:0016021///GO:0005764///GO:0016020///GO:0005886///GO:0043235	
1418392_a_at	0.0282165615476808	1.30889275803197e-05	-9.58287710847052	3.27540669080339	-2.84036144607269	Gbp3	guanylate binding protein 3	55932	3	GTP binding///GTPase activity///nucleotide binding	GTP catabolic process///adhesion of symbiont to host///cellular response to interferon-beta///cellular response to interferon-gamma///defense response to Gram-positive bacterium///defense response to protozoan	cytoplasm///cytoplasmic vesicle///cytosol///nucleus///symbiont-containing vacuole membrane	GO:0005525///GO:0003924///GO:0000166	GO:0006184///GO:0044406///GO:0035458///GO:0071346///GO:0050830///GO:0042832	GO:0005737///GO:0031410///GO:0005829///GO:0005634///GO:0020005	
