"ID (num probes:45101)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1424449_at"	0.245264976977412	0.000337720570972315	-5.55766685503586	0.257837211140698	-2.83635629990533	"Frs3"	"fibroblast growth factor receptor substrate 3"	"107971"	"17"	"fibroblast growth factor receptor binding///insulin receptor binding"	"fibroblast growth factor receptor signaling pathway"	"membrane"	"GO:0005104///GO:0005158"	"GO:0008543"	"GO:0016020"
"1417422_at"	0.245264976977412	0.000434826655901722	-5.36500022874376	0.0724695764518737	-8.01118347307246	"Gnmt"	"glycine N-methyltransferase"	"14711"	"17 22.9 cM"	"folic acid binding///glycine N-methyltransferase activity///glycine N-methyltransferase activity///glycine binding///glycine binding///methyltransferase activity///transferase activity"	"S-adenosylmethionine metabolic process///S-adenosylmethionine metabolic process///glycogen metabolic process///methionine metabolic process///methylation///one-carbon metabolic process///protein homotetramerization///protein homotetramerization///regulation of gluconeogenesis"	"cytoplasm"	"GO:0005542///GO:0017174///GO:0017174///GO:0016594///GO:0016594///GO:0008168///GO:0016740"	"GO:0046500///GO:0046500///GO:0005977///GO:0006555///GO:0032259///GO:0006730///GO:0051289///GO:0051289///GO:0006111"	"GO:0005737"
"1447476_at"	0.600157178138569	0.0100542494379028	-3.23644947887233	-2.42747442291529	-2.57003828227938	"Abcc10"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 10"	"224814"	"17"	"ATP binding///ATPase activity///ATPase activity, coupled to transmembrane movement of substances///nucleotide binding"	"transmembrane transport///transport"	"integral component of membrane///lysosomal membrane///membrane///plasma membrane"	"GO:0005524///GO:0016887///GO:0042626///GO:0000166"	"GO:0055085///GO:0006810"	"GO:0016021///GO:0005765///GO:0016020///GO:0005886"
"1443528_at"	0.626761866299596	0.0157720180425318	-2.9591988671154	-2.80542535147478	-2.86717825861402	"Ttbk1"	"tau tubulin kinase 1"	"106763"	"17"	"ATP binding///kinase activity///nucleotide binding///protein kinase activity///protein serine/threonine kinase activity///transferase activity///transferase activity, transferring phosphorus-containing groups"	"biological_process///phosphorylation///protein phosphorylation"	"cytoplasm"	"GO:0005524///GO:0016301///GO:0000166///GO:0004672///GO:0004674///GO:0016740///GO:0016772"	"GO:0008150///GO:0016310///GO:0006468"	"GO:0005737"
"1421478_a_at"	0.653229409447588	0.0199954480320032	-2.81441674890808	-3.00521311555705	-1.02717758013823	"Zfp318"	"zinc finger protein 318"	"57908"	"17 C"	"metal ion binding///nucleic acid binding///zinc ion binding"	"meiotic nuclear division///regulation of transcription, DNA-templated///transcription, DNA-templated"	"nucleus"	"GO:0046872///GO:0003676///GO:0008270"	"GO:0007126///GO:0006355///GO:0006351"	"GO:0005634"
"1420511_at"	0.653229409447588	0.0201248891028205	2.81048869225938	-3.01064917682786	2.91942236412982	"Prph2"	"peripherin 2"	"19133"	"17 22.91 cM"	""	"cell adhesion///retina development in camera-type eye///visual perception"	"integral component of membrane///membrane"	""	"GO:0007155///GO:0060041///GO:0007601"	"GO:0016021///GO:0016020"
"1439780_at"	0.655002018635662	0.0204666189215688	2.80024063490109	-3.02483464320558	0.921088778640963	"Rpl7l1"	"ribosomal protein L7-like 1"	"66229"	"17 C"	"poly(A) RNA binding"	""	"ribonucleoprotein complex///ribosome"	"GO:0044822"	""	"GO:0030529///GO:0005840"
"1427163_at"	0.704253510158152	0.0344093892697193	-2.484920473206	-3.46222775422065	-1.04990332721061	"Ubr2"	"ubiquitin protein ligase E3 component n-recognin 2"	"224826"	"17"	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity///coenzyme F420-0 gamma-glutamyl ligase activity///coenzyme F420-2 alpha-glutamyl ligase activity///leucine binding///ligase activity///metal ion binding///protein binding///protein-glutamic acid ligase activity///protein-glycine ligase activity///protein-glycine ligase activity, elongating///protein-glycine ligase activity, initiating///ribosomal S6-glutamic acid ligase activity///tubulin-glutamic acid ligase activity///tubulin-glycine ligase activity///ubiquitin-protein transferase activity///ubiquitin-protein transferase activity///zinc ion binding"	"cellular response to leucine///chromatin silencing///histone H2A ubiquitination///male meiosis I///negative regulation of TOR signaling///protein catabolic process///protein ubiquitination///spermatogenesis///ubiquitin-dependent protein catabolic process"	"colocalizes_with chromatin///nucleus///plasma membrane///ubiquitin ligase complex"	"GO:0008766///GO:0043773///GO:0043774///GO:0070728///GO:0016874///GO:0046872///GO:0005515///GO:0070739///GO:0070735///GO:0070737///GO:0070736///GO:0018169///GO:0070740///GO:0070738///GO:0004842///GO:0004842///GO:0008270"	"GO:0071233///GO:0006342///GO:0033522///GO:0007141///GO:0032007///GO:0030163///GO:0016567///GO:0007283///GO:0006511"	"colocalizes_with GO:0000785///GO:0005634///GO:0005886///GO:0000151"
"1451468_s_at"	0.704566588767408	0.0362766366619905	-2.45287484099156	-3.50661556409208	-0.873719163311211	"Xpo5"	"exportin 5"	"72322"	"17 C"	"RNA binding///Ran GTPase binding///poly(A) RNA binding///protein transporter activity///tRNA binding"	"gene silencing by RNA///intracellular protein transport///protein export from nucleus///protein transport///transport"	"cell///cytoplasm///intracellular///nucleus"	"GO:0003723///GO:0008536///GO:0044822///GO:0008565///GO:0000049"	"GO:0031047///GO:0006886///GO:0006611///GO:0015031///GO:0006810"	"GO:0005623///GO:0005737///GO:0005622///GO:0005634"
"1439866_at"	0.712347519739233	0.0385322064999798	-2.41628363524901	-3.55724175912543	-1.0702907442286	"Cul9"	"cullin 9"	"78309"	"17"	"ATP binding///metal ion binding///nucleotide binding///ubiquitin protein ligase binding///zinc ion binding"	"microtubule cytoskeleton organization///protein ubiquitination///regulation of mitosis///ubiquitin-dependent protein catabolic process"	"cullin-RING ubiquitin ligase complex///cytoplasm"	"GO:0005524///GO:0046872///GO:0000166///GO:0031625///GO:0008270"	"GO:0000226///GO:0016567///GO:0007088///GO:0006511"	"GO:0031461///GO:0005737"
