"ID (num probes:22690)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1460285_at"	0.95801784032135	0.0100535359705313	3.03471497712896	-3.79913872946997	0.784297636648422	"Itga9"	"integrin alpha 9"	"104099"	"9 70.32 cM"	"collagen binding///laminin binding"	"cell adhesion///integrin-mediated signaling pathway///neutrophil chemotaxis"	"basal plasma membrane///integral component of membrane///integrin alpha9-beta1 complex///membrane"	"GO:0005518///GO:0043236"	"GO:0007155///GO:0007229///GO:0030593"	"GO:0009925///GO:0016021///GO:0034679///GO:0016020"
"1420860_at"	0.95801784032135	0.0186623215269429	2.70566661420661	-3.93538399895339	0.292679336180287	"Itga9"	"integrin alpha 9"	"104099"	"9 70.32 cM"	"collagen binding///laminin binding"	"cell adhesion///integrin-mediated signaling pathway///neutrophil chemotaxis"	"basal plasma membrane///integral component of membrane///integrin alpha9-beta1 complex///membrane"	"GO:0005518///GO:0043236"	"GO:0007155///GO:0007229///GO:0030593"	"GO:0009925///GO:0016021///GO:0034679///GO:0016020"
"1426342_at"	0.95801784032135	0.029839220619254	-2.4536310914922	-4.0434436119289	-0.444918814937584	"Stt3b"	"STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)"	"68292"	"9"	"dolichyl-diphosphooligosaccharide-protein glycotransferase activity///oligosaccharyl transferase activity///transferase activity"	"ER-associated ubiquitin-dependent protein catabolic process///co-translational protein modification///glycoprotein catabolic process///post-translational protein modification///protein N-linked glycosylation via asparagine///protein glycosylation///response to unfolded protein"	"endoplasmic reticulum///integral component of membrane///membrane"	"GO:0004579///GO:0004576///GO:0016740"	"GO:0030433///GO:0043686///GO:0006516///GO:0043687///GO:0018279///GO:0006486///GO:0006986"	"GO:0005783///GO:0016021///GO:0016020"
"1427095_at"	0.95801784032135	0.0331245112125112	-2.39704287362879	-4.06799193475818	-0.316830468258631	"Cdcp1"	"CUB domain containing protein 1"	"109332"	"9"	"molecular_function"	"biological_process"	"cellular_component///integral component of membrane///membrane///plasma membrane"	"GO:0003674"	"GO:0008150"	"GO:0005575///GO:0016021///GO:0016020///GO:0005886"
"1424870_at"	0.95801784032135	0.0380537950305428	2.32151787577756	-4.10085298697285	0.275485048060805	"Osbpl10"	"oxysterol binding protein-like 10"	"74486"	"9"	"cholesterol binding"	"biological_process///lipid transport///transport"	"cellular_component"	"GO:0015485"	"GO:0008150///GO:0006869///GO:0006810"	"GO:0005575"
"1422128_at"	0.95801784032135	0.0460497938987097	-2.21689075177869	-4.14647432667327	-0.356325571303411	"Rpl14"	"ribosomal protein L14"	"67115"	"9"	"poly(A) RNA binding///structural constituent of ribosome"	"rRNA processing///ribosomal large subunit biogenesis///translation"	"cytoplasm///cytosolic large ribosomal subunit///extracellular vesicular exosome///intracellular///membrane///ribonucleoprotein complex///ribosome"	"GO:0044822///GO:0003735"	"GO:0006364///GO:0042273///GO:0006412"	"GO:0005737///GO:0022625///GO:0070062///GO:0005622///GO:0016020///GO:0030529///GO:0005840"
"1460213_at"	0.95801784032135	0.0486873668679974	-2.18613920822683	-4.15988652515372	-0.262637780613248	"Golga4"	"golgi autoantigen, golgin subfamily a, 4"	"54214"	"9"	"GTPase binding"	"Golgi to plasma membrane protein transport///protein targeting to Golgi"	"Golgi apparatus///Golgi apparatus///cytoplasm///intracellular membrane-bounded organelle///membrane///nucleus"	"GO:0051020"	"GO:0043001///GO:0000042"	"GO:0005794///GO:0005794///GO:0005737///GO:0043231///GO:0016020///GO:0005634"
"1424911_a_at"	0.95801784032135	0.0698807880520406	1.98397705613061	-4.24773455549108	0.270503812045294	"Lyzl4"	"lysozyme-like 4"	"69032"	"9"	"lysozyme activity///molecular_function"	"biological_process///cell wall macromolecule catabolic process"	"extracellular region///nucleus"	"GO:0003796///GO:0003674"	"GO:0008150///GO:0016998"	"GO:0005576///GO:0005634"
"1449466_at"	0.95801784032135	0.072655955638403	1.96187626416591	-4.25727308027359	1.2279182513071	"Clec3b"	"C-type lectin domain family 3, member b"	"21922"	"9 73.91 cM"	"calcium ion binding///calcium ion binding///carbohydrate binding///heparin binding///kringle domain binding///protein binding"	"bone mineralization///positive regulation of plasminogen activation///skeletal system development"	"cytoplasm///cytoplasm///extracellular region///extracellular space///extracellular space///extracellular vesicular exosome///granular component///proteinaceous extracellular matrix"	"GO:0005509///GO:0005509///GO:0030246///GO:0008201///GO:0036143///GO:0005515"	"GO:0030282///GO:0010756///GO:0001501"	"GO:0005737///GO:0005737///GO:0005576///GO:0005615///GO:0005615///GO:0070062///GO:0001652///GO:0005578"
"1422730_at"	0.95801784032135	0.0762291962680362	-1.93453541674797	-4.2690465670694	-0.207376258169578	"Limd1"	"LIM domains containing 1"	"29806"	"9 74.0 cM"	"metal ion binding///protein binding///transcription corepressor activity///zinc ion binding"	"cell migration///cytoplasmic mRNA processing body assembly///cytoskeleton organization///gene silencing by RNA///gene silencing by miRNA///negative regulation of canonical Wnt signaling pathway///negative regulation of hippo signaling///negative regulation of osteoblast differentiation///negative regulation of transcription, DNA-templated///osteoblast development///phosphorylation///positive regulation of gene silencing by miRNA///regulation of RNA biosynthetic process///regulation of cell shape///regulation of transcription, DNA-templated///response to hypoxia///transcription, DNA-templated"	"RISC complex///adherens junction///cell junction///cytoplasm///cytoplasm///cytoplasmic mRNA processing body///focal adhesion///nucleus"	"GO:0046872///GO:0005515///GO:0003714///GO:0008270"	"GO:0016477///GO:0033962///GO:0007010///GO:0031047///GO:0035195///GO:0090090///GO:0035331///GO:0045668///GO:0045892///GO:0002076///GO:0016310///GO:2000637///GO:2001141///GO:0008360///GO:0006355///GO:0001666///GO:0006351"	"GO:0016442///GO:0005912///GO:0030054///GO:0005737///GO:0005737///GO:0000932///GO:0005925///GO:0005634"
