"ID (num probes:22690)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1431020_a_at"	0.00119900440246394	5.28428559922408e-08	10.8121376395324	6.32110282416254	1.47530227366667	"Fgfr1op2"	"FGFR1 oncogene partner 2"	"67529"	"6"	"protein homodimerization activity"	"wound healing"	"cytoplasm"	"GO:0042803"	"GO:0042060"	"GO:0005737"
"1449859_at"	0.0920651825309109	0.000271857396392853	-4.88412592893151	0.478686233234379	-1.77933516866667	"Golt1b"	"golgi transport 1 homolog B (S. cerevisiae)"	"66964"	"6 G1"	"lipase activity///signal transducer activity"	"lipid metabolic process///positive regulation of I-kappaB kinase/NF-kappaB signaling///protein transport///signal transduction///transport///vesicle-mediated transport"	"Golgi apparatus///bounding membrane of organelle///endoplasmic reticulum///integral component of membrane///membrane"	"GO:0016298///GO:0004871"	"GO:0006629///GO:0043123///GO:0015031///GO:0007165///GO:0006810///GO:0016192"	"GO:0005794///GO:0098588///GO:0005783///GO:0016021///GO:0016020"
"1449083_at"	0.0920651825309109	0.000437998739890455	4.62438765675378	0.0913617736790888	0.703262039333334	"Ccdc91"	"coiled-coil domain containing 91"	"67015"	"6"	"identical protein binding"	"biological_process///protein transport///transport"	"Golgi apparatus///membrane///nucleus"	"GO:0042802"	"GO:0008150///GO:0015031///GO:0006810"	"GO:0005794///GO:0016020///GO:0005634"
"1452664_a_at"	0.0920651825309109	0.00409425394462914	-3.45384336291582	-1.76950350704333	-0.634262369333332	"Tm7sf3"	"transmembrane 7 superfamily member 3"	"67623"	"6"	"molecular_function"	"biological_process"	"extracellular vesicular exosome///integral component of membrane///membrane///plasma membrane"	"GO:0003674"	"GO:0008150"	"GO:0070062///GO:0016021///GO:0016020///GO:0005886"
"1454633_at"	0.0920651825309109	0.00449301039233508	3.4061913803841	-1.84794057746471	0.237590628666667	"Etnk1"	"ethanolamine kinase 1"	"75320"	"6 75.41 cM"	"ATP binding///ethanolamine kinase activity///kinase activity///nucleotide binding///transferase activity///transferase activity, transferring phosphorus-containing groups"	"lipid metabolic process///phosphatidylethanolamine biosynthetic process///phospholipid biosynthetic process///phosphorylation"	"cytoplasm///membrane"	"GO:0005524///GO:0004305///GO:0016301///GO:0000166///GO:0016740///GO:0016772"	"GO:0006629///GO:0006646///GO:0008654///GO:0016310"	"GO:0005737///GO:0016020"
"1450284_at"	0.0920651825309109	0.00495885826589804	3.3556404308431	-1.93124072830961	0.154348084666667	"Pde3a"	"phosphodiesterase 3A, cGMP inhibited"	"54611"	"6 G1"	"3',5'-cyclic-AMP phosphodiesterase activity///3',5'-cyclic-AMP phosphodiesterase activity///3',5'-cyclic-nucleotide phosphodiesterase activity///cAMP binding///cGMP-inhibited cyclic-nucleotide phosphodiesterase activity///hydrolase activity///metal ion binding///phosphoric diester hydrolase activity"	"cAMP catabolic process///cAMP-mediated signaling///cGMP-mediated signaling///cellular response to cGMP///negative regulation of apoptotic process///negative regulation of vascular permeability///oocyte maturation///positive regulation of oocyte development///positive regulation of vascular permeability///regulation of meiosis///response to drug///signal transduction"	"cytosol///integral component of membrane///membrane"	"GO:0004115///GO:0004115///GO:0004114///GO:0030552///GO:0004119///GO:0016787///GO:0046872///GO:0008081"	"GO:0006198///GO:0019933///GO:0019934///GO:0071321///GO:0043066///GO:0043116///GO:0001556///GO:0060282///GO:0043117///GO:0040020///GO:0042493///GO:0007165"	"GO:0005829///GO:0016021///GO:0016020"
"1452397_at"	0.0920651825309109	0.00522725118586075	3.32864113566906	-1.97576238989192	0.286101025333333	"2810474O19Rik"	"RIKEN cDNA 2810474O19 gene"	"67246"	"6"	"molecular_function"	"biological_process"	"cellular_component"	"GO:0003674"	"GO:0008150"	"GO:0005575"
"1418339_at"	0.0920651825309109	0.00527740899173707	3.32375015810775	-1.98382951151882	0.243879317000001	"Recql"	"RecQ protein-like"	"19691"	"6 73.91 cM"	"ATP binding///ATP-dependent 3'-5' DNA helicase activity///ATP-dependent helicase activity///DNA binding///DNA helicase activity///annealing helicase activity///helicase activity///hydrolase activity///nucleic acid binding///nucleotide binding"	"DNA duplex unwinding///DNA recombination///DNA repair///DNA replication///DNA strand renaturation"	"membrane///nucleus"	"GO:0005524///GO:0043140///GO:0008026///GO:0003677///GO:0003678///GO:0036310///GO:0004386///GO:0016787///GO:0003676///GO:0000166"	"GO:0032508///GO:0006310///GO:0006281///GO:0006260///GO:0000733"	"GO:0016020///GO:0005634"
"1422324_a_at"	0.0920651825309109	0.00655947300169973	3.21239578698474	-2.1675998362318	0.969869405000003	"Pthlh"	"parathyroid hormone-like peptide"	"19227"	"6 78.19 cM"	"hormone activity///hormone activity///peptide hormone receptor binding"	"adenylate cyclase-activating G-protein coupled receptor signaling pathway///NOT bone mineralization///endochondral ossification///endoderm development///epithelial cell differentiation///lung alveolus development///mammary gland bud elongation///negative regulation of chondrocyte differentiation///negative regulation of chondrocyte differentiation///negative regulation of chondrocyte differentiation///negative regulation of chondrocyte differentiation///negative regulation of sequence-specific DNA binding transcription factor activity///nipple sheath formation///osteoblast development///positive regulation of cAMP biosynthetic process///positive regulation of cell proliferation///protein processing///regulation of chondrocyte differentiation///regulation of gene expression///skeletal system development///skeletal system development///surfactant homeostasis"	"Golgi apparatus///cytoplasm///extracellular region///extracellular space///intracellular///nucleus"	"GO:0005179///GO:0005179///GO:0051428"	"GO:0007189///NOT GO:0030282///GO:0001958///GO:0007492///GO:0030855///GO:0048286///GO:0060649///GO:0032331///GO:0032331///GO:0032331///GO:0032331///GO:0043433///GO:0060659///GO:0002076///GO:0030819///GO:0008284///GO:0016485///GO:0032330///GO:0010468///GO:0001501///GO:0001501///GO:0043129"	"GO:0005794///GO:0005737///GO:0005576///GO:0005615///GO:0005622///GO:0005634"
"1431914_at"	0.0920651825309109	0.0081273668827955	3.10263655452376	-2.34875625347205	0.118318029666667	"Pde3a"	"phosphodiesterase 3A, cGMP inhibited"	"54611"	"6 G1"	"3',5'-cyclic-AMP phosphodiesterase activity///3',5'-cyclic-AMP phosphodiesterase activity///3',5'-cyclic-nucleotide phosphodiesterase activity///cAMP binding///cGMP-inhibited cyclic-nucleotide phosphodiesterase activity///hydrolase activity///metal ion binding///phosphoric diester hydrolase activity"	"cAMP catabolic process///cAMP-mediated signaling///cGMP-mediated signaling///cellular response to cGMP///negative regulation of apoptotic process///negative regulation of vascular permeability///oocyte maturation///positive regulation of oocyte development///positive regulation of vascular permeability///regulation of meiosis///response to drug///signal transduction"	"cytosol///integral component of membrane///membrane"	"GO:0004115///GO:0004115///GO:0004114///GO:0030552///GO:0004119///GO:0016787///GO:0046872///GO:0008081"	"GO:0006198///GO:0019933///GO:0019934///GO:0071321///GO:0043066///GO:0043116///GO:0001556///GO:0060282///GO:0043117///GO:0040020///GO:0042493///GO:0007165"	"GO:0005829///GO:0016021///GO:0016020"
