"ID (num probes:45101)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1450379_at"	1.83486851580444e-06	1.02813026709177e-08	24.1070843105871	10.7037124803114	8.90265586394892	"Msn"	"moesin"	"17698"	"X"	"actin binding///cell adhesion molecule binding///cytoskeletal protein binding///double-stranded RNA binding///protein kinase binding///receptor binding"	"establishment of endothelial barrier///positive regulation of gene expression///regulation of lymphocyte migration"	"T-tubule///apical part of cell///apical part of cell///apical plasma membrane///basolateral plasma membrane///blood microparticle///cell projection///cell surface///cell tip///cytoplasm///cytoplasmic side of plasma membrane///cytoskeleton///extracellular space///extracellular vesicular exosome///extrinsic component of membrane///filopodium///filopodium membrane///focal adhesion///colocalizes_with focal adhesion///membrane///microvillus///plasma membrane///secretory granule membrane///uropod///vesicle"	"GO:0003779///GO:0050839///GO:0008092///GO:0003725///GO:0019901///GO:0005102"	"GO:0061028///GO:0010628///GO:2000401"	"GO:0030315///GO:0045177///GO:0045177///GO:0016324///GO:0016323///GO:0072562///GO:0042995///GO:0009986///GO:0051286///GO:0005737///GO:0009898///GO:0005856///GO:0005615///GO:0070062///GO:0019898///GO:0030175///GO:0031527///GO:0005925///colocalizes_with GO:0005925///GO:0016020///GO:0005902///GO:0005886///GO:0030667///GO:0001931///GO:0031982"
"1417022_at"	1.89382931369337e-06	1.16734562250672e-08	23.7200694875223	10.5956710982299	6.30260367873972	"Slc7a3"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3"	"11989"	"X"	"L-lysine transmembrane transporter activity///L-lysine transmembrane transporter activity///L-ornithine transmembrane transporter activity///amino acid transmembrane transporter activity///arginine transmembrane transporter activity///arginine transmembrane transporter activity///basic amino acid transmembrane transporter activity///basic amino acid transmembrane transporter activity"	"L-alpha-amino acid transmembrane transport///L-ornithine transmembrane transport///amino acid transmembrane transport///amino acid transport///arginine transport///arginine transport///cation transmembrane transport///cation transmembrane transport///lysine transport///lysine transport///ornithine transport///regulation of TOR signaling///transport"	"integral component of membrane///integral component of plasma membrane///membrane///plasma membrane"	"GO:0015189///GO:0015189///GO:0000064///GO:0015171///GO:0015181///GO:0015181///GO:0015174///GO:0015174"	"GO:1902475///GO:1903352///GO:0003333///GO:0006865///GO:0015809///GO:0015809///GO:0098655///GO:0098655///GO:0015819///GO:0015819///GO:0015822///GO:0032006///GO:0006810"	"GO:0016021///GO:0005887///GO:0016020///GO:0005886"
"1440085_at"	2.83498261821526e-06	2.42005345338878e-08	21.6125341087081	9.95982818250472	4.30371198349115	"Eda2r"	"ectodysplasin A2 receptor"	"245527"	"X"	"receptor activity"	"cell differentiation///intrinsic apoptotic signaling pathway by p53 class mediator///multicellular organismal development///positive regulation of JNK cascade///positive regulation of NF-kappaB transcription factor activity///programmed cell death"	"integral component of membrane///integral component of plasma membrane///intracellular///membrane"	"GO:0004872"	"GO:0030154///GO:0072332///GO:0007275///GO:0046330///GO:0051092///GO:0012501"	"GO:0016021///GO:0005887///GO:0005622///GO:0016020"
"1460737_at"	6.50145451549455e-06	1.17773183281059e-07	17.6430635950889	8.49882298909426	2.74236298346801	"Igbp1"	"immunoglobulin (CD79A) binding protein 1"	"18518"	"X"	"mitogen-activated protein kinase kinase binding///protein binding///protein complex binding///protein domain specific binding///protein phosphatase 2A binding///protein phosphatase type 2A regulator activity"	"B cell activation///negative regulation of apoptotic signaling pathway///negative regulation of cysteine-type endopeptidase activity involved in apoptotic process///negative regulation of protein dephosphorylation///negative regulation of stress-activated MAPK cascade///negative regulation of transcription from RNA polymerase II promoter///positive regulation of dephosphorylation///positive regulation of transcription from RNA polymerase II promoter///regulation of microtubule-based movement///regulation of signal transduction///response to interleukin-1///response to tumor necrosis factor"	"cytoplasm///microtubule"	"GO:0031434///GO:0005515///GO:0032403///GO:0019904///GO:0051721///GO:0008601"	"GO:0042113///GO:2001234///GO:0043154///GO:0035308///GO:0032873///GO:0000122///GO:0035306///GO:0045944///GO:0060632///GO:0009966///GO:0070555///GO:0034612"	"GO:0005737///GO:0005874"
"1451792_a_at"	1.22882795327916e-05	3.51508893049928e-07	15.3185105835563	7.43575635711578	5.25430766648111	"Pja1"	"praja ring finger 1, E3 ubiquitin protein ligase"	"18744"	"X 43.38 cM"	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity///coenzyme F420-0 gamma-glutamyl ligase activity///coenzyme F420-2 alpha-glutamyl ligase activity///ligase activity///metal ion binding///protein binding///protein-glutamic acid ligase activity///protein-glycine ligase activity///protein-glycine ligase activity, elongating///protein-glycine ligase activity, initiating///ribosomal S6-glutamic acid ligase activity///tubulin-glutamic acid ligase activity///tubulin-glycine ligase activity///ubiquitin-protein transferase activity///zinc ion binding"	"protein catabolic process///protein ubiquitination"	"cytoplasm"	"GO:0008766///GO:0043773///GO:0043774///GO:0016874///GO:0046872///GO:0005515///GO:0070739///GO:0070735///GO:0070737///GO:0070736///GO:0018169///GO:0070740///GO:0070738///GO:0004842///GO:0008270"	"GO:0030163///GO:0016567"	"GO:0005737"
"1416295_a_at"	1.41181130592704e-05	4.42295070595048e-07	-14.8684091874373	7.20779408653153	-3.72922386772347	"Il2rg"	"interleukin 2 receptor, gamma chain"	"16186"	"X 43.9 cM"	"cytokine receptor activity///interleukin-2 binding///interleukin-2 binding///interleukin-7 binding"	"positive regulation of B cell differentiation///positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation///positive regulation of T cell differentiation in thymus///positive regulation of gene expression///positive regulation of lymphocyte differentiation///regulation of gene expression"	"cell surface///external side of plasma membrane///integral component of membrane///membrane"	"GO:0004896///GO:0019976///GO:0019976///GO:0019982"	"GO:0045579///GO:0032831///GO:0033089///GO:0010628///GO:0045621///GO:0010468"	"GO:0009986///GO:0009897///GO:0016021///GO:0016020"
"1419397_at"	1.54855078473827e-05	5.11250774589319e-07	-14.5909721744814	7.06329053050542	-2.53522890403389	"Pola1"	"polymerase (DNA directed), alpha 1"	"18968"	"X 41.06 cM"	"3'-5' exonuclease activity///4 iron, 4 sulfur cluster binding///DNA binding///contributes_to DNA primase activity///DNA-directed DNA polymerase activity///DNA-directed DNA polymerase activity///chromatin binding///double-stranded DNA binding///iron-sulfur cluster binding///metal ion binding///nucleic acid binding///nucleoside binding///nucleotide binding///nucleotidyltransferase activity///protein binding///protein heterodimerization activity///protein kinase binding///purine nucleotide binding///pyrimidine nucleotide binding///transferase activity"	"DNA biosynthetic process///DNA replication///DNA replication///DNA replication///DNA replication initiation///DNA replication, synthesis of RNA primer///DNA strand elongation involved in DNA replication///DNA-dependent DNA replication///cell proliferation///double-strand break repair via nonhomologous end joining///double-strand break repair via nonhomologous end joining///lagging strand elongation///leading strand elongation///nucleic acid phosphodiester bond hydrolysis///nucleobase-containing compound metabolic process///translesion synthesis"	"alpha DNA polymerase:primase complex///alpha DNA polymerase:primase complex///colocalizes_with chromatin///cytoplasm///nuclear envelope///nuclear matrix///nucleoplasm///nucleus///nucleus"	"GO:0008408///GO:0051539///GO:0003677///contributes_to GO:0003896///GO:0003887///GO:0003887///GO:0003682///GO:0003690///GO:0051536///GO:0046872///GO:0003676///GO:0001882///GO:0000166///GO:0016779///GO:0005515///GO:0046982///GO:0019901///GO:0017076///GO:0019103///GO:0016740"	"GO:0071897///GO:0006260///GO:0006260///GO:0006260///GO:0006270///GO:0006269///GO:0006271///GO:0006261///GO:0008283///GO:0006303///GO:0006303///GO:0006273///GO:0006272///GO:0090305///GO:0006139///GO:0019985"	"GO:0005658///GO:0005658///colocalizes_with GO:0000785///GO:0005737///GO:0005635///GO:0016363///GO:0005654///GO:0005634///GO:0005634"
"1435818_at"	3.11754012148894e-05	1.65136102308975e-06	-12.5164382792011	5.87494508626031	-4.06951115349437	"Klhl15"	"kelch-like 15"	"236904"	"X"	"molecular_function"	"biological_process"	"cellular_component"	"GO:0003674"	"GO:0008150"	"GO:0005575"
"1426449_a_at"	3.47022880038227e-05	1.93128185383018e-06	12.2609476751202	5.71396624493776	2.46793665075598	"Pja1"	"praja ring finger 1, E3 ubiquitin protein ligase"	"18744"	"X 43.38 cM"	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity///coenzyme F420-0 gamma-glutamyl ligase activity///coenzyme F420-2 alpha-glutamyl ligase activity///ligase activity///metal ion binding///protein binding///protein-glutamic acid ligase activity///protein-glycine ligase activity///protein-glycine ligase activity, elongating///protein-glycine ligase activity, initiating///ribosomal S6-glutamic acid ligase activity///tubulin-glutamic acid ligase activity///tubulin-glycine ligase activity///ubiquitin-protein transferase activity///zinc ion binding"	"protein catabolic process///protein ubiquitination"	"cytoplasm"	"GO:0008766///GO:0043773///GO:0043774///GO:0016874///GO:0046872///GO:0005515///GO:0070739///GO:0070735///GO:0070737///GO:0070736///GO:0018169///GO:0070740///GO:0070738///GO:0004842///GO:0008270"	"GO:0030163///GO:0016567"	"GO:0005737"
"1421797_a_at"	3.55650620749939e-05	1.99743469625861e-06	12.2066187874045	5.67927847110239	2.41046796191327	"Snx12"	"sorting nexin 12"	"55988"	"X C2"	"enzyme binding///lipid binding///phosphatidylinositol binding///phosphatidylinositol binding"	"intracellular protein transport///negative regulation of early endosome to late endosome transport///negative regulation of gene expression///negative regulation of protein catabolic process///negative regulation of protein processing///negative regulation of protein transport///protein transport///regulation of endocytosis///transport"	"early endosome///endosome///extracellular vesicular exosome///membrane"	"GO:0019899///GO:0008289///GO:0035091///GO:0035091"	"GO:0006886///GO:2000642///GO:0010629///GO:0042177///GO:0010955///GO:0051224///GO:0015031///GO:0030100///GO:0006810"	"GO:0005769///GO:0005768///GO:0070062///GO:0016020"
