GeneName d=0 d=0.05 d=0.1 d=0.15 d=0.2 d=0.25 d=0.3 d=0.35 d=0.4 d=0.45 d=0.5 d=0.55 d=0.6 d=0.65 d=0.7 d=0.75 d=0.8 d=0.85 d=0.9 d=0.95 d=1 
Abca1, 53, 49, 44, 37, 27, 23, 21, 18, 18, 17, 16, 15, 15, 15, 14, 14, 13, 12, 10, 7, 1
Btk, 76, 76, 76, 76, 76, 77, 75, 76, 76, 75, 73, 71, 68, 68, 63, 60, 57, 54, 54, 53, 68
Cav1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Cav3, 7, 5, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 3, 2, 1
Cftr, 34, 31, 23, 12, 8, 5, 5, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1
Clcn1, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 32
Cnr1, 29, 33, 36, 36, 35, 35, 37, 37, 37, 38, 38, 38, 38, 39, 39, 38, 38, 38, 39, 39, 26
Emd, 43, 48, 50, 52, 53, 51, 51, 51, 51, 51, 51, 50, 52, 52, 51, 51, 48, 48, 48, 48, 29
Epas1, 36, 35, 24, 16, 14, 10, 10, 8, 9, 8, 8, 8, 8, 9, 10, 11, 11, 11, 11, 13, 44
Esrra, 54, 54, 54, 54, 54, 51, 46, 39, 25, 22, 21, 20, 18, 17, 16, 15, 15, 15, 15, 14, 41
Gap43, 63, 63, 63, 63, 63, 63, 63, 63, 62, 61, 61, 60, 52, 42, 39, 34, 29, 28, 25, 21, 1
Gnmt, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 1
Hdac1, 62, 61, 58, 57, 55, 52, 42, 34, 29, 27, 25, 23, 22, 20, 20, 20, 20, 19, 16, 10, 1
Hdac2, 51, 51, 51, 51, 50, 46, 42, 30, 21, 17, 16, 13, 10, 9, 9, 9, 8, 8, 8, 8, 44
Hsf4, 50, 36, 36, 36, 36, 36, 36, 36, 35, 35, 35, 34, 34, 33, 33, 33, 33, 32, 32, 33, 53
Hspa1a, 18, 8, 7, 7, 6, 8, 9, 9, 10, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 6
Il6, 53, 51, 53, 56, 55, 57, 57, 58, 58, 58, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 23
Lhx1, 13, 22, 28, 28, 29, 31, 31, 31, 31, 32, 32, 32, 33, 33, 33, 33, 33, 32, 32, 32, 30
Lhx8, 45, 46, 46, 48, 48, 48, 49, 49, 49, 50, 50, 50, 50, 50, 50, 50, 49, 49, 49, 49, 7
Lmna, 41, 21, 15, 12, 10, 10, 8, 8, 8, 8, 8, 7, 5, 6, 6, 5, 6, 6, 6, 6, 5
Mbnl1, 44, 46, 46, 47, 48, 48, 48, 48, 47, 47, 48, 48, 48, 49, 48, 47, 47, 47, 47, 47, 34
Mst1r, 9, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 48
Myd88, 1, 25, 32, 35, 37, 38, 38, 38, 41, 41, 41, 41, 41, 41, 41, 42, 42, 43, 43, 44, 56
Nos3, 58, 56, 50, 42, 23, 20, 15, 14, 10, 10, 10, 9, 8, 8, 8, 7, 7, 7, 7, 7, 6
Phgdh, 61, 61, 61, 61, 61, 61, 61, 59, 57, 49, 45, 38, 35, 31, 29, 26, 24, 24, 20, 15, 1
Pmp22, 78, 78, 76, 70, 46, 35, 34, 33, 31, 30, 29, 27, 27, 26, 26, 24, 23, 23, 23, 23, 30
Ppara, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 64, 64, 62, 60, 55, 53, 51, 49, 41, 2
Pthlh, 25, 25, 24, 21, 18, 15, 15, 11, 10, 10, 10, 10, 10, 10, 9, 9, 9, 9, 8, 8, 7
Rab3a, 72, 72, 72, 72, 72, 72, 70, 62, 48, 38, 34, 32, 30, 29, 24, 24, 23, 22, 20, 19, 30
Rasgrf1, 56, 56, 56, 56, 51, 49, 45, 42, 38, 36, 31, 30, 27, 26, 26, 23, 22, 22, 22, 20, 1
Rbm15, 1, 1, 1, 1, 1, 1, 4, 4, 6, 6, 6, 7, 8, 8, 8, 8, 10, 9, 9, 5, 1
Runx2, 63, 49, 29, 27, 27, 27, 27, 25, 25, 25, 26, 26, 27, 27, 27, 27, 27, 27, 27, 27, 33
Scd1, 23, 21, 13, 13, 16, 17, 17, 17, 17, 19, 19, 20, 20, 20, 20, 20, 20, 20, 19, 11, 1
