GeneName d=0 d=0.05 d=0.1 d=0.15 d=0.2 d=0.25 d=0.3 d=0.35 d=0.4 d=0.45 d=0.5 d=0.55 d=0.6 d=0.65 d=0.7 d=0.75 d=0.8 d=0.85 d=0.9 d=0.95 d=1 
Abca1, 53, 50, 45, 41, 35, 29, 26, 22, 23, 23, 22, 22, 21, 21, 20, 20, 20, 20, 18, 12, 1
Btk, 76, 76, 76, 77, 77, 78, 78, 76, 76, 76, 75, 75, 71, 70, 69, 69, 68, 68, 65, 62, 58
Cav1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Cav3, 7, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 1, 1, 1, 1
Cftr, 34, 29, 16, 5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1
Clcn1, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 27
Cnr1, 29, 32, 32, 32, 32, 32, 33, 31, 31, 31, 31, 31, 32, 32, 32, 32, 32, 32, 32, 31, 16
Emd, 43, 47, 50, 51, 51, 51, 52, 52, 52, 51, 50, 50, 50, 46, 46, 46, 45, 43, 41, 39, 16
Epas1, 36, 38, 36, 33, 33, 30, 26, 27, 27, 24, 23, 23, 23, 23, 23, 23, 24, 24, 24, 25, 32
Esrra, 54, 54, 54, 54, 54, 53, 51, 44, 42, 34, 28, 22, 18, 18, 18, 17, 16, 14, 14, 14, 41
Gap43, 63, 63, 63, 63, 63, 63, 62, 62, 61, 53, 46, 35, 28, 27, 27, 22, 19, 17, 16, 12, 1
Gnmt, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 1
