ID (num probes:45101)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1418413_at	0.000492635540610843	4.91059724340754e-08	-19.5520740079224	6.06217803696696	-3.61942806079743	Cav3	caveolin 3	12391	6 52.26 cM	alpha-tubulin binding///calcium channel regulator activity///connexin binding///connexin binding///enzyme binding///ion channel binding///ion channel binding///nitric-oxide synthase binding///potassium channel inhibitor activity///protein C-terminus binding///protein binding///protein complex binding///protein complex scaffold///sodium channel regulator activity	actin filament organization///cardiac muscle cell development///caveola assembly///caveola assembly///cholesterol homeostasis///cytoplasmic microtubule organization///endocytosis///endocytosis///establishment of protein localization to plasma membrane///glucose homeostasis///heart trabecula formation///membrane raft organization///muscle cell cellular homeostasis///myoblast fusion///myotube differentiation///negative regulation of MAP kinase activity///negative regulation of MAPK cascade///negative regulation of calcium ion transport///negative regulation of calcium ion transport///negative regulation of cardiac muscle hypertrophy///negative regulation of cardiac muscle hypertrophy///negative regulation of cell growth involved in cardiac muscle cell development///negative regulation of cell size///negative regulation of nitric-oxide synthase activity///negative regulation of potassium ion transmembrane transport///negative regulation of potassium ion transmembrane transporter activity///negative regulation of protein kinase activity///negative regulation of sarcomere organization///nucleus localization///plasma membrane organization///plasma membrane repair///positive regulation of caveolin-mediated endocytosis///positive regulation of cell proliferation///positive regulation of cytosolic calcium ion concentration///positive regulation of microtubule polymerization///positive regulation of myotube differentiation///protein localization///protein localization///protein localization to plasma membrane///regulation of branching involved in mammary gland duct morphogenesis///regulation of calcium ion import///regulation of calcium ion transmembrane transporter activity///regulation of calcium ion transport///regulation of cardiac muscle contraction///regulation of heart contraction///regulation of heart rate///regulation of membrane depolarization during cardiac muscle cell action potential///regulation of membrane potential///regulation of membrane potential///regulation of nerve growth factor receptor activity///regulation of p38MAPK cascade///regulation of protein kinase B signaling///regulation of signal transduction by receptor internalization///regulation of skeletal muscle contraction///regulation of sodium ion transmembrane transporter activity///regulation of transforming growth factor beta receptor signaling pathway///regulation of ventricular cardiac muscle cell membrane depolarization///regulation of ventricular cardiac muscle cell membrane repolarization///triglyceride metabolic process///ventricular cardiac muscle cell action potential	Golgi apparatus///T-tubule///T-tubule///colocalizes_with Z disc///caveola///caveola///colocalizes_with caveola///cell///cell surface///cytoplasm///cytosol///dystrophin-associated glycoprotein complex///endoplasmic reticulum///colocalizes_with intercalated disc///membrane///membrane raft///neuromuscular junction///plasma membrane///plasma membrane///protein complex///sarcolemma///sarcolemma///colocalizes_with sarcolemma///vesicle	GO:0043014///GO:0005246///GO:0071253///GO:0071253///GO:0019899///GO:0044325///GO:0044325///GO:0050998///GO:0019870///GO:0008022///GO:0005515///GO:0032403///GO:0032947///GO:0017080	GO:0007015///GO:0055013///GO:0070836///GO:0070836///GO:0042632///GO:0031122///GO:0006897///GO:0006897///GO:0090002///GO:0042593///GO:0060347///GO:0031579///GO:0046716///GO:0007520///GO:0014902///GO:0043407///GO:0043409///GO:0051926///GO:0051926///GO:0010614///GO:0010614///GO:0061052///GO:0045792///GO:0051001///GO:1901380///GO:1901017///GO:0006469///GO:0060299///GO:0051647///GO:0007009///GO:0001778///GO:2001288///GO:0008284///GO:0007204///GO:0031116///GO:0010831///GO:0008104///GO:0008104///GO:0072659///GO:0060762///GO:0090279///GO:1901019///GO:0051924///GO:0055117///GO:0008016///GO:0002027///GO:1900825///GO:0042391///GO:0042391///GO:0051394///GO:1900744///GO:0051896///GO:0038009///GO:0014819///GO:2000649///GO:0017015///GO:0060373///GO:0060307///GO:0006641///GO:0086005	GO:0005794///GO:0030315///GO:0030315///colocalizes_with GO:0030018///GO:0005901///GO:0005901///colocalizes_with GO:0005901///GO:0005623///GO:0009986///GO:0005737///GO:0005829///GO:0016010///GO:0005783///colocalizes_with GO:0014704///GO:0016020///GO:0045121///GO:0031594///GO:0005886///GO:0005886///GO:0043234///GO:0042383///GO:0042383///colocalizes_with GO:0042383///GO:0031982
1433888_at	0.310912058987763	0.00236197377587061	4.37713176583822	-1.10490694309474	0.391426124934743	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	11941	6 52.85 cM	ATP binding///PDZ domain binding///acetylcholine receptor binding///calcium ion binding///calcium-dependent ATPase activity///calcium-transporting ATPase activity///calmodulin binding///cation-transporting ATPase activity///glutamate receptor binding///hydrolase activity///metal ion binding///nucleotide binding///protein C-terminus binding	ATP catabolic process///auditory receptor cell stereocilium organization///cGMP metabolic process///calcium ion export///calcium ion transmembrane transport///calcium ion transport///calcium ion transport///cation transport///cell morphogenesis///cellular calcium ion homeostasis///cerebellar Purkinje cell differentiation///cerebellar Purkinje cell layer morphogenesis///cerebellar granule cell differentiation///cerebellum development///cochlea development///cytosolic calcium ion homeostasis///cytosolic calcium ion homeostasis///detection of mechanical stimulus involved in sensory perception of sound///inner ear development///inner ear morphogenesis///inner ear receptor cell differentiation///ion transport///lactation///locomotion///locomotory behavior///neuromuscular process controlling balance///neuron differentiation///organelle organization///otolith mineralization///positive regulation of calcium ion transport///regulation of cell size///regulation of synaptic plasticity///sensory perception of sound///sensory perception of sound///sensory perception of sound///serotonin metabolic process///synapse organization///transport	apical plasma membrane///apical plasma membrane///cell///cilium///cytoplasm///cytosol///dendrite///endoplasmic reticulum///integral component of membrane///membrane///membrane raft///neuronal cell body///neuronal cell body///neuronal cell body membrane///plasma membrane///plasma membrane	GO:0005524///GO:0030165///GO:0033130///GO:0005509///GO:0030899///GO:0005388///GO:0005516///GO:0019829///GO:0035254///GO:0016787///GO:0046872///GO:0000166///GO:0008022	GO:0006200///GO:0060088///GO:0046068///GO:1901660///GO:0070588///GO:0006816///GO:0006816///GO:0006812///GO:0000902///GO:0006874///GO:0021702///GO:0021692///GO:0021707///GO:0021549///GO:0090102///GO:0051480///GO:0051480///GO:0050910///GO:0048839///GO:0042472///GO:0060113///GO:0006811///GO:0007595///GO:0040011///GO:0007626///GO:0050885///GO:0030182///GO:0006996///GO:0045299///GO:0051928///GO:0008361///GO:0048167///GO:0007605///GO:0007605///GO:0007605///GO:0042428///GO:0050808///GO:0006810	GO:0016324///GO:0016324///GO:0005623///GO:0005929///GO:0005737///GO:0005829///GO:0030425///GO:0005783///GO:0016021///GO:0016020///GO:0045121///GO:0043025///GO:0043025///GO:0032809///GO:0005886///GO:0005886
1428612_at	0.3701164891435	0.00408918852191855	-3.97623303828556	-1.61648780506233	-0.298480241947422	Atg7	autophagy related 7	74244	6	Atg12 activating enzyme activity///Atg8 activating enzyme///catalytic activity///protein binding///protein homodimerization activity///transcription factor binding///ubiquitin activating enzyme activity	C-terminal protein lipidation///adult walking behavior///autophagy///cardiac muscle cell development///cellular amino acid metabolic process///cellular response to hyperoxia///cellular response to nitrogen starvation///cellular response to starvation///central nervous system neuron axonogenesis///cerebellar Purkinje cell layer development///cerebral cortex development///late nucleophagy///liver development///macroautophagy///membrane organization///mitochondrion degradation///mitochondrion organization///negative regulation of apoptotic process///negative stranded viral RNA replication///neurological system process///neuron projection development///organelle organization///piecemeal microautophagy of nucleus///positive regulation of apoptotic process///positive regulation of autophagy///positive regulation of macroautophagy///positive regulation of mucus secretion///positive regulation of protein catabolic process///positive regulation of protein modification process///positive regulation of protein modification process///post-embryonic development///protein catabolic process///protein lipidation///protein modification by small protein conjugation///protein transport///protein ubiquitination///pyramidal neuron development///regulation of protein ubiquitination///response to starvation///transport	axoneme///cytoplasm///cytosol///pre-autophagosomal structure	GO:0019778///GO:0019779///GO:0003824///GO:0005515///GO:0042803///GO:0008134///GO:0004839	GO:0006501///GO:0007628///GO:0006914///GO:0055013///GO:0006520///GO:0071455///GO:0006995///GO:0009267///GO:0021955///GO:0021680///GO:0021987///GO:0044805///GO:0001889///GO:0016236///GO:0061024///GO:0000422///GO:0007005///GO:0043066///GO:0039689///GO:0050877///GO:0031175///GO:0006996///GO:0034727///GO:0043065///GO:0010508///GO:0016239///GO:0070257///GO:0045732///GO:0031401///GO:0031401///GO:0009791///GO:0030163///GO:0006497///GO:0032446///GO:0015031///GO:0016567///GO:0021860///GO:0031396///GO:0042594///GO:0006810	GO:0005930///GO:0005737///GO:0005829///GO:0000407
1428460_at	0.401899278957759	0.0055070564820269	3.76565018644676	-1.89589248127849	0.334052496803437	Syn2	synapsin II	20965	6 53.2 cM	ATP binding///calcium-dependent protein binding///catalytic activity///protein dimerization activity	neurotransmitter secretion///neurotransmitter secretion	cell///cell junction///synapse///synaptic vesicle///synaptic vesicle membrane	GO:0005524///GO:0048306///GO:0003824///GO:0046983	GO:0007269///GO:0007269	GO:0005623///GO:0030054///GO:0045202///GO:0008021///GO:0030672
1459346_at	0.407333406930264	0.00572548977249581	-3.73845949143391	-1.93247891265028	-0.268645837974499	Tsen2	tRNA splicing endonuclease 2 homolog (S. cerevisiae)	381802	6	lyase activity///nuclease activity///nucleic acid binding///tRNA-intron endonuclease activity	mRNA processing///tRNA processing///tRNA splicing, via endonucleolytic cleavage and ligation	centrosome///cytoplasm///nucleus///tRNA-intron endonuclease complex	GO:0016829///GO:0004518///GO:0003676///GO:0000213	GO:0006397///GO:0008033///GO:0006388	GO:0005813///GO:0005737///GO:0005634///GO:0000214
1446633_at	0.417682305993083	0.00625180547502997	-3.67725018461605	-2.0152509827619	-0.361389419007877	Atg7	autophagy related 7	74244	6	Atg12 activating enzyme activity///Atg8 activating enzyme///catalytic activity///protein binding///protein homodimerization activity///transcription factor binding///ubiquitin activating enzyme activity	C-terminal protein lipidation///adult walking behavior///autophagy///cardiac muscle cell development///cellular amino acid metabolic process///cellular response to hyperoxia///cellular response to nitrogen starvation///cellular response to starvation///central nervous system neuron axonogenesis///cerebellar Purkinje cell layer development///cerebral cortex development///late nucleophagy///liver development///macroautophagy///membrane organization///mitochondrion degradation///mitochondrion organization///negative regulation of apoptotic process///negative stranded viral RNA replication///neurological system process///neuron projection development///organelle organization///piecemeal microautophagy of nucleus///positive regulation of apoptotic process///positive regulation of autophagy///positive regulation of macroautophagy///positive regulation of mucus secretion///positive regulation of protein catabolic process///positive regulation of protein modification process///positive regulation of protein modification process///post-embryonic development///protein catabolic process///protein lipidation///protein modification by small protein conjugation///protein transport///protein ubiquitination///pyramidal neuron development///regulation of protein ubiquitination///response to starvation///transport	axoneme///cytoplasm///cytosol///pre-autophagosomal structure	GO:0019778///GO:0019779///GO:0003824///GO:0005515///GO:0042803///GO:0008134///GO:0004839	GO:0006501///GO:0007628///GO:0006914///GO:0055013///GO:0006520///GO:0071455///GO:0006995///GO:0009267///GO:0021955///GO:0021680///GO:0021987///GO:0044805///GO:0001889///GO:0016236///GO:0061024///GO:0000422///GO:0007005///GO:0043066///GO:0039689///GO:0050877///GO:0031175///GO:0006996///GO:0034727///GO:0043065///GO:0010508///GO:0016239///GO:0070257///GO:0045732///GO:0031401///GO:0031401///GO:0009791///GO:0030163///GO:0006497///GO:0032446///GO:0015031///GO:0016567///GO:0021860///GO:0031396///GO:0042594///GO:0006810	GO:0005930///GO:0005737///GO:0005829///GO:0000407
1429621_at	0.421669630442557	0.00677004614425711	3.62213026919006	-2.09026713648851	0.289097998267298	Cand2	cullin-associated and neddylation-dissociated 2 (putative)	67088	6 F1	TBP-class protein binding///TBP-class protein binding///protein binding		intracellular///nucleus///nucleus	GO:0017025///GO:0017025///GO:0005515		GO:0005622///GO:0005634///GO:0005634
1460230_at	0.421669630442557	0.00683634297249338	3.61540515347201	-2.09945025593167	0.322780095883743	Syn2	synapsin II	20965	6 53.2 cM	ATP binding///calcium-dependent protein binding///catalytic activity///protein dimerization activity	neurotransmitter secretion///neurotransmitter secretion	cell///cell junction///synapse///synaptic vesicle///synaptic vesicle membrane	GO:0005524///GO:0048306///GO:0003824///GO:0046983	GO:0007269///GO:0007269	GO:0005623///GO:0030054///GO:0045202///GO:0008021///GO:0030672
1419210_at	0.543507980555074	0.0200933137631888	-2.89392925835296	-3.11689079841787	-0.243536130782335	Hrh1	histamine receptor H1	15465	6 53.05 cM	G-protein coupled receptor activity///calcium ion transmembrane transporter activity///histamine binding///histamine receptor activity///signal transducer activity	G-protein coupled receptor signaling pathway///calcium ion import///calcium ion transmembrane transport///cellular response to histamine///eosinophil chemotaxis///manganese ion transmembrane transport///memory///negative regulation of steroid biosynthetic process///positive regulation of nitric oxide biosynthetic process///positive regulation of vasoconstriction///regulation of synaptic plasticity///regulation of vascular permeability///rhythmic process///signal transduction///synaptic transmission///visual learning	integral component of membrane///membrane///plasma membrane	GO:0004930///GO:0015085///GO:0051381///GO:0004969///GO:0004871	GO:0007186///GO:0070509///GO:0070588///GO:0071420///GO:0048245///GO:0071421///GO:0007613///GO:0010894///GO:0045429///GO:0045907///GO:0048167///GO:0043114///GO:0048511///GO:0007165///GO:0007268///GO:0008542	GO:0016021///GO:0016020///GO:0005886
1424596_s_at	0.573377577900314	0.025135600496839	2.74846949399268	-3.32747857029428	0.465337601440064	Lmcd1	LIM and cysteine-rich domains 1	30937	6	metal ion binding///protein binding///transcription corepressor activity///zinc ion binding	negative regulation of transcription from RNA polymerase II promoter///positive regulation of calcineurin-NFAT signaling cascade///positive regulation of calcineurin-NFAT signaling cascade///regulation of RNA biosynthetic process///regulation of cardiac muscle hypertrophy///regulation of cardiac muscle hypertrophy///regulation of transcription, DNA-templated///transcription, DNA-templated	cytoplasm///colocalizes_with extracellular matrix///extracellular space///nucleus	GO:0046872///GO:0005515///GO:0003714///GO:0008270	GO:0000122///GO:0070886///GO:0070886///GO:2001141///GO:0010611///GO:0010611///GO:0006355///GO:0006351	GO:0005737///colocalizes_with GO:0031012///GO:0005615///GO:0005634
1449030_at	0.614217483414001	0.0381974949217665	2.47890609747729	-3.71886486482901	0.261558386175159	Syn2	synapsin II	20965	6 53.2 cM	ATP binding///calcium-dependent protein binding///catalytic activity///protein dimerization activity	neurotransmitter secretion///neurotransmitter secretion	cell///cell junction///synapse///synaptic vesicle///synaptic vesicle membrane	GO:0005524///GO:0048306///GO:0003824///GO:0046983	GO:0007269///GO:0007269	GO:0005623///GO:0030054///GO:0045202///GO:0008021///GO:0030672
