ID (num probes:45101)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1416874_a_at	0.0582629137540268	0.000815861478736499	3.57481313780526	-0.606678549321538	0.209449999999999	Paf1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	54624	7	RNA polymerase II core binding///chromatin binding///protein binding	Wnt signaling pathway///cellular response to lipopolysaccharide///endodermal cell fate commitment///histone H2B ubiquitination///histone monoubiquitination///mRNA polyadenylation///negative regulation of myeloid cell differentiation///negative regulation of transcription from RNA polymerase II promoter///positive regulation of mRNA 3'-end processing///positive regulation of transcription elongation from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///stem cell maintenance///transcription, DNA-templated	Cdc73/Paf1 complex///nucleus	GO:0000993///GO:0003682///GO:0005515	GO:0016055///GO:0071222///GO:0001711///GO:0033523///GO:0010390///GO:0006378///GO:0045638///GO:0000122///GO:0031442///GO:0032968///GO:0045944///GO:0006355///GO:0019827///GO:0006351	GO:0016593///GO:0005634
1424255_at	0.0616729270294263	0.000934970849483017	3.52936553363168	-0.726856412686903	0.264100000000001	Supt5	suppressor of Ty 5	20924	7 16.68 cM	chromatin binding///enzyme binding///poly(A) RNA binding///protein heterodimerization activity	DNA-templated transcription, elongation///negative regulation of DNA-templated transcription, elongation///negative regulation of transcription from RNA polymerase II promoter///positive regulation of DNA-templated transcription, elongation///positive regulation of macroautophagy///positive regulation of transcription from RNA polymerase II promoter///regulation of DNA-templated transcription, elongation///regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///transcription elongation from RNA polymerase II promoter///transcription, DNA-templated	DSIF complex///nucleus	GO:0003682///GO:0019899///GO:0044822///GO:0046982	GO:0006354///GO:0032785///GO:0000122///GO:0032786///GO:0016239///GO:0045944///GO:0032784///GO:0006357///GO:0006355///GO:0006368///GO:0006351	GO:0032044///GO:0005634
1421077_at	0.063076565693415	0.00110634981221956	3.47285112361518	-0.875106191625367	0.220750000000004	Sertad3	SERTA domain containing 3	170742	7	protein binding	negative regulation of cell growth///positive regulation of transcription, DNA-templated///regulation of transcription, DNA-templated///transcription, DNA-templated	cytoplasm///nucleus///nucleus	GO:0005515	GO:0030308///GO:0045893///GO:0006355///GO:0006351	GO:0005737///GO:0005634///GO:0005634
1448799_s_at	0.073680562211297	0.00217167171153836	-3.24172532060581	-1.46688311011401	-0.41845	Mrps12	mitochondrial ribosomal protein S12	24030	7	poly(A) RNA binding///structural constituent of ribosome	translation	intracellular///mitochondrion///ribonucleoprotein complex///ribosome///small ribosomal subunit	GO:0044822///GO:0003735	GO:0006412	GO:0005622///GO:0005739///GO:0030529///GO:0005840///GO:0015935
1454931_at	0.0792486210069305	0.00291931088585513	-3.13770545939814	-1.72512876579001	-0.244649999999998	Eid2	EP300 interacting inhibitor of differentiation 2	386655	7	SMAD binding	SMAD protein complex assembly///cell differentiation///multicellular organismal development///muscle organ development///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription, DNA-templated///negative regulation of transforming growth factor beta receptor signaling pathway///regulation of cell proliferation///regulation of transcription, DNA-templated///regulation of transforming growth factor beta receptor signaling pathway///transcription, DNA-templated///transforming growth factor beta receptor complex assembly	nucleus	GO:0046332	GO:0007183///GO:0030154///GO:0007275///GO:0007517///GO:0000122///GO:0045892///GO:0030512///GO:0042127///GO:0006355///GO:0017015///GO:0006351///GO:0007181	GO:0005634
1424174_at	0.0820307742501444	0.00350522893509456	3.07249499544928	-1.88430843512123	0.4124	Shkbp1	Sh3kbp1 binding protein 1	192192	7	protein binding	biological_process///protein homooligomerization	cellular_component	GO:0005515	GO:0008150///GO:0051260	GO:0005575
1416291_at	0.0946589225050137	0.00566067852393819	2.89800829373818	-2.29943123560483	0.30485	Psmc4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	23996	7 16.11 cM	ATP binding///hydrolase activity///nucleotide binding	blastocyst development///protein catabolic process	cytoplasm///cytosolic proteasome complex///inclusion body///membrane///nucleus///proteasome accessory complex///proteasome complex	GO:0005524///GO:0016787///GO:0000166	GO:0001824///GO:0030163	GO:0005737///GO:0031597///GO:0016234///GO:0016020///GO:0005634///GO:0022624///GO:0000502
1436665_a_at	0.0977763342456509	0.00635857272216789	2.85482652416185	-2.39964314139813	0.707650000000003	Ltbp4	latent transforming growth factor beta binding protein 4	108075	7	calcium ion binding///growth factor binding///transforming growth factor beta binding	hormone secretion///regulation of proteolysis///transforming growth factor beta receptor signaling pathway	cell///extracellular matrix///colocalizes_with extracellular matrix///extracellular region///extracellular space///extracellular vesicular exosome///proteinaceous extracellular matrix///proteinaceous extracellular matrix	GO:0005509///GO:0019838///GO:0050431	GO:0046879///GO:0030162///GO:0007179	GO:0005623///GO:0031012///colocalizes_with GO:0031012///GO:0005576///GO:0005615///GO:0070062///GO:0005578///GO:0005578
1436415_at	0.100200074778689	0.00685524047249807	-2.82670014967114	-2.46436022098155	-0.1487	Med29	mediator complex subunit 29	67224	7	molecular_function	biological_process///regulation of transcription, DNA-templated///transcription, DNA-templated	mediator complex///nucleus	GO:0003674	GO:0008150///GO:0006355///GO:0006351	GO:0016592///GO:0005634
1446718_at	0.106879128376323	0.00814874662301771	2.76146309391053	-2.61274923688976	0.0997000000000003	Nfkbib	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, beta	18036	7 A3-B3	protein binding	cellular response to lipopolysaccharide///cytoplasmic sequestering of NF-kappaB///signal transduction	cytoplasm///cytosol///nucleus	GO:0005515	GO:0071222///GO:0007253///GO:0007165	GO:0005737///GO:0005829///GO:0005634
