GeneName d=0 d=0.05 d=0.1 d=0.15 d=0.2 d=0.25 d=0.3 d=0.35 d=0.4 d=0.45 d=0.5 d=0.55 d=0.6 d=0.65 d=0.7 d=0.75 d=0.8 d=0.85 d=0.9 d=0.95 d=1 
Abca1, 26, 25, 19, 18, 19, 19, 19, 19, 19, 18, 18, 19, 19, 19, 19, 19, 20, 20, 21, 20, 16
Btk, 63, 63, 63, 63, 63, 63, 65, 65, 67, 67, 67, 67, 68, 68, 68, 68, 68, 68, 68, 68, 60
Cav1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 36
Cav3, 9, 9, 9, 10, 9, 10, 11, 11, 12, 12, 13, 14, 14, 14, 14, 14, 17, 17, 16, 16, 15
Cftr, 33, 33, 33, 33, 33, 33, 33, 33, 34, 34, 35, 35, 35, 35, 35, 35, 35, 36, 36, 36, 4
Clcn1, 45, 47, 47, 47, 47, 48, 48, 48, 48, 48, 48, 48, 47, 47, 47, 47, 47, 47, 47, 46, 16
Cnr1, 8, 19, 24, 28, 29, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 31, 31, 31, 31, 33, 28
Emd, 43, 38, 34, 26, 21, 20, 17, 16, 15, 15, 15, 15, 17, 16, 16, 16, 16, 16, 16, 15, 16
Epas1, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 6
Esrra, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 35, 35, 34, 34, 34, 34, 34, 34, 34, 33, 18
Gap43, 41, 41, 42, 44, 44, 44, 45, 45, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 2
Gnmt, 33, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 22
Hdac1, 47, 48, 48, 49, 50, 50, 51, 51, 52, 52, 52, 53, 53, 53, 54, 54, 55, 54, 54, 54, 34
Hdac2, 21, 21, 21, 21, 22, 22, 25, 25, 25, 25, 25, 25, 25, 27, 27, 27, 27, 27, 27, 27, 17
Hsf4, 28, 16, 14, 13, 12, 12, 12, 12, 12, 11, 10, 10, 9, 9, 9, 9, 9, 10, 10, 10, 12
Hspa1a, 24, 15, 15, 16, 17, 18, 18, 18, 18, 19, 19, 19, 19, 20, 20, 20, 20, 20, 20, 20, 24
Il6, 43, 56, 60, 60, 61, 61, 61, 61, 61, 61, 61, 62, 63, 64, 64, 64, 64, 64, 64, 64, 27
Lhx1, 1, 13, 15, 17, 18, 18, 20, 20, 20, 20, 20, 20, 20, 21, 22, 22, 22, 22, 25, 25, 31
Lhx8, 26, 27, 29, 29, 29, 29, 29, 29, 30, 30, 30, 32, 32, 32, 32, 33, 33, 33, 33, 33, 4
Lmna, 3, 19, 21, 23, 24, 24, 25, 25, 25, 25, 25, 26, 28, 28, 31, 31, 31, 32, 32, 33, 48
Mbnl1, 9, 16, 16, 19, 19, 20, 22, 22, 22, 22, 22, 22, 23, 23, 23, 23, 24, 24, 25, 25, 11
Mst1r, 9, 9, 8, 9, 9, 10, 11, 12, 12, 12, 12, 12, 12, 11, 11, 11, 11, 11, 11, 11, 9
Myd88, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 6
Nos3, 39, 39, 39, 39, 39, 39, 37, 34, 21, 16, 13, 12, 11, 10, 9, 7, 6, 3, 4, 3, 4
Phgdh, 41, 41, 41, 41, 41, 41, 39, 35, 33, 32, 30, 29, 27, 27, 24, 23, 23, 23, 23, 22, 22
Pmp22, 60, 60, 60, 59, 58, 56, 48, 46, 40, 38, 38, 38, 37, 35, 35, 34, 34, 33, 32, 32, 46
Ppara, 38, 36, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 12
Pthlh, 6, 6, 3, 3, 4, 4, 5, 6, 6, 7, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 35
Rab3a, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 61, 61, 61, 61, 61, 62, 62, 62, 62, 53
Rasgrf1, 20, 18, 20, 19, 19, 19, 19, 18, 18, 19, 20, 21, 22, 22, 22, 23, 24, 25, 26, 27, 44
Rbm15, 1, 1, 2, 4, 6, 6, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 10, 12, 14, 15, 39
Runx2, 42, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 17
Scd1, 36, 34, 34, 30, 24, 20, 17, 13, 11, 10, 9, 10, 10, 11, 12, 11, 10, 10, 10, 10, 5
Slc26a4, 25, 25, 26, 26, 24, 24, 24, 24, 22, 20, 20, 18, 18, 17, 17, 17, 17, 18, 16, 15, 11
Srf, 29, 29, 29, 29, 28, 28, 27, 28, 28, 26, 25, 24, 25, 24, 23, 21, 20, 19, 19, 17, 17
Tcf7, 16, 18, 18, 18, 20, 21, 22, 24, 25, 25, 24, 26, 26, 26, 28, 29, 29, 31, 31, 31, 28
Tgm2, 25, 25, 25, 25, 26, 26, 26, 26, 26, 27, 27, 28, 28, 28, 28, 28, 27, 26, 20, 10, 3
Zfp36, 37, 38, 38, 38, 37, 36, 36, 35, 34, 35, 33, 32, 34, 34, 33, 33, 33, 30, 30, 28, 20

Average: 28.0 27.815 27.947 28.026 27.894 27.868 27.842 27.552 27.078 26.815 26.605 26.815 26.921 26.894 26.947 26.894 27.078 27.078 27.052 26.710 21.526 
top10 count: 10 7 7 7 7 7 5 5 5 6 7 7 7 7 7 7 8 7 7 8 9 
