gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Ndufa4,Ndufa5,0.0,0.0,0.0,0.0,0.638,0.0,0.9,0.465,0.978,string:10090.ENSMUSP00000031637,string:10090.ENSMUSP00000023851,Ndufa4,Ndufa5
Cav1,Cav2,0.0,0.0,0.0,0.0,0.744,0.908,0.0,0.116313,0.978,string:10090.ENSMUSP00000007799,string:10090.ENSMUSP00000000058,Cav1,Cav2
Spam1,Hyal5,0.0,0.0,0.0,0.0,0.122,0.0,0.9,0.019312,0.91,string:10090.ENSMUSP00000031693,string:10090.ENSMUSP00000031689,Spam1,Hyal5
Wnt16,Wnt2,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.055158,0.905,string:10090.ENSMUSP00000031681,string:10090.ENSMUSP00000010941,Wnt16,Wnt2
Tspan12,Cadps2,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.538,0.603,string:10090.ENSMUSP00000031678,string:10090.ENSMUSP00000018122,Tspan12,Cadps2
Ing3,Tspan12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.588,string:10090.ENSMUSP00000031680,string:10090.ENSMUSP00000031678,Ing3,Tspan12
Fam3c,Cped1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527,0.527,string:10090.ENSMUSP00000127709,string:10090.ENSMUSP00000111041,Fam3c,Cped1
Wnt2,Cav1,0.0,0.0,0.0,0.0,0.17,0.0,0.389,0.108,0.508,string:10090.ENSMUSP00000010941,string:10090.ENSMUSP00000007799,Wnt2,Cav1
Ptprz1,Ing3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.463,string:10090.ENSMUSP00000088056,string:10090.ENSMUSP00000031680,Ptprz1,Ing3
Phf14,Ndufa4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411,0.41,string:10090.ENSMUSP00000111173,string:10090.ENSMUSP00000031637,Phf14,Ndufa4
Ptprz1,Tspan12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0.408,string:10090.ENSMUSP00000088056,string:10090.ENSMUSP00000031678,Ptprz1,Tspan12
Rnf148,Fezf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.397,string:10090.ENSMUSP00000100592,string:10090.ENSMUSP00000031709,Rnf148,Fezf1
Cped1,Wnt16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.396,string:10090.ENSMUSP00000111041,string:10090.ENSMUSP00000031681,Cped1,Wnt16
B630005N14Rik,Tmem106b,0.0,0.0,0.0,0.0,0.379,0.0,0.0,0.0,0.379,string:10090.ENSMUSP00000040578,string:10090.ENSMUSP00000031556,AI666701,Tmem106b
Ing3,Tfec,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.348,0.371,string:10090.ENSMUSP00000031680,string:10090.ENSMUSP00000031533,Ing3,Tfec
Ppp1r3a,Lmod2,0.0,0.0,0.0,0.0,0.352,0.0,0.0,0.067,0.369,string:10090.ENSMUSP00000049054,string:10090.ENSMUSP00000031694,Ppp1r3a,Lmod2
St7,Wnt2,0.0,0.0,0.0,0.0,0.259,0.0,0.0,0.173,0.36,string:10090.ENSMUSP00000057326,string:10090.ENSMUSP00000010941,St7,Wnt2
Wnt2,Asz1,0.0,0.0,0.0,0.0,0.206,0.076,0.0,0.19,0.354,string:10090.ENSMUSP00000010941,string:10090.ENSMUSP00000010940,Wnt2,Asz1
Mdfic,Foxp2,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.287,0.341,string:10090.ENSMUSP00000075283,string:10090.ENSMUSP00000031545,Zic2,Foxp2
Met,Hyal6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,string:10090.ENSMUSP00000091300,string:10090.ENSMUSP00000031690,Nat6,Hyal6
Lsm8,Ndufa4,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.27,0.34,string:10090.ENSMUSP00000057238,string:10090.ENSMUSP00000031637,Naa38,Ndufa4
