gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Ndufa4,Ndufa5,0.0,0.0,0.0,0.0,0.638,0.0,0.9,0.465,0.978,string:10090.ENSMUSP00000031637,string:10090.ENSMUSP00000023851,Ndufa4,Ndufa5
Spam1,Hyal5,0.0,0.0,0.0,0.0,0.122,0.0,0.9,0.019312,0.91,string:10090.ENSMUSP00000031693,string:10090.ENSMUSP00000031689,Spam1,Hyal5
Wnt16,Wnt2,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.055158,0.905,string:10090.ENSMUSP00000031681,string:10090.ENSMUSP00000010941,Wnt16,Wnt2
Cav1,Cav2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.833,string:10090.ENSMUSP00000044050,string:10090.ENSMUSP00000007799,Dpp4,Cav1
Wasl,Capza2,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.138,0.748,string:10090.ENSMUSP00000092268,string:10090.ENSMUSP00000072662,Wipf1,Lrrc16a
Fam3c,Cped1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527,0.527,string:10090.ENSMUSP00000127709,string:10090.ENSMUSP00000111041,Fam3c,Cped1
Wnt2,Cav2,0.0,0.0,0.0,0.0,0.17,0.0,0.389,0.108,0.508,string:10090.ENSMUSP00000010941,string:10090.ENSMUSP00000007799,Wnt2,Cav1
Kcnd2,Cadps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476,0.476,string:10090.ENSMUSP00000113441,string:10090.ENSMUSP00000018122,Dpp6,Cadps2
Ptprz1,Ing3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.463,string:10090.ENSMUSP00000088056,string:10090.ENSMUSP00000031680,Ptprz1,Ing3
Phf14,Ndufa4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411,0.41,string:10090.ENSMUSP00000111173,string:10090.ENSMUSP00000031637,Phf14,Ndufa4
Rnf148,Fezf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.397,string:10090.ENSMUSP00000100592,string:10090.ENSMUSP00000031709,Rnf148,Fezf1
Cped1,Wnt16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.396,string:10090.ENSMUSP00000111041,string:10090.ENSMUSP00000031681,Cped1,Wnt16
B630005N14Rik,Tmem106b,0.0,0.0,0.0,0.0,0.379,0.0,0.0,0.0,0.379,string:10090.ENSMUSP00000040578,string:10090.ENSMUSP00000031556,AI666701,Tmem106b
Ing3,Tfec,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.348,0.371,string:10090.ENSMUSP00000031680,string:10090.ENSMUSP00000031533,Ing3,Tfec
Ppp1r3a,Lmod2,0.0,0.0,0.0,0.0,0.352,0.0,0.0,0.067,0.369,string:10090.ENSMUSP00000049054,string:10090.ENSMUSP00000031694,Ppp1r3a,Lmod2
St7,Wnt2,0.0,0.0,0.0,0.0,0.259,0.0,0.0,0.173,0.36,string:10090.ENSMUSP00000057326,string:10090.ENSMUSP00000010941,St7,Wnt2
Wnt2,Asz1,0.0,0.0,0.0,0.0,0.206,0.076,0.0,0.19,0.354,string:10090.ENSMUSP00000010941,string:10090.ENSMUSP00000010940,Wnt2,Asz1
St7,Asz1,0.0,0.0,0.0,0.0,0.329,0.0,0.0,0.0,0.329,string:10090.ENSMUSP00000057326,string:10090.ENSMUSP00000010940,St7,Asz1
Rnf148,Cadps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.327,string:10090.ENSMUSP00000100592,string:10090.ENSMUSP00000018122,Rnf148,Cadps2
Phf14,Ing3,0.0,0.0,0.0,0.0,0.0,0.248,0.0,0.121,0.31,string:10090.ENSMUSP00000111173,string:10090.ENSMUSP00000031680,Phf14,Ing3
Rnf133,Cadps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.309,string:10090.ENSMUSP00000066906,string:10090.ENSMUSP00000018122,Rnf133,Cadps2
Ptprz1,Cadps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.305,string:10090.ENSMUSP00000088056,string:10090.ENSMUSP00000018122,Ptprz1,Cadps2
B630005N14Rik,Tmem168,0.0,0.0,0.0,0.0,0.303,0.0,0.0,0.0,0.304,string:10090.ENSMUSP00000040578,string:10090.ENSMUSP00000031554,AI666701,Tmem168
Kcnd2,Ptprz1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.298,string:10090.ENSMUSP00000113441,string:10090.ENSMUSP00000088056,Dpp6,Ptprz1
Rnf133,Fezf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,string:10090.ENSMUSP00000066906,string:10090.ENSMUSP00000031709,Rnf133,Fezf1
Tfec,Asz1,0.0,0.0,0.0,0.0,0.131,0.106,0.0,0.142,0.275,string:10090.ENSMUSP00000031533,string:10090.ENSMUSP00000010940,Tfec,Asz1
Fam3c,Kcnd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,0.269,string:10090.ENSMUSP00000127709,string:10090.ENSMUSP00000113441,Fam3c,Dpp6
St7,Cav2,0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.256,string:10090.ENSMUSP00000057326,string:10090.ENSMUSP00000007799,St7,Cav1
St7,Slc13a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.255,string:10090.ENSMUSP00000057326,string:10090.ENSMUSP00000031713,St7,Slc13a1
Ankrd7,Asz1,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.093,0.241,string:10090.ENSMUSP00000111054,string:10090.ENSMUSP00000010940,Ankrd7,Asz1
Asz1,Cav2,0.0,0.0,0.0,0.0,0.134,0.063,0.0,0.123,0.226,string:10090.ENSMUSP00000010940,string:10090.ENSMUSP00000007799,Asz1,Cav1
Foxp2,Cadps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.216,string:10090.ENSMUSP00000031545,string:10090.ENSMUSP00000018122,Foxp2,Cadps2
Mdfic,Tfec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.211,string:10090.ENSMUSP00000099186,string:10090.ENSMUSP00000031533,Mdfic,Tfec
Gpr85,Tmem106b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,string:10090.ENSMUSP00000053837,string:10090.ENSMUSP00000031556,Gpr85,Tmem106b
Fezf1,Foxp2,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.145,0.209,string:10090.ENSMUSP00000031709,string:10090.ENSMUSP00000031545,Fezf1,Foxp2
Slc13a1,Asz1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.207,string:10090.ENSMUSP00000031713,string:10090.ENSMUSP00000010940,Slc13a1,Asz1
Slc13a1,Asb15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.207,string:10090.ENSMUSP00000031713,string:10090.ENSMUSP00000031696,Slc13a1,Asb15
Gpr85,Cadps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.207,string:10090.ENSMUSP00000053837,string:10090.ENSMUSP00000018122,Gpr85,Cadps2
Ankrd7,Slc13a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.207,string:10090.ENSMUSP00000111054,string:10090.ENSMUSP00000031713,Ankrd7,Slc13a1
