gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Irak1,Ikbkg,0.0,0.0,0.0,0.0,0.0,0.955,0.922,0.209,0.996,string:10090.ENSMUSP00000027241,string:10090.ENSMUSP00000004949,Il1r1,Traf6
Arhgap4,Gdi1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000067477,string:10090.ENSMUSP00000063714,Arhgap4,Arhgdia
G6pdx,Tktl1,0.454,0.0,0.0,0.0,0.095,0.353,0.0,0.404,0.783,string:10090.ENSMUSP00000131163,string:10090.ENSMUSP00000010127,G6pd2,Tktl1
Tktl1,G6pdx///G6pd2,0.454,0.0,0.0,0.0,0.095,0.353,0.0,0.404,0.783,string:10090.ENSMUSP00000010127,string:10090.ENSMUSP00000004327,Tktl1,G6pdx
Xlr3b///Xlr3c///Xlr3a,Zfp275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738,0.738,string:10090.ENSMUSP00000099026,string:10090.ENSMUSP00000033731,Xlr3b,Zfp275
Gabra3,Zfp275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734,0.734,string:10090.ENSMUSP00000062638,string:10090.ENSMUSP00000033731,Gabra3,Zfp275
F8a,Zfp275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733,0.733,string:10090.ENSMUSP00000100743,string:10090.ENSMUSP00000033731,F8a,Zfp275
Fundc2,Vbp1,0.0,0.0,0.0,0.0,0.271,0.0,0.0,0.551,0.658,string:10090.ENSMUSP00000033541,string:10090.ENSMUSP00000033540,Fundc2,Vbp1
Brcc3,Hcfc1,0.0,0.0,0.0,0.0,0.076,0.553,0.0,0.221,0.65,string:10090.ENSMUSP00000033544,string:10090.ENSMUSP00000022458,Brcc3,Bap1
Zfp275,Nsdhl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639,0.639,string:10090.ENSMUSP00000033731,string:10090.ENSMUSP00000033715,Zfp275,Nsdhl
Trex2,Haus7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,string:10090.ENSMUSP00000033738,string:10090.ENSMUSP00000033737,Trex2,Haus7
Gabra3,Gabrq,0.0,0.0,0.0,0.0,0.069,0.0,0.54,0.142464,0.615,string:10090.ENSMUSP00000062638,string:10090.ENSMUSP00000033711,Gabra3,Gabrq
Ubl4,Rpl10,0.0,0.0,0.0,0.0,0.131,0.356,0.0,0.302,0.575,string:10090.ENSMUSP00000120461,string:10090.ENSMUSP00000100795,Ubl4,Rpl10l
Renbp,Arhgap4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568,0.568,string:10090.ENSMUSP00000112277,string:10090.ENSMUSP00000067477,Renbp,Arhgap4
Ubl4,Lage3,0.0,0.0,0.0,0.0,0.284,0.118,0.0,0.339,0.546,string:10090.ENSMUSP00000120461,string:10090.ENSMUSP00000015433,Ubl4,Lage3
Xlr3b///Xlr3c///Xlr3a,Nsdhl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.528,string:10090.ENSMUSP00000099026,string:10090.ENSMUSP00000033715,Xlr3b,Nsdhl
F8a,Xlr3b///Xlr3c///Xlr3a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.528,string:10090.ENSMUSP00000100743,string:10090.ENSMUSP00000099026,F8a,Xlr3b
Trex2,Dnase1l1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,0.522,string:10090.ENSMUSP00000033738,string:10090.ENSMUSP00000019232,Trex2,Dnase1l1
Ubl4,Brcc3,0.0,0.0,0.0,0.0,0.181,0.34,0.0,0.148,0.499,string:10090.ENSMUSP00000120461,string:10090.ENSMUSP00000033544,Ubl4,Brcc3
Plxnb3,Plxna3,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.468,0.486,string:10090.ENSMUSP00000069024,string:10090.ENSMUSP00000004326,Sema5a,Plxna3
Xlr3b///Xlr3c///Xlr3a,Zfp92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,0.472,string:10090.ENSMUSP00000099026,string:10090.ENSMUSP00000033740,Xlr3b,Zfp92
Fam50a,Rpl10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.471,string:10090.ENSMUSP00000109797,string:10090.ENSMUSP00000100795,Fam50a,Rpl10l
Gabra3,Zfp92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,0.469,string:10090.ENSMUSP00000062638,string:10090.ENSMUSP00000033740,Gabra3,Zfp92
Brcc3,Vbp1,0.0,0.0,0.0,0.0,0.411,0.068,0.0,0.108,0.468,string:10090.ENSMUSP00000033544,string:10090.ENSMUSP00000033540,Brcc3,Vbp1
Ubl4,Zfp275,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.421,0.463,string:10090.ENSMUSP00000120461,string:10090.ENSMUSP00000033731,Ubl4,Zfp275
Ubl4,Bcap31,0.0,0.0,0.0,0.0,0.183,0.291,0.0,0.047,0.4,string:10090.ENSMUSP00000120461,string:10090.ENSMUSP00000002091,Ubl4,Bcap31
Zfp185,Zfp275,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.367,0.399,string:10090.ENSMUSP00000126066,string:10090.ENSMUSP00000033731,Zfp185,Zfp275
Haus7,Pls3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.398,string:10090.ENSMUSP00000033737,string:10090.ENSMUSP00000033547,Haus7,Pls3
Xlr3b///Xlr3c///Xlr3a,Bgn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.396,string:10090.ENSMUSP00000099026,string:10090.ENSMUSP00000033741,Xlr3b,Bgn
F8a,Nsdhl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.396,string:10090.ENSMUSP00000100743,string:10090.ENSMUSP00000033715,F8a,Nsdhl
