gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Msh2,Msh6,0.454,0.0,0.0,0.0,0.211,0.654,0.9,0.993,0.999,string:10090.ENSMUSP00000119875,string:10090.ENSMUSP00000005503,Pms2,Msh6
Abcg5,Abcg8,0.0,0.0,0.0,0.0,0.343,0.381,0.9,0.219509,0.965,string:10090.ENSMUSP00000069495,string:10090.ENSMUSP00000035246,Abcg5,Abcg8
Six3,Six2,0.0,0.0,0.0,0.0,0.0,0.677,0.0,0.818,0.939,string:10090.ENSMUSP00000135677,string:10090.ENSMUSP00000126383,Six3,Eya1
Fshr,Lhcgr,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.041136,0.904,string:10090.ENSMUSP00000040477,string:10090.ENSMUSP00000024916,Fshr,Lhcgr
Six3,Mta3,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.724,0.731,string:10090.ENSMUSP00000135677,string:10090.ENSMUSP00000068931,Six3,Mta3
Prepl,Ppm1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627,0.627,string:10090.ENSMUSP00000130967,string:10090.ENSMUSP00000079107,Prepl,Ppm1b
Pkdcc,Ppm1b,0.454,0.0,0.0,0.0,0.0,0.121,0.0,0.232,0.599,string:10090.ENSMUSP00000129238,string:10090.ENSMUSP00000079107,Pkdcc,Ppm1b
Ppm1b,Slc3a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.588,string:10090.ENSMUSP00000079107,string:10090.ENSMUSP00000024944,Ppm1b,Slc3a1
Rhoq,Prkce,0.0,0.0,0.0,0.0,0.0,0.492,0.0,0.213,0.583,string:10090.ENSMUSP00000126092,string:10090.ENSMUSP00000094873,Pik3c2a,Prkce
Prepl,Slc3a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577,0.577,string:10090.ENSMUSP00000130967,string:10090.ENSMUSP00000024944,Prepl,Slc3a1
Ston1,Gtf2a1l,0.0,0.364,0.0,0.0,0.0,0.0,0.0,0.337,0.56,string:10090.ENSMUSP00000067027,string:10090.ENSMUSP00000024970,Ston1,Gtf2a1l
Six2,Foxn2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559,0.559,string:10090.ENSMUSP00000126383,string:10090.ENSMUSP00000107857,Eya1,Foxn2
Foxn2,Epcam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.537,string:10090.ENSMUSP00000107857,string:10090.ENSMUSP00000061935,Foxn2,Epcam
Prepl,Camkmt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.532,string:10090.ENSMUSP00000130967,string:10090.ENSMUSP00000092811,Prepl,Camkmt
Srbd1,Haao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.528,string:10090.ENSMUSP00000092810,string:10090.ENSMUSP00000000687,Srbd1,Haao
Foxn2,Kcnk12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.517,string:10090.ENSMUSP00000107857,string:10090.ENSMUSP00000053595,Foxn2,Kcnk12
Camkmt,Ppm1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512,0.512,string:10090.ENSMUSP00000092811,string:10090.ENSMUSP00000079107,Camkmt,Ppm1b
Camkmt,Slc3a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509,0.509,string:10090.ENSMUSP00000092811,string:10090.ENSMUSP00000024944,Camkmt,Slc3a1
Thada,Plekhh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478,0.478,string:10090.ENSMUSP00000041701,string:10090.ENSMUSP00000039628,Thada,Plekhh2
Ttc7,Mcfd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451,0.451,string:10090.ENSMUSP00000040771,string:10090.ENSMUSP00000024963,Ttc7,Mcfd2
Ston1,Thada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.439,string:10090.ENSMUSP00000067027,string:10090.ENSMUSP00000041701,Ston1,Thada
Cox7a2l,Lrpprc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.418,string:10090.ENSMUSP00000131584,string:10090.ENSMUSP00000107927,Cox7a2l,Lrpprc
Foxn2,Lhcgr,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.382,0.396,string:10090.ENSMUSP00000107857,string:10090.ENSMUSP00000024916,Foxn2,Lhcgr
Calm2,Cript,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.233,0.39,string:10090.ENSMUSP00000048857,string:10090.ENSMUSP00000024959,Calm2,Cript
Srbd1,Thada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376,0.376,string:10090.ENSMUSP00000092810,string:10090.ENSMUSP00000041701,Srbd1,Thada
Foxn2,Fshr,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.362,0.376,string:10090.ENSMUSP00000107857,string:10090.ENSMUSP00000040477,Foxn2,Fshr
Lrpprc,Ppm1b,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.287,0.343,string:10090.ENSMUSP00000107927,string:10090.ENSMUSP00000079107,Lrpprc,Ppm1b
Calm2,Mcfd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,string:10090.ENSMUSP00000048857,string:10090.ENSMUSP00000024963,Calm2,Mcfd2
Thada,Gtf2a1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332,0.332,string:10090.ENSMUSP00000041701,string:10090.ENSMUSP00000024970,Thada,Gtf2a1l
Srbd1,Slc3a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,string:10090.ENSMUSP00000092810,string:10090.ENSMUSP00000024944,Srbd1,Slc3a1
Srbd1,Mta3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0.325,string:10090.ENSMUSP00000092810,string:10090.ENSMUSP00000068931,Srbd1,Mta3
Ppm1b,Calm2,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.23,0.318,string:10090.ENSMUSP00000079107,string:10090.ENSMUSP00000048857,Ppm1b,Calm2
Nrxn1,Kcnk12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.309,string:10090.ENSMUSP00000089225,string:10090.ENSMUSP00000053595,Lrrtm2,Kcnk12
Calm2,Plekhh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,0.286,string:10090.ENSMUSP00000048857,string:10090.ENSMUSP00000039628,Calm2,Plekhh2
Foxn2,Fbxo11,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.136,0.281,string:10090.ENSMUSP00000107857,string:10090.ENSMUSP00000005504,Foxn2,Fbxo11
Lrpprc,Dync2li1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.275,string:10090.ENSMUSP00000107927,string:10090.ENSMUSP00000025101,Lrpprc,Dync2li1
Msh2,Epcam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.273,string:10090.ENSMUSP00000119875,string:10090.ENSMUSP00000061935,Pms2,Epcam
Foxn2,Pigf,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.209,0.273,string:10090.ENSMUSP00000107857,string:10090.ENSMUSP00000003369,Foxn2,Plag1
Fbxo11,Msh6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.272,string:10090.ENSMUSP00000005504,string:10090.ENSMUSP00000005503,Fbxo11,Msh6
Gtf2a1l,Lhcgr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,string:10090.ENSMUSP00000024970,string:10090.ENSMUSP00000024916,Gtf2a1l,Lhcgr
Plekhh2,Mcfd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.264,string:10090.ENSMUSP00000039628,string:10090.ENSMUSP00000024963,Plekhh2,Mcfd2
Ppm1b,Plekhh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.262,string:10090.ENSMUSP00000079107,string:10090.ENSMUSP00000039628,Ppm1b,Plekhh2
Ston1,Lhcgr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.262,string:10090.ENSMUSP00000067027,string:10090.ENSMUSP00000024916,Ston1,Lhcgr
Mcfd2,Cript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.258,string:10090.ENSMUSP00000024963,string:10090.ENSMUSP00000024959,Mcfd2,Cript
Epcam,Msh6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.257,string:10090.ENSMUSP00000061935,string:10090.ENSMUSP00000005503,Epcam,Msh6
Prkce,Ppm1b,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.145,0.257,string:10090.ENSMUSP00000094873,string:10090.ENSMUSP00000079107,Prkce,Ppm1b
Epas1,Msh6,0.0,0.0,0.0,0.0,0.208,0.0,0.0,0.098,0.255,string:10090.ENSMUSP00000022960,string:10090.ENSMUSP00000005503,Eif3e,Msh6
Plekhh2,Dync2li1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.252,string:10090.ENSMUSP00000039628,string:10090.ENSMUSP00000025101,Plekhh2,Dync2li1
Thada,Haao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,string:10090.ENSMUSP00000041701,string:10090.ENSMUSP00000000687,Thada,Haao
Prkce,Srbd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.239,string:10090.ENSMUSP00000094873,string:10090.ENSMUSP00000092810,Prkce,Srbd1
Calm2,Ttc7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.238,string:10090.ENSMUSP00000048857,string:10090.ENSMUSP00000040771,Calm2,Ttc7
Ppm1b,Mcfd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.237,string:10090.ENSMUSP00000079107,string:10090.ENSMUSP00000024963,Ppm1b,Mcfd2
Pkdcc,Prkce,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.174,0.236,string:10090.ENSMUSP00000129238,string:10090.ENSMUSP00000094873,Pkdcc,Prkce
Prkce,Calm2,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.171,0.235,string:10090.ENSMUSP00000094873,string:10090.ENSMUSP00000048857,Prkce,Calm2
Lrpprc,Plekhh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234,0.234,string:10090.ENSMUSP00000107927,string:10090.ENSMUSP00000039628,Lrpprc,Plekhh2
Socs5,Mcfd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,string:10090.ENSMUSP00000038591,string:10090.ENSMUSP00000024963,Socs5,Mcfd2
Mta3,Thada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.225,string:10090.ENSMUSP00000068931,string:10090.ENSMUSP00000041701,Mta3,Thada
Prepl,Lhcgr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.219,string:10090.ENSMUSP00000130967,string:10090.ENSMUSP00000024916,Prepl,Lhcgr
