gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Cd200,Cd200r1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.021402,0.902,string:10090.ENSMUSP00000099869,string:10090.ENSMUSP00000053822,Cd200r2,Cd200r1
Parp9,Parp14,0.0,0.0,0.0,0.0,0.749,0.165,0.0,0.562,0.9,string:10090.ENSMUSP00000080601,string:10090.ENSMUSP00000037657,Dtx3l,Parp14
Gtpbp8,Spice1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.87,string:10090.ENSMUSP00000125352,string:10090.ENSMUSP00000058832,Gtpbp8,Spice1
Gtpbp8,Sidt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.858,0.858,string:10090.ENSMUSP00000125352,string:10090.ENSMUSP00000038433,Gtpbp8,Sidt1
Gsk3b,Arhgap31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801,0.801,string:10090.ENSMUSP00000023507,string:10090.ENSMUSP00000023487,Gsk3b,Arhgap31
Ccdc58,Fam162a,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.617,0.772,string:10090.ENSMUSP00000125874,string:10090.ENSMUSP00000004057,Ccdc58,Fam162a
Spice1,Sidt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735,0.735,string:10090.ENSMUSP00000058832,string:10090.ENSMUSP00000038433,Spice1,Sidt1
Ccdc58,2010005H15Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,string:10090.ENSMUSP00000125874,string:10090.ENSMUSP00000067712,Ccdc58,ENSMUSG00000095620
Gtpbp8,Atp6v1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.603,string:10090.ENSMUSP00000125352,string:10090.ENSMUSP00000066886,Gtpbp8,Atp6v1a
Dppa2,Morc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601,0.601,string:10090.ENSMUSP00000110183,string:10090.ENSMUSP00000023330,Dppa2,Morc1
2010005H15Rik,Fam162a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565,0.565,string:10090.ENSMUSP00000067712,string:10090.ENSMUSP00000004057,ENSMUSG00000095620,Fam162a
Dppa2,C330027C09Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.526,string:10090.ENSMUSP00000110183,string:10090.ENSMUSP00000044714,Dppa2,Kiaa1524
BC027231,Rabl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.526,string:10090.ENSMUSP00000038779,string:10090.ENSMUSP00000023524,BC027231,Rabl3
Fstl1,Ccdc80,0.0,0.0,0.0,0.0,0.478,0.0,0.0,0.0,0.478,string:10090.ENSMUSP00000110411,string:10090.ENSMUSP00000058752,Fstl1,Ccdc80
Drd3,Hcls1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.477,string:10090.ENSMUSP00000023390,string:10090.ENSMUSP00000020927,Drd3,Hs1bp3
Atp6v1a,Spice1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.475,string:10090.ENSMUSP00000066886,string:10090.ENSMUSP00000058832,Atp6v1a,Spice1
Cd96,Pvrl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.431,string:10090.ENSMUSP00000023336,string:10090.ENSMUSP00000023334,Cd96,Pvrl3
Dppa2,Retnla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413,0.412,string:10090.ENSMUSP00000110183,string:10090.ENSMUSP00000023329,Dppa2,Retnla
Atp6v1a,Sidt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411,0.41,string:10090.ENSMUSP00000066886,string:10090.ENSMUSP00000038433,Atp6v1a,Sidt1
Ccdc58,Atp6v1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,string:10090.ENSMUSP00000125874,string:10090.ENSMUSP00000066886,Ccdc58,Atp6v1a
Phldb2,Gsk3b,0.0,0.0,0.0,0.0,0.148,0.166,0.0,0.18,0.367,string:10090.ENSMUSP00000042266,string:10090.ENSMUSP00000023507,Clasp1,Gsk3b
Gap43,Tagln3,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.319,string:10090.ENSMUSP00000099881,string:10090.ENSMUSP00000093762,Gap43,Tagln3
C330027C09Rik,Morc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.305,string:10090.ENSMUSP00000044714,string:10090.ENSMUSP00000023330,Kiaa1524,Morc1
Dppa2,Dppa4,0.0,0.0,0.0,0.0,0.131,0.066,0.0,0.130845,0.262,string:10090.ENSMUSP00000110183,string:10090.ENSMUSP00000093749,Dppa2,Dppa4
Trat1,Dppa2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.256,string:10090.ENSMUSP00000129808,string:10090.ENSMUSP00000110183,Trat1,Dppa2
Atp6v1a,Kpna1,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0,0.238,string:10090.ENSMUSP00000066886,string:10090.ENSMUSP00000004054,Atp6v1a,Kpna1
Dppa4,Morc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.237,string:10090.ENSMUSP00000093749,string:10090.ENSMUSP00000023330,Dppa4,Morc1
Lrrc58,Gsk3b,0.0,0.0,0.0,0.0,0.132,0.104,0.0,0.088,0.228,string:10090.ENSMUSP00000077779,string:10090.ENSMUSP00000023507,Lrrc58,Gsk3b
Morc1,Retnla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.226,string:10090.ENSMUSP00000023330,string:10090.ENSMUSP00000023329,Morc1,Retnla
Pdia5,Gsk3b,0.067,0.0,0.0,0.0,0.0,0.077,0.0,0.172,0.224,string:10090.ENSMUSP00000023550,string:10090.ENSMUSP00000023507,Pdia5,Gsk3b
Gsk3b,Nr1i2,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.183,0.221,string:10090.ENSMUSP00000023507,string:10090.ENSMUSP00000023504,Gsk3b,Nr1i2
Trat1,Cd96,0.0,0.0,0.0,0.0,0.218,0.0,0.0,0.0,0.218,string:10090.ENSMUSP00000129808,string:10090.ENSMUSP00000023336,Trat1,Cd96
Cd86,Gsk3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.214,string:10090.ENSMUSP00000065225,string:10090.ENSMUSP00000023507,March2,Gsk3b
B4galt4,Slc35a5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.213,string:10090.ENSMUSP00000023482,string:10090.ENSMUSP00000023344,B4galt4,Slc35a5
Tagln3,Abhd10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209,0.209,string:10090.ENSMUSP00000093762,string:10090.ENSMUSP00000065282,Tagln3,Abhd10
Slc35a5,Qtrtd1,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,string:10090.ENSMUSP00000023344,string:10090.ENSMUSP00000002902,Slc35a5,Qtrt1
Slc35a5,Atg3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.191,string:10090.ENSMUSP00000023344,string:10090.ENSMUSP00000023343,Slc35a5,Atg3
Hgd,Nr1i2,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.041,0.183,string:10090.ENSMUSP00000125492,string:10090.ENSMUSP00000023504,Hgd,Nr1i2
Gsk3b,Maats1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.173,string:10090.ENSMUSP00000023507,string:10090.ENSMUSP00000023501,Gsk3b,Spata26
Eaf2,Cd86,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.125,0.163,string:10090.ENSMUSP00000110477,string:10090.ENSMUSP00000065225,Eaf2,March2
Dppa4,C330027C09Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.161,string:10090.ENSMUSP00000093749,string:10090.ENSMUSP00000044714,Dppa4,Kiaa1524
C330027C09Rik,Retnla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.157,string:10090.ENSMUSP00000044714,string:10090.ENSMUSP00000023329,Kiaa1524,Retnla
Sema5b,Parp14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.157,string:10090.ENSMUSP00000057494,string:10090.ENSMUSP00000037657,Sema5b,Parp14
Slc15a2,Nr1i2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.152,string:10090.ENSMUSP00000023616,string:10090.ENSMUSP00000023504,Slc15a2,Nr1i2
Nr1i2,Casr,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.1,0.151,string:10090.ENSMUSP00000023504,string:10090.ENSMUSP00000022890,Nr1i2,Rnf19a
