gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Tspyl1,Nt5dc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.583,string:10090.ENSMUSP00000063051,string:10090.ENSMUSP00000047126,Tspyl1,Nt5dc1
Fig4,Fyn,0.0,0.0,0.0,0.0,0.0,0.163,0.0,0.472,0.539,string:10090.ENSMUSP00000039598,string:10090.ENSMUSP00000005839,Fig4,Sh2d1a
Col10a1,Nt5dc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,string:10090.ENSMUSP00000101150,string:10090.ENSMUSP00000047126,Col10a1,Nt5dc1
Wisp3,Tube1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,string:10090.ENSMUSP00000076003,string:10090.ENSMUSP00000019991,Wisp3,Tube1
Col10a1,Tspyl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331,0.331,string:10090.ENSMUSP00000101150,string:10090.ENSMUSP00000063051,Col10a1,Tspyl1
Sult3a1,Hs3st5///Apba3,0.0,0.0,0.231,0.0,0.0,0.0,0.0,0.152,0.32,string:10090.ENSMUSP00000090259,string:10090.ENSMUSP00000060229,Sult3a1,Hs3st5
Rpf2,Rwdd1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,string:10090.ENSMUSP00000035456,string:10090.ENSMUSP00000019917,Rpf2,Rwdd1
Rsph4a,Sult3a1,0.0,0.0,0.0,0.0,0.284,0.0,0.0,0.0,0.284,string:10090.ENSMUSP00000131647,string:10090.ENSMUSP00000090259,Rsph4a,Sult3a1
Tspyl1,Rpf2,0.0,0.0,0.0,0.0,0.279,0.0,0.0,0.0,0.279,string:10090.ENSMUSP00000063051,string:10090.ENSMUSP00000035456,Tspyl1,Rpf2
Tspyl4,Rpf2,0.0,0.0,0.0,0.0,0.279,0.0,0.0,0.0,0.279,string:10090.ENSMUSP00000036360,string:10090.ENSMUSP00000035456,Tspyl4,Rpf2
Zbtb24,Cdk19,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.14,0.251,string:10090.ENSMUSP00000079592,string:10090.ENSMUSP00000040936,Zbtb24,Cdk19
Rpf2,Gtf3c6,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.075,0.247,string:10090.ENSMUSP00000035456,string:10090.ENSMUSP00000019982,Rpf2,Gtf3c6
Amd1,Cdk19,0.0,0.0,0.0,0.0,0.242,0.0,0.0,0.0,0.241,string:10090.ENSMUSP00000097528,string:10090.ENSMUSP00000040936,Amd1,Cdk19
Fig4,Clvs2,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.109,0.224,string:10090.ENSMUSP00000039598,string:10090.ENSMUSP00000019920,Fig4,Clvs2
Fam26f,Zufsp,0.0,0.0,0.0,0.0,0.223,0.0,0.0,0.0,0.223,string:10090.ENSMUSP00000051575,string:10090.ENSMUSP00000037121,Fam26f,Zufsp
Smpd2,Fyn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,0.218,string:10090.ENSMUSP00000019965,string:10090.ENSMUSP00000005839,Smpd2,Sh2d1a
Zbtb24,Tspyl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209,0.209,string:10090.ENSMUSP00000079592,string:10090.ENSMUSP00000063051,Zbtb24,Tspyl1
Zbtb24,Tspyl4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209,0.209,string:10090.ENSMUSP00000079592,string:10090.ENSMUSP00000036360,Zbtb24,Tspyl4
Cdc40,Zufsp,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.203,string:10090.ENSMUSP00000044305,string:10090.ENSMUSP00000037121,Cdc40,Zufsp
Cdc40,Tube1,0.0,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.198,string:10090.ENSMUSP00000044305,string:10090.ENSMUSP00000019991,Cdc40,Tube1
Tube1,Mical1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.194,string:10090.ENSMUSP00000019991,string:10090.ENSMUSP00000019967,Tube1,Mical1
Rev3l,Mical1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,string:10090.ENSMUSP00000019986,string:10090.ENSMUSP00000019967,Rev3l,Mical1
