gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Lcat,Pla2g15,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.007434,0.9,string:10090.ENSMUSP00000038232,string:10090.ENSMUSP00000034377,Lcat,Pla2g15
Pard6a,Psmb10,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000090886,string:10090.ENSMUSP00000034369,Pard6a,Psmb10
Cmtm2b,Cmtm3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745,0.745,string:10090.ENSMUSP00000043127,string:10090.ENSMUSP00000034343,Cmtm2b,Cmtm3
Tradd,Enkd1,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,string:10090.ENSMUSP00000029842,string:10090.ENSMUSP00000013299,Bcl10,Enkd1
Pskh1,Ddx28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609,0.609,string:10090.ENSMUSP00000061700,string:10090.ENSMUSP00000058950,Pskh1,Ddx28
Ces3a///Ces3b,Ces2e,0.0,0.0,0.038998,0.0,0.0,0.0,0.559,0.05439,0.598,string:10090.ENSMUSP00000090910,string:10090.ENSMUSP00000034355,Ces3a,Ces2e
Ces4a,Ces2e,0.0,0.0,0.04743,0.0,0.0,0.0,0.559,0.01602,0.584,string:10090.ENSMUSP00000125062,string:10090.ENSMUSP00000034355,Ces4a,Ces2e
Ces4a,Ces3a///Ces3b,0.0,0.0,0.053754,0.0,0.0,0.0,0.559,0.0,0.581,string:10090.ENSMUSP00000125062,string:10090.ENSMUSP00000090910,Ces4a,Ces3a
Slc9a5,Dync1li2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.525,string:10090.ENSMUSP00000072893,string:10090.ENSMUSP00000045480,Slc9a5,Dync1li2
Cmtm2a,Cmtm3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,0.522,string:10090.ENSMUSP00000034344,string:10090.ENSMUSP00000034343,Cmtm2a,Cmtm3
Ces4a,Ces2d-ps///Ces2c,0.0,0.0,0.046903,0.0,0.0,0.0,0.435,0.080367,0.503,string:10090.ENSMUSP00000125062,string:10090.ENSMUSP00000036258,Ces4a,Ces2d-ps
Pskh1,Slc12a4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.477,string:10090.ENSMUSP00000061700,string:10090.ENSMUSP00000034370,Pskh1,Slc12a4
Cmtm2b,Cmtm2a,0.0,0.0,0.0,0.0,0.458,0.0,0.0,0.037524,0.477,string:10090.ENSMUSP00000043127,string:10090.ENSMUSP00000034344,Cmtm2b,Cmtm2a
