gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Hspa1b,Hspa1a,0.0,0.0,0.00527,0.0,0.835,0.0,0.9,0.00756,0.983,string:10090.ENSMUSP00000128525,string:10090.ENSMUSP00000084586,Hspa1b,Hspa1a
Lta,Tnf,0.0,0.0,0.0,0.0,0.0,0.915,0.8,0.083,0.983,string:10090.ENSMUSP00000032489,string:10090.ENSMUSP00000028311,Ltbr,Traf2
H2-Q2,H2-Q5,0.0,0.0,0.0,0.0,0.62,0.0,0.9,0.007524,0.96,string:10090.ENSMUSP00000134570,string:10090.ENSMUSP00000071843,H2-D1,H2-Q7
H2-Q6///LOC68395,H2-Q5,0.0,0.0,0.0,0.0,0.45,0.0,0.9,0.00948,0.943,string:10090.ENSMUSP00000109511,string:10090.ENSMUSP00000071843,H2-Q6,H2-Q7
H2-Q2,H2-Q6///LOC68395,0.0,0.0,0.0,0.0,0.412,0.0,0.9,0.005415,0.938,string:10090.ENSMUSP00000134570,string:10090.ENSMUSP00000109511,H2-D1,H2-Q6
H2-Q5,H2-Q10,0.0,0.0,0.0,0.0,0.175,0.0,0.9,0.01204,0.914,string:10090.ENSMUSP00000071843,string:10090.ENSMUSP00000066419,H2-Q7,H2-Q10
H2-Q2,H2-Q10,0.0,0.0,0.0,0.0,0.153,0.0,0.9,0.001649,0.911,string:10090.ENSMUSP00000134570,string:10090.ENSMUSP00000066419,H2-D1,H2-Q10
H2-Q6///LOC68395,H2-Q10,0.0,0.0,0.0,0.0,0.128,0.0,0.9,0.002952,0.909,string:10090.ENSMUSP00000109511,string:10090.ENSMUSP00000066419,H2-Q6,H2-Q10
Lta,Ltb,0.0,0.0,0.0,0.0,0.0,0.27,0.8,0.414,0.906,string:10090.ENSMUSP00000032489,string:10090.ENSMUSP00000025266,Ltbr,Lta
Hspa1b,Hspa1l,0.0,0.0,0.006851,0.0,0.0,0.0,0.9,0.008372,0.901,string:10090.ENSMUSP00000128525,string:10090.ENSMUSP00000007248,Hspa1b,Hspa1l
H2-Q2,H2-D1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.020609,0.901,string:10090.ENSMUSP00000134570,string:10090.ENSMUSP00000099736,H2-D1,H2-T3
Hspa1a,Hspa1l,0.0,0.0,0.006324,0.0,0.0,0.0,0.9,0.006612,0.901,string:10090.ENSMUSP00000084586,string:10090.ENSMUSP00000007248,Hspa1a,Hspa1l
H2-D1,H2-Q5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.00495,0.9,string:10090.ENSMUSP00000099736,string:10090.ENSMUSP00000071843,H2-T3,H2-Q7
H2-Q6///LOC68395,H2-D1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.003201,0.9,string:10090.ENSMUSP00000109511,string:10090.ENSMUSP00000099736,H2-Q6,H2-T3
H2-D1,H2-Q10,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.001421,0.9,string:10090.ENSMUSP00000099736,string:10090.ENSMUSP00000066419,H2-T3,H2-Q10
Ly6g6e,Ly6g6d,0.0,0.0,0.0,0.0,0.142,0.0,0.0,0.859,0.873,string:10090.ENSMUSP00000013910,string:10090.ENSMUSP00000007259,Ly6g6e,Ly6g6d
D17H6S56E-5,Vwa7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.858,0.858,string:10090.ENSMUSP00000127148,string:10090.ENSMUSP00000007245,ENSMUSG00000091747,Vwa7
Aif1,Bag6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835,0.835,string:10090.ENSMUSP00000025257,string:10090.ENSMUSP00000025250,Aif1,Bag6
Dxo,Skiv2l,0.0,0.0,0.0,0.0,0.109,0.231,0.0,0.764,0.824,string:10090.ENSMUSP00000047018,string:10090.ENSMUSP00000036265,Dom3z,Skiv2l
Tnxb,Cyp21a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759,0.759,string:10090.ENSMUSP00000127487,string:10090.ENSMUSP00000025223,Tnxb,Cyp21a1
Prrc2a,Abhd16a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752,0.752,string:10090.ENSMUSP00000025253,string:10090.ENSMUSP00000007251,Prrc2a,Abhd16a
Prrt1,Egfl8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746,0.746,string:10090.ENSMUSP00000015620,string:10090.ENSMUSP00000015611,Prrt1,Egfl8
Ly6g6c,Ly6g6d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736,0.736,string:10090.ENSMUSP00000133510,string:10090.ENSMUSP00000007259,Ly6g6c,Ly6g6d
Ly6g6c,Ddah2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736,0.736,string:10090.ENSMUSP00000133510,string:10090.ENSMUSP00000007255,Ly6g6c,Ddah2
Apom,Ly6g6d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.732,string:10090.ENSMUSP00000025249,string:10090.ENSMUSP00000007259,Apom,Ly6g6d
Zbtb12,Vwa7,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.725,0.732,string:10090.ENSMUSP00000057515,string:10090.ENSMUSP00000007245,Zbtb12,Vwa7
Zbtb12,Bag6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.714,string:10090.ENSMUSP00000057515,string:10090.ENSMUSP00000025250,Zbtb12,Bag6
D17H6S56E-5,Vars,0.0,0.0,0.0,0.0,0.211,0.0,0.0,0.635,0.699,string:10090.ENSMUSP00000127148,string:10090.ENSMUSP00000084572,ENSMUSG00000091747,Vars
