gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
P2ry12,P2ry13,0.0,0.0,0.0,0.0,0.519,0.0,0.9,0.057792,0.952,string:10090.ENSMUSP00000051353,string:10090.ENSMUSP00000044730,P2ry12,P2ry13
P2ry14,P2ry13,0.0,0.0,0.0,0.0,0.16,0.0,0.9,0.069839,0.918,string:10090.ENSMUSP00000066669,string:10090.ENSMUSP00000044730,P2ry14,P2ry13
P2ry14,P2ry12,0.0,0.0,0.0,0.0,0.103,0.0,0.9,0.0684,0.912,string:10090.ENSMUSP00000066669,string:10090.ENSMUSP00000051353,P2ry14,P2ry12
P2ry14,Sucnr1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.106876,0.909,string:10090.ENSMUSP00000066669,string:10090.ENSMUSP00000029326,P2ry14,Sucnr1
P2ry12,Sucnr1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.09288,0.908,string:10090.ENSMUSP00000051353,string:10090.ENSMUSP00000029326,P2ry12,Sucnr1
P2ry13,Sucnr1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.092263,0.908,string:10090.ENSMUSP00000044730,string:10090.ENSMUSP00000029326,P2ry13,Sucnr1
Ssr3,Serp1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,string:10090.ENSMUSP00000029414,string:10090.ENSMUSP00000029385,Ssr3,Serp1
Mab21l1,Nbea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.575,string:10090.ENSMUSP00000074878,string:10090.ENSMUSP00000029374,Mab21l1,Nbea
Ccnl1,Slc33a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.567,string:10090.ENSMUSP00000029416,string:10090.ENSMUSP00000029402,Ccnl1,Slc33a1
Gpr149,Dhx36,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.492,0.558,string:10090.ENSMUSP00000060893,string:10090.ENSMUSP00000029336,Gpr149,Dhx36
Ccnl1,Ssr3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.533,string:10090.ENSMUSP00000029416,string:10090.ENSMUSP00000029414,Ccnl1,Ssr3
Gmps,Eif2a,0.0,0.0,0.0,0.0,0.523,0.0,0.0,0.0,0.523,string:10090.ENSMUSP00000029405,string:10090.ENSMUSP00000029387,Gmps,Eif2a
Gpr149,Gmps,0.0,0.0,0.0,0.0,0.309,0.0,0.0,0.334,0.52,string:10090.ENSMUSP00000060893,string:10090.ENSMUSP00000029405,Gpr149,Gmps
Med12l,Clrn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.485,string:10090.ENSMUSP00000127038,string:10090.ENSMUSP00000052254,Med12l,Clrn1
Pfn2,Clrn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.475,string:10090.ENSMUSP00000068890,string:10090.ENSMUSP00000052254,Pfn2,Clrn1
Ssr3,Slc33a1,0.0,0.0,0.0,0.0,0.269,0.0,0.0,0.309,0.473,string:10090.ENSMUSP00000029414,string:10090.ENSMUSP00000029402,Ssr3,Slc33a1
Gmps,Dhx36,0.0,0.0,0.0,0.0,0.449,0.0,0.0,0.0,0.449,string:10090.ENSMUSP00000029405,string:10090.ENSMUSP00000029336,Gmps,Dhx36
Med12l,Gpr87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,0.414,string:10090.ENSMUSP00000127038,string:10090.ENSMUSP00000059272,Med12l,Gpr87
P2ry12,P2ry1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293868,0.321,string:10090.ENSMUSP00000051353,string:10090.ENSMUSP00000029331,P2ry12,P2ry1
Gmps,Slc33a1,0.066,0.0,0.0,0.0,0.109,0.0,0.0,0.249,0.32,string:10090.ENSMUSP00000029405,string:10090.ENSMUSP00000029402,Gmps,Slc33a1
