gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Dag1,Lamb2,0.0,0.0,0.0,0.0,0.112,0.0,0.922,0.368,0.952,string:10090.ENSMUSP00000079294,string:10090.ENSMUSP00000069087,Dag1,Lamb2
Cyb561d2,Nprl2,0.0,0.0,0.0,0.0,0.103,0.0,0.0,0.868,0.876,string:10090.ENSMUSP00000044093,string:10090.ENSMUSP00000010201,Cyb561d2,Nprl2
Cyb561d2,Zmynd10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808,0.808,string:10090.ENSMUSP00000044093,string:10090.ENSMUSP00000010188,Cyb561d2,Zmynd10
Rnf123,Usp19,0.0,0.0,0.0,0.0,0.0,0.534,0.0,0.576,0.794,string:10090.ENSMUSP00000124548,string:10090.ENSMUSP00000006854,Rnf123,Usp19
Nprl2,Zmynd10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722,0.722,string:10090.ENSMUSP00000010201,string:10090.ENSMUSP00000010188,Nprl2,Zmynd10
Nprl2,Tusc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722,0.722,string:10090.ENSMUSP00000010201,string:10090.ENSMUSP00000010198,Nprl2,Tusc2
Cyb561d2,Tusc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.716,string:10090.ENSMUSP00000044093,string:10090.ENSMUSP00000010198,Cyb561d2,Tusc2
Tusc2,Zmynd10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.672,string:10090.ENSMUSP00000010198,string:10090.ENSMUSP00000010188,Tusc2,Zmynd10
Cacna2d2,Nprl2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,string:10090.ENSMUSP00000082173,string:10090.ENSMUSP00000010201,Cacna2d2,Nprl2
Sema3b,Mst1,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.647,0.659,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000035203,Sema3b,Mst1r
Cacna2d2,Cyb561d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637,0.637,string:10090.ENSMUSP00000082173,string:10090.ENSMUSP00000044093,Cacna2d2,Cyb561d2
Nprl2,Mst1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.602,string:10090.ENSMUSP00000010201,string:10090.ENSMUSP00000010191,Nprl2,Hyal2
Tusc2,Ifrd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595,0.595,string:10090.ENSMUSP00000010198,string:10090.ENSMUSP00000010192,Tusc2,Ifrd2
Gnai2,Gnat1,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.498,0.564,string:10090.ENSMUSP00000068731,string:10090.ENSMUSP00000010205,Rgs14,Gnat1
Cyb561d2,Mst1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551,0.551,string:10090.ENSMUSP00000044093,string:10090.ENSMUSP00000010191,Cyb561d2,Hyal2
Cacna2d2,Zmynd10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542,0.542,string:10090.ENSMUSP00000082173,string:10090.ENSMUSP00000010188,Cacna2d2,Zmynd10
Sema3b,Nprl2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.528,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000010201,Sema3b,Nprl2
Dag1,Tcta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518,0.518,string:10090.ENSMUSP00000079294,string:10090.ENSMUSP00000045063,Dag1,Tcta
Lamb2,Usp19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.479,string:10090.ENSMUSP00000069087,string:10090.ENSMUSP00000006854,Lamb2,Usp19
Tusc2,Nat6///Hyal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.477,string:10090.ENSMUSP00000010198,string:10090.ENSMUSP00000010195,Tusc2,Hyal1
Sema3b,Cyb561d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000044093,Sema3b,Cyb561d2
Mst1,Mst1r,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.398,0.456,string:10090.ENSMUSP00000035203,string:10090.ENSMUSP00000010191,Mst1r,Hyal2
Cish,Hemk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.452,string:10090.ENSMUSP00000082183,string:10090.ENSMUSP00000035196,Cish,Hemk1
Rbm6,Ifrd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.447,string:10090.ENSMUSP00000035201,string:10090.ENSMUSP00000010192,Rbm6,Ifrd2
Rbm6,Rbm5,0.0,0.0,0.0,0.0,0.301,0.0,0.0,0.20086,0.437,string:10090.ENSMUSP00000035201,string:10090.ENSMUSP00000035199,Rbm6,Rbm5
Tusc2,Mst1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434,0.434,string:10090.ENSMUSP00000010198,string:10090.ENSMUSP00000010191,Tusc2,Hyal2
Cyb561d2,Rbm6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416,0.416,string:10090.ENSMUSP00000044093,string:10090.ENSMUSP00000035201,Cyb561d2,Rbm6
Actl11,Dag1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,string:10090.ENSMUSP00000082150,string:10090.ENSMUSP00000079294,Actl11,Dag1
Sema3f,Mst1,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.379,0.399,string:10090.ENSMUSP00000079400,string:10090.ENSMUSP00000035203,Sema3f,Mst1r
Cacna2d2,Sema3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.397,string:10090.ENSMUSP00000082173,string:10090.ENSMUSP00000073152,Cacna2d2,Sema3b
Ifrd2,Mst1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.396,string:10090.ENSMUSP00000010192,string:10090.ENSMUSP00000010191,Ifrd2,Hyal2
Uba7,Qars,0.0,0.0,0.0,0.0,0.107,0.348,0.0,0.0,0.392,string:10090.ENSMUSP00000035216,string:10090.ENSMUSP00000006838,Uba7,Qars
Sema3b,Mst1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.392,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000010191,Sema3b,Hyal2
Cacna2d2,Mst1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386,0.386,string:10090.ENSMUSP00000082173,string:10090.ENSMUSP00000010191,Cacna2d2,Hyal2
Sema3b,Lamb2,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.271,0.375,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000069087,Sema3b,Lamb2
Sema3f,Nprl2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,0.372,string:10090.ENSMUSP00000079400,string:10090.ENSMUSP00000010201,Sema3f,Nprl2
Sema3b,Hyal3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332,0.332,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000042667,Sema3b,Hyal3
Sema3f,Cyb561d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332,0.332,string:10090.ENSMUSP00000079400,string:10090.ENSMUSP00000044093,Sema3f,Cyb561d2
Nat6///Hyal1,Ifrd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,string:10090.ENSMUSP00000010195,string:10090.ENSMUSP00000010192,Hyal1,Ifrd2
Rbm6,Mst1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329,0.329,string:10090.ENSMUSP00000035201,string:10090.ENSMUSP00000010191,Rbm6,Hyal2
Sema3b,Nat6///Hyal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.309,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000010195,Sema3b,Hyal1
Cacna2d2,Tusc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,string:10090.ENSMUSP00000082173,string:10090.ENSMUSP00000010198,Cacna2d2,Tusc2
Bsn,Cish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274,0.274,string:10090.ENSMUSP00000087773,string:10090.ENSMUSP00000082183,Erc2,Cish
Sema3b,Ifrd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271,0.271,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000010192,Sema3b,Ifrd2
Rbm6,Nat6///Hyal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,0.269,string:10090.ENSMUSP00000035201,string:10090.ENSMUSP00000010195,Rbm6,Hyal1
Sema3b,Gnat1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.266,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000010205,Sema3b,Gnat1
Nprl2,Tmem115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.26,string:10090.ENSMUSP00000010201,string:10090.ENSMUSP00000010189,Nprl2,Tmem115
Nprl2,Nat6///Hyal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.258,string:10090.ENSMUSP00000010201,string:10090.ENSMUSP00000010195,Nprl2,Hyal1
Cacna2d2,Sema3f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.252,string:10090.ENSMUSP00000082173,string:10090.ENSMUSP00000079400,Cacna2d2,Sema3f
Sema3b,Tusc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.252,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000010198,Sema3b,Tusc2
Mst1,Nat6///Hyal1,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.185,0.251,string:10090.ENSMUSP00000035203,string:10090.ENSMUSP00000010195,Mst1r,Hyal1
Cyb561d2,Nat6///Hyal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248,0.248,string:10090.ENSMUSP00000044093,string:10090.ENSMUSP00000010195,Cyb561d2,Hyal1
Rhoa,Mst1,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.186,0.241,string:10090.ENSMUSP00000096280,string:10090.ENSMUSP00000035203,Arhgef1,Mst1r
Usp4,Usp19,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.085466,0.227,string:10090.ENSMUSP00000035237,string:10090.ENSMUSP00000006854,Usp4,Usp19
Cyb561d2,Tmem115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.225,string:10090.ENSMUSP00000044093,string:10090.ENSMUSP00000010189,Cyb561d2,Tmem115
Sema3b,Rbm6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,0.218,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000035201,Sema3b,Rbm6
Uba7,Hemk1,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.212,string:10090.ENSMUSP00000035216,string:10090.ENSMUSP00000035196,Uba7,Hemk1
Sema3f,Mst1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.211,string:10090.ENSMUSP00000079400,string:10090.ENSMUSP00000010191,Sema3f,Hyal2
Hemk1,Nprl2,0.0,0.0,0.0,0.0,0.206,0.0,0.0,0.0,0.206,string:10090.ENSMUSP00000035196,string:10090.ENSMUSP00000010201,Hemk1,Nprl2
Sema3f,Gnat1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.206,string:10090.ENSMUSP00000079400,string:10090.ENSMUSP00000010205,Sema3f,Gnat1
Tusc2,Tmem115,0.0,0.0,0.0,0.0,0.109,0.0,0.0,0.142,0.203,string:10090.ENSMUSP00000010198,string:10090.ENSMUSP00000010189,Tusc2,Tmem115
Sema3f,Ifrd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,string:10090.ENSMUSP00000079400,string:10090.ENSMUSP00000010192,Sema3f,Ifrd2
Tcta,Tusc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.193,string:10090.ENSMUSP00000045063,string:10090.ENSMUSP00000010198,Tcta,Tusc2
Nprl2,Ifrd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.191,string:10090.ENSMUSP00000010201,string:10090.ENSMUSP00000010192,Nprl2,Ifrd2
Lamb2,Usp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,string:10090.ENSMUSP00000069087,string:10090.ENSMUSP00000035237,Lamb2,Usp4
Apeh,Nprl2,0.0,0.0,0.0,0.0,0.189,0.0,0.0,0.0,0.189,string:10090.ENSMUSP00000080058,string:10090.ENSMUSP00000010201,Apeh,Nprl2
Actl11,Camkv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.189,string:10090.ENSMUSP00000082150,string:10090.ENSMUSP00000040430,Actl11,Camkv
Cyb561d2,Ifrd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.177,string:10090.ENSMUSP00000044093,string:10090.ENSMUSP00000010192,Cyb561d2,Ifrd2
Sema3f,Rbm6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.175,string:10090.ENSMUSP00000079400,string:10090.ENSMUSP00000035201,Sema3f,Rbm6
Gpx1,Mst1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.173,string:10090.ENSMUSP00000081010,string:10090.ENSMUSP00000035203,Gpx1,Mst1r
Cacna2d2,Rbm6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.173,string:10090.ENSMUSP00000082173,string:10090.ENSMUSP00000035201,Cacna2d2,Rbm6
Cacna2d2,Gnat1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.166,string:10090.ENSMUSP00000082173,string:10090.ENSMUSP00000010205,Cacna2d2,Gnat1
Slc38a3,Nprl2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.163,string:10090.ENSMUSP00000010208,string:10090.ENSMUSP00000010201,Slc38a3,Nprl2
Rhoa,Gnat1,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.09,0.163,string:10090.ENSMUSP00000096280,string:10090.ENSMUSP00000010205,Arhgef1,Gnat1
Gnat1,Usp19,0.0,0.0,0.0,0.0,0.0,0.163,0.0,0.0,0.163,string:10090.ENSMUSP00000010205,string:10090.ENSMUSP00000006854,Gnat1,Usp19
Usp4,Gnat1,0.0,0.0,0.0,0.0,0.0,0.163,0.0,0.0,0.163,string:10090.ENSMUSP00000035237,string:10090.ENSMUSP00000010205,Usp4,Gnat1
Rbm6,Qrich1,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.0,0.161,string:10090.ENSMUSP00000035201,string:10090.ENSMUSP00000006851,Rbm6,Qrich1
Lamb2,Tusc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.157,string:10090.ENSMUSP00000069087,string:10090.ENSMUSP00000010198,Lamb2,Tusc2
Mst1,Ifrd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.157,string:10090.ENSMUSP00000035203,string:10090.ENSMUSP00000010192,Mst1r,Ifrd2
Cyb561d2,Slc38a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.157,string:10090.ENSMUSP00000044093,string:10090.ENSMUSP00000010208,Cyb561d2,Slc38a3
Sema3b,Rbm5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.157,string:10090.ENSMUSP00000073152,string:10090.ENSMUSP00000035199,Sema3b,Rbm5
Hemk1,Qars,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.154,string:10090.ENSMUSP00000035196,string:10090.ENSMUSP00000006838,Hemk1,Qars
