gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Irgm2,Igtp,0.0,0.0,0.0,0.0,0.965,0.0,0.0,0.054436,0.966,string:10090.ENSMUSP00000056001,string:10090.ENSMUSP00000047356,Irgm2,Igtp
Ubb,Ncor1,0.0,0.0,0.0,0.0,0.0,0.584,0.9,0.0,0.956,string:10090.ENSMUSP00000114180,string:10090.ENSMUSP00000018645,Ubc,Ncor1
Myh8,Myh3,0.0,0.0,0.0,0.0,0.261,0.0,0.9,0.01022,0.923,string:10090.ENSMUSP00000019625,string:10090.ENSMUSP00000007301,Myh8,Myh3
Vamp2,Myh4,0.0,0.0,0.0,0.0,0.164,0.0,0.9,0.108,0.918,string:10090.ENSMUSP00000033075,string:10090.ENSMUSP00000018632,Stx4a,Myh4
Alox12b,Alox8,0.0,0.0,0.024675,0.0,0.0,0.0,0.9,0.03995,0.906,string:10090.ENSMUSP00000035250,string:10090.ENSMUSP00000021262,Alox12b,Alox8
Ubb,Wnt3a,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.906,string:10090.ENSMUSP00000114180,string:10090.ENSMUSP00000010044,Ubc,Wnt3a
Myh1,Myh4,0.0,0.0,0.0,0.0,0.673,0.0,0.54,0.00755,0.844,string:10090.ENSMUSP00000018637,string:10090.ENSMUSP00000018632,Myh1,Myh4
Gas7,Myh1,0.0,0.0,0.0,0.0,0.0,0.382,0.0,0.603,0.744,string:10090.ENSMUSP00000104322,string:10090.ENSMUSP00000018637,Gas7,Myh1
Gas7,Myh8,0.0,0.0,0.0,0.0,0.0,0.382,0.0,0.571,0.723,string:10090.ENSMUSP00000104322,string:10090.ENSMUSP00000019625,Gas7,Myh8
Gas7,Myh4,0.0,0.0,0.0,0.0,0.0,0.382,0.0,0.569,0.722,string:10090.ENSMUSP00000104322,string:10090.ENSMUSP00000018632,Gas7,Myh4
