gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Abcc9,Kcnj8,0.0,0.0,0.0,0.0,0.505,0.174,0.9,0.954,0.997,string:10090.ENSMUSP00000084805,string:10090.ENSMUSP00000032374,Abcc9,Kcnj8
Pthlh,Iapp,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.219,0.918,string:10090.ENSMUSP00000051433,string:10090.ENSMUSP00000043956,Pthlh,Iapp
Itpr2,Kras,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000049584,string:10090.ENSMUSP00000041135,Itpr2,Rasgrp2
Lyrm5,Rassf8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734,0.734,string:10090.ENSMUSP00000039433,string:10090.ENSMUSP00000032388,Lyrm5,Hoj1
Sox5,Etnk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,string:10090.ENSMUSP00000047567,string:10090.ENSMUSP00000032413,Sox5,Etnk1
Arntl2,Gys2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609,0.609,string:10090.ENSMUSP00000079373,string:10090.ENSMUSP00000071654,Arntl2,Gsk3a
Tm7sf3,Asun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594,0.594,string:10090.ENSMUSP00000045650,string:10090.ENSMUSP00000032427,Tm7sf3,Spata30
St8sia1,Cmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585,0.585,string:10090.ENSMUSP00000032421,string:10090.ENSMUSP00000032419,St8sia1,Cmas
Lyrm5,Lrmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551,0.551,string:10090.ENSMUSP00000039433,string:10090.ENSMUSP00000032396,Lyrm5,Lrmp
Arntl2,Bhlhe41,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.523,0.539,string:10090.ENSMUSP00000079373,string:10090.ENSMUSP00000032386,Arntl2,Bhlhe41
Lyrm5,Sspn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.528,string:10090.ENSMUSP00000039433,string:10090.ENSMUSP00000032383,Lyrm5,Sspn
Sox5,Lrmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.525,string:10090.ENSMUSP00000047567,string:10090.ENSMUSP00000032396,Sox5,Lrmp
Lrmp,Rassf8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.525,string:10090.ENSMUSP00000032396,string:10090.ENSMUSP00000032388,Lrmp,Hoj1
Abcc9,Cmas,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.499,string:10090.ENSMUSP00000084805,string:10090.ENSMUSP00000032419,Abcc9,Cmas
Rassf8,Sspn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,0.472,string:10090.ENSMUSP00000032388,string:10090.ENSMUSP00000032383,Hoj1,Sspn
Ergic2,Golt1b,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.403,0.437,string:10090.ENSMUSP00000120456,string:10090.ENSMUSP00000032372,Ergic2,Golt1b
Arntl2,Klhl42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.433,string:10090.ENSMUSP00000079373,string:10090.ENSMUSP00000042558,Arntl2,Klhdc5
Lyrm5,Bcat1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,0.414,string:10090.ENSMUSP00000039433,string:10090.ENSMUSP00000032402,Lyrm5,Bcat1
Pthlh,Sox5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.412,string:10090.ENSMUSP00000051433,string:10090.ENSMUSP00000047567,Pthlh,Sox5
Bcat1,Lrmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413,0.412,string:10090.ENSMUSP00000032402,string:10090.ENSMUSP00000032396,Bcat1,Lrmp
Rep15,Asun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.398,string:10090.ENSMUSP00000037503,string:10090.ENSMUSP00000032427,Rep15,Spata30
