gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Nr2c2ap,Nr2f6,0.0,0.0,0.0,0.0,0.0,0.07,0.9,0.0,0.903,string:10090.ENSMUSP00000092907,string:10090.ENSMUSP00000002466,Nr2c2ap,Nr2f6
Gtpbp3,Ddx49,0.0,0.0,0.0,0.0,0.624,0.27,0.0,0.0,0.713,string:10090.ENSMUSP00000021574,string:10090.ENSMUSP00000008004,Gtpbp4,Ddx49
Uba52,Cope,0.0,0.0,0.0,0.0,0.0,0.703,0.0,0.0,0.703,string:10090.ENSMUSP00000114180,string:10090.ENSMUSP00000071078,Ubc,Cope
Uba52,Armc6,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.675,string:10090.ENSMUSP00000114180,string:10090.ENSMUSP00000019679,Ubc,Armc6
Ell,Ocel1,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.646,0.672,string:10090.ENSMUSP00000022446,string:10090.ENSMUSP00000002469,Eaf1,Ocel1
Uba52,Upf1,0.0,0.0,0.0,0.0,0.0,0.653,0.0,0.0,0.653,string:10090.ENSMUSP00000114180,string:10090.ENSMUSP00000075089,Ubc,Upf1
Uba52,Atp13a1,0.0,0.0,0.0,0.0,0.0,0.652,0.0,0.0,0.652,string:10090.ENSMUSP00000114180,string:10090.ENSMUSP00000034326,Ubc,Atp13a1
Uba52,Gtpbp3,0.0,0.0,0.0,0.0,0.0,0.651,0.0,0.0,0.651,string:10090.ENSMUSP00000114180,string:10090.ENSMUSP00000021574,Ubc,Gtpbp4
Uba52,Babam1,0.0,0.0,0.0,0.0,0.0,0.622,0.0,0.0,0.622,string:10090.ENSMUSP00000114180,string:10090.ENSMUSP00000002473,Ubc,Babam1
Uba52,Isyna1,0.0,0.0,0.0,0.0,0.075,0.594,0.0,0.0,0.608,string:10090.ENSMUSP00000114180,string:10090.ENSMUSP00000019283,Ubc,Isyna1
Uba52,Fkbp8,0.0,0.0,0.0,0.0,0.0,0.561,0.0,0.0,0.561,string:10090.ENSMUSP00000114180,string:10090.ENSMUSP00000074935,Ubc,Fkbp8
Pbx4,Ncan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.556,string:10090.ENSMUSP00000080219,string:10090.ENSMUSP00000002412,Pbx4,Ncan
