gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Gstm2,Gstm1,0.0,0.0,0.00789,0.0,0.625,0.0,0.9,0.01161,0.961,string:10090.ENSMUSP00000012348,string:10090.ENSMUSP00000004140,Gstm2,Gstm1
Ddx20,Wdr77,0.0,0.0,0.0,0.0,0.19,0.076,0.9,0.351,0.944,string:10090.ENSMUSP00000088176,string:10090.ENSMUSP00000010278,Ddx20,Wdr77
Kcna3,Kcna2,0.0,0.0,0.011067,0.0,0.0,0.374,0.9,0.019026,0.936,string:10090.ENSMUSP00000050680,string:10090.ENSMUSP00000041702,Kcna3,Kcna2
Gstm6,Gstm7,0.0,0.0,0.0,0.0,0.373,0.0,0.9,0.008687,0.935,string:10090.ENSMUSP00000102296,string:10090.ENSMUSP00000004137,Gstm6,Gstm7
Gstm6,Gstm1,0.0,0.0,0.008942,0.0,0.312,0.0,0.9,0.01071,0.929,string:10090.ENSMUSP00000102296,string:10090.ENSMUSP00000004140,Gstm6,Gstm1
Gstm4,Gstm1,0.0,0.0,0.009975,0.0,0.265,0.0,0.9,0.0114,0.924,string:10090.ENSMUSP00000029489,string:10090.ENSMUSP00000004140,Gstm4,Gstm1
Gstm6,Gstm2,0.0,0.0,0.00789,0.0,0.193,0.0,0.9,0.00888,0.917,string:10090.ENSMUSP00000102296,string:10090.ENSMUSP00000012348,Gstm6,Gstm2
Gstm4,Gstm2,0.0,0.0,0.008942,0.0,0.147,0.0,0.9,0.01139,0.912,string:10090.ENSMUSP00000029489,string:10090.ENSMUSP00000012348,Gstm4,Gstm2
Kcnd3,Kcna3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.11594,0.911,string:10090.ENSMUSP00000078169,string:10090.ENSMUSP00000050680,Kcnd3,Kcna3
Kcnd3,Kcna2,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.121186,0.911,string:10090.ENSMUSP00000078169,string:10090.ENSMUSP00000041702,Kcnd3,Kcna2
Gstm6,Gstm4,0.0,0.0,0.009432,0.0,0.11,0.0,0.9,0.012798,0.909,string:10090.ENSMUSP00000102296,string:10090.ENSMUSP00000029489,Gstm6,Gstm4
Gstm1,Gstm7,0.0,0.0,0.0,0.0,0.121,0.0,0.9,0.009504,0.909,string:10090.ENSMUSP00000004140,string:10090.ENSMUSP00000004137,Gstm1,Gstm7
Kcnd3,Kcnc4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.088198,0.908,string:10090.ENSMUSP00000078169,string:10090.ENSMUSP00000022967,Kcnd3,Kcnv1
Kcna2,Kcnc4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.049115,0.904,string:10090.ENSMUSP00000041702,string:10090.ENSMUSP00000022967,Kcna2,Kcnv1
Kcna3,Kcnc4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.048642,0.904,string:10090.ENSMUSP00000050680,string:10090.ENSMUSP00000022967,Kcna3,Kcnv1
Gstm1,Gstm3,0.0,0.0,0.012624,0.0,0.0,0.0,0.9,0.019848,0.903,string:10090.ENSMUSP00000004140,string:10090.ENSMUSP00000004134,Gstm1,Gstm5
Gstm6,Gstm3,0.0,0.0,0.012098,0.0,0.0,0.0,0.9,0.020838,0.903,string:10090.ENSMUSP00000102296,string:10090.ENSMUSP00000004134,Gstm6,Gstm5
Gstm4,Gstm3,0.0,0.0,0.011572,0.0,0.0,0.0,0.9,0.015642,0.902,string:10090.ENSMUSP00000029489,string:10090.ENSMUSP00000004134,Gstm4,Gstm5
Gstm2,Gstm3,0.0,0.0,0.011572,0.0,0.0,0.0,0.9,0.018876,0.902,string:10090.ENSMUSP00000012348,string:10090.ENSMUSP00000004134,Gstm2,Gstm5
Gstm4,Gstm7,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.008288,0.9,string:10090.ENSMUSP00000029489,string:10090.ENSMUSP00000004137,Gstm4,Gstm7
Gstm7,Gstm3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.010028,0.9,string:10090.ENSMUSP00000004137,string:10090.ENSMUSP00000004134,Gstm7,Gstm5
Gnat2,Gnai3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.007182,0.9,string:10090.ENSMUSP00000053818,string:10090.ENSMUSP00000000001,Gnat2,Gnai3
Gstm2,Gstm7,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.009008,0.9,string:10090.ENSMUSP00000012348,string:10090.ENSMUSP00000004137,Gstm2,Gstm7
Gpsm2,Gnai3,0.0,0.0,0.0,0.0,0.175,0.437,0.0,0.314,0.653,string:10090.ENSMUSP00000029482,string:10090.ENSMUSP00000000001,Gpsm2,Gnai3
Sort1,Celsr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,string:10090.ENSMUSP00000099692,string:10090.ENSMUSP00000088046,Sort1,Celsr2
