gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Mrps10,Mrpl2,0.454,0.0,0.0,0.0,0.984,0.23,0.0,0.328,0.994,string:10090.ENSMUSP00000113343,string:10090.ENSMUSP00000002844,Mrps10,Mrpl2
Rpl7l1,Mrpl2,0.454,0.0,0.0,0.0,0.948,0.525,0.0,0.328,0.989,string:10090.ENSMUSP00000092888,string:10090.ENSMUSP00000002844,Rpl7l1,Mrpl2
Mrps10,Rpl7l1,0.454,0.0,0.0,0.0,0.931,0.27,0.0,0.328,0.979,string:10090.ENSMUSP00000113343,string:10090.ENSMUSP00000092888,Mrps10,Rpl7l1
Mrps10,Mrps18a,0.0,0.0,0.0,0.0,0.815,0.678,0.0,0.337,0.957,string:10090.ENSMUSP00000113343,string:10090.ENSMUSP00000024763,Mrps10,Mrps18a
Polr1c,Mrpl2,0.454,0.0,0.0,0.0,0.824,0.401,0.0,0.328,0.956,string:10090.ENSMUSP00000084252,string:10090.ENSMUSP00000002844,Polr1c,Mrpl2
Ccnd3,Med20,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.274,0.924,string:10090.ENSMUSP00000040488,string:10090.ENSMUSP00000024778,Ccnd3,Med20
Mrps10,Polr1c,0.454,0.0,0.0,0.0,0.79,0.0,0.0,0.328,0.916,string:10090.ENSMUSP00000113343,string:10090.ENSMUSP00000084252,Mrps10,Polr1c
Rpl7l1,Polr1c,0.454,0.0,0.0,0.0,0.813,0.0,0.0,0.221,0.913,string:10090.ENSMUSP00000092888,string:10090.ENSMUSP00000084252,Rpl7l1,Polr1c
Olfr92,Olfr90,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.01263,0.901,string:10090.ENSMUSP00000128393,string:10090.ENSMUSP00000065322,Olfr92,Olfr90
Olfr93,Olfr90,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000125907,string:10090.ENSMUSP00000065322,Olfr93,Olfr90
C920025E04Rik///H2-T23,H2-T3///H2-T18///H2-D1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.00504,0.9,string:10090.ENSMUSP00000099739,string:10090.ENSMUSP00000099736,H2-T23,H2-T3
Olfr92,Olfr93,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000128393,string:10090.ENSMUSP00000125907,Olfr92,Olfr93
Mrps18a,Mrpl2,0.0,0.0,0.0,0.0,0.829,0.0,0.0,0.338,0.882,string:10090.ENSMUSP00000024763,string:10090.ENSMUSP00000002844,Mrps18a,Mrpl2
