gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Cyp2c70,Cyp2c29,0.0,0.0,0.014229,0.0,0.415,0.0,0.9,0.017388,0.94,string:10090.ENSMUSP00000060584,string:10090.ENSMUSP00000003137,Cyp2c70,Cyp2c29
Cyp2c39,Cyp26a1,0.0,0.0,0.190106,0.0,0.0,0.0,0.9,0.189372,0.933,string:10090.ENSMUSP00000025968,string:10090.ENSMUSP00000025946,Cyp2c39,Cyp26a1
Cpn1,Cyp17a1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.33825,0.933,string:10090.ENSMUSP00000127888,string:10090.ENSMUSP00000026012,Cyp11b1,Cyp17a1
Cyp2c38,Cyp2c29,0.0,0.0,0.006851,0.0,0.317,0.0,0.9,0.009776,0.929,string:10090.ENSMUSP00000044722,string:10090.ENSMUSP00000003137,Cyp2c38,Cyp2c29
Cyp26a1,Cyp2c29,0.0,0.0,0.189152,0.0,0.0,0.0,0.9,0.094576,0.924,string:10090.ENSMUSP00000025946,string:10090.ENSMUSP00000003137,Cyp26a1,Cyp2c29
Cyp2c70,Cyp26a1,0.0,0.0,0.18952,0.0,0.0,0.0,0.9,0.07176,0.923,string:10090.ENSMUSP00000060584,string:10090.ENSMUSP00000025946,Cyp2c70,Cyp26a1
Cyp2c38,Cyp17a1,0.0,0.0,0.128344,0.0,0.124,0.0,0.9,0.045384,0.922,string:10090.ENSMUSP00000044722,string:10090.ENSMUSP00000026012,Cyp2c38,Cyp17a1
Cyp2c38,Cyp2c39,0.0,0.0,0.006324,0.0,0.239,0.0,0.9,0.009876,0.921,string:10090.ENSMUSP00000044722,string:10090.ENSMUSP00000025968,Cyp2c38,Cyp2c39
Cyp2c38,Cyp26a1,0.0,0.0,0.190256,0.0,0.0,0.0,0.9,0.046368,0.92,string:10090.ENSMUSP00000044722,string:10090.ENSMUSP00000025946,Cyp2c38,Cyp26a1
Cyp17a1,Cyp2c29,0.0,0.0,0.123375,0.0,0.0,0.0,0.9,0.054755,0.916,string:10090.ENSMUSP00000026012,string:10090.ENSMUSP00000003137,Cyp17a1,Cyp2c29
Cyp2c70,Cyp17a1,0.0,0.0,0.125475,0.0,0.0,0.0,0.9,0.057838,0.916,string:10090.ENSMUSP00000060584,string:10090.ENSMUSP00000026012,Cyp2c70,Cyp17a1
Cyp17a1,Cyp2c39,0.0,0.0,0.127292,0.0,0.0,0.0,0.9,0.048642,0.915,string:10090.ENSMUSP00000026012,string:10090.ENSMUSP00000025968,Cyp17a1,Cyp2c39
Gsto1,Cyp2c39,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.079,0.904,string:10090.ENSMUSP00000026050,string:10090.ENSMUSP00000025968,Gsto1,Cyp2c39
Cyp2c38,Gsto1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.084,0.904,string:10090.ENSMUSP00000044722,string:10090.ENSMUSP00000026050,Cyp2c38,Gsto1
Cyp2c70,Cyp2c39,0.0,0.0,0.014756,0.0,0.0,0.0,0.9,0.02114,0.903,string:10090.ENSMUSP00000060584,string:10090.ENSMUSP00000025968,Cyp2c70,Cyp2c39
Cyp2c70,Cyp2c38,0.0,0.0,0.015283,0.0,0.0,0.0,0.9,0.016501,0.903,string:10090.ENSMUSP00000060584,string:10090.ENSMUSP00000044722,Cyp2c70,Cyp2c38
Gsto1,Cyp2c29,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.065,0.902,string:10090.ENSMUSP00000026050,string:10090.ENSMUSP00000003137,Gsto1,Cyp2c29
Cyp2c70,Gsto1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.065,0.902,string:10090.ENSMUSP00000060584,string:10090.ENSMUSP00000026050,Cyp2c70,Gsto1
Cyp2c39,Cyp2c29,0.0,0.0,0.006851,0.0,0.0,0.0,0.9,0.009581,0.901,string:10090.ENSMUSP00000025968,string:10090.ENSMUSP00000003137,Cyp2c39,Cyp2c29
Got1,Aldh18a1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.479,0.891,string:10090.ENSMUSP00000026196,string:10090.ENSMUSP00000025979,Got1,Aldh18a1
Hells,Kif11,0.0,0.0,0.0,0.0,0.807,0.0,0.0,0.067,0.812,string:10090.ENSMUSP00000025965,string:10090.ENSMUSP00000012587,Hells,Kif11
Pax2,Blnk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738,0.738,string:10090.ENSMUSP00000134661,string:10090.ENSMUSP00000003469,Pax2,Cd79a
Fbxl15,Ina,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,string:10090.ENSMUSP00000026256,string:10090.ENSMUSP00000001402,Fbxl15,Fbxo9
Scd1,Elovl3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.628,0.689,string:10090.ENSMUSP00000036936,string:10090.ENSMUSP00000036357,Scd1,Elovl3
Npm3,Mgea5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613,0.613,string:10090.ENSMUSP00000069578,string:10090.ENSMUSP00000026243,Npm3,Mgea5
Nolc1,Pprc1,0.0,0.0,0.0,0.0,0.611,0.0,0.0,0.0,0.611,string:10090.ENSMUSP00000128331,string:10090.ENSMUSP00000107530,Nolc1,Pprc1
Cuedc2,Fbxl15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609,0.61,string:10090.ENSMUSP00000053469,string:10090.ENSMUSP00000026256,Cuedc2,Fbxl15
Elovl3,Scd2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.476,0.563,string:10090.ENSMUSP00000036357,string:10090.ENSMUSP00000026221,Elovl3,Scd2
Cuedc2,Ndufb8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558,0.558,string:10090.ENSMUSP00000053469,string:10090.ENSMUSP00000026222,Cuedc2,Ndufb8
Btrc,Fbxw4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547,0.547,string:10090.ENSMUSP00000107498,string:10090.ENSMUSP00000036505,Sufu,Fbxw4
Dpcd,Fbxw4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,0.538,string:10090.ENSMUSP00000045683,string:10090.ENSMUSP00000036505,Dpcd,Fbxw4
Chuk,Sh3pxd2a,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.173,0.525,string:10090.ENSMUSP00000104890,string:10090.ENSMUSP00000080325,Map3k1,Sh3pxd2a
Hhex,Kif11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.503,string:10090.ENSMUSP00000025944,string:10090.ENSMUSP00000012587,Hhex,Kif11
Tm9sf3,Hells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.475,string:10090.ENSMUSP00000025989,string:10090.ENSMUSP00000025965,Tm9sf3,Hells
Pax2,Pitx3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413,0.412,string:10090.ENSMUSP00000134661,string:10090.ENSMUSP00000026259,Pax2,Pitx3
Actr1a,Kif11,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.221,0.407,string:10090.ENSMUSP00000039844,string:10090.ENSMUSP00000012587,Actr1a,Kif11
Sh3pxd2a,Actr1a,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.219,0.397,string:10090.ENSMUSP00000080325,string:10090.ENSMUSP00000039844,Sh3pxd2a,Actr1a
Cyp2c70,Rbp4,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.337,0.397,string:10090.ENSMUSP00000060584,string:10090.ENSMUSP00000025951,Cyp2c70,Rbp4
Fgf8,Pitx3,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.337,0.388,string:10090.ENSMUSP00000088322,string:10090.ENSMUSP00000026259,Sp9,Pitx3
Aldh18a1,Hells,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.188,0.373,string:10090.ENSMUSP00000025979,string:10090.ENSMUSP00000025965,Aldh18a1,Hells
Actr1a,Hells,0.0,0.0,0.0,0.0,0.0,0.294,0.0,0.143,0.369,string:10090.ENSMUSP00000039844,string:10090.ENSMUSP00000025965,Actr1a,Hells
Fbxl15,Ndufb8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.335,string:10090.ENSMUSP00000026256,string:10090.ENSMUSP00000026222,Fbxl15,Ndufb8
Nolc1,Npm3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,string:10090.ENSMUSP00000128331,string:10090.ENSMUSP00000069578,Nolc1,Npm3
