gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Gpr22,Cog5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805,0.806,string:10090.ENSMUSP00000056125,string:10090.ENSMUSP00000044797,Gpr22,Cog5
Cdhr3,Cog5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.731,0.731,string:10090.ENSMUSP00000093449,string:10090.ENSMUSP00000044797,Cdhr3,Cog5
Cog5,Bcap29,0.0,0.0,0.0,0.0,0.109,0.0,0.0,0.678,0.701,string:10090.ENSMUSP00000044797,string:10090.ENSMUSP00000020979,Cog5,Bcap29
Gpr22,Bcap29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642,0.642,string:10090.ENSMUSP00000056125,string:10090.ENSMUSP00000020979,Gpr22,Bcap29
Cog5,Prkar2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572,0.572,string:10090.ENSMUSP00000044797,string:10090.ENSMUSP00000003079,Cog5,Prkar2b
Cog5,Nampt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554,0.554,string:10090.ENSMUSP00000044797,string:10090.ENSMUSP00000020886,Cog5,Nampt
Pxdn,Sntg2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551,0.551,string:10090.ENSMUSP00000113703,string:10090.ENSMUSP00000021004,Pxdn,Sntg2
Colec11,Trappc12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,0.538,string:10090.ENSMUSP00000049285,string:10090.ENSMUSP00000020954,Colec11,Trappc12
Colec11,Tssc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531,0.531,string:10090.ENSMUSP00000049285,string:10090.ENSMUSP00000038845,Colec11,Tssc1
Tssc1,Trappc12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.495,string:10090.ENSMUSP00000038845,string:10090.ENSMUSP00000020954,Tssc1,Trappc12
Cog5,Slc26a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.444,string:10090.ENSMUSP00000044797,string:10090.ENSMUSP00000001254,Cog5,Slc26a3
Sntg2,Sh3yl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434,0.434,string:10090.ENSMUSP00000021004,string:10090.ENSMUSP00000020997,Sntg2,Sh3yl1
