gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Tgif2,1110008F13Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000096745,string:10090.ENSMUSP00000029165,Tgif2,AI316789
Myl9,Ppp1r16b,0.0,0.0,0.0,0.0,0.0,0.103,0.0,0.781,0.795,string:10090.ENSMUSP00000085913,string:10090.ENSMUSP00000039540,Myl9,Ppp1r16b
Ppp1r16b,Fam83d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721,0.721,string:10090.ENSMUSP00000039540,string:10090.ENSMUSP00000029183,Ppp1r16b,Fam83d
Slc32a1,Fam83d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604,0.604,string:10090.ENSMUSP00000036299,string:10090.ENSMUSP00000029183,Slc32a1,Fam83d
Dlgap4,Epb4.1l1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547,0.547,string:10090.ENSMUSP00000126980,string:10090.ENSMUSP00000029155,Dlgap4,Epb4.1l1
Dlgap4,Ctnnbl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.541,string:10090.ENSMUSP00000126980,string:10090.ENSMUSP00000029178,Dlgap4,Ctnnbl1
Ctnnbl1,Epb4.1l1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.541,string:10090.ENSMUSP00000029178,string:10090.ENSMUSP00000029155,Ctnnbl1,Epb4.1l1
Ndrg3,Ralgapb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,0.538,string:10090.ENSMUSP00000070052,string:10090.ENSMUSP00000048430,Ndrg3,Ralgapb
Ctnnbl1,Aar2,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.512,0.527,string:10090.ENSMUSP00000029178,string:10090.ENSMUSP00000029158,Ctnnbl1,Aar2
Nnat,Blcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508,0.508,string:10090.ENSMUSP00000105152,string:10090.ENSMUSP00000085849,Nnat,Blcap
Aar2,Epb4.1l1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489,0.489,string:10090.ENSMUSP00000029158,string:10090.ENSMUSP00000029155,Aar2,Epb4.1l1
Myl9,Ndrg3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.478,string:10090.ENSMUSP00000085913,string:10090.ENSMUSP00000070052,Myl9,Ndrg3
Ralgapb,Nfs1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,string:10090.ENSMUSP00000048430,string:10090.ENSMUSP00000029147,Ralgapb,Nfs1
Ndrg3,Nfs1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,0.448,string:10090.ENSMUSP00000070052,string:10090.ENSMUSP00000029147,Ndrg3,Nfs1
Dlgap4,Aar2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,string:10090.ENSMUSP00000126980,string:10090.ENSMUSP00000029158,Dlgap4,Aar2
Ndrg3,Soga1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399,0.398,string:10090.ENSMUSP00000070052,string:10090.ENSMUSP00000066556,Ndrg3,Soga1
Romo1,Lbp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.396,string:10090.ENSMUSP00000085981,string:10090.ENSMUSP00000056669,Romo1,Cd14
Dsn1,Rbl1,0.0,0.0,0.0,0.0,0.376,0.0,0.0,0.0,0.376,string:10090.ENSMUSP00000099418,string:10090.ENSMUSP00000029170,Dsn1,Rbl1
Scand1,Cnbd2,0.0,0.0,0.0,0.0,0.107,0.147,0.0,0.213,0.348,string:10090.ENSMUSP00000105211,string:10090.ENSMUSP00000041268,Scand1,Cnbd2
Rbm39,Ppp1r16b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.342,string:10090.ENSMUSP00000105216,string:10090.ENSMUSP00000039540,Rbm39,Ppp1r16b
Rprd1b,Ctnnbl1,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.274,0.316,string:10090.ENSMUSP00000099412,string:10090.ENSMUSP00000029178,Rprd1b,Ctnnbl1
Ppp1r16b,Slc32a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.308,string:10090.ENSMUSP00000039540,string:10090.ENSMUSP00000036299,Ppp1r16b,Slc32a1
Dsn1,Fam83d,0.0,0.0,0.0,0.0,0.288,0.0,0.0,0.0,0.288,string:10090.ENSMUSP00000099418,string:10090.ENSMUSP00000029183,Dsn1,Fam83d
Ghrh,Ppp1r16b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.284,string:10090.ENSMUSP00000069728,string:10090.ENSMUSP00000039540,Gsx1,Ppp1r16b
Myl9,Ralgapb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.237,string:10090.ENSMUSP00000085913,string:10090.ENSMUSP00000048430,Myl9,Ralgapb
Myl9,Ctnnbl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.227,string:10090.ENSMUSP00000085913,string:10090.ENSMUSP00000029178,Myl9,Ctnnbl1
