gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Ago4,Ago3,0.0,0.0,0.0,0.0,0.0,0.167,0.9,0.0135,0.914,string:10090.ENSMUSP00000081312,string:10090.ENSMUSP00000066633,Eif2c4,Eif2c3
Ago1,Ago3,0.0,0.0,0.0,0.0,0.0,0.116,0.9,0.01118,0.908,string:10090.ENSMUSP00000095498,string:10090.ENSMUSP00000066633,Eif2c1,Eif2c3
Ago1,Ago4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0126,0.901,string:10090.ENSMUSP00000095498,string:10090.ENSMUSP00000081312,Eif2c1,Eif2c4
Snip1,Psmb2,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000137400,string:10090.ENSMUSP00000030642,Oaz1,Psmb2
Lsm10,Sf3a3,0.0,0.0,0.0,0.0,0.07,0.677,0.0,0.22,0.745,string:10090.ENSMUSP00000061913,string:10090.ENSMUSP00000030734,Lsm10,Sf3a3
Ago4,Pabpc4,0.0,0.0,0.0,0.0,0.141,0.066,0.0,0.663,0.706,string:10090.ENSMUSP00000081312,string:10090.ENSMUSP00000079070,Eif2c4,Pabpc4
Pabpc4,Ago3,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.663,0.698,string:10090.ENSMUSP00000079070,string:10090.ENSMUSP00000066633,Pabpc4,Eif2c3
Ago1,Pabpc4,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.663,0.698,string:10090.ENSMUSP00000095498,string:10090.ENSMUSP00000079070,Eif2c1,Pabpc4
Maneal,Epha10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605,0.605,string:10090.ENSMUSP00000066000,string:10090.ENSMUSP00000050810,Maneal,Epha10
Gnl2,Cdca8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559,0.559,string:10090.ENSMUSP00000030684,string:10090.ENSMUSP00000005336,Gnl2,Senp3
Utp11l,Gnl2,0.0,0.0,0.0,0.0,0.558,0.0,0.0,0.0,0.558,string:10090.ENSMUSP00000030738,string:10090.ENSMUSP00000030684,Utp11l,Gnl2
Clspn,Trappc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.536,string:10090.ENSMUSP00000045344,string:10090.ENSMUSP00000030660,Clspn,Trappc3
Stk40,Sf3a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.523,string:10090.ENSMUSP00000111990,string:10090.ENSMUSP00000030734,Stk40,Sf3a3
Oxct2a,Bmp8a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,string:10090.ENSMUSP00000099708,string:10090.ENSMUSP00000037779,Oxct2b,Bmp8a
Akirin1,Rragc,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.339,0.434,string:10090.ENSMUSP00000099696,string:10090.ENSMUSP00000030399,Akirin1,Rragc
Sf3a3,Thrap3,0.0,0.0,0.0,0.0,0.164,0.0,0.0,0.327,0.413,string:10090.ENSMUSP00000030734,string:10090.ENSMUSP00000030623,Sf3a3,Sfpq
Macf1,Rhbdl2,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.353,0.398,string:10090.ENSMUSP00000077553,string:10090.ENSMUSP00000054546,Memo1,Rhbdl2
Pabpc4,Sf3a3,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.361,0.397,string:10090.ENSMUSP00000079070,string:10090.ENSMUSP00000030734,Pabpc4,Sf3a3
Oxct2a,Ftl2///Ftl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.338,string:10090.ENSMUSP00000099708,string:10090.ENSMUSP00000092002,Oxct2b,Ftl1
Utp11l,Sf3a3,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.325,string:10090.ENSMUSP00000030738,string:10090.ENSMUSP00000030734,Utp11l,Sf3a3
Utp11l,Mrps15,0.0,0.0,0.0,0.0,0.294,0.0,0.0,0.0,0.294,string:10090.ENSMUSP00000030738,string:10090.ENSMUSP00000030675,Utp11l,Mrps15
Sh3d21,Inpp5b,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.175,0.281,string:10090.ENSMUSP00000095501,string:10090.ENSMUSP00000092375,Sh3d21,Inpp5b
Ago1,Trappc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271,0.271,string:10090.ENSMUSP00000095498,string:10090.ENSMUSP00000030660,Eif2c1,Trappc3
Pou3f1,Rragc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.266,string:10090.ENSMUSP00000137374,string:10090.ENSMUSP00000030399,Pou3f1,Rragc
Trappc3,Tekt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.256,string:10090.ENSMUSP00000030660,string:10090.ENSMUSP00000030658,Trappc3,Tekt2
Trappc3,Cdca8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.252,string:10090.ENSMUSP00000030660,string:10090.ENSMUSP00000005336,Trappc3,Senp3
Snip1,Ftl2///Ftl1,0.0,0.0,0.0,0.0,0.242,0.0,0.0,0.0,0.241,string:10090.ENSMUSP00000137400,string:10090.ENSMUSP00000092002,Oaz1,Ftl1
Epha10,Grik3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.239,string:10090.ENSMUSP00000050810,string:10090.ENSMUSP00000030676,Epha10,Grik3
Sf3a3,Gnl2,0.0,0.0,0.0,0.0,0.235,0.0,0.0,0.0,0.235,string:10090.ENSMUSP00000030734,string:10090.ENSMUSP00000030684,Sf3a3,Gnl2
Pabpc4,Thrap3,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.192,0.226,string:10090.ENSMUSP00000079070,string:10090.ENSMUSP00000030623,Pabpc4,Sfpq
Inpp5b,Bmp8a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.224,string:10090.ENSMUSP00000092375,string:10090.ENSMUSP00000037779,Inpp5b,Bmp8a
Gnl2,Mrps15,0.066,0.0,0.0,0.0,0.074,0.0,0.0,0.172,0.221,string:10090.ENSMUSP00000030684,string:10090.ENSMUSP00000030675,Gnl2,Mrps15
Mrps15,Psmb2,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.158,0.215,string:10090.ENSMUSP00000030675,string:10090.ENSMUSP00000030642,Mrps15,Psmb2
Stk40,Mtf1,0.0,0.0,0.0,0.0,0.107,0.086,0.0,0.108,0.208,string:10090.ENSMUSP00000111990,string:10090.ENSMUSP00000030723,Stk40,Mtf1
Ago4,Trappc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.207,string:10090.ENSMUSP00000081312,string:10090.ENSMUSP00000030660,Eif2c4,Trappc3
Mrps15,Ndufs5,0.0,0.0,0.0,0.0,0.205,0.0,0.0,0.0,0.205,string:10090.ENSMUSP00000030675,string:10090.ENSMUSP00000030401,Mrps15,Ndufs5
Rhbdl2,Bmp8a,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.129,0.195,string:10090.ENSMUSP00000054546,string:10090.ENSMUSP00000037779,Rhbdl2,Bmp8a
Zmym4,Thrap3,0.0,0.0,0.0,0.0,0.132,0.109,0.0,0.0,0.193,string:10090.ENSMUSP00000101714,string:10090.ENSMUSP00000030623,Zmym4,Sfpq
Yrdc,Cdca8,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.181,string:10090.ENSMUSP00000099688,string:10090.ENSMUSP00000005336,Yrdc,Senp3
Rhbdl2,Cdca8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.179,string:10090.ENSMUSP00000054546,string:10090.ENSMUSP00000005336,Rhbdl2,Senp3
Psmb2,Thrap3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.177,string:10090.ENSMUSP00000030642,string:10090.ENSMUSP00000030623,Psmb2,Sfpq
Rhbdl2,Rspo1,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.142,0.176,string:10090.ENSMUSP00000054546,string:10090.ENSMUSP00000030687,Rhbdl2,Rspo1
Ago3,Trappc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.175,string:10090.ENSMUSP00000066633,string:10090.ENSMUSP00000030660,Eif2c3,Trappc3
Pou3f1,Epha10,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.151,0.173,string:10090.ENSMUSP00000137374,string:10090.ENSMUSP00000050810,Pou3f1,Epha10
Epha10,Mtf1,0.0,0.0,0.0,0.0,0.063,0.086,0.0,0.108,0.169,string:10090.ENSMUSP00000050810,string:10090.ENSMUSP00000030723,Epha10,Mtf1
Snip1,Ndufs5,0.0,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.168,string:10090.ENSMUSP00000137400,string:10090.ENSMUSP00000030401,Oaz1,Ndufs5
Epha10,Bmp8a,0.0,0.0,0.0,0.0,0.078,0.068,0.0,0.107,0.165,string:10090.ENSMUSP00000050810,string:10090.ENSMUSP00000037779,Epha10,Bmp8a
Pabpc4,Lsm10,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.0,0.163,string:10090.ENSMUSP00000079070,string:10090.ENSMUSP00000061913,Pabpc4,Lsm10
Ago1,Tekt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.161,string:10090.ENSMUSP00000095498,string:10090.ENSMUSP00000030658,Eif2c1,Tekt2
Pabpc4,Bmp8a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.159,string:10090.ENSMUSP00000079070,string:10090.ENSMUSP00000037779,Pabpc4,Bmp8a
Lsm10,Utp11l,0.0,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.156,string:10090.ENSMUSP00000061913,string:10090.ENSMUSP00000030738,Lsm10,Utp11l
Heyl,Bmp8a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.151,string:10090.ENSMUSP00000040576,string:10090.ENSMUSP00000037779,Heyl,Bmp8a
