gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Arhgef9,Ophn1,0.0,0.0,0.0,0.0,0.065,0.0,0.9,0.194,0.918,string:10090.ENSMUSP00000109510,string:10090.ENSMUSP00000033560,Arhgef9,Ophn1
Arhgef9,Stard8,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.079,0.903,string:10090.ENSMUSP00000109510,string:10090.ENSMUSP00000044491,Arhgef9,Stard8
Yipf6,Stard8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.716,string:10090.ENSMUSP00000056039,string:10090.ENSMUSP00000044491,Yipf6,Stard8
Snx12,Tex11,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.67,0.68,string:10090.ENSMUSP00000119102,string:10090.ENSMUSP00000009814,Snx12,Tex11
Pja1,Ophn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651,0.651,string:10090.ENSMUSP00000109420,string:10090.ENSMUSP00000033560,Pja1,Ophn1
Eif2s3x,Ar,0.0,0.0,0.0,0.0,0.194,0.065,0.0,0.528,0.613,string:10090.ENSMUSP00000059395,string:10090.ENSMUSP00000021062,Eif2s3x,Ddx5
Pja1,Maged1,0.0,0.0,0.0,0.0,0.149,0.523,0.0,0.108,0.606,string:10090.ENSMUSP00000109420,string:10090.ENSMUSP00000026142,Pja1,Maged1
Zfx///Zfa-ps,Pola1,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.537,0.604,string:10090.ENSMUSP00000085423,string:10090.ENSMUSP00000006856,Zfx,Pola1
Arr3,Maged1,0.0,0.0,0.0,0.0,0.0,0.565,0.0,0.08,0.582,string:10090.ENSMUSP00000034766,string:10090.ENSMUSP00000026142,Rora,Maged1
Gspt2,Eif2s3x,0.0,0.0,0.0,0.0,0.452,0.0,0.0,0.221,0.554,string:10090.ENSMUSP00000109523,string:10090.ENSMUSP00000059395,Gspt2,Eif2s3x
Il1rapl1,Ophn1,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.472,0.491,string:10090.ENSMUSP00000077915,string:10090.ENSMUSP00000033560,Il1rapl1,Ophn1
Dlg3,Tex11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487,0.487,string:10090.ENSMUSP00000085299,string:10090.ENSMUSP00000009814,Dlg3,Tex11
