GEO accession,mutant,gsms,platform,note,title,PMID
GSE5496,Abca1,11100010,GPL339,overexpression of Abca1 in a KO mouse,ATP binding cassette transporter A1 overexpression effect on LDL receptor-deficient livers,http://www.ncbi.nlm.nih.gov/pubmed/16928680
GSE2826,Btk,00XX11,GPL81,Btk KO vs CBA wild type,Bruton's tyrosine kinase mutant models of X-linked agammaglobulinemia,http://www.ncbi.nlm.nih.gov/pubmed/15214046
GSE10849,Cav1,000111,GPL1261,Cav1KO vs WT,Caveolin-1 Knockout Hearts,http://www.ncbi.nlm.nih.gov/pubmed/18719368
GSE10848,Cav3,000111,GPL1261,Cav3KO vs WT,Caveolin-3 Knockout Hearts,http://www.ncbi.nlm.nih.gov/pubmed/18552160
GSE5715,Cftr,1111111100,GPL1261,CF mice vs non-CF liquid diet-fed control mice,Intestinal Phenotype of Variable Weight Cystic Fibrosis Knockout Mice,http://www.ncbi.nlm.nih.gov/pubmed/17615178
GSE14691,Clcn1,XXXXXXXXXXXXXXXXXX111000,GPL339,Clcn1 ko vs BALB wt,Transcriptional and post-transcriptional impact of toxic RNA in myotonic dystrophy,http://www.ncbi.nlm.nih.gov/pubmed/19223393
GSE7694,Cnr1,000XXX111XXX,GPL1261,"Cnr1,Cnr2 double ko mice vs wt in untreated ear",Cannabinoid receptor double knockout mice (Cnr1 -/- /Cnr2 -/-) in CHS model,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL1261
GSE5304,Emd,0X0X1XXX0XXXX0XXX0XX1XX,GPL339,Emd KO vs Lamin AC KO mice in muscle with time series (here only considered initial condition without treatment).,Murine EDMD,
GSE16067,Epas1,000111,GPL1261,Hif-2alpha KO vs control in vascular endothelial cells,Gene expression analysis in control and HIF-2 alpha deficient murine lung endothelial cells under hypoxia,
GSE7196,Esrra,000111,GPL1261,Esrra KO vs wt hearts,Differential gene expression between WT and ERRa-null hearts,http://www.ncbi.nlm.nih.gov/pubmed/17488637
GSE12687,Gap43,XXX111000,GPL339,GAP-43 KO vs wt in barrel cortex,GAP-43 HZ and KO mouse barrel cortex show modifications in genes associated with synaptogenesis and barrel map formation,
GSE9809,Gnmt,0011XXXXXX,GPL1261,Gnmt KO vs WT liver tissue,Expression data from GNMT knockout mice,http://www.ncbi.nlm.nih.gov/pubmed/19035462
GSE5583,Hdac1,000111,GPL81,HDAC1 KO vs wt embryonic stem cells,Expression data from wild type versus HDAC knock out mouse embryonic stem cells,http://www.ncbi.nlm.nih.gov/pubmed/16940178
GSE6770,Hdac2,0101,GPL1261,HDAC2 KO vs wt myocardium,Gene Expression Data in HDAC2 KO heart venticle,http://www.ncbi.nlm.nih.gov/pubmed/17322895
GSE12415,Hsf4,1010,GPL1261,HSF4 KO vs wt,HSF4 deficient lens of newborn mice,
GSE11120,Hspa1A,11100XXXXX,GPL1261,,Assessment of Thermotolerance in preshocked hsp70(-/-) and (+/+) cells,http://www.ncbi.nlm.nih.gov/pubmed/21246580
GSE411,Il6,0XX1XX0XX1XXXX1XX,GPL81,SOCS3++ vs SOCS3-- from unstimulated embryos (?? SOCS3 KO? ),Effects of SOCS3 on the transcriptional response of bone marrow-derived macrophages to IL-6.,http://www.ncbi.nlm.nih.gov/pubmed/12754506
GSE4230,Lhx1,00110011,GPL1261,Lhx1(or alias Lim1) conditional mutant vs control kidneys,Gene expression profiles in developing nephrons using Lim1 metanephric mesenchyme-specific conditional mutant mice,http://www.ncbi.nlm.nih.gov/pubmed/16464245
GSE11897,Lhx8,XX11100,GPL1261,Lhx8 ko vs wt,"Lim Homeobox Gene, LHX8, Is Essential for Mouse Oocyte Differentiation and Survival",http://www.ncbi.nlm.nih.gov/pubmed/18509161
GSE5304,Lmna,0X0XXXXX1XXXX1XXX1XXXXX,GPL339,Lmna ko vs control at day 0.,Study muscle regeneration in Emerin and Lamin AC KO mice. Gastrocnemius muscles were injected with cardiotoxin. Muscles were isolated at different time points.,
GSE14691,Mbnl1,1111100000,GPL1261,Mbn1 ko vs FVB wt,Transcriptional and post-transcriptional impact of toxic RNA in myotonic dystrophy,http://www.ncbi.nlm.nih.gov/pubmed/19223393
GSE16629,Mst1r,111XXXXXX000XXXXXX,GPL1261,RonTk-/- vs RonTk+/+ for 5 wk old mammary glands (Mst1r (Alias Ron),Gene expression of RonTK-/- mammary glands compared to RonTK+/+ controls during development,http://www.ncbi.nlm.nih.gov/pubmed/19576199
GSE6688,MyD88,XXX111XXX000,GPL339,MyD88 -/- vs WT before infection,MyD88-dependent changes in the pulmonary transcriptome after infection with Chlamydia pneumoniae,http://www.ncbi.nlm.nih.gov/pubmed/17374847
GSE1988,Nos3,1110000,GPL339,eNOS (Alias Nos3) ko vs wt after exercise in heart,Exercise and transcriptional analysis in male eNOS Knockout Mice,http://www.ncbi.nlm.nih.gov/pubmed/15879487
GSE8555,Phgdh,01010101,GPL1261,wt vs Phgdh ko,Genome-wide analysis of Phgdh inactivation in murine embryonic head,http://www.ncbi.nlm.nih.gov/pubmed/18228065
GSE1947,Pmp22,000XXX111XXXXXXXXXXXX,GPL81,Pmp22 ko vs wt P4,Disease mechanisms in peripheral neuropathies due to altered Pmp22 gene dosage or a Pmp22 point mutation,http://www.ncbi.nlm.nih.gov/pubmed/15755691
GSE6864,Ppara,000111XXXXXX,GPL339,wt vs Ppara (Ppar alpha) ko with normal feeding before kill,Gene expression regulation of transporters and phase I/II metabolic enzymes in murine small intestine during fasting,http://www.ncbi.nlm.nih.gov/pubmed/17683626
