ID (num probes:12488)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
160933_at	0.0100367973694416	6.12529923965518e-05	31.3144072356711	3.07080006657262	2.70432379243049	Igtp	interferon gamma induced GTPase	16145	11 36.01 cM	GTPase activity	GTP catabolic process///cellular response to interferon-beta	cytosol	GO:0003924	GO:0006184///GO:0035458	GO:0005829
104750_at	0.0100367973694416	0.00010715798122845	26.0713077548812	2.549802066618	4.1994802629483	Ifi47	interferon gamma inducible protein 47	15953	11		defense response	endoplasmic reticulum		GO:0006952	GO:0005783
102906_at	0.0100367973694416	0.000123293033308155	24.8994764854144	2.41065685499384	2.21343883463586	Tgtp2///Tgtp1	T cell specific GTPase 2///T cell specific GTPase 1	100039796///21822	11///11	molecular_function///GTP binding///GTPase activity	biological_process///GTP catabolic process///cellular response to interferon-beta///response to interferon-alpha///response to interferon-gamma	cellular_component///cellular_component	GO:0003674///GO:0005525///GO:0003924	GO:0008150///GO:0006184///GO:0035458///GO:0035455///GO:0034341	GO:0005575///GO:0005575
97824_at	0.0124796491205261	0.000567565636280105	15.0703366513261	0.726227003119767	1.57811431185021	Nhp2	NHP2 ribonucleoprotein	52530	11 31.14 cM	RNA binding///poly(A) RNA binding	biological_process///rRNA processing///ribosome biogenesis	cytoplasm///nucleolus///nucleus///ribonucleoprotein complex	GO:0003723///GO:0044822	GO:0008150///GO:0006364///GO:0042254	GO:0005737///GO:0005730///GO:0005634///GO:0030529
98410_at	0.0126149631415611	0.000618528295614169	14.6483719095598	0.624225227705541	1.25040845259572	Irgm2	immunity-related GTPase family M member 2	54396	11	GTPase activity	GTP catabolic process///defense response to bacterium///defense response to protozoan///response to interferon-gamma///response to interferon-gamma	Golgi apparatus///symbiont-containing vacuole	GO:0003924	GO:0006184///GO:0042742///GO:0042832///GO:0034341///GO:0034341	GO:0005794///GO:0020003
94304_at	0.0133276708868593	0.000955239314572277	12.6858086324903	0.100605260794739	1.50565401432897	Anxa6	annexin A6	11749	11 32.13 cM	GTP binding///calcium ion binding///calcium-dependent phospholipid binding///calcium-dependent protein binding///cholesterol binding///ligand-gated ion channel activity///lipid binding///protein homodimerization activity	calcium ion transport///ion transmembrane transport///protein homooligomerization///regulation of muscle contraction	apical plasma membrane///cytoplasm///extracellular vesicular exosome///focal adhesion///late endosome membrane///lysosomal membrane///membrane///perinuclear region of cytoplasm///protein complex	GO:0005525///GO:0005509///GO:0005544///GO:0048306///GO:0015485///GO:0015276///GO:0008289///GO:0042803	GO:0006816///GO:0034220///GO:0051260///GO:0006937	GO:0016324///GO:0005737///GO:0070062///GO:0005925///GO:0031902///GO:0005765///GO:0016020///GO:0048471///GO:0043234
102401_at	0.0138212547713389	0.00105701248739385	12.2667655680838	-0.0230756553687632	1.12747490721742	Irf1	interferon regulatory factor 1	16362	11 32.0 cM	DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///protein binding///regulatory region DNA binding///sequence-specific DNA binding///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity///sequence-specific DNA binding transcription factor activity	CD8-positive, alpha-beta T cell differentiation///I-kappaB kinase/NF-kappaB signaling///apoptotic process///cell cycle arrest///cellular response to interferon-beta///cellular response to interleukin-1///cellular response to peptide hormone stimulus///cellular response to tumor necrosis factor///defense response to virus///defense response to virus///immune system process///innate immune response///interferon-gamma-mediated signaling pathway///negative regulation of T-helper 2 cell differentiation///negative regulation of regulatory T cell differentiation///negative regulation of transcription, DNA-templated///negative regulation of transcription, DNA-templated///negative regulation of tyrosine phosphorylation of Stat1 protein///positive regulation of T-helper 1 cell differentiation///positive regulation of cell death///positive regulation of interferon-beta production///positive regulation of interleukin-12 biosynthetic process///positive regulation of interleukin-12 biosynthetic process///positive regulation of natural killer cell differentiation///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated///positive regulation of type I interferon production///regulation of CD8-positive, alpha-beta T cell proliferation///regulation of MyD88-dependent toll-like receptor signaling pathway///regulation of adaptive immune response///regulation of gene expression///regulation of innate immune response///regulation of transcription, DNA-templated///response to growth hormone///transcription, DNA-templated	cytoplasm///nuclear chromatin///nucleus///nucleus///nucleus	GO:0003677///GO:0000978///GO:0005515///GO:0000975///GO:0043565///GO:0043565///GO:0003700///GO:0003700	GO:0043374///GO:0007249///GO:0006915///GO:0007050///GO:0035458///GO:0071347///GO:0071375///GO:0071356///GO:0051607///GO:0051607///GO:0002376///GO:0045087///GO:0060333///GO:0045629///GO:0045590///GO:0045892///GO:0045892///GO:0042512///GO:0045627///GO:0010942///GO:0032728///GO:0045084///GO:0045084///GO:0032825///GO:0045944///GO:0045944///GO:0045893///GO:0045893///GO:0045893///GO:0032481///GO:2000564///GO:0034124///GO:0002819///GO:0010468///GO:0045088///GO:0006355///GO:0060416///GO:0006351	GO:0005737///GO:0000790///GO:0005634///GO:0005634///GO:0005634
97160_at	0.0152540701092457	0.00146082324634913	11.0153221888623	-0.421968003838169	1.75893845906169	Sparc	secreted acidic cysteine rich glycoprotein	20692	11 33.04 cM	calcium ion binding///collagen binding///extracellular matrix binding///metal ion binding	bone development///cellular response to growth factor stimulus///lung development///negative regulation of angiogenesis///negative regulation of endothelial cell proliferation///positive regulation of endothelial cell migration///regulation of cell morphogenesis///regulation of cell proliferation///signal transduction	basement membrane///cell surface///cytoplasm///extracellular matrix///extracellular region///extracellular space///intracellular///membrane-bounded vesicle///nuclear matrix///nucleus///platelet alpha granule///platelet alpha granule membrane///proteinaceous extracellular matrix	GO:0005509///GO:0005518///GO:0050840///GO:0046872	GO:0060348///GO:0071363///GO:0030324///GO:0016525///GO:0001937///GO:0010595///GO:0022604///GO:0042127///GO:0007165	GO:0005604///GO:0009986///GO:0005737///GO:0031012///GO:0005576///GO:0005615///GO:0005622///GO:0031988///GO:0016363///GO:0005634///GO:0031091///GO:0031092///GO:0005578
101449_at	0.0156536709725826	0.00162555638662696	-10.6297362136886	-0.554774598449098	-0.883051558778988	Trim41	tripartite motif-containing 41	211007	11	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity///coenzyme F420-0 gamma-glutamyl ligase activity///coenzyme F420-2 alpha-glutamyl ligase activity///ligase activity///metal ion binding///protein binding///protein-glutamic acid ligase activity///protein-glycine ligase activity///protein-glycine ligase activity, elongating///protein-glycine ligase activity, initiating///ribosomal S6-glutamic acid ligase activity///tubulin-glutamic acid ligase activity///tubulin-glycine ligase activity///zinc ion binding	biological_process	cytoplasm///intracellular///nucleolus///nucleus	GO:0008766///GO:0043773///GO:0043774///GO:0016874///GO:0046872///GO:0005515///GO:0070739///GO:0070735///GO:0070737///GO:0070736///GO:0018169///GO:0070740///GO:0070738///GO:0008270	GO:0008150	GO:0005737///GO:0005622///GO:0005730///GO:0005634
101995_at	0.0157441998852141	0.00164530871996049	-10.5869741282736	-0.569816837313018	-0.901169166401075	Sqstm1	sequestosome 1	18412	11 B1.2	K63-linked polyubiquitin binding///SH2 domain binding///identical protein binding///identical protein binding///metal ion binding///protein binding///protein homodimerization activity///protein kinase C binding///protein kinase binding///transcription cofactor activity///ubiquitin binding///zinc ion binding	apoptotic process///autophagy///cell differentiation///immune system process///positive regulation of macroautophagy///positive regulation of protein phosphorylation///protein heterooligomerization///regulation of I-kappaB kinase/NF-kappaB signaling///regulation of RNA biosynthetic process	PML body///aggresome///autophagic vacuole///cytoplasm///cytoplasmic mRNA processing body///cytoplasmic vesicle///endoplasmic reticulum///endosome///extracellular vesicular exosome///inclusion body///lysosome///nucleus///pre-autophagosomal structure	GO:0070530///GO:0042169///GO:0042802///GO:0042802///GO:0046872///GO:0005515///GO:0042803///GO:0005080///GO:0019901///GO:0003712///GO:0043130///GO:0008270	GO:0006915///GO:0006914///GO:0030154///GO:0002376///GO:0016239///GO:0001934///GO:0051291///GO:0043122///GO:2001141	GO:0016605///GO:0016235///GO:0005776///GO:0005737///GO:0000932///GO:0031410///GO:0005783///GO:0005768///GO:0070062///GO:0016234///GO:0005764///GO:0005634///GO:0000407
102009_at	0.0187832897505867	0.00251604090119833	-9.18321453132544	-1.10225931375658	-1.02631023493868	Cyfip2	cytoplasmic FMR1 interacting protein 2	76884	11 B1.2	protein binding	activation of cysteine-type endopeptidase activity///apoptotic process///cell adhesion///positive regulation of proteolysis///single organismal cell-cell adhesion	cell junction///cytoplasm///extracellular vesicular exosome///membrane///neuron projection///perinuclear region of cytoplasm///synapse	GO:0005515	GO:0097202///GO:0006915///GO:0007155///GO:0045862///GO:0016337	GO:0030054///GO:0005737///GO:0070062///GO:0016020///GO:0043005///GO:0048471///GO:0045202
104755_at	0.0189896006204558	0.00257915239318448	9.10704617878745	-1.13349687183273	0.817013413218206	Tnip1	TNFAIP3 interacting protein 1	57783	11	mitogen-activated protein kinase binding///polyubiquitin binding///protein binding///contributes_to ubiquitin-specific protease activity	MyD88-dependent toll-like receptor signaling pathway///glycoprotein biosynthetic process///inflammatory response///leukocyte cell-cell adhesion///modulation by symbiont of host I-kappaB kinase/NF-kappaB cascade///negative regulation of ERK1 and ERK2 cascade///negative regulation of I-kappaB kinase/NF-kappaB signaling///negative regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of inflammatory response///positive regulation of transcription from RNA polymerase II promoter	cytoplasm///nucleus	GO:0051019///GO:0031593///GO:0005515///contributes_to GO:0004843	GO:0002755///GO:0009101///GO:0006954///GO:0007159///GO:0085032///GO:0070373///GO:0043124///GO:0043124///GO:0050729///GO:0045944	GO:0005737///GO:0005634
97409_at	0.0201183003460167	0.00298451138066129	8.67018558647805	-1.3179002043617	1.47332723839379	Irgm1	immunity-related GTPase family M member 1	15944	11	GTP binding///hydrolase activity///hydrolase activity, acting on acid anhydrides///nucleotide binding	autophagy///defense response///immune system process///innate immune response	Golgi apparatus///cell projection///cytoplasmic vesicle///endoplasmic reticulum///endosome///late endosome///lysosome///membrane///plasma membrane	GO:0005525///GO:0016787///GO:0016817///GO:0000166	GO:0006914///GO:0006952///GO:0002376///GO:0045087	GO:0005794///GO:0042995///GO:0031410///GO:0005783///GO:0005768///GO:0005770///GO:0005764///GO:0016020///GO:0005886
99581_at	0.0204491148371872	0.00310241107156922	8.55758619950127	-1.36693584034738	0.742777625212538	Hint1	histidine triad nucleotide binding protein 1	15254	11	GPI-anchor transamidase activity///catalytic activity///coenzyme F390-A hydrolase activity///coenzyme F390-G hydrolase activity///hydrolase activity///nucleotide binding	apoptotic process///intrinsic apoptotic signaling pathway by p53 class mediator///purine ribonucleotide catabolic process///regulation of transcription, DNA-templated///transcription, DNA-templated	cytoplasm///extracellular vesicular exosome///histone deacetylase complex///nucleus///nucleus///plasma membrane	GO:0003923///GO:0003824///GO:0052770///GO:0052771///GO:0016787///GO:0000166	GO:0006915///GO:0072332///GO:0009154///GO:0006355///GO:0006351	GO:0005737///GO:0070062///GO:0000118///GO:0005634///GO:0005634///GO:0005886
101676_at	0.0221551394848911	0.00357543188922802	-8.15672775730052	-1.54683847721188	-0.76038791728991	Gpx3	glutathione peroxidase 3	14778	11 B3-B5	glutathione binding///glutathione peroxidase activity///glutathione peroxidase activity///oxidoreductase activity///peroxidase activity///selenium binding	glutathione metabolic process///hydrogen peroxide catabolic process///hydrogen peroxide catabolic process///oxidation-reduction process///protein homotetramerization///response to oxidative stress	extracellular region///extracellular space///extracellular vesicular exosome	GO:0043295///GO:0004602///GO:0004602///GO:0016491///GO:0004601///GO:0008430	GO:0006749///GO:0042744///GO:0042744///GO:0055114///GO:0051289///GO:0006979	GO:0005576///GO:0005615///GO:0070062
97994_at	0.0237416841689902	0.00416398716873465	7.74574220287092	-1.74049413287083	0.858904090167506	Tcf7	transcription factor 7, T cell specific	21414	11 31.86 cM	DNA binding///beta-catenin binding///chromatin binding///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity///transcription regulatory region DNA binding	T cell receptor V(D)J recombination///Wnt signaling pathway///alpha-beta T cell differentiation///brain development///canonical Wnt signaling pathway///canonical Wnt signaling pathway involved in negative regulation of apoptotic process///embryonic digestive tract morphogenesis///embryonic genitalia morphogenesis///embryonic hindgut morphogenesis///generation of neurons///neural tube development///regulation of cell proliferation///regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///transcription, DNA-templated	nucleus///transcription factor complex	GO:0003677///GO:0008013///GO:0003682///GO:0043565///GO:0003700///GO:0044212	GO:0033153///GO:0016055///GO:0046632///GO:0007420///GO:0060070///GO:0044336///GO:0048557///GO:0030538///GO:0048619///GO:0048699///GO:0021915///GO:0042127///GO:0006357///GO:0006355///GO:0006351	GO:0005634///GO:0005667
93844_at	0.0246310065964358	0.0044499091202643	-7.57269150836683	-1.82502105530693	-0.627529392891924	Uqcrq	ubiquinol-cytochrome c reductase, complex III subunit VII	22272	11	molecular_function///ubiquinol-cytochrome-c reductase activity	biological_process///oxidation-reduction process///transport	membrane///mitochondrial inner membrane///mitochondrion///mitochondrion///respiratory chain	GO:0003674///GO:0008121	GO:0008150///GO:0055114///GO:0006810	GO:0016020///GO:0005743///GO:0005739///GO:0005739///GO:0070469
104453_at	0.0249834388077568	0.00456350716932009	-7.50794223255641	-1.85712414208263	-0.643182931226564	Sap30l	SAP30-like	50724	11 B2	DNA binding///metal ion binding///molecular_function	biological_process///regulation of transcription, DNA-templated///transcription, DNA-templated	nucleus	GO:0003677///GO:0046872///GO:0003674	GO:0008150///GO:0006355///GO:0006351	GO:0005634
103737_at	0.0318046943595442	0.00704384208749179	6.46915204228997	-2.41117385079583	0.947453877288859	Gfpt2	glutamine fructose-6-phosphate transaminase 2	14584	11 29.9 cM	carbohydrate binding///glutamine-fructose-6-phosphate transaminase (isomerizing) activity///transaminase activity///transferase activity	carbohydrate biosynthetic process///carbohydrate metabolic process///glutamine metabolic process///metabolic process		GO:0030246///GO:0004360///GO:0008483///GO:0016740	GO:0016051///GO:0005975///GO:0006541///GO:0008152	
99624_at	0.0332219794111958	0.00756201910387905	-6.31215836525284	-2.50194022535086	-0.544918015277828	9530068E07Rik	RIKEN cDNA 9530068E07 gene	213673	11	molecular_function	biological_process	cellular_component///integral component of membrane///membrane	GO:0003674	GO:0008150	GO:0005575///GO:0016021///GO:0016020
94886_at	0.0363152649143016	0.0090202432206491	-5.93664295869398	-2.7275067254493	-0.678571725947542	Canx	calnexin	12330	11 30.46 cM	apolipoprotein binding///calcium ion binding///carbohydrate binding///glycoprotein binding///ionotropic glutamate receptor binding///metal ion binding///poly(A) RNA binding///protein binding///unfolded protein binding	chaperone-mediated protein folding///clathrin-mediated endocytosis///protein folding///synaptic vesicle endocytosis	ER-mitochondrion membrane contact site///axon///cell///cytoplasm///dendrite cytoplasm///dendritic spine///endoplasmic reticulum///endoplasmic reticulum///endoplasmic reticulum membrane///integral component of membrane///membrane///membrane///neuronal cell body///protein complex///ribosome///colocalizes_with rough endoplasmic reticulum///smooth endoplasmic reticulum	GO:0034185///GO:0005509///GO:0030246///GO:0001948///GO:0035255///GO:0046872///GO:0044822///GO:0005515///GO:0051082	GO:0061077///GO:0072583///GO:0006457///GO:0048488	GO:0044233///GO:0030424///GO:0005623///GO:0005737///GO:0032839///GO:0043197///GO:0005783///GO:0005783///GO:0005789///GO:0016021///GO:0016020///GO:0016020///GO:0043025///GO:0043234///GO:0005840///colocalizes_with GO:0005791///GO:0005790
92638_at	0.0583888060007976	0.0196885641202286	-4.49439239637944	-3.72494698012984	-0.503530263417456	Ppp2ca	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	19052	11	GABA receptor binding///enzyme binding///hydrolase activity///ion channel binding///metal ion binding///phosphoprotein phosphatase activity///protein C-terminus binding///protein C-terminus binding///protein antigen binding///protein binding///protein complex binding///protein dimerization activity///protein domain specific binding///protein kinase B binding///protein kinase binding///protein phosphatase 2A binding///protein phosphatase binding///protein serine/threonine phosphatase activity///protein serine/threonine phosphatase activity///tau protein binding	cellular response to glucose stimulus///meiotic nuclear division///mesoderm development///negative regulation of calcium ion transmembrane transporter activity///negative regulation of epithelial to mesenchymal transition///negative regulation of protein phosphorylation///negative regulation of transcription factor import into nucleus///negative regulation of transcription from RNA polymerase II promoter///positive regulation of apoptotic process///positive regulation of cysteine-type endopeptidase activity involved in apoptotic process///positive regulation of protein dephosphorylation///positive regulation of protein phosphatase type 2A activity///positive regulation of protein serine/threonine kinase activity///protein dephosphorylation///protein dephosphorylation///protein heterotrimerization///regulation of cell cycle///regulation of protein autophosphorylation///regulation of protein catabolic process///regulation of protein phosphorylation///regulation of receptor activity	chromosome///chromosome, centromeric region///cytoplasm///cytoskeleton///cytosol///cytosol///extracellular vesicular exosome///neuron projection///nucleus///plasma membrane///postsynaptic density///protein phosphatase type 2A complex///protein phosphatase type 2A complex///terminal bouton	GO:0050811///GO:0019899///GO:0016787///GO:0044325///GO:0046872///GO:0004721///GO:0008022///GO:0008022///GO:1990405///GO:0005515///GO:0032403///GO:0046983///GO:0019904///GO:0043422///GO:0019901///GO:0051721///GO:0019903///GO:0004722///GO:0004722///GO:0048156	GO:0071333///GO:0007126///GO:0007498///GO:1901020///GO:0010719///GO:0001933///GO:0042992///GO:0000122///GO:0043065///GO:0043280///GO:0035307///GO:0034049///GO:0071902///GO:0006470///GO:0006470///GO:0070208///GO:0051726///GO:0031952///GO:0042176///GO:0001932///GO:0010469	GO:0005694///GO:0000775///GO:0005737///GO:0005856///GO:0005829///GO:0005829///GO:0070062///GO:0043005///GO:0005634///GO:0005886///GO:0014069///GO:0000159///GO:0000159///GO:0043195
94870_f_at	0.0596283589059139	0.0203830408316486	4.43772296133327	-3.76910146697773	0.768575051408074	Sar1b	SAR1 gene homolog B (S. cerevisiae)	66397	11	GTP binding///metal ion binding///nucleotide binding	intracellular protein transport///protein transport///transport///vesicle-mediated transport	Golgi apparatus///endoplasmic reticulum///intracellular///membrane	GO:0005525///GO:0046872///GO:0000166	GO:0006886///GO:0015031///GO:0006810///GO:0016192	GO:0005794///GO:0005783///GO:0005622///GO:0016020
