ID (num probes:45101)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1433428_x_at	0.120406505241077	0.00198092341386841	-4.10407657919082	-1.04951701846308	-6.28785428854926	Tgm2	transglutaminase 2, C polypeptide	21817	2 78.72 cM	GTP binding///GTP binding///calcium ion binding///metal ion binding///protein domain specific binding///protein-glutamine gamma-glutamyltransferase activity///protein-glutamine gamma-glutamyltransferase activity///transaminase activity///transferase activity///transferase activity, transferring acyl groups	G-protein coupled receptor signaling pathway///apoptotic cell clearance///blood vessel remodeling///branching involved in salivary gland morphogenesis///isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine///negative regulation of endoplasmic reticulum calcium ion concentration///negative regulation of endoplasmic reticulum calcium ion concentration///peptide cross-linking///phospholipase C-activating G-protein coupled receptor signaling pathway///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of apoptotic process///positive regulation of cell adhesion///positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway///positive regulation of inflammatory response///positive regulation of mitochondrial calcium ion concentration///positive regulation of mitochondrial calcium ion concentration///positive regulation of smooth muscle cell proliferation///protein homooligomerization///salivary gland cavitation	cell///cytoplasm///cytosol///cytosol///endoplasmic reticulum///extracellular vesicular exosome///focal adhesion///membrane///mitochondrion///mitochondrion///plasma membrane///proteinaceous extracellular matrix	GO:0005525///GO:0005525///GO:0005509///GO:0046872///GO:0019904///GO:0003810///GO:0003810///GO:0008483///GO:0016740///GO:0016746	GO:0007186///GO:0043277///GO:0001974///GO:0060445///GO:0018153///GO:0032471///GO:0032471///GO:0018149///GO:0007200///GO:0043123///GO:0043065///GO:0045785///GO:0051482///GO:0050729///GO:0051561///GO:0051561///GO:0048661///GO:0051260///GO:0060662	GO:0005623///GO:0005737///GO:0005829///GO:0005829///GO:0005783///GO:0070062///GO:0005925///GO:0016020///GO:0005739///GO:0005739///GO:0005886///GO:0005578
1417500_a_at	0.126595843749985	0.00268650925898726	-3.91904251334281	-1.32733142437274	-6.51313857462279	Tgm2	transglutaminase 2, C polypeptide	21817	2 78.72 cM	GTP binding///GTP binding///calcium ion binding///metal ion binding///protein domain specific binding///protein-glutamine gamma-glutamyltransferase activity///protein-glutamine gamma-glutamyltransferase activity///transaminase activity///transferase activity///transferase activity, transferring acyl groups	G-protein coupled receptor signaling pathway///apoptotic cell clearance///blood vessel remodeling///branching involved in salivary gland morphogenesis///isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine///negative regulation of endoplasmic reticulum calcium ion concentration///negative regulation of endoplasmic reticulum calcium ion concentration///peptide cross-linking///phospholipase C-activating G-protein coupled receptor signaling pathway///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of apoptotic process///positive regulation of cell adhesion///positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway///positive regulation of inflammatory response///positive regulation of mitochondrial calcium ion concentration///positive regulation of mitochondrial calcium ion concentration///positive regulation of smooth muscle cell proliferation///protein homooligomerization///salivary gland cavitation	cell///cytoplasm///cytosol///cytosol///endoplasmic reticulum///extracellular vesicular exosome///focal adhesion///membrane///mitochondrion///mitochondrion///plasma membrane///proteinaceous extracellular matrix	GO:0005525///GO:0005525///GO:0005509///GO:0046872///GO:0019904///GO:0003810///GO:0003810///GO:0008483///GO:0016740///GO:0016746	GO:0007186///GO:0043277///GO:0001974///GO:0060445///GO:0018153///GO:0032471///GO:0032471///GO:0018149///GO:0007200///GO:0043123///GO:0043065///GO:0045785///GO:0051482///GO:0050729///GO:0051561///GO:0051561///GO:0048661///GO:0051260///GO:0060662	GO:0005623///GO:0005737///GO:0005829///GO:0005829///GO:0005783///GO:0070062///GO:0005925///GO:0016020///GO:0005739///GO:0005739///GO:0005886///GO:0005578
1437277_x_at	0.128276975114425	0.00295522639765346	-3.86166268482784	-1.41442842384111	-6.41812442029755	Tgm2	transglutaminase 2, C polypeptide	21817	2 78.72 cM	GTP binding///GTP binding///calcium ion binding///metal ion binding///protein domain specific binding///protein-glutamine gamma-glutamyltransferase activity///protein-glutamine gamma-glutamyltransferase activity///transaminase activity///transferase activity///transferase activity, transferring acyl groups	G-protein coupled receptor signaling pathway///apoptotic cell clearance///blood vessel remodeling///branching involved in salivary gland morphogenesis///isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine///negative regulation of endoplasmic reticulum calcium ion concentration///negative regulation of endoplasmic reticulum calcium ion concentration///peptide cross-linking///phospholipase C-activating G-protein coupled receptor signaling pathway///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of apoptotic process///positive regulation of cell adhesion///positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway///positive regulation of inflammatory response///positive regulation of mitochondrial calcium ion concentration///positive regulation of mitochondrial calcium ion concentration///positive regulation of smooth muscle cell proliferation///protein homooligomerization///salivary gland cavitation	cell///cytoplasm///cytosol///cytosol///endoplasmic reticulum///extracellular vesicular exosome///focal adhesion///membrane///mitochondrion///mitochondrion///plasma membrane///proteinaceous extracellular matrix	GO:0005525///GO:0005525///GO:0005509///GO:0046872///GO:0019904///GO:0003810///GO:0003810///GO:0008483///GO:0016740///GO:0016746	GO:0007186///GO:0043277///GO:0001974///GO:0060445///GO:0018153///GO:0032471///GO:0032471///GO:0018149///GO:0007200///GO:0043123///GO:0043065///GO:0045785///GO:0051482///GO:0050729///GO:0051561///GO:0051561///GO:0048661///GO:0051260///GO:0060662	GO:0005623///GO:0005737///GO:0005829///GO:0005829///GO:0005783///GO:0070062///GO:0005925///GO:0016020///GO:0005739///GO:0005739///GO:0005886///GO:0005578
1441005_at	0.133975780397617	0.00358812192769892	-3.74556880660247	-1.59192316859026	-3.15606254172719	Rprd1b	regulation of nuclear pre-mRNA domain containing 1B	70470	2 H2	RNA polymerase II core binding	dephosphorylation of RNA polymerase II C-terminal domain///positive regulation of cell proliferation///positive regulation of transcription from RNA polymerase II promoter///regulation of cell cycle process///regulation of transcription, DNA-templated///transcription, DNA-templated	DNA-directed RNA polymerase II, holoenzyme///nucleus	GO:0000993	GO:0070940///GO:0008284///GO:0045944///GO:0010564///GO:0006355///GO:0006351	GO:0016591///GO:0005634
1445722_at	0.133975780397617	0.00359486248373316	-3.74445042739687	-1.59364101889465	-3.27650775063407	Manbal	mannosidase, beta A, lysosomal-like	69161	2	molecular_function	biological_process	cellular_component///integral component of membrane///membrane	GO:0003674	GO:0008150	GO:0005575///GO:0016021///GO:0016020
1455900_x_at	0.13822246949378	0.00451804082853461	-3.60884196688134	-1.8029912986507	-7.74976208919614	Tgm2	transglutaminase 2, C polypeptide	21817	2 78.72 cM	GTP binding///GTP binding///calcium ion binding///metal ion binding///protein domain specific binding///protein-glutamine gamma-glutamyltransferase activity///protein-glutamine gamma-glutamyltransferase activity///transaminase activity///transferase activity///transferase activity, transferring acyl groups	G-protein coupled receptor signaling pathway///apoptotic cell clearance///blood vessel remodeling///branching involved in salivary gland morphogenesis///isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine///negative regulation of endoplasmic reticulum calcium ion concentration///negative regulation of endoplasmic reticulum calcium ion concentration///peptide cross-linking///phospholipase C-activating G-protein coupled receptor signaling pathway///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of apoptotic process///positive regulation of cell adhesion///positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway///positive regulation of inflammatory response///positive regulation of mitochondrial calcium ion concentration///positive regulation of mitochondrial calcium ion concentration///positive regulation of smooth muscle cell proliferation///protein homooligomerization///salivary gland cavitation	cell///cytoplasm///cytosol///cytosol///endoplasmic reticulum///extracellular vesicular exosome///focal adhesion///membrane///mitochondrion///mitochondrion///plasma membrane///proteinaceous extracellular matrix	GO:0005525///GO:0005525///GO:0005509///GO:0046872///GO:0019904///GO:0003810///GO:0003810///GO:0008483///GO:0016740///GO:0016746	GO:0007186///GO:0043277///GO:0001974///GO:0060445///GO:0018153///GO:0032471///GO:0032471///GO:0018149///GO:0007200///GO:0043123///GO:0043065///GO:0045785///GO:0051482///GO:0050729///GO:0051561///GO:0051561///GO:0048661///GO:0051260///GO:0060662	GO:0005623///GO:0005737///GO:0005829///GO:0005829///GO:0005783///GO:0070062///GO:0005925///GO:0016020///GO:0005739///GO:0005739///GO:0005886///GO:0005578
1426004_a_at	0.139319299323827	0.00467369035402133	-3.58884356039927	-1.83403295727214	-7.02129372540641	Tgm2	transglutaminase 2, C polypeptide	21817	2 78.72 cM	GTP binding///GTP binding///calcium ion binding///metal ion binding///protein domain specific binding///protein-glutamine gamma-glutamyltransferase activity///protein-glutamine gamma-glutamyltransferase activity///transaminase activity///transferase activity///transferase activity, transferring acyl groups	G-protein coupled receptor signaling pathway///apoptotic cell clearance///blood vessel remodeling///branching involved in salivary gland morphogenesis///isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine///negative regulation of endoplasmic reticulum calcium ion concentration///negative regulation of endoplasmic reticulum calcium ion concentration///peptide cross-linking///phospholipase C-activating G-protein coupled receptor signaling pathway///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of apoptotic process///positive regulation of cell adhesion///positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway///positive regulation of inflammatory response///positive regulation of mitochondrial calcium ion concentration///positive regulation of mitochondrial calcium ion concentration///positive regulation of smooth muscle cell proliferation///protein homooligomerization///salivary gland cavitation	cell///cytoplasm///cytosol///cytosol///endoplasmic reticulum///extracellular vesicular exosome///focal adhesion///membrane///mitochondrion///mitochondrion///plasma membrane///proteinaceous extracellular matrix	GO:0005525///GO:0005525///GO:0005509///GO:0046872///GO:0019904///GO:0003810///GO:0003810///GO:0008483///GO:0016740///GO:0016746	GO:0007186///GO:0043277///GO:0001974///GO:0060445///GO:0018153///GO:0032471///GO:0032471///GO:0018149///GO:0007200///GO:0043123///GO:0043065///GO:0045785///GO:0051482///GO:0050729///GO:0051561///GO:0051561///GO:0048661///GO:0051260///GO:0060662	GO:0005623///GO:0005737///GO:0005829///GO:0005829///GO:0005783///GO:0070062///GO:0005925///GO:0016020///GO:0005739///GO:0005739///GO:0005886///GO:0005578
1447520_at	0.15218066133171	0.00897351078899624	-3.20776098596343	-2.43218903447745	-3.75837708468625	Lbp	lipopolysaccharide binding protein	16803	2 78.72 cM	lipid binding///lipopolysaccharide binding///lipopolysaccharide binding///lipoteichoic acid binding///receptor binding	acute-phase response///cellular response to lipopolysaccharide///cellular response to lipoteichoic acid///defense response to Gram-negative bacterium///defense response to Gram-negative bacterium///defense response to Gram-positive bacterium///defense response to Gram-positive bacterium///defense response to bacterium///detection of molecule of bacterial origin///immune system process///innate immune response///leukocyte chemotaxis involved in inflammatory response///lipid transport///lipopolysaccharide transport///lipopolysaccharide-mediated signaling pathway///macrophage activation involved in immune response///negative regulation of growth of symbiont in host///negative regulation of tumor necrosis factor production///positive regulation of chemokine production///positive regulation of interleukin-6 production///positive regulation of interleukin-8 production///positive regulation of macrophage activation///positive regulation of neutrophil chemotaxis///positive regulation of respiratory burst involved in inflammatory response///positive regulation of toll-like receptor 4 signaling pathway///positive regulation of tumor necrosis factor biosynthetic process///positive regulation of tumor necrosis factor production///positive regulation of tumor necrosis factor production///positive regulation of tumor necrosis factor production///response to lipopolysaccharide///response to lipopolysaccharide///transport	cell surface///cell surface///extracellular region///extracellular space///extracellular space///extracellular vesicular exosome	GO:0008289///GO:0001530///GO:0001530///GO:0070891///GO:0005102	GO:0006953///GO:0071222///GO:0071223///GO:0050829///GO:0050829///GO:0050830///GO:0050830///GO:0042742///GO:0032490///GO:0002376///GO:0045087///GO:0002232///GO:0006869///GO:0015920///GO:0031663///GO:0002281///GO:0044130///GO:0032720///GO:0032722///GO:0032755///GO:0032757///GO:0043032///GO:0090023///GO:0060265///GO:0034145///GO:0042535///GO:0032760///GO:0032760///GO:0032760///GO:0032496///GO:0032496///GO:0006810	GO:0009986///GO:0009986///GO:0005576///GO:0005615///GO:0005615///GO:0070062
1459810_at	0.154943208314357	0.0103657498854742	-3.19695898698857	-2.52671807570213	-2.4377000348492	1110008F13Rik	RIKEN cDNA 1110008F13 gene	67388	2 H2	molecular_function	biological_process	mitochondrion	GO:0003674	GO:0008150	GO:0005739
1417139_at	0.155520666537094	0.0106681266136745	-3.10775343317159	-2.59068421934364	-2.06979103451582	Dsn1	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)	66934	2	molecular_function	biological_process///cell cycle///cell division///chromosome segregation///mitotic nuclear division	MIS12/MIND type complex///chromosome///chromosome, centromeric region///kinetochore///nucleus	GO:0003674	GO:0008150///GO:0007049///GO:0051301///GO:0007059///GO:0007067	GO:0000444///GO:0005694///GO:0000775///GO:0000776///GO:0005634
1437835_a_at	0.155520666537094	0.0108376362679289	-3.09865579236654	-2.60512081650516	-2.87782594543053	Aar2	AAR2 splicing factor homolog (S. cerevisiae)	68295	2 H2	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575
1452924_at	0.157646844061171	0.0118229615660122	-3.0484805922385	-2.68478200060585	-2.07535977986388	Fam83d	family with sequence similarity 83, member D	71878	2	molecular_function	biological_process///cell cycle///cell division///mitotic nuclear division	cellular_component///cytoplasm///cytoskeleton	GO:0003674	GO:0008150///GO:0007049///GO:0051301///GO:0007067	GO:0005575///GO:0005737///GO:0005856
1448550_at	0.159385448119352	0.0132382405856876	-2.98338337590408	-2.7882069634068	-2.17980006575633	Lbp	lipopolysaccharide binding protein	16803	2 78.72 cM	lipid binding///lipopolysaccharide binding///lipopolysaccharide binding///lipoteichoic acid binding///receptor binding	acute-phase response///cellular response to lipopolysaccharide///cellular response to lipoteichoic acid///defense response to Gram-negative bacterium///defense response to Gram-negative bacterium///defense response to Gram-positive bacterium///defense response to Gram-positive bacterium///defense response to bacterium///detection of molecule of bacterial origin///immune system process///innate immune response///leukocyte chemotaxis involved in inflammatory response///lipid transport///lipopolysaccharide transport///lipopolysaccharide-mediated signaling pathway///macrophage activation involved in immune response///negative regulation of growth of symbiont in host///negative regulation of tumor necrosis factor production///positive regulation of chemokine production///positive regulation of interleukin-6 production///positive regulation of interleukin-8 production///positive regulation of macrophage activation///positive regulation of neutrophil chemotaxis///positive regulation of respiratory burst involved in inflammatory response///positive regulation of toll-like receptor 4 signaling pathway///positive regulation of tumor necrosis factor biosynthetic process///positive regulation of tumor necrosis factor production///positive regulation of tumor necrosis factor production///positive regulation of tumor necrosis factor production///response to lipopolysaccharide///response to lipopolysaccharide///transport	cell surface///cell surface///extracellular region///extracellular space///extracellular space///extracellular vesicular exosome	GO:0008289///GO:0001530///GO:0001530///GO:0070891///GO:0005102	GO:0006953///GO:0071222///GO:0071223///GO:0050829///GO:0050829///GO:0050830///GO:0050830///GO:0042742///GO:0032490///GO:0002376///GO:0045087///GO:0002232///GO:0006869///GO:0015920///GO:0031663///GO:0002281///GO:0044130///GO:0032720///GO:0032722///GO:0032755///GO:0032757///GO:0043032///GO:0090023///GO:0060265///GO:0034145///GO:0042535///GO:0032760///GO:0032760///GO:0032760///GO:0032496///GO:0032496///GO:0006810	GO:0009986///GO:0009986///GO:0005576///GO:0005615///GO:0005615///GO:0070062
1434575_at	0.162703591487057	0.0150542579383049	-2.90947781948903	-2.90566090249454	-1.91963613152291	Epb4.1l1	erythrocyte protein band 4.1-like 1	13821	2 77.39 cM	actin binding///cytoskeletal protein binding///protein binding///receptor binding///structural molecule activity	cortical actin cytoskeleton organization	cytoplasm///cytoskeleton///extrinsic component of membrane///protein complex///synaptic membrane	GO:0003779///GO:0008092///GO:0005515///GO:0005102///GO:0005198	GO:0030866	GO:0005737///GO:0005856///GO:0019898///GO:0043234///GO:0097060
1437504_at	0.164924355060234	0.0168113461116455	-2.84607766004405	-3.00638608476146	-1.82488238770178	Sla2	Src-like-adaptor 2	77799	2	SH3/SH2 adaptor activity///SH3/SH2 adaptor activity///protein N-terminus binding///protein binding	T cell activation///immune system process///negative regulation of calcium-mediated signaling///negative regulation of transcription from RNA polymerase II promoter///positive regulation of signal transduction///positive regulation of signal transduction	cytoplasm///cytoplasmic membrane-bounded vesicle///cytoplasmic vesicle///endosome///late endosome///membrane///plasma membrane	GO:0005070///GO:0005070///GO:0047485///GO:0005515	GO:0042110///GO:0002376///GO:0050849///GO:0000122///GO:0009967///GO:0009967	GO:0005737///GO:0016023///GO:0031410///GO:0005768///GO:0005770///GO:0016020///GO:0005886
1448582_at	0.168746074674545	0.019680871285291	-2.75562847910301	-3.14991219937169	-2.01295638782046	Ctnnbl1	catenin, beta like 1	66642	2 78.4 cM	enzyme binding///protein binding	apoptotic process///positive regulation of apoptotic process///somatic diversification of immunoglobulins	Prp19 complex///membrane///nucleus///spliceosomal complex	GO:0019899///GO:0005515	GO:0006915///GO:0043065///GO:0016445	GO:0000974///GO:0016020///GO:0005634///GO:0005681
1423506_a_at	0.169926260656825	0.0205425034618813	-2.73103969890693	-3.1888749309138	-2.93551520987743	Nnat	neuronatin	18111	2 78.4 cM		brain development///multicellular organismal development///positive regulation of insulin secretion///regulation of protein localization///response to glucose	cytoplasm		GO:0007420///GO:0007275///GO:0032024///GO:0032880///GO:0009749	GO:0005737
1426017_a_at	0.171205836111111	0.0223354795596338	-2.68301541555311	-3.26488131887572	-1.8436668196331	Aar2	AAR2 splicing factor homolog (S. cerevisiae)	68295	2 H2	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575
1431115_at	0.171563737334532	0.023660064192254	-2.64994343315779	-3.31714046812023	-1.77792328694002	Tgif2	TGFB-induced factor homeobox 2	228839	2	DNA binding	negative regulation of transcription from RNA polymerase II promoter///nodal signaling pathway///positive regulation of neuron differentiation///regulation of gastrulation///regulation of transcription, DNA-templated///retina development in camera-type eye///transcription, DNA-templated	nucleus	GO:0003677	GO:0000122///GO:0038092///GO:0045666///GO:0010470///GO:0006355///GO:0060041///GO:0006351	GO:0005634
1434292_at	0.175001223286329	0.0272731394214169	2.56830767289449	-3.44578095909615	2.04728755959366	Snhg11	small nucleolar RNA host gene 11	319317	2	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575
1455548_at	0.175001223286329	0.0273806439330221	-2.61083796354638	-3.4180645853014	-1.86148514307627	Dlgap4	discs, large homolog-associated protein 4 (Drosophila)	228836	2	protein binding///protein domain specific binding	biological_process///cell-cell signaling	dendrite///membrane///neuronal cell body///plasma membrane///synapse	GO:0005515///GO:0019904	GO:0008150///GO:0007267	GO:0030425///GO:0016020///GO:0043025///GO:0005886///GO:0045202
1438398_at	0.17525614704312	0.0274989801387139	-2.56356714506543	-3.45323311951454	-3.2529650397315	Rbm39	RNA binding motif protein 39	170791	2	RNA binding///nucleic acid binding///nucleotide binding///poly(A) RNA binding///protein binding///transcription coactivator activity	RNA splicing///mRNA processing///regulation of RNA biosynthetic process///regulation of transcription, DNA-templated///transcription, DNA-templated	microtubule cytoskeleton///microtubule organizing center///nucleus///nucleus	GO:0003723///GO:0003676///GO:0000166///GO:0044822///GO:0005515///GO:0003713	GO:0008380///GO:0006397///GO:2001141///GO:0006355///GO:0006351	GO:0015630///GO:0005815///GO:0005634///GO:0005634
1452693_at	0.17525614704312	0.0275219240253606	-2.56308769529548	-3.45398669996876	-1.83990347849414	Dhx35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	71715	2	ATP binding///hydrolase activity///molecular_function///nucleotide binding	biological_process	catalytic step 2 spliceosome	GO:0005524///GO:0016787///GO:0003674///GO:0000166	GO:0008150	GO:0071013
1434656_at	0.176483587924508	0.0288354484249949	-2.53627788716126	-3.49608918018516	-1.65925220232929	Ralgapb	Ral GTPase activating protein, beta subunit (non-catalytic)	228850	2	GTPase activator activity///Ral GTPase activator activity///Ral GTPase activator activity///protein heterodimerization activity	Ral protein signal transduction///activation of Ral GTPase activity///activation of Ral GTPase activity///regulation of exocyst localization///regulation of protein localization///regulation of small GTPase mediated signal transduction	intracellular	GO:0005096///GO:0017123///GO:0017123///GO:0046982	GO:0032484///GO:0032859///GO:0032859///GO:0060178///GO:0032880///GO:0051056	GO:0005622
