ID (num probes:45101)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1454714_x_at	0.114854082612674	5.09319450179258e-06	-10.5883980174177	-3.25728381440726	-3.57818246606731	Phgdh	3-phosphoglycerate dehydrogenase	236539	3 E1	NAD binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///phosphoglycerate dehydrogenase activity///phosphoglycerate dehydrogenase activity	G1 to G0 transition///L-serine biosynthetic process///L-serine metabolic process///cellular amino acid biosynthetic process///gamma-aminobutyric acid metabolic process///glial cell development///glutamine metabolic process///glycine metabolic process///metabolic process///neural tube development///neurogenesis///neuron projection development///oxidation-reduction process///regulation of gene expression///spinal cord development///taurine metabolic process///threonine metabolic process	extracellular vesicular exosome	GO:0051287///GO:0016491///GO:0016616///GO:0004617///GO:0004617	GO:0070314///GO:0006564///GO:0006563///GO:0008652///GO:0009448///GO:0021782///GO:0006541///GO:0006544///GO:0008152///GO:0021915///GO:0022008///GO:0031175///GO:0055114///GO:0010468///GO:0021510///GO:0019530///GO:0006566	GO:0070062
1456584_x_at	0.126003579356577	1.11752359687437e-05	-9.54126999525135	-3.28488120660804	-2.29210418129713	Phgdh	3-phosphoglycerate dehydrogenase	236539	3 E1	NAD binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///phosphoglycerate dehydrogenase activity///phosphoglycerate dehydrogenase activity	G1 to G0 transition///L-serine biosynthetic process///L-serine metabolic process///cellular amino acid biosynthetic process///gamma-aminobutyric acid metabolic process///glial cell development///glutamine metabolic process///glycine metabolic process///metabolic process///neural tube development///neurogenesis///neuron projection development///oxidation-reduction process///regulation of gene expression///spinal cord development///taurine metabolic process///threonine metabolic process	extracellular vesicular exosome	GO:0051287///GO:0016491///GO:0016616///GO:0004617///GO:0004617	GO:0070314///GO:0006564///GO:0006563///GO:0008652///GO:0009448///GO:0021782///GO:0006541///GO:0006544///GO:0008152///GO:0021915///GO:0022008///GO:0031175///GO:0055114///GO:0010468///GO:0021510///GO:0019530///GO:0006566	GO:0070062
1426658_x_at	0.587091884139542	0.000195259046630743	-6.42033114881564	-3.44069247401036	-2.53417640766433	Phgdh	3-phosphoglycerate dehydrogenase	236539	3 E1	NAD binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///phosphoglycerate dehydrogenase activity///phosphoglycerate dehydrogenase activity	G1 to G0 transition///L-serine biosynthetic process///L-serine metabolic process///cellular amino acid biosynthetic process///gamma-aminobutyric acid metabolic process///glial cell development///glutamine metabolic process///glycine metabolic process///metabolic process///neural tube development///neurogenesis///neuron projection development///oxidation-reduction process///regulation of gene expression///spinal cord development///taurine metabolic process///threonine metabolic process	extracellular vesicular exosome	GO:0051287///GO:0016491///GO:0016616///GO:0004617///GO:0004617	GO:0070314///GO:0006564///GO:0006563///GO:0008652///GO:0009448///GO:0021782///GO:0006541///GO:0006544///GO:0008152///GO:0021915///GO:0022008///GO:0031175///GO:0055114///GO:0010468///GO:0021510///GO:0019530///GO:0006566	GO:0070062
1437621_x_at	0.786638481471812	0.000297586937708276	-6.03593268725305	-3.47335427331996	-3.20997668446469	Phgdh	3-phosphoglycerate dehydrogenase	236539	3 E1	NAD binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///phosphoglycerate dehydrogenase activity///phosphoglycerate dehydrogenase activity	G1 to G0 transition///L-serine biosynthetic process///L-serine metabolic process///cellular amino acid biosynthetic process///gamma-aminobutyric acid metabolic process///glial cell development///glutamine metabolic process///glycine metabolic process///metabolic process///neural tube development///neurogenesis///neuron projection development///oxidation-reduction process///regulation of gene expression///spinal cord development///taurine metabolic process///threonine metabolic process	extracellular vesicular exosome	GO:0051287///GO:0016491///GO:0016616///GO:0004617///GO:0004617	GO:0070314///GO:0006564///GO:0006563///GO:0008652///GO:0009448///GO:0021782///GO:0006541///GO:0006544///GO:0008152///GO:0021915///GO:0022008///GO:0031175///GO:0055114///GO:0010468///GO:0021510///GO:0019530///GO:0006566	GO:0070062
1429101_at	0.999989313241072	0.000884203883973465	-5.11341628687881	-3.57294528047252	-1.71097392173304	Zfp697	zinc finger protein 697	242109	3	DNA binding///metal ion binding///nucleic acid binding	biological_process///regulation of transcription, DNA-templated///transcription, DNA-templated	nucleus	GO:0003677///GO:0046872///GO:0003676	GO:0008150///GO:0006355///GO:0006351	GO:0005634
1423858_a_at	0.999989313241072	0.00795201375056569	3.4991185517931	-3.85554570372377	0.96943350427294	Hmgcs2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	15360	3 42.74 cM	catalytic activity///hydroxymethylglutaryl-CoA synthase activity///transferase activity	cholesterol biosynthetic process///cholesterol metabolic process///isoprenoid biosynthetic process///lipid metabolic process///metabolic process///steroid biosynthetic process///steroid metabolic process///sterol biosynthetic process	mitochondrial inner membrane///mitochondrial matrix///mitochondrion	GO:0003824///GO:0004421///GO:0016740	GO:0006695///GO:0008203///GO:0008299///GO:0006629///GO:0008152///GO:0006694///GO:0008202///GO:0016126	GO:0005743///GO:0005759///GO:0005739
1455095_at	0.999989313241072	0.00880799961302675	-3.43004384428774	-3.87178211398727	-0.963938386239069	Hist2h2be	histone cluster 2, H2be	319190	3	DNA binding///protein binding///protein heterodimerization activity	antibacterial humoral response///defense response to Gram-positive bacterium///innate immune response in mucosa	chromosome///extracellular space///nucleosome///nucleus	GO:0003677///GO:0005515///GO:0046982	GO:0019731///GO:0050830///GO:0002227	GO:0005694///GO:0005615///GO:0000786///GO:0005634
1431701_a_at	0.999989313241072	0.0113207743848925	-3.2621538425794	-3.91289608024685	-1.535741787183	Pdzk1	PDZ domain containing 1	59020	3	PDZ domain binding///protein binding///protein complex binding///scavenger receptor binding	carnitine transport///establishment of protein localization to plasma membrane///positive regulation of ion transmembrane transport///positive regulation of protein targeting to membrane///regulation of anion transport///transport	apical plasma membrane///brush border membrane///cytoplasm///extracellular vesicular exosome///membrane///membrane raft///microvillus membrane///plasma membrane	GO:0030165///GO:0005515///GO:0032403///GO:0005124	GO:0015879///GO:0090002///GO:0034767///GO:0090314///GO:0044070///GO:0006810	GO:0016324///GO:0031526///GO:0005737///GO:0070062///GO:0016020///GO:0045121///GO:0031528///GO:0005886
1417626_at	0.999989313241072	0.0196750867773397	-2.89961442924737	-4.00979386938985	-0.595204677234953	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)	83679	3 42.28 cM	enzyme binding///enzyme binding///protein binding	cellular protein complex assembly///cellular protein complex assembly	Golgi apparatus///Golgi apparatus///centrosome///centrosome///cytoplasm///cytoskeleton///myofibril///myofibril///nucleus	GO:0019899///GO:0019899///GO:0005515	GO:0043623///GO:0043623	GO:0005794///GO:0005794///GO:0005813///GO:0005813///GO:0005737///GO:0005856///GO:0030016///GO:0030016///GO:0005634
1447854_s_at	0.999989313241072	0.0223890979978332	-2.81600911232003	-4.03371105778309	-0.922366507095132	Hist2h2be	histone cluster 2, H2be	319190	3	DNA binding///protein binding///protein heterodimerization activity	antibacterial humoral response///defense response to Gram-positive bacterium///innate immune response in mucosa	chromosome///extracellular space///nucleosome///nucleus	GO:0003677///GO:0005515///GO:0046982	GO:0019731///GO:0050830///GO:0002227	GO:0005694///GO:0005615///GO:0000786///GO:0005634
1454137_s_at	0.999989313241072	0.0423173587868532	-2.40804754237836	-4.15836384044911	-0.545160083712353	Hfe2	hemochromatosis type 2 (juvenile) (human homolog)	69585	3	coreceptor activity///protein binding	BMP signaling pathway///BMP signaling pathway///iron ion homeostasis///iron ion homeostasis///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter	anchored component of membrane///basolateral plasma membrane///cell surface///extracellular space///membrane///plasma membrane	GO:0015026///GO:0005515	GO:0030509///GO:0030509///GO:0055072///GO:0055072///GO:0045944///GO:0045944	GO:0031225///GO:0016323///GO:0009986///GO:0005615///GO:0016020///GO:0005886
1418755_at	0.999989313241072	0.0897836412953929	1.9267001789329	-4.31890268036607	0.462623143646218	Tbx15	T-box 15	21384	3 43.03 cM	DNA binding///RNA polymerase II transcription corepressor activity///protein heterodimerization activity///protein homodimerization activity///sequence-specific DNA binding transcription factor activity///transcription regulatory region sequence-specific DNA binding	embryonic cranial skeleton morphogenesis///embryonic skeletal system morphogenesis///embryonic skeletal system morphogenesis///negative regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///transcription from RNA polymerase II promoter///transcription, DNA-templated	colocalizes_with Tle3-Aes complex///nucleus	GO:0003677///GO:0001106///GO:0046982///GO:0042803///GO:0003700///GO:0000976	GO:0048701///GO:0048704///GO:0048704///GO:0000122///GO:0006355///GO:0006366///GO:0006351	colocalizes_with GO:0070722///GO:0005634
1448453_at	0.999989313241072	0.133468429157585	-1.66796670068344	-4.40784938156635	-1.35405810016186	Hsd3b1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	15492	3 42.89 cM	3-beta-hydroxy-delta5-steroid dehydrogenase activity///catalytic activity///isomerase activity///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///steroid delta-isomerase activity	metabolic process///oxidation-reduction process///steroid biosynthetic process	endoplasmic reticulum///integral component of membrane///membrane///mitochondrion	GO:0003854///GO:0003824///GO:0016853///GO:0016491///GO:0016616///GO:0004769	GO:0008152///GO:0055114///GO:0006694	GO:0005783///GO:0016021///GO:0016020///GO:0005739
1422155_at	0.999989313241072	0.148818733603516	1.595677622665	-4.43257537308389	0.594877809725286	Hist2h3c2	histone cluster 2, H3c2	97114	3	molecular_function	DNA replication-dependent nucleosome assembly///regulation of gene silencing	extracellular vesicular exosome///membrane///nuclear chromosome///nucleus///protein complex	GO:0003674	GO:0006335///GO:0060968	GO:0070062///GO:0016020///GO:0000228///GO:0005634///GO:0043234
1425868_at	0.999989313241072	0.161735849268297	1.53993056264325	-4.45152337723944	1.29424602099986	Hist2h2bb	histone cluster 2, H2bb	319189	3			extracellular vesicular exosome///nucleus			GO:0070062///GO:0005634
1431916_at	0.999989313241072	0.162943627936166	-1.53492572402847	-4.45321805159607	-1.08955672376485	Hsd3b3	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 3	15494	3 42.86 cM	3-beta-hydroxy-delta5-steroid dehydrogenase activity///catalytic activity///isomerase activity///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///steroid delta-isomerase activity	metabolic process///oxidation-reduction process///steroid biosynthetic process	endoplasmic reticulum///integral component of membrane///membrane///mitochondrial inner membrane///mitochondrial inner membrane///mitochondrial intermembrane space///mitochondrion	GO:0003854///GO:0003824///GO:0016853///GO:0016491///GO:0016616///GO:0004769	GO:0008152///GO:0055114///GO:0006694	GO:0005783///GO:0016021///GO:0016020///GO:0005743///GO:0005743///GO:0005758///GO:0005739
1440472_at	0.999989313241072	0.165230298972496	-1.525540749031	-4.4563926948817	-1.90759220219733	Spag17	sperm associated antigen 17	74362	3	protein binding	biological_process	cell projection///cilium///cytoplasm///cytoskeleton///microtubule///motile cilium///nucleus///sperm flagellum	GO:0005515	GO:0008150	GO:0042995///GO:0005929///GO:0005737///GO:0005856///GO:0005874///GO:0031514///GO:0005634///GO:0036126
1421709_a_at	0.999989313241072	0.166337518955355	-1.52103829793183	-4.45791422182862	-1.68685814623105	Fmo5	flavin containing monooxygenase 5	14263	3	N,N-dimethylaniline monooxygenase activity///NADP binding///flavin adenine dinucleotide binding///monooxygenase activity///oxidoreductase activity	oxidation-reduction process	endoplasmic reticulum///integral component of membrane///intracellular membrane-bounded organelle///membrane	GO:0004499///GO:0050661///GO:0050660///GO:0004497///GO:0016491	GO:0055114	GO:0005783///GO:0016021///GO:0043231///GO:0016020
1448021_at	0.999989313241072	0.167014094368295	-1.51830024513652	-4.45883900978313	-0.616174430938422	Fam46c	family with sequence similarity 46, member C	74645	3	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575
1422274_at	0.999989313241072	0.172615126933259	1.4960066943349	-4.46635436376966	1.02622653053576	Gja8	gap junction protein, alpha 8	14616	3 42.03 cM	contributes_to gap junction channel activity	camera-type eye development///cell communication///cell-cell signaling///lens development in camera-type eye///protein homooligomerization///transmembrane transport	cell junction///connexon complex///gap junction///integral component of membrane///membrane///plasma membrane	contributes_to GO:0005243	GO:0043010///GO:0007154///GO:0007267///GO:0002088///GO:0051260///GO:0055085	GO:0030054///GO:0005922///GO:0005921///GO:0016021///GO:0016020///GO:0005886
1438474_at	0.999989313241072	0.181549426718744	1.46174517200363	-4.47785026465204	0.425051066495723	Ankrd35	ankyrin repeat domain 35	213121	3	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575
1417876_at	0.999989313241072	0.200128094694812	-1.39501848632935	-4.50002180667988	-0.485050104057708	Fcgr1	Fc receptor, IgG, high affinity I	14129	3 41.72 cM	IgG binding///IgG binding///IgG receptor activity	Fc-gamma receptor signaling pathway///antibody-dependent cellular cytotoxicity///antigen processing and presentation of exogenous antigen///antigen processing and presentation of exogenous peptide antigen via MHC class I///cell surface receptor signaling pathway///defense response to bacterium///immune system process///innate immune response///phagocytosis, engulfment///phagocytosis, recognition///positive regulation of phagocytosis///positive regulation of type III hypersensitivity///positive regulation of type IIa hypersensitivity///receptor-mediated endocytosis///regulation of immune response///response to bacterium	external side of plasma membrane///integral component of membrane///membrane///plasma membrane	GO:0019864///GO:0019864///GO:0019770	GO:0038094///GO:0001788///GO:0019884///GO:0042590///GO:0007166///GO:0042742///GO:0002376///GO:0045087///GO:0006911///GO:0006910///GO:0050766///GO:0001805///GO:0001798///GO:0006898///GO:0050776///GO:0009617	GO:0009897///GO:0016021///GO:0016020///GO:0005886
1459142_at	0.999989313241072	0.200776276901102	-1.39278994790973	-4.50075674897105	-1.53833238621377	Spag17	sperm associated antigen 17	74362	3	protein binding	biological_process	cell projection///cilium///cytoplasm///cytoskeleton///microtubule///motile cilium///nucleus///sperm flagellum	GO:0005515	GO:0008150	GO:0042995///GO:0005929///GO:0005737///GO:0005856///GO:0005874///GO:0031514///GO:0005634///GO:0036126
1451364_at	0.999989313241072	0.203393081625797	-1.3838561589761	-4.50369910580622	-0.317126710490362	Polr3gl	polymerase (RNA) III (DNA directed) polypeptide G like	69870	3	contributes_to RNA polymerase III activity	transcription initiation from RNA polymerase III promoter	DNA-directed RNA polymerase III complex///DNA-directed RNA polymerase III complex///colocalizes_with nuclear chromatin///colocalizes_with nuclear chromatin	contributes_to GO:0001056	GO:0006384	GO:0005666///GO:0005666///colocalizes_with GO:0000790///colocalizes_with GO:0000790
1435273_at	0.999989313241072	0.231792558188385	-1.29278353010424	-4.53330317783224	-0.292992868920049	Wars2	tryptophanyl tRNA synthetase 2 (mitochondrial)	70560	3 F3	ATP binding///aminoacyl-tRNA ligase activity///ligase activity///nucleotide binding///tryptophan-tRNA ligase activity	tRNA aminoacylation for protein translation///translation///tryptophanyl-tRNA aminoacylation///vasculogenesis	cytoplasm///mitochondrion	GO:0005524///GO:0004812///GO:0016874///GO:0000166///GO:0004830	GO:0006418///GO:0006412///GO:0006436///GO:0001570	GO:0005737///GO:0005739
1440999_at	0.999989313241072	0.255184087998271	-1.2246325573548	-4.55491897378539	-0.254924349667024	Zfp697	zinc finger protein 697	242109	3	DNA binding///metal ion binding///nucleic acid binding	biological_process///regulation of transcription, DNA-templated///transcription, DNA-templated	nucleus	GO:0003677///GO:0046872///GO:0003676	GO:0008150///GO:0006355///GO:0006351	GO:0005634
