ID (num probes:22690)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1422589_at	0.0747538299384962	6.58914322948402e-06	-5.29232883487084	-2.05921238087305	-6.72718659894421	Rab3a	RAB3A, member RAS oncogene family	19339	8 34.15 cM	ATPase activator activity///ATPase binding///GTP binding///GTPase activity///GTPase binding///nucleotide binding///protein C-terminus binding///protein binding	GTP catabolic process///axonogenesis///exocytosis///lung development///maintenance of presynaptic active zone structure///mitochondrion organization///neuromuscular synaptic transmission///positive regulation of ATPase activity///post-embryonic development///protein transport///regulation of exocytosis///regulation of synaptic vesicle fusion to presynaptic membrane///respiratory system process///response to electrical stimulus///sensory perception of touch///small GTPase mediated signal transduction///synaptic vesicle exocytosis///synaptic vesicle exocytosis///synaptic vesicle maturation///synaptic vesicle recycling///transport	acrosomal vesicle///axon///cell///cytosol///intracellular organelle///membrane///plasma membrane///protein complex///synaptic vesicle///synaptic vesicle///terminal bouton///vesicle	GO:0001671///GO:0051117///GO:0005525///GO:0003924///GO:0051020///GO:0000166///GO:0008022///GO:0005515	GO:0006184///GO:0007409///GO:0006887///GO:0030324///GO:0048790///GO:0007005///GO:0007274///GO:0032781///GO:0009791///GO:0015031///GO:0017157///GO:0031630///GO:0003016///GO:0051602///GO:0050975///GO:0007264///GO:0016079///GO:0016079///GO:0016188///GO:0036465///GO:0006810	GO:0001669///GO:0030424///GO:0005623///GO:0005829///GO:0043229///GO:0016020///GO:0005886///GO:0043234///GO:0008021///GO:0008021///GO:0043195///GO:0031982
1435799_at	0.999980955660319	0.0011580606034049	3.53799462548821	-3.22033524421572	0.437594574495717	Sugp2	SURP and G patch domain containing 2	234373	8	RNA binding///molecular_function///nucleic acid binding	RNA processing///RNA splicing///biological_process///mRNA processing	cellular_component///nucleus	GO:0003723///GO:0003674///GO:0003676	GO:0006396///GO:0008380///GO:0008150///GO:0006397	GO:0005575///GO:0005634
1431070_a_at	0.999980955660319	0.00564623546662233	-2.94881780799836	-3.61585125130573	-0.573483674198786	Mau2	MAU2 chromatid cohesion factor homolog (C. elegans)	74549	8 C1	protein N-terminus binding	cell cycle///cell division///chromosome segregation///maintenance of mitotic sister chromatid cohesion///mitotic nuclear division	SMC loading complex///chromatin///chromatin///nucleoplasm///nucleus	GO:0047485	GO:0007049///GO:0051301///GO:0007059///GO:0034088///GO:0007067	GO:0032116///GO:0000785///GO:0000785///GO:0005654///GO:0005634
1419685_at	0.999980955660319	0.00684917805061437	-2.87362136503976	-3.66500732236653	-0.63865663512607	Upf1	UPF1 regulator of nonsense transcripts homolog (yeast)	19704	8 34.15 cM	ATP binding///ATP-dependent RNA helicase activity///DNA binding///RNA binding///chromatin binding///helicase activity///hydrolase activity///metal ion binding///nucleotide binding///poly(A) RNA binding///zinc ion binding	ATP catabolic process///DNA repair///DNA replication///dosage compensation by inactivation of X chromosome///histone mRNA catabolic process///nuclear-transcribed mRNA catabolic process///nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///regulation of translational termination	chromatin///cytoplasm///exon-exon junction complex///nucleus///supraspliceosomal complex	GO:0005524///GO:0004004///GO:0003677///GO:0003723///GO:0003682///GO:0004386///GO:0016787///GO:0046872///GO:0000166///GO:0044822///GO:0008270	GO:0006200///GO:0006281///GO:0006260///GO:0009048///GO:0071044///GO:0000956///GO:0000184///GO:0006449	GO:0000785///GO:0005737///GO:0035145///GO:0005634///GO:0044530
1433496_at	0.999980955660319	0.0127733379860216	-2.62431718331286	-3.82460266697678	-1.0915956552623	Glt25d1	glycosyltransferase 25 domain containing 1	234407	8	molecular_function///procollagen galactosyltransferase activity///transferase activity///transferase activity, transferring glycosyl groups	lipopolysaccharide biosynthetic process	endoplasmic reticulum///endoplasmic reticulum lumen///membrane	GO:0003674///GO:0050211///GO:0016740///GO:0016757	GO:0009103	GO:0005783///GO:0005788///GO:0016020
1435666_at	0.999980955660319	0.0202593359742606	-2.43204676082279	-3.94335372729071	-0.320144075895968	Mast3	microtubule associated serine/threonine kinase 3	546071	8	ATP binding///kinase activity///magnesium ion binding///nucleotide binding///protein kinase activity///protein serine/threonine kinase activity///transferase activity///transferase activity, transferring phosphorus-containing groups	phosphorylation///protein phosphorylation	cellular_component	GO:0005524///GO:0016301///GO:0000287///GO:0000166///GO:0004672///GO:0004674///GO:0016740///GO:0016772	GO:0016310///GO:0006468	GO:0005575
1455371_at	0.999980955660319	0.0238109802828398	-2.36286477253161	-3.98498726775436	-0.448453404007545	Rfxank	regulatory factor X-associated ankyrin-containing protein	19727	8 C1	DNA binding///histone deacetylase binding///protein binding	Ras protein signal transduction///positive regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///transcription, DNA-templated	cytoplasm///cytoplasm///intercellular bridge///intracellular///nucleus///nucleus///nucleus	GO:0003677///GO:0042826///GO:0005515	GO:0007265///GO:0045944///GO:0006355///GO:0006351	GO:0005737///GO:0005737///GO:0045171///GO:0005622///GO:0005634///GO:0005634///GO:0005634
1437472_at	0.999980955660319	0.0273911089793762	-2.30200704896897	-4.02108362091862	-0.267417096891861	Unc13a	unc-13 homolog A (C. elegans)	382018	8	SNARE binding///diacylglycerol binding///metal ion binding///protein N-terminus binding///protein binding///protein domain specific binding///protein heterodimerization activity///protein homodimerization activity///syntaxin-1 binding	beta-amyloid metabolic process///exocytosis///innervation///intracellular signal transduction///long-term synaptic potentiation///neuromuscular junction development///neurotransmitter secretion///positive regulation of neurotransmitter secretion///regulation of short-term neuronal synaptic plasticity///synaptic transmission///synaptic transmission, glutamatergic///synaptic transmission, glutamatergic///synaptic vesicle docking involved in exocytosis///synaptic vesicle maturation///synaptic vesicle priming	axon///cell junction///cytoplasm///excitatory synapse///membrane///neuromuscular junction///neuron projection///plasma membrane///presynaptic membrane///protein complex///synapse	GO:0000149///GO:0019992///GO:0046872///GO:0047485///GO:0005515///GO:0019904///GO:0046982///GO:0042803///GO:0017075	GO:0050435///GO:0006887///GO:0060384///GO:0035556///GO:0060291///GO:0007528///GO:0007269///GO:0001956///GO:0048172///GO:0007268///GO:0035249///GO:0035249///GO:0016081///GO:0016188///GO:0016082	GO:0030424///GO:0030054///GO:0005737///GO:0060076///GO:0016020///GO:0031594///GO:0043005///GO:0005886///GO:0042734///GO:0043234///GO:0045202
1425191_at	0.999980955660319	0.028672829175188	2.28195422784749	-4.03286462148251	0.676664093443499	Ocel1	occludin/ELL domain containing 1	77090	8 C1	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575
1450980_at	0.999980955660319	0.0306409065422889	2.25267746743597	-4.04996113024907	0.50169544911927	Gtpbp3	GTP binding protein 3	70359	8 C1	GTP binding///GTPase activity///nucleotide binding	GTP catabolic process///tRNA modification///tRNA processing	intracellular///mitochondrion///mitochondrion///nucleus	GO:0005525///GO:0003924///GO:0000166	GO:0006184///GO:0006400///GO:0008033	GO:0005622///GO:0005739///GO:0005739///GO:0005634
