GeneName d=0 d=0.05 d=0.1 d=0.15 d=0.2 d=0.25 d=0.3 d=0.35 d=0.4 d=0.45 d=0.5 d=0.55 d=0.6 d=0.65 d=0.7 d=0.75 d=0.8 d=0.85 d=0.9 d=0.95 d=1 
Abca1, 53, 45, 32, 15, 11, 11, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 2, 1
Btk, 76, 76, 76, 76, 75, 75, 73, 69, 62, 54, 52, 50, 43, 43, 42, 38, 38, 38, 38, 38, 75
Cav1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Cav3, 7, 2, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 1, 1, 1
Cftr, 34, 33, 30, 26, 21, 14, 12, 12, 12, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 41
Clcn1, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 60, 59, 58, 58, 54, 9
Cnr1, 29, 35, 37, 42, 42, 43, 44, 44, 45, 45, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 5
Emd, 43, 46, 51, 53, 55, 54, 55, 52, 53, 52, 52, 52, 50, 50, 50, 49, 50, 50, 50, 50, 16
Epas1, 36, 30, 14, 9, 7, 5, 5, 3, 3, 3, 3, 3, 2, 2, 3, 3, 4, 4, 4, 4, 52
Esrra, 54, 54, 54, 54, 49, 39, 26, 24, 21, 20, 17, 12, 11, 10, 10, 9, 9, 8, 8, 8, 48
Gap43, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 1
Gnmt, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 1
Hdac1, 62, 59, 55, 50, 38, 23, 17, 13, 10, 9, 9, 9, 8, 8, 8, 8, 9, 9, 8, 5, 1
Hdac2, 51, 51, 49, 43, 21, 8, 6, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 49
Hsf4, 50, 43, 43, 43, 43, 43, 43, 43, 42, 41, 41, 41, 41, 41, 41, 40, 39, 37, 36, 36, 36
Hspa1a, 18, 7, 7, 9, 9, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 7, 7, 56
Il6, 53, 51, 52, 55, 55, 56, 56, 56, 57, 57, 56, 57, 57, 57, 57, 57, 58, 58, 58, 58, 24
Lhx1, 13, 18, 23, 24, 25, 25, 26, 26, 26, 26, 26, 26, 26, 26, 27, 28, 28, 28, 28, 28, 34
Lhx8, 45, 46, 47, 48, 50, 50, 50, 51, 51, 51, 50, 50, 50, 50, 50, 49, 49, 49, 49, 49, 6
Lmna, 41, 12, 8, 8, 8, 7, 7, 7, 7, 8, 8, 9, 10, 10, 11, 11, 11, 11, 11, 11, 15
Mbnl1, 44, 45, 46, 47, 49, 50, 50, 50, 48, 49, 49, 49, 49, 50, 50, 50, 50, 50, 50, 50, 6
Mst1r, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 51
Myd88, 1, 25, 31, 32, 34, 34, 35, 35, 35, 35, 35, 35, 35, 36, 37, 37, 37, 37, 37, 37, 28
Nos3, 58, 57, 57, 54, 53, 54, 49, 45, 41, 36, 34, 28, 28, 26, 26, 26, 26, 24, 23, 21, 41
Phgdh, 61, 61, 61, 60, 53, 37, 26, 25, 23, 21, 17, 15, 14, 14, 14, 13, 13, 12, 12, 12, 52
Pmp22, 78, 78, 78, 78, 75, 67, 61, 58, 49, 48, 48, 46, 41, 40, 39, 37, 37, 34, 34, 33, 46
Ppara, 65, 65, 65, 65, 65, 65, 63, 59, 57, 55, 47, 41, 40, 40, 39, 37, 35, 34, 33, 21, 2
Pthlh, 25, 27, 31, 31, 33, 34, 34, 34, 37, 37, 36, 36, 37, 37, 37, 36, 36, 36, 35, 35, 17
Rab3a, 72, 72, 72, 72, 70, 48, 36, 30, 22, 12, 10, 10, 9, 9, 7, 7, 5, 5, 5, 5, 68
Rasgrf1, 56, 53, 45, 37, 26, 20, 17, 16, 14, 14, 14, 14, 14, 13, 13, 13, 14, 15, 15, 15, 19
Rbm15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
Runx2, 63, 16, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 71
