GeneName d=0 d=0.05 d=0.1 d=0.15 d=0.2 d=0.25 d=0.3 d=0.35 d=0.4 d=0.45 d=0.5 d=0.55 d=0.6 d=0.65 d=0.7 d=0.75 d=0.8 d=0.85 d=0.9 d=0.95 d=1 
Abca1, 53, 43, 36, 22, 16, 14, 13, 13, 12, 12, 12, 12, 12, 12, 12, 12, 13, 13, 13, 13, 49
Btk, 76, 76, 76, 73, 69, 67, 56, 47, 38, 30, 30, 28, 28, 29, 29, 28, 27, 27, 26, 26, 79
Cav1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Cav3, 7, 6, 7, 8, 9, 9, 9, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 5, 1
Cftr, 34, 34, 34, 33, 32, 31, 28, 27, 24, 22, 22, 22, 21, 21, 19, 19, 19, 19, 18, 18, 36
Clcn1, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 60, 60, 60, 60, 60, 60, 2
Cnr1, 29, 33, 32, 32, 31, 30, 30, 31, 31, 29, 29, 29, 28, 26, 26, 26, 26, 27, 27, 27, 24
Emd, 43, 48, 52, 53, 53, 53, 53, 53, 53, 54, 54, 54, 54, 55, 55, 56, 56, 56, 56, 56, 10
Epas1, 36, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 55
Esrra, 54, 54, 54, 52, 50, 35, 29, 25, 14, 12, 10, 7, 4, 4, 4, 4, 4, 4, 4, 4, 51
Gap43, 63, 63, 63, 63, 63, 63, 63, 63, 63, 62, 62, 62, 62, 62, 61, 60, 60, 57, 48, 43, 21
Gnmt, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 1
Hdac1, 62, 59, 55, 47, 27, 18, 9, 8, 8, 8, 8, 8, 8, 8, 8, 7, 7, 7, 7, 7, 70
Hdac2, 51, 51, 51, 51, 50, 48, 41, 31, 23, 17, 14, 13, 13, 13, 12, 12, 12, 12, 12, 12, 40
Hsf4, 50, 14, 14, 13, 8, 6, 6, 6, 5, 5, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 71
Hspa1a, 18, 2, 2, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 58
Il6, 53, 57, 54, 55, 55, 54, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 57, 57, 26
Lhx1, 13, 11, 12, 15, 17, 17, 17, 18, 18, 18, 18, 18, 18, 17, 17, 16, 15, 15, 15, 16, 45
Lhx8, 45, 46, 48, 47, 47, 47, 47, 47, 47, 48, 49, 49, 50, 50, 50, 50, 50, 50, 50, 50, 4
Lmna, 41, 45, 48, 50, 50, 49, 50, 49, 48, 46, 46, 46, 46, 44, 41, 41, 41, 41, 41, 41, 17
Mbnl1, 44, 44, 44, 44, 44, 44, 44, 46, 46, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 8
Mst1r, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 50
Myd88, 1, 21, 29, 31, 33, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 31
Nos3, 58, 52, 43, 21, 7, 7, 5, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 60
Phgdh, 61, 61, 60, 60, 54, 42, 31, 27, 23, 20, 16, 16, 14, 13, 11, 9, 7, 6, 5, 5, 1
Pmp22, 78, 78, 76, 64, 47, 37, 32, 28, 27, 25, 21, 20, 19, 18, 18, 18, 18, 17, 17, 16, 28
Ppara, 65, 65, 65, 65, 65, 65, 65, 65, 65, 64, 57, 53, 50, 49, 47, 42, 36, 36, 35, 35, 56
Pthlh, 25, 26, 27, 30, 32, 33, 35, 36, 36, 38, 40, 40, 40, 40, 39, 40, 41, 41, 41, 40, 37
Rab3a, 72, 72, 72, 61, 23, 11, 6, 5, 5, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 71
Rasgrf1, 56, 55, 54, 51, 51, 49, 47, 44, 42, 42, 41, 40, 37, 36, 35, 34, 34, 33, 33, 33, 31
Rbm15, 1, 1, 2, 7, 10, 12, 14, 15, 18, 20, 21, 23, 23, 24, 26, 27, 27, 27, 27, 27, 33
Runx2, 63, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 5, 5, 71
Scd1, 23, 8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 9, 9, 9, 9, 8, 5, 1
Slc26a4, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 40, 40, 40, 40, 40, 40, 4
Srf, 53, 51, 50, 49, 47, 38, 27, 27, 22, 21, 20, 19, 17, 15, 15, 15, 14, 14, 13, 13, 44
Tcf7, 45, 46, 47, 48, 47, 47, 47, 48, 47, 47, 48, 49, 50, 50, 50, 50, 51, 51, 51, 53, 17
Tgm2, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 44, 44, 44, 43, 43, 42, 40, 40, 39, 39, 8
Zc3h12a, 20, 9, 13, 14, 14, 14, 15, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 18, 18, 40
Zfp36, 58, 59, 59, 59, 60, 59, 58, 59, 57, 58, 57, 57, 56, 55, 52, 52, 52, 52, 51, 51, 41
Zfx, 43, 42, 40, 39, 36, 36, 33, 32, 30, 28, 27, 26, 25, 24, 24, 23, 22, 21, 21, 21, 33

Average: 42.625 38.65 38.35 36.95 34.2 32.25 30.525 29.75 28.575 27.975 27.425 27.175 26.775 26.475 26.025 25.725 25.475 25.325 24.975 24.65 33.15 
top10 count: 5 9 8 8 10 9 11 11 10 10 11 11 11 11 11 12 12 12 12 13 11 
top20 count: 8 11 11 11 12 14 14 14 15 17 17 18 18 18 19 19 19 19 19 19 13 
Roc_Score: 0.308989366264
