gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Rad23b,Rnf20,0.0,0.0,0.0,0.0,0.0,0.175,0.628,0.361,0.787,string:10090.ENSMUSP00000103161,string:10090.ENSMUSP00000016452,Ube3a,Ube2a
Tmem245,Nipsnap3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.755,0.755,string:10090.ENSMUSP00000103234,string:10090.ENSMUSP00000015391,Tmem245,Nipsnap3b
Actl7a,Coro2a,0.0,0.0,0.0,0.0,0.085,0.263,0.0,0.572,0.686,string:10090.ENSMUSP00000092692,string:10090.ENSMUSP00000030021,Actl7a,Coro2a
Ptgr1,Nipsnap3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0.676,string:10090.ENSMUSP00000030069,string:10090.ENSMUSP00000015391,Ptgr1,Nipsnap3b
Actl7a,Ctnnal1,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.636,0.645,string:10090.ENSMUSP00000092692,string:10090.ENSMUSP00000036487,Actl7a,Ctnnal1
Musk,Fktn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.643,string:10090.ENSMUSP00000137931,string:10090.ENSMUSP00000061489,Agrn,Fktn
Tmem245,Slc46a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636,0.636,string:10090.ENSMUSP00000103234,string:10090.ENSMUSP00000030081,Tmem245,Slc46a2
Fktn,Tmem38b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626,0.626,string:10090.ENSMUSP00000061489,string:10090.ENSMUSP00000030127,Fktn,Tmem38b
Actl7a,Ikbkap,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.6,0.611,string:10090.ENSMUSP00000092692,string:10090.ENSMUSP00000030140,Actl7a,Ikbkap
Gng10,Ctnnal1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,string:10090.ENSMUSP00000042705,string:10090.ENSMUSP00000036487,Gng10,Ctnnal1
Hsdl2,Nans,0.213,0.0,0.0,0.0,0.075,0.0,0.0,0.479,0.587,string:10090.ENSMUSP00000030078,string:10090.ENSMUSP00000030018,Hsdl2,Nans
Tmod1,Tstd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553,0.553,string:10090.ENSMUSP00000103402,string:10090.ENSMUSP00000103399,Tmod1,Tstd2
Baat,Aldob,0.0,0.0,0.0,0.0,0.157,0.0,0.0,0.474,0.537,string:10090.ENSMUSP00000041983,string:10090.ENSMUSP00000029987,Baat,Aldob
Mup4,Slc46a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497,0.497,string:10090.ENSMUSP00000074264,string:10090.ENSMUSP00000030081,Mup2,Slc46a2
Txndc8,Erp44,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0.339,0.494,string:10090.ENSMUSP00000099961,string:10090.ENSMUSP00000022378,Txndc8,Ero1l
Txn1,Erp44,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0.339,0.494,string:10090.ENSMUSP00000030051,string:10090.ENSMUSP00000022378,Txn1,Ero1l
Tmod1,Acnat2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.485,string:10090.ENSMUSP00000103402,string:10090.ENSMUSP00000080256,Tmod1,Acnat2
Slc46a2,Nipsnap3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.485,string:10090.ENSMUSP00000030081,string:10090.ENSMUSP00000015391,Slc46a2,Nipsnap3b
Tmod1,Aldob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.485,string:10090.ENSMUSP00000103402,string:10090.ENSMUSP00000029987,Tmod1,Aldob
Tmod1,Baat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.485,string:10090.ENSMUSP00000103402,string:10090.ENSMUSP00000041983,Tmod1,Baat
Rad23b,AI314180,0.0,0.0,0.0,0.0,0.331,0.215,0.0,0.096,0.484,string:10090.ENSMUSP00000103161,string:10090.ENSMUSP00000099953,Ube3a,AI314180
Acnat2,Aldob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.473,string:10090.ENSMUSP00000080256,string:10090.ENSMUSP00000029987,Acnat2,Aldob
Stx17,Nr4a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.473,string:10090.ENSMUSP00000068087,string:10090.ENSMUSP00000030025,Stx17,Nr4a3
Txn1,Nans,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.448,0.461,string:10090.ENSMUSP00000030051,string:10090.ENSMUSP00000030018,Txn1,Nans
Stx17,Invs,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.409,0.45,string:10090.ENSMUSP00000068087,string:10090.ENSMUSP00000030029,Stx17,Invs
Tmem38b,Tal2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,string:10090.ENSMUSP00000030127,string:10090.ENSMUSP00000030124,Tmem38b,Tal2
Tex10,Invs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.416,string:10090.ENSMUSP00000030030,string:10090.ENSMUSP00000030029,Tex10,Invs
Ikbkap,Rnf20,0.0,0.0,0.0,0.0,0.0,0.377,0.0,0.0,0.377,string:10090.ENSMUSP00000030140,string:10090.ENSMUSP00000016452,Ikbkap,Ube2a
Ugcg,Ptgr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.335,string:10090.ENSMUSP00000030074,string:10090.ENSMUSP00000030069,Ugcg,Ptgr1
Tdrd7,Anp32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.322,string:10090.ENSMUSP00000099993,string:10090.ENSMUSP00000099990,Tdrd7,Anp32b
Sec61b,Nans,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.309,string:10090.ENSMUSP00000067681,string:10090.ENSMUSP00000030018,Sec61b,Nans
Smc2,Nipsnap3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.309,string:10090.ENSMUSP00000099979,string:10090.ENSMUSP00000015391,Smc2,Nipsnap3b
Stx17,Snx30,0.0,0.0,0.0,0.0,0.0,0.218,0.0,0.136,0.295,string:10090.ENSMUSP00000068087,string:10090.ENSMUSP00000030080,Stx17,Snx30
Tmod1,Anp32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.286,string:10090.ENSMUSP00000103402,string:10090.ENSMUSP00000099990,Tmod1,Anp32b
Tmod1,Tdrd7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.282,string:10090.ENSMUSP00000103402,string:10090.ENSMUSP00000099993,Tmod1,Tdrd7
Hemgn,Invs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281,0.281,string:10090.ENSMUSP00000066383,string:10090.ENSMUSP00000030029,Hemgn,Invs
Smc2,Alg2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.275,string:10090.ENSMUSP00000099979,string:10090.ENSMUSP00000022060,Smc2,Pdcd6
Klf4,Nr4a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.275,string:10090.ENSMUSP00000089951,string:10090.ENSMUSP00000030025,Zfp750,Nr4a3
Txndc8,Actl7a,0.0,0.0,0.0,0.0,0.155,0.073,0.0,0.143,0.27,string:10090.ENSMUSP00000099961,string:10090.ENSMUSP00000092692,Txndc8,Actl7a
Ikbkap,Tex10,0.0,0.0,0.0,0.0,0.268,0.0,0.0,0.0,0.269,string:10090.ENSMUSP00000030140,string:10090.ENSMUSP00000030030,Ikbkap,Tex10
Coro2a,Erp44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,0.269,string:10090.ENSMUSP00000030021,string:10090.ENSMUSP00000022378,Coro2a,Ero1l
Rnf20,Lpar1,0.0,0.0,0.0,0.0,0.142,0.113,0.0,0.107,0.261,string:10090.ENSMUSP00000016452,string:10090.ENSMUSP00000009003,Ube2a,Rala
Rad23b,Ikbkap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.256,string:10090.ENSMUSP00000103161,string:10090.ENSMUSP00000030140,Ube3a,Ikbkap
Actl7a,Abca1,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.221,0.245,string:10090.ENSMUSP00000092692,string:10090.ENSMUSP00000057085,Actl7a,Arl4c
Sec61b,Txn1,0.0,0.0,0.0,0.0,0.242,0.0,0.0,0.0,0.242,string:10090.ENSMUSP00000067681,string:10090.ENSMUSP00000030051,Sec61b,Txn1
Tmod1,Murc,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.239,string:10090.ENSMUSP00000103402,string:10090.ENSMUSP00000030033,Tmod1,Murc
Actl7a,Lpar1,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.213,0.237,string:10090.ENSMUSP00000092692,string:10090.ENSMUSP00000009003,Actl7a,Rala
Fktn,Tal2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.236,string:10090.ENSMUSP00000061489,string:10090.ENSMUSP00000030124,Fktn,Tal2
