gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Prss2,2210010C04Rik,0.0,0.0,0.009486,0.0,0.923,0.0,0.0,0.01485,0.924,string:10090.ENSMUSP00000065393,string:10090.ENSMUSP00000031931,Prss2,AV072249
Try5///Try4,2210010C04Rik,0.0,0.0,0.008959,0.0,0.833,0.0,0.0,0.013702,0.836,string:10090.ENSMUSP00000064498,string:10090.ENSMUSP00000031931,Try5,AV072249
Prss2,Try5///Try4,0.0,0.0,0.006324,0.0,0.83,0.0,0.0,0.010092,0.832,string:10090.ENSMUSP00000065393,string:10090.ENSMUSP00000064498,Prss2,Try5
Prss3,2210010C04Rik,0.0,0.0,0.009486,0.0,0.718,0.0,0.0,0.014616,0.724,string:10090.ENSMUSP00000093702,string:10090.ENSMUSP00000031931,Prss3,AV072249
Zyx,Ezh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697,0.697,string:10090.ENSMUSP00000070427,string:10090.ENSMUSP00000020099,Zyx,Cdk1
Ssbp1,Ezh2,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.637,0.667,string:10090.ENSMUSP00000031971,string:10090.ENSMUSP00000020099,Ssbp1,Cdk1
Slc37a3,Kdm7a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661,0.661,string:10090.ENSMUSP00000087709,string:10090.ENSMUSP00000002305,Slc37a3,Jhdm1d
Ndufb2,Mrps33,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.517,0.647,string:10090.ENSMUSP00000114095,string:10090.ENSMUSP00000031978,Ndufb2,Mrps33
Mrps33,Ssbp1,0.0,0.0,0.0,0.0,0.254,0.0,0.0,0.472,0.589,string:10090.ENSMUSP00000031978,string:10090.ENSMUSP00000031971,Mrps33,Ssbp1
Epha1,Arhgef5,0.0,0.0,0.0,0.0,0.0,0.0,0.362,0.361,0.574,string:10090.ENSMUSP00000073099,string:10090.ENSMUSP00000031750,Epha1,Arhgef5
Ndufb2,1110001J03Rik,0.0,0.0,0.0,0.0,0.565,0.0,0.0,0.0,0.565,string:10090.ENSMUSP00000114095,string:10090.ENSMUSP00000019833,Ndufb2,Fmc1
Prss3,Prss2,0.0,0.0,0.006851,0.0,0.542,0.0,0.0,0.010933,0.549,string:10090.ENSMUSP00000093702,string:10090.ENSMUSP00000065393,Prss3,Prss2
Epha1,Tpk1,0.454,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.53,string:10090.ENSMUSP00000073099,string:10090.ENSMUSP00000065631,Epha1,Tpk1
Ptn,Ezh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.525,string:10090.ENSMUSP00000028672,string:10090.ENSMUSP00000020099,Mdk,Cdk1
Tpk1,Clcn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508,0.508,string:10090.ENSMUSP00000065631,string:10090.ENSMUSP00000031894,Tpk1,Clcn1
Ephb6,Tpk1,0.454,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.468,string:10090.ENSMUSP00000110380,string:10090.ENSMUSP00000065631,Ephb6,Tpk1
1700074P13Rik,Sva,0.0,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.452,string:10090.ENSMUSP00000031935,string:10090.ENSMUSP00000024059,Tryx5,Sva
Zyx,Clcn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.452,string:10090.ENSMUSP00000070427,string:10090.ENSMUSP00000031894,Zyx,Clcn1
Zyx,Tpk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,string:10090.ENSMUSP00000070427,string:10090.ENSMUSP00000065631,Zyx,Tpk1
Trpv6,Casp2,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.333,0.419,string:10090.ENSMUSP00000095437,string:10090.ENSMUSP00000026580,Sgk3,Lrdd
Zfp467,Prss58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.414,string:10090.ENSMUSP00000110207,string:10090.ENSMUSP00000069833,Zfp467,Prss58
Zfp777,Zfp282,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.197964,0.365,string:10090.ENSMUSP00000110230,string:10090.ENSMUSP00000053643,Zfp777,Zfp282
Ndufb2,Ssbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362,0.362,string:10090.ENSMUSP00000114095,string:10090.ENSMUSP00000031971,Ndufb2,Ssbp1
Prss37,1700074P13Rik,0.0,0.0,0.0,0.0,0.353,0.0,0.0,0.0,0.353,string:10090.ENSMUSP00000031967,string:10090.ENSMUSP00000031935,Prss37,Tryx5
Trpv6,Ezh2,0.0,0.0,0.11315,0.0,0.0,0.19,0.0,0.10509,0.344,string:10090.ENSMUSP00000095437,string:10090.ENSMUSP00000020099,Sgk3,Cdk1
Ephb6,Arhgef5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.336,string:10090.ENSMUSP00000110380,string:10090.ENSMUSP00000031750,Ephb6,Arhgef5
Hipk2,Ptn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329,0.329,string:10090.ENSMUSP00000073974,string:10090.ENSMUSP00000028672,Axin1,Mdk
Mrps33,1110001J03Rik,0.0,0.0,0.0,0.0,0.315,0.0,0.0,0.0,0.315,string:10090.ENSMUSP00000031978,string:10090.ENSMUSP00000019833,Mrps33,Fmc1
Casp2,Ezh2,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.213,0.314,string:10090.ENSMUSP00000026580,string:10090.ENSMUSP00000020099,Lrdd,Cdk1
Ephb6,Kel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285,0.285,string:10090.ENSMUSP00000110380,string:10090.ENSMUSP00000031899,Ephb6,Kel
Ezh2,Braf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250881,0.278,string:10090.ENSMUSP00000020099,string:10090.ENSMUSP00000002487,Cdk1,Braf
Epha1,Ptn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.275,string:10090.ENSMUSP00000073099,string:10090.ENSMUSP00000028672,Epha1,Mdk
Trpv6,Braf,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.187537,0.273,string:10090.ENSMUSP00000095437,string:10090.ENSMUSP00000002487,Sgk3,Braf
Ptn,Braf,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.216,0.27,string:10090.ENSMUSP00000028672,string:10090.ENSMUSP00000002487,Mdk,Braf
Trpv6,Arhgef5,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.158,0.267,string:10090.ENSMUSP00000095437,string:10090.ENSMUSP00000031750,Sgk3,Arhgef5
Mrps33,Tbxas1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.263,string:10090.ENSMUSP00000031978,string:10090.ENSMUSP00000003017,Mrps33,Tbxas1
Braf,Kdm7a,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.164,0.257,string:10090.ENSMUSP00000002487,string:10090.ENSMUSP00000002305,Braf,Jhdm1d
Krba1,Zfp467,0.0,0.0,0.0,0.0,0.253,0.0,0.0,0.0,0.252,string:10090.ENSMUSP00000110219,string:10090.ENSMUSP00000110207,Krba1,Zfp467
Clec5a,Cntnap2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.241,string:10090.ENSMUSP00000121848,string:10090.ENSMUSP00000110288,Clec5a,Cntnap2
Mkrn1,Braf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.236,string:10090.ENSMUSP00000031985,string:10090.ENSMUSP00000002487,Mkrn1,Braf
Nobox,Ezh2,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.122,0.236,string:10090.ENSMUSP00000031749,string:10090.ENSMUSP00000020099,Nobox,Cdk1
Zfp467,Creb3l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.236,string:10090.ENSMUSP00000110207,string:10090.ENSMUSP00000040208,Zfp467,Creb3l2
Zfp282,Kdm7a,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.173,0.234,string:10090.ENSMUSP00000053643,string:10090.ENSMUSP00000002305,Zfp282,Jhdm1d
Zfp746,Kdm7a,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.173,0.234,string:10090.ENSMUSP00000072868,string:10090.ENSMUSP00000002305,Zfp746,Jhdm1d
