gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Gabrr1,Gabrr2,0.0,0.0,0.0,0.0,0.0,0.165,0.9,0.018238,0.914,string:10090.ENSMUSP00000029947,string:10090.ENSMUSP00000024035,Gabrr1,Gabrr2
Rngtt,Orc3,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.582,0.629,string:10090.ENSMUSP00000103788,string:10090.ENSMUSP00000048319,Rngtt,Orc3
Rngtt,Rragd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.596,0.597,string:10090.ENSMUSP00000103788,string:10090.ENSMUSP00000095792,Rngtt,Rragd
Rragd,Orc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585,0.585,string:10090.ENSMUSP00000095792,string:10090.ENSMUSP00000048319,Rragd,Orc3
Akirin2,Orc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,string:10090.ENSMUSP00000081322,string:10090.ENSMUSP00000048319,Akirin2,Orc3
Rragd,Gabrr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557,0.557,string:10090.ENSMUSP00000095792,string:10090.ENSMUSP00000029947,Rragd,Gabrr1
Rngtt,Gabrr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.548,0.548,string:10090.ENSMUSP00000103788,string:10090.ENSMUSP00000029947,Rngtt,Gabrr1
Rragd,Pm20d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.537,string:10090.ENSMUSP00000095792,string:10090.ENSMUSP00000095783,Rragd,Pm20d2
Orc3,1700009N14Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.526,string:10090.ENSMUSP00000048319,string:10090.ENSMUSP00000029955,Orc3,AI429145
Rngtt,Akirin2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,string:10090.ENSMUSP00000103788,string:10090.ENSMUSP00000081322,Rngtt,Akirin2
Ube2j1,Ankrd6,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.479,0.519,string:10090.ENSMUSP00000118333,string:10090.ENSMUSP00000041300,Ube2j1,Ankrd6
Pm20d2,Gabrr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508,0.508,string:10090.ENSMUSP00000095783,string:10090.ENSMUSP00000029947,Pm20d2,Gabrr1
Ube2j1,Gabrr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.494,string:10090.ENSMUSP00000118333,string:10090.ENSMUSP00000024035,Ube2j1,Gabrr2
Pm20d2,Gabrr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.487,string:10090.ENSMUSP00000095783,string:10090.ENSMUSP00000024035,Pm20d2,Gabrr2
Ube2j1,Pm20d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487,0.487,string:10090.ENSMUSP00000118333,string:10090.ENSMUSP00000095783,Ube2j1,Pm20d2
Rragd,Gabrr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487,0.487,string:10090.ENSMUSP00000095792,string:10090.ENSMUSP00000024035,Rragd,Gabrr2
Ube2j1,Rragd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486,0.485,string:10090.ENSMUSP00000118333,string:10090.ENSMUSP00000095792,Ube2j1,Rragd
Rngtt,Gabrr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.485,string:10090.ENSMUSP00000103788,string:10090.ENSMUSP00000024035,Rngtt,Gabrr2
Pm20d2,Ankrd6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.479,string:10090.ENSMUSP00000095783,string:10090.ENSMUSP00000041300,Pm20d2,Ankrd6
