gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Vegfb,Plcb3,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.106,0.813,string:10090.ENSMUSP00000031653,string:10090.ENSMUSP00000025912,Flt1,Plcb3
Rasgrp2,Fermt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719,0.719,string:10090.ENSMUSP00000041135,string:10090.ENSMUSP00000037858,Rasgrp2,Fermt3
Bad,Rasgrp2,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.52,0.588,string:10090.ENSMUSP00000047285,string:10090.ENSMUSP00000041135,Pak7,Rasgrp2
Men1,Pygm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535,0.536,string:10090.ENSMUSP00000109130,string:10090.ENSMUSP00000047564,Men1,Pygm
Fkbp2,Cox8a,0.0,0.0,0.0,0.0,0.109,0.0,0.0,0.478,0.515,string:10090.ENSMUSP00000066839,string:10090.ENSMUSP00000040717,Fkbp2,Cox8a
Fkbp2,Pygm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,string:10090.ENSMUSP00000066839,string:10090.ENSMUSP00000047564,Fkbp2,Pygm
Gpha2,Ppp2r5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.479,string:10090.ENSMUSP00000025698,string:10090.ENSMUSP00000025695,Gpha2,Ppp2r5b
Pygm,Cox8a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478,0.478,string:10090.ENSMUSP00000047564,string:10090.ENSMUSP00000040717,Pygm,Cox8a
Rtn3,Pygm,0.0,0.002,0.0,0.0,0.462,0.0,0.0,0.0,0.461,string:10090.ENSMUSP00000065810,string:10090.ENSMUSP00000047564,Rtn3,Pygm
Cox8a,Prdx5,0.0,0.0,0.0,0.0,0.439,0.0,0.0,0.0,0.439,string:10090.ENSMUSP00000040717,string:10090.ENSMUSP00000025904,Cox8a,Prdx5
Men1,Cox8a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.418,string:10090.ENSMUSP00000109130,string:10090.ENSMUSP00000040717,Men1,Cox8a
Men1,Fkbp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.392,string:10090.ENSMUSP00000109130,string:10090.ENSMUSP00000066839,Men1,Fkbp2
Dnajc4,Stip1,0.0,0.0,0.0,0.0,0.137,0.229,0.0,0.15,0.385,string:10090.ENSMUSP00000136062,string:10090.ENSMUSP00000025918,Dnajc4,Stip1
Sf1,Mark2,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.352,0.38,string:10090.ENSMUSP00000028600,string:10090.ENSMUSP00000003152,Hipk3,Stk11
Nrxn2,Rasgrp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366,0.366,string:10090.ENSMUSP00000109089,string:10090.ENSMUSP00000041135,Nrxn2,Rasgrp2
Nrxn2,Fermt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.363,string:10090.ENSMUSP00000109089,string:10090.ENSMUSP00000037858,Nrxn2,Fermt3
