gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Mrps10,Mrpl2,0.454,0.0,0.0,0.0,0.984,0.23,0.0,0.328,0.994,string:10090.ENSMUSP00000113343,string:10090.ENSMUSP00000002844,Mrps10,Mrpl2
Rpl7l1,Mrpl2,0.454,0.0,0.0,0.0,0.948,0.525,0.0,0.328,0.989,string:10090.ENSMUSP00000092888,string:10090.ENSMUSP00000002844,Rpl7l1,Mrpl2
Mrps10,Rpl7l1,0.454,0.0,0.0,0.0,0.931,0.27,0.0,0.328,0.979,string:10090.ENSMUSP00000113343,string:10090.ENSMUSP00000092888,Mrps10,Rpl7l1
Guca1a,Guca1b,0.0,0.0,0.0,0.0,0.0,0.0,0.954,0.07266,0.957,string:10090.ENSMUSP00000060027,string:10090.ENSMUSP00000024774,Guca1a,Guca1b
Mrps10,Mrps18a,0.0,0.0,0.0,0.0,0.815,0.678,0.0,0.337,0.957,string:10090.ENSMUSP00000113343,string:10090.ENSMUSP00000024763,Mrps10,Mrps18a
Polr1c,Mrpl2,0.454,0.0,0.0,0.0,0.824,0.401,0.0,0.328,0.956,string:10090.ENSMUSP00000084252,string:10090.ENSMUSP00000002844,Polr1c,Mrpl2
Mrps10,Polr1c,0.454,0.0,0.0,0.0,0.79,0.0,0.0,0.328,0.916,string:10090.ENSMUSP00000113343,string:10090.ENSMUSP00000084252,Mrps10,Polr1c
Rpl7l1,Polr1c,0.454,0.0,0.0,0.0,0.813,0.0,0.0,0.221,0.913,string:10090.ENSMUSP00000092888,string:10090.ENSMUSP00000084252,Rpl7l1,Polr1c
Mrps18a,Mrpl2,0.0,0.0,0.0,0.0,0.829,0.0,0.0,0.338,0.882,string:10090.ENSMUSP00000024763,string:10090.ENSMUSP00000002844,Mrps18a,Mrpl2
Klhdc3,Ppp2r5d,0.0,0.0,0.0,0.0,0.105,0.084,0.0,0.787,0.81,string:10090.ENSMUSP00000071743,string:10090.ENSMUSP00000002839,Klhdc3,Ppp2r5d
Rpl7l1,Mrps18a,0.0,0.0,0.0,0.0,0.718,0.0,0.0,0.328,0.802,string:10090.ENSMUSP00000092888,string:10090.ENSMUSP00000024763,Rpl7l1,Mrps18a
Cnpy3,Ppp2r5d,0.0,0.0,0.0,0.0,0.176,0.0,0.0,0.683,0.728,string:10090.ENSMUSP00000050309,string:10090.ENSMUSP00000002839,Cnpy3,Ppp2r5d
Polr1c,Bysl,0.0,0.0,0.0,0.0,0.723,0.0,0.0,0.0,0.723,string:10090.ENSMUSP00000084252,string:10090.ENSMUSP00000024783,Polr1c,Bysl
Ttbk1,Bysl,0.0,0.0,0.0,0.0,0.0,0.552,0.0,0.351,0.696,string:10090.ENSMUSP00000028740,string:10090.ENSMUSP00000024783,Ttbk2,Bysl
