gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Psmb2,Snip1,0.0,0.0,0.0,0.0,0.982,0.985,0.961,0.73,0.999,string:10090.ENSMUSP00000030642,string:10090.ENSMUSP00000005923,Psmb2,Psmb4
Snrnp40,Srsf4,0.0,0.0,0.0,0.0,0.071,0.197,0.9,0.0,0.918,string:10090.ENSMUSP00000101616,string:10090.ENSMUSP00000061474,Snrnp40,Srsf4
Dnajc8,Srsf4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.136,0.909,string:10090.ENSMUSP00000092242,string:10090.ENSMUSP00000061474,Dnajc8,Srsf4
Snrnp40,Dnajc8,0.0,0.0,0.0,0.0,0.069,0.0,0.9,0.0,0.902,string:10090.ENSMUSP00000101616,string:10090.ENSMUSP00000092242,Snrnp40,Dnajc8
Rbbp4,Phc2,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.046,0.9,string:10090.ENSMUSP00000099658,string:10090.ENSMUSP00000030588,Rbbp4,Phc2
Mrps15,Yars,0.092,0.0,0.0,0.0,0.13,0.066,0.0,0.468,0.554,string:10090.ENSMUSP00000030675,string:10090.ENSMUSP00000001365,Mrps15,Yars
Khdrbs1,Srsf4,0.0,0.0,0.0,0.0,0.0,0.261,0.0,0.416,0.55,string:10090.ENSMUSP00000066516,string:10090.ENSMUSP00000061474,Khdrbs1,Srsf4
Gjb4,Gjb5,0.0,0.0,0.0,0.0,0.278,0.0,0.36,0.025725,0.53,string:10090.ENSMUSP00000053307,string:10090.ENSMUSP00000045325,Gjb4,Gjb5
Laptm5,Cd52,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0,0.513,string:10090.ENSMUSP00000118415,string:10090.ENSMUSP00000000696,Laptm5,Cd52
Kpna6,Hdac1,0.0,0.0,0.0,0.0,0.0,0.351,0.0,0.208,0.464,string:10090.ENSMUSP00000099650,string:10090.ENSMUSP00000046598,Kpna6,Senp1
Gjb4,Gjb3,0.0,0.0,0.0,0.0,0.173,0.0,0.36,0.023832,0.46,string:10090.ENSMUSP00000053307,string:10090.ENSMUSP00000046755,Gjb4,Gjb3
Gjb3,Gjb5,0.0,0.0,0.0,0.0,0.11,0.0,0.36,0.032308,0.425,string:10090.ENSMUSP00000046755,string:10090.ENSMUSP00000045325,Gjb3,Gjb5
Gja4,Gjb5,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.092984,0.418,string:10090.ENSMUSP00000062320,string:10090.ENSMUSP00000045325,Gja4,Gjb5
Gja4,Gjb3,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.075748,0.407,string:10090.ENSMUSP00000062320,string:10090.ENSMUSP00000046755,Gja4,Gjb3
Rbbp4,Lck,0.0,0.0,0.0,0.0,0.0,0.373,0.0,0.087,0.403,string:10090.ENSMUSP00000099658,string:10090.ENSMUSP00000023673,Rbbp4,Runx1
Gja4,Gjb4,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.06696,0.401,string:10090.ENSMUSP00000062320,string:10090.ENSMUSP00000053307,Gja4,Gjb4
S100pbp,Ptp4a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394,0.394,string:10090.ENSMUSP00000039820,string:10090.ENSMUSP00000030578,S100pbp,Ptp4a2
Zfp362,Lck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391,0.391,string:10090.ENSMUSP00000065733,string:10090.ENSMUSP00000023673,Zfp362,Runx1
Snrnp40,Khdrbs1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391,0.391,string:10090.ENSMUSP00000101616,string:10090.ENSMUSP00000066516,Snrnp40,Khdrbs1
Snrnp40,Rpa2,0.0,0.0,0.0,0.0,0.377,0.0,0.0,0.0,0.377,string:10090.ENSMUSP00000101616,string:10090.ENSMUSP00000099621,Snrnp40,Rpa2
Kpna6,Yars,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.33,0.367,string:10090.ENSMUSP00000099650,string:10090.ENSMUSP00000001365,Kpna6,Yars
Kpna6,Rcc1,0.0,0.0,0.0,0.0,0.0,0.229,0.0,0.21,0.364,string:10090.ENSMUSP00000099650,string:10090.ENSMUSP00000044801,Kpna6,Herc1
