gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Ifi44l,Ifi44,0.0,0.0,0.0,0.0,0.821,0.0,0.0,0.034006,0.826,string:10090.ENSMUSP00000044765,string:10090.ENSMUSP00000029671,H28,Ifi44
Tnni3k,Lrriq3,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.768,0.786,string:10090.ENSMUSP00000070561,string:10090.ENSMUSP00000029833,Tnni3k,Lrriq3
Lrrc40,Fpgt,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.604,0.632,string:10090.ENSMUSP00000071956,string:10090.ENSMUSP00000068939,Lrrc40,Fpgt
Lrrc40,Tnni3k,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.586,0.617,string:10090.ENSMUSP00000071956,string:10090.ENSMUSP00000070561,Lrrc40,Tnni3k
Lrrc40,Tyw3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.603,string:10090.ENSMUSP00000071956,string:10090.ENSMUSP00000057828,Lrrc40,Tyw3
Gng5,Spata1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597,0.597,string:10090.ENSMUSP00000087485,string:10090.ENSMUSP00000029839,Gng5,Spata1
Eltd1,Gipc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.567,string:10090.ENSMUSP00000041939,string:10090.ENSMUSP00000037328,Eltd1,Gipc2
Fpgt,Tyw3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.528,string:10090.ENSMUSP00000068939,string:10090.ENSMUSP00000057828,Fpgt,Tyw3
Fpgt,Lrriq3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.523,string:10090.ENSMUSP00000068939,string:10090.ENSMUSP00000029833,Fpgt,Lrriq3
Tnni3k,Fpgt,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.518,0.522,string:10090.ENSMUSP00000070561,string:10090.ENSMUSP00000068939,Tnni3k,Fpgt
Uox,Dnase2b,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.395,0.505,string:10090.ENSMUSP00000029837,string:10090.ENSMUSP00000029836,Uox,Dnase2b
Srsf11,Lrrc40,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.452,0.485,string:10090.ENSMUSP00000113685,string:10090.ENSMUSP00000071956,Srsf11,Lrrc40
Tyw3,Cryz,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.437,0.455,string:10090.ENSMUSP00000057828,string:10090.ENSMUSP00000029850,Tyw3,Cryz
Ctbs,Spata1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.447,string:10090.ENSMUSP00000029840,string:10090.ENSMUSP00000029839,Ctbs,Spata1
Eltd1,St6galnac5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434,0.434,string:10090.ENSMUSP00000041939,string:10090.ENSMUSP00000036227,Eltd1,St6galnac5
St6galnac3,Eltd1,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.386,0.431,string:10090.ENSMUSP00000068598,string:10090.ENSMUSP00000041939,St6galnac3,Eltd1
