gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Ash1l,Mef2d,0.069,0.0,0.0,0.0,0.0,0.565,0.0,0.445,0.755,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000008995,Ash1l,Hdac4
Slc25a44,Mrpl24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.65,string:10090.ENSMUSP00000057871,string:10090.ENSMUSP00000019854,Slc25a44,Mrpl24
Mrpl24,Ubqln4,0.0,0.0,0.0,0.0,0.163,0.27,0.0,0.436,0.625,string:10090.ENSMUSP00000019854,string:10090.ENSMUSP00000008748,Mrpl24,Ubqln4
Efna4,Efna1,0.0,0.0,0.0,0.0,0.0,0.0,0.559,0.06818,0.589,string:10090.ENSMUSP00000073099,string:10090.ENSMUSP00000027451,Epha1,Epha4
Slc25a44,Ubqln4,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.526,0.564,string:10090.ENSMUSP00000057871,string:10090.ENSMUSP00000008748,Slc25a44,Ubqln4
Ash1l,Gon4l,0.0,0.0,0.0,0.0,0.109,0.0,0.0,0.511,0.545,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000080397,Ash1l,Gon4l
Mtx1,Slc25a44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.53,string:10090.ENSMUSP00000073261,string:10090.ENSMUSP00000057871,Mtx1,Slc25a44
1500004A13Rik,Slc25a44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.528,string:10090.ENSMUSP00000088464,string:10090.ENSMUSP00000057871,Syt11,Slc25a44
Lamtor2,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.506,string:10090.ENSMUSP00000029698,string:10090.ENSMUSP00000008748,Lamtor2,Ubqln4
Krtcap2,Ssr2,0.0,0.0,0.0,0.0,0.499,0.0,0.0,0.0,0.499,string:10090.ENSMUSP00000130372,string:10090.ENSMUSP00000045456,Krtcap2,Ssr2
Mtx1,Thbs3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.485,string:10090.ENSMUSP00000073261,string:10090.ENSMUSP00000029682,Mtx1,Thbs3
1500004A13Rik,Mrpl24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.447,string:10090.ENSMUSP00000088464,string:10090.ENSMUSP00000019854,Syt11,Mrpl24
Mtx1,Mrpl24,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.411,0.435,string:10090.ENSMUSP00000073261,string:10090.ENSMUSP00000019854,Mtx1,Mrpl24
Iqgap3,Arhgef2,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.403,string:10090.ENSMUSP00000071715,string:10090.ENSMUSP00000028997,Iqgap3,Aurka
Clk2,Scamp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.394,string:10090.ENSMUSP00000113390,string:10090.ENSMUSP00000029684,Clk2,Scamp3
Trim46,Scamp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386,0.387,string:10090.ENSMUSP00000036053,string:10090.ENSMUSP00000029684,Trim46,Scamp3
Ash1l,Arhgef2,0.0,0.0,0.0,0.0,0.0,0.242,0.0,0.192,0.362,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000028997,Ash1l,Aurka
Iqgap3,Rit1,0.0,0.0,0.0,0.0,0.0,0.197,0.0,0.208,0.336,string:10090.ENSMUSP00000071715,string:10090.ENSMUSP00000029692,Iqgap3,Rit1
Mtx1,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.231,0.332,string:10090.ENSMUSP00000073261,string:10090.ENSMUSP00000008748,Mtx1,Ubqln4
Slc25a44,Hcn3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319,0.319,string:10090.ENSMUSP00000057871,string:10090.ENSMUSP00000034889,Slc25a44,Hcn4
Ssr2,Cct3,0.0,0.0,0.0,0.0,0.313,0.0,0.0,0.0,0.313,string:10090.ENSMUSP00000045456,string:10090.ENSMUSP00000001452,Ssr2,Cct3
Mrpl24,Cct3,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.229,0.308,string:10090.ENSMUSP00000019854,string:10090.ENSMUSP00000001452,Mrpl24,Cct3
Apoa1bp,Mrpl24,0.0,0.0,0.0,0.0,0.308,0.0,0.0,0.0,0.308,string:10090.ENSMUSP00000029708,string:10090.ENSMUSP00000019854,Apoa1bp,Mrpl24
1500004A13Rik,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,string:10090.ENSMUSP00000088464,string:10090.ENSMUSP00000008748,Syt11,Ubqln4
Ubqln4,Hdgf,0.0,0.0,0.0,0.0,0.243,0.107,0.0,0.0,0.295,string:10090.ENSMUSP00000008748,string:10090.ENSMUSP00000005017,Ubqln4,Hdgf
Insrr,Rit1,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.21,0.292,string:10090.ENSMUSP00000029711,string:10090.ENSMUSP00000029692,Insrr,Rit1
Pmf1,Arhgef2,0.0,0.0,0.0,0.0,0.287,0.0,0.0,0.0,0.287,string:10090.ENSMUSP00000062420,string:10090.ENSMUSP00000028997,Pmf1,Aurka
Lmna,Arhgef2,0.0,0.0,0.0,0.0,0.113,0.0,0.0,0.217,0.275,string:10090.ENSMUSP00000029699,string:10090.ENSMUSP00000028997,Lmna,Aurka
Pklr,Cct3,0.069,0.0,0.0,0.0,0.0,0.089,0.0,0.212,0.273,string:10090.ENSMUSP00000035417,string:10090.ENSMUSP00000001452,Pklr,Cct3
Efna4,Sema4a,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.254,0.273,string:10090.ENSMUSP00000073099,string:10090.ENSMUSP00000029700,Epha1,Sema4a
Gpatch4,Cct3,0.0,0.0,0.0,0.0,0.271,0.0,0.0,0.0,0.271,string:10090.ENSMUSP00000029707,string:10090.ENSMUSP00000001452,Gpatch4,Cct3
Ash1l,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0.0,0.267,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000008748,Ash1l,Ubqln4
Pklr,Insrr,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.153,0.262,string:10090.ENSMUSP00000035417,string:10090.ENSMUSP00000029711,Pklr,Insrr
Pklr,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.262,string:10090.ENSMUSP00000035417,string:10090.ENSMUSP00000008748,Pklr,Ubqln4
Dap3,Cct3,0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.256,string:10090.ENSMUSP00000088456,string:10090.ENSMUSP00000001452,Dap3,Cct3
Gba,Thbs3,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.213,0.251,string:10090.ENSMUSP00000031377,string:10090.ENSMUSP00000029682,Scarb2,Thbs3
Ash1l,Rit1,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.0,0.25,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000029692,Ash1l,Rit1
Ash1l,Rab25,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.0,0.25,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000008745,Ash1l,Rab25
Msto1,Hcn3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249,0.249,string:10090.ENSMUSP00000115645,string:10090.ENSMUSP00000034889,Msto1,Hcn4
Hcn3,Mrpl24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.247,string:10090.ENSMUSP00000034889,string:10090.ENSMUSP00000019854,Hcn4,Mrpl24
Iqgap3,Rab25,0.0,0.0,0.0,0.0,0.0,0.197,0.0,0.1,0.246,string:10090.ENSMUSP00000071715,string:10090.ENSMUSP00000008745,Iqgap3,Rab25
Ubqln4,Cct3,0.0,0.0,0.0,0.0,0.105,0.166,0.0,0.072,0.246,string:10090.ENSMUSP00000008748,string:10090.ENSMUSP00000001452,Ubqln4,Cct3
Ssr2,Lmna,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.121,0.244,string:10090.ENSMUSP00000045456,string:10090.ENSMUSP00000029699,Ssr2,Lmna
Glmp,Scamp3,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.243,string:10090.ENSMUSP00000135398,string:10090.ENSMUSP00000029684,NCU-G1,Scamp3
Msto1,Mtx1,0.0,0.0,0.0,0.0,0.243,0.0,0.0,0.0,0.242,string:10090.ENSMUSP00000115645,string:10090.ENSMUSP00000073261,Msto1,Mtx1
Glmp,Apoa1bp,0.0,0.0,0.0,0.0,0.243,0.0,0.0,0.0,0.242,string:10090.ENSMUSP00000135398,string:10090.ENSMUSP00000029708,NCU-G1,Apoa1bp
Krtcap2,Apoa1bp,0.0,0.0,0.0,0.0,0.243,0.0,0.0,0.0,0.242,string:10090.ENSMUSP00000130372,string:10090.ENSMUSP00000029708,Krtcap2,Apoa1bp
Efna4,Adam15,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.21,0.242,string:10090.ENSMUSP00000073099,string:10090.ENSMUSP00000029676,Epha1,Adam15
Efna3,Sema4a,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.22,0.24,string:10090.ENSMUSP00000030420,string:10090.ENSMUSP00000029700,Epha8,Sema4a
Sema4a,Efna1,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.22,0.24,string:10090.ENSMUSP00000029700,string:10090.ENSMUSP00000027451,Sema4a,Epha4
1500004A13Rik,Mtx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.239,string:10090.ENSMUSP00000088464,string:10090.ENSMUSP00000073261,Syt11,Mtx1
Rit1,Slc50a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.237,string:10090.ENSMUSP00000029692,string:10090.ENSMUSP00000029565,Rit1,Slc50a1
Gon4l,Ubqln4,0.0,0.0,0.0,0.0,0.106,0.089,0.0,0.136,0.234,string:10090.ENSMUSP00000080397,string:10090.ENSMUSP00000008748,Gon4l,Ubqln4
Rit1,Efna1,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.139,0.229,string:10090.ENSMUSP00000029692,string:10090.ENSMUSP00000027451,Rit1,Epha4
Clk2,Efna4,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.19,0.229,string:10090.ENSMUSP00000113390,string:10090.ENSMUSP00000073099,Clk2,Epha1
Hdgf,Cct3,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.229,string:10090.ENSMUSP00000005017,string:10090.ENSMUSP00000001452,Hdgf,Cct3
Pklr,Efna3,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.114,0.228,string:10090.ENSMUSP00000035417,string:10090.ENSMUSP00000030420,Pklr,Epha8
Pklr,Efna1,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.113,0.226,string:10090.ENSMUSP00000035417,string:10090.ENSMUSP00000027451,Pklr,Epha4
Efna4,Pklr,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.113,0.226,string:10090.ENSMUSP00000073099,string:10090.ENSMUSP00000035417,Epha1,Pklr
Efna3,Rit1,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.136,0.226,string:10090.ENSMUSP00000030420,string:10090.ENSMUSP00000029692,Epha8,Rit1
Apoa1bp,Lamtor2,0.0,0.0,0.0,0.0,0.223,0.0,0.0,0.0,0.223,string:10090.ENSMUSP00000029708,string:10090.ENSMUSP00000029698,Apoa1bp,Lamtor2
Scamp3,Thbs3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.219,string:10090.ENSMUSP00000029684,string:10090.ENSMUSP00000029682,Scamp3,Thbs3
Fdps,Cct3,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.174,0.207,string:10090.ENSMUSP00000080531,string:10090.ENSMUSP00000001452,Fdps,Cct3
Sh2d2a,Rit1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.204,string:10090.ENSMUSP00000103207,string:10090.ENSMUSP00000029692,Sh2d2a,Rit1
Lamtor2,Mrpl24,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.203,string:10090.ENSMUSP00000029698,string:10090.ENSMUSP00000019854,Lamtor2,Mrpl24
Glmp,Ssr2,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.203,string:10090.ENSMUSP00000135398,string:10090.ENSMUSP00000045456,NCU-G1,Ssr2
Mtx1,Ssr2,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.203,string:10090.ENSMUSP00000073261,string:10090.ENSMUSP00000045456,Mtx1,Ssr2
Fam189b,Thbs3,0.0,0.0,0.0,0.0,0.139,0.0,0.0,0.112,0.202,string:10090.ENSMUSP00000039261,string:10090.ENSMUSP00000029682,Fam189b,Thbs3
Msto1,Cct3,0.0,0.0,0.0,0.0,0.142,0.109,0.0,0.0,0.202,string:10090.ENSMUSP00000115645,string:10090.ENSMUSP00000001452,Msto1,Cct3
Efna4,Rit1,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.106,0.199,string:10090.ENSMUSP00000073099,string:10090.ENSMUSP00000029692,Epha1,Rit1
Ash1l,Efna1,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.066,0.198,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000027451,Ash1l,Epha4
Lmna,Cct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,0.197,string:10090.ENSMUSP00000029699,string:10090.ENSMUSP00000001452,Lmna,Cct3
Iqgap3,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.197,0.0,0.0,0.197,string:10090.ENSMUSP00000071715,string:10090.ENSMUSP00000008748,Iqgap3,Ubqln4
Ash1l,Efna4,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.064,0.196,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000073099,Ash1l,Epha1
Ssr2,Rit1,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.166,0.196,string:10090.ENSMUSP00000045456,string:10090.ENSMUSP00000029692,Ssr2,Rit1
Clk2,Arhgef2,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.051262,0.196,string:10090.ENSMUSP00000113390,string:10090.ENSMUSP00000028997,Clk2,Aurka
Ash1l,Efna3,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.064,0.195,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000030420,Ash1l,Epha8
Efna4,Rab25,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.094,0.188,string:10090.ENSMUSP00000073099,string:10090.ENSMUSP00000008745,Epha1,Rab25
Insrr,Rab25,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.094,0.188,string:10090.ENSMUSP00000029711,string:10090.ENSMUSP00000008745,Insrr,Rab25
Efna1,Rab25,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.094,0.188,string:10090.ENSMUSP00000027451,string:10090.ENSMUSP00000008745,Epha4,Rab25
Efna3,Rab25,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.094,0.188,string:10090.ENSMUSP00000030420,string:10090.ENSMUSP00000008745,Epha8,Rab25
Hcn3,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.118,0.184,string:10090.ENSMUSP00000034889,string:10090.ENSMUSP00000008748,Hcn4,Ubqln4
Rusc1,Rit1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.182,string:10090.ENSMUSP00000088447,string:10090.ENSMUSP00000029692,Rusc1,Rit1
Ash1l,Insrr,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.047,0.181,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000029711,Ash1l,Insrr
Pear1,Thbs3,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.157,0.181,string:10090.ENSMUSP00000029714,string:10090.ENSMUSP00000029682,Pear1,Thbs3
Scamp3,Ubqln4,0.0,0.0,0.0,0.0,0.11,0.117,0.0,0.0,0.18,string:10090.ENSMUSP00000029684,string:10090.ENSMUSP00000008748,Scamp3,Ubqln4
Tmem79,Smg5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.179,string:10090.ENSMUSP00000001456,string:10090.ENSMUSP00000001451,Tmem79,Smg5
Sh2d2a,Insrr,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.158,0.179,string:10090.ENSMUSP00000103207,string:10090.ENSMUSP00000029711,Sh2d2a,Insrr
Ash1l,2810403A07Rik,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.0,0.177,string:10090.ENSMUSP00000088451,string:10090.ENSMUSP00000029696,Ash1l,Kiaa0907
Thbs3,Prcc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.177,string:10090.ENSMUSP00000029682,string:10090.ENSMUSP00000005015,Thbs3,Prcc
Pmf1,Hdgf,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.0,0.177,string:10090.ENSMUSP00000062420,string:10090.ENSMUSP00000005017,Pmf1,Hdgf
Rit1,Rab25,0.0,0.0,0.125416,0.0,0.0,0.0,0.0,0.034438,0.176,string:10090.ENSMUSP00000029692,string:10090.ENSMUSP00000008745,Rit1,Rab25
1500004A13Rik,Mef2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.175,string:10090.ENSMUSP00000088464,string:10090.ENSMUSP00000008995,Syt11,Hdac4
Mrpl24,Prcc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.175,string:10090.ENSMUSP00000019854,string:10090.ENSMUSP00000005015,Mrpl24,Prcc
Ssr2,Ubqln4,0.0,0.0,0.0,0.0,0.108,0.113,0.0,0.0,0.174,string:10090.ENSMUSP00000045456,string:10090.ENSMUSP00000008748,Ssr2,Ubqln4
Pear1,Arhgef2,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.084,0.173,string:10090.ENSMUSP00000029714,string:10090.ENSMUSP00000028997,Pear1,Aurka
Rusc1,Cct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.173,string:10090.ENSMUSP00000088447,string:10090.ENSMUSP00000001452,Rusc1,Cct3
Rusc1,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.171,string:10090.ENSMUSP00000088447,string:10090.ENSMUSP00000008748,Rusc1,Ubqln4
1500004A13Rik,Scamp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.171,string:10090.ENSMUSP00000088464,string:10090.ENSMUSP00000029684,Syt11,Scamp3
Fdps,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.171,string:10090.ENSMUSP00000080531,string:10090.ENSMUSP00000008748,Fdps,Ubqln4
Rit1,Arhgef2,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.1,0.169,string:10090.ENSMUSP00000029692,string:10090.ENSMUSP00000028997,Rit1,Aurka
Krtcap2,Scamp3,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.169,string:10090.ENSMUSP00000130372,string:10090.ENSMUSP00000029684,Krtcap2,Scamp3
Dap3,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,string:10090.ENSMUSP00000088456,string:10090.ENSMUSP00000008748,Dap3,Ubqln4
Clk2,2810403A07Rik,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.166,string:10090.ENSMUSP00000113390,string:10090.ENSMUSP00000029696,Clk2,Kiaa0907
Insrr,Cct3,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.127,0.166,string:10090.ENSMUSP00000029711,string:10090.ENSMUSP00000001452,Insrr,Cct3
Clk2,Rrnad1,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.165,string:10090.ENSMUSP00000113390,string:10090.ENSMUSP00000005016,Clk2,Rrnad1
Thbs3,Adam15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.165,string:10090.ENSMUSP00000029682,string:10090.ENSMUSP00000029676,Thbs3,Adam15
Lmna,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.103,0.0,0.108,0.165,string:10090.ENSMUSP00000029699,string:10090.ENSMUSP00000008748,Lmna,Ubqln4
Ssr2,Scamp3,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.165,string:10090.ENSMUSP00000045456,string:10090.ENSMUSP00000029684,Ssr2,Scamp3
Nes,Pklr,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.165,string:10090.ENSMUSP00000048221,string:10090.ENSMUSP00000035417,Nxt2,Pklr
Apoa1bp,Cct3,0.0,0.0,0.0,0.0,0.108,0.102,0.0,0.0,0.164,string:10090.ENSMUSP00000029708,string:10090.ENSMUSP00000001452,Apoa1bp,Cct3
Mef2d,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.088,0.163,string:10090.ENSMUSP00000008995,string:10090.ENSMUSP00000008748,Hdac4,Ubqln4
Mef2d,Cct3,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.0,0.163,string:10090.ENSMUSP00000008995,string:10090.ENSMUSP00000001452,Hdac4,Cct3
Efna1,Ubqln4,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.088,0.162,string:10090.ENSMUSP00000027451,string:10090.ENSMUSP00000008748,Epha4,Ubqln4
