gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Rpl14,Rpsa,0.0,0.0,0.0,0.0,0.96,0.353,0.0,0.105,0.975,string:10090.ENSMUSP00000131489,string:10090.ENSMUSP00000035105,Rpl14,Rpsa
Xylb,Osbpl10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,string:10090.ENSMUSP00000047254,string:10090.ENSMUSP00000038013,Xylb,Osbpl10
Scn5a,Acvr2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551,0.551,string:10090.ENSMUSP00000066228,string:10090.ENSMUSP00000000544,Scn5a,Acvr1b
Rpsa,Eif1b,0.0,0.0,0.0,0.0,0.07,0.532,0.0,0.0,0.546,string:10090.ENSMUSP00000035105,string:10090.ENSMUSP00000007139,Rpsa,Eif1b
Rpl14,Lztfl1,0.0,0.0,0.0,0.0,0.126,0.0,0.0,0.478,0.524,string:10090.ENSMUSP00000131489,string:10090.ENSMUSP00000026274,Rpl14,Lztfl1
Gorasp1,Sacm1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492,0.492,string:10090.ENSMUSP00000035099,string:10090.ENSMUSP00000026270,Gorasp1,Sacm1l
Xylb,Oxsr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.479,string:10090.ENSMUSP00000047254,string:10090.ENSMUSP00000042155,Xylb,Oxsr1
Nktr,Hhatl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.425,string:10090.ENSMUSP00000035112,string:10090.ENSMUSP00000035110,Nktr,Hhatl
Slc6a20a,Lztfl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,0.414,string:10090.ENSMUSP00000047690,string:10090.ENSMUSP00000026274,Slc6a20a,Lztfl1
Slc22a13,Oxsr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,string:10090.ENSMUSP00000081855,string:10090.ENSMUSP00000042155,Slc22a13,Oxsr1
Scn10a,Scn11a,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.069256,0.403,string:10090.ENSMUSP00000081845,string:10090.ENSMUSP00000065466,Scn10a,Scn11a
Xylb,Itga9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.392,string:10090.ENSMUSP00000047254,string:10090.ENSMUSP00000044227,Xylb,Itga9
Scn5a,Scn11a,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.044232,0.387,string:10090.ENSMUSP00000066228,string:10090.ENSMUSP00000065466,Scn5a,Scn11a
Scn10a,Scn5a,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.02559,0.376,string:10090.ENSMUSP00000081845,string:10090.ENSMUSP00000066228,Scn10a,Scn5a
Ctdspl,Plcd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376,0.376,string:10090.ENSMUSP00000072852,string:10090.ENSMUSP00000010804,Ctdspl,Plcd1
Osbpl10,Sacm1l,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.176,0.372,string:10090.ENSMUSP00000038013,string:10090.ENSMUSP00000026270,Osbpl10,Sacm1l
Xylb,Gorasp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352,0.351,string:10090.ENSMUSP00000047254,string:10090.ENSMUSP00000035099,Xylb,Gorasp1
Lztfl1,Slc6a20b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.338,string:10090.ENSMUSP00000026274,string:10090.ENSMUSP00000026273,Lztfl1,Slc6a20b
Abhd5,Osbpl10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332,0.332,string:10090.ENSMUSP00000122274,string:10090.ENSMUSP00000038013,Abhd5,Osbpl10
Ctdspl,Itga9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331,0.331,string:10090.ENSMUSP00000072852,string:10090.ENSMUSP00000044227,Ctdspl,Itga9
Itga9,Osbpl10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329,0.329,string:10090.ENSMUSP00000044227,string:10090.ENSMUSP00000038013,Itga9,Osbpl10
Ctdspl,Acaa1b///Acaa1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313,0.313,string:10090.ENSMUSP00000072852,string:10090.ENSMUSP00000010795,Ctdspl,Acaa1b
Slc22a13,Ctdspl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.309,string:10090.ENSMUSP00000081855,string:10090.ENSMUSP00000072852,Slc22a13,Ctdspl
Vill,Itga9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.309,string:10090.ENSMUSP00000061731,string:10090.ENSMUSP00000044227,Vill,Itga9
Osbpl10,Gorasp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307,0.307,string:10090.ENSMUSP00000038013,string:10090.ENSMUSP00000035099,Osbpl10,Gorasp1
Slc6a20b,Limd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.306,string:10090.ENSMUSP00000026273,string:10090.ENSMUSP00000026269,Slc6a20b,Limd1
Golga4,Nktr,0.0,0.0,0.0,0.0,0.296,0.0,0.0,0.0,0.296,string:10090.ENSMUSP00000081880,string:10090.ENSMUSP00000035112,Golga4,Nktr
Ctdspl,Vill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.289,string:10090.ENSMUSP00000072852,string:10090.ENSMUSP00000061731,Ctdspl,Vill
Sacm1l,Limd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,0.286,string:10090.ENSMUSP00000026270,string:10090.ENSMUSP00000026269,Sacm1l,Limd1
Ano10,Sacm1l,0.0,0.0,0.0,0.0,0.0,0.253,0.0,0.074,0.278,string:10090.ENSMUSP00000045214,string:10090.ENSMUSP00000026270,Ano10,Sacm1l
Xylb,Plcd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.272,string:10090.ENSMUSP00000047254,string:10090.ENSMUSP00000010804,Xylb,Plcd1
Myd88,Oxsr1,0.0,0.0,0.147771,0.0,0.0,0.126,0.0,0.022464,0.253,string:10090.ENSMUSP00000074471,string:10090.ENSMUSP00000042155,Irak4,Oxsr1
Zfp445,Nktr,0.0,0.0,0.0,0.0,0.195,0.065,0.0,0.083,0.249,string:10090.ENSMUSP00000055738,string:10090.ENSMUSP00000035112,Zfp445,Nktr
Ctdspl,Limd1,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.137,0.244,string:10090.ENSMUSP00000072852,string:10090.ENSMUSP00000026269,Ctdspl,Limd1
Scn5a,Xylb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.235,string:10090.ENSMUSP00000066228,string:10090.ENSMUSP00000047254,Scn5a,Xylb
Scn5a,Osbpl10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.231,string:10090.ENSMUSP00000066228,string:10090.ENSMUSP00000038013,Scn5a,Osbpl10
Myd88,Hhatl,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.185,0.226,string:10090.ENSMUSP00000074471,string:10090.ENSMUSP00000035110,Irak4,Hhatl
