gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Hadha,Hadhb,0.587,0.003,0.426,0.0,0.711,0.76,0.9,0.855,0.999,string:10090.ENSMUSP00000120976,string:10090.ENSMUSP00000026841,Hadha,Hadhb
Kmt2c,Paxip1,0.0,0.0,0.0,0.0,0.115,0.268,0.0,0.771,0.838,string:10090.ENSMUSP00000043874,string:10090.ENSMUSP00000002291,Mll3,Paxip1
Abcb8,Abcf2,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.676,0.687,string:10090.ENSMUSP00000072826,string:10090.ENSMUSP00000030795,Abcb8,Abcf2
Kmt2e,Kmt2c,0.0,0.0,0.0,0.0,0.476,0.0,0.0,0.29596,0.629,string:10090.ENSMUSP00000092569,string:10090.ENSMUSP00000043874,Mll5,Mll3
Mnx1,Rnf32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.575,string:10090.ENSMUSP00000129503,string:10090.ENSMUSP00000001247,Mnx1,Rnf32
Nos3,Cdk5,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.506,0.57,string:10090.ENSMUSP00000030814,string:10090.ENSMUSP00000028990,Cdk5,Cdk5rap1
Orc5,Nos3,0.0,0.0,0.0,0.0,0.111,0.0,0.441,0.189,0.561,string:10090.ENSMUSP00000030872,string:10090.ENSMUSP00000030814,Orc5,Cdk5
Pus7,Srpk2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559,0.559,string:10090.ENSMUSP00000113801,string:10090.ENSMUSP00000085734,Pus7,Srpk2
Pmpcb,Hadhb,0.0,0.0,0.0,0.0,0.473,0.0,0.0,0.0,0.473,string:10090.ENSMUSP00000030882,string:10090.ENSMUSP00000026841,Pmpcb,Hadhb
Reln,Nos3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.471,string:10090.ENSMUSP00000102343,string:10090.ENSMUSP00000030814,Lrp8,Cdk5
Slc4a2,Slc26a5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,string:10090.ENSMUSP00000078972,string:10090.ENSMUSP00000030878,Slc4a2,Slc26a5
Cdk5,Dnajb6,0.397,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.44,string:10090.ENSMUSP00000028990,string:10090.ENSMUSP00000008733,Cdk5rap1,Dnajb6
Gm10221///Atp5l,Pmpcb,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.338,0.436,string:10090.ENSMUSP00000136375,string:10090.ENSMUSP00000030882,Gm10221,Pmpcb
Nos3,Tyms,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.336,0.428,string:10090.ENSMUSP00000030814,string:10090.ENSMUSP00000026846,Cdk5,Tyms
Chpf2,Slc4a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.428,string:10090.ENSMUSP00000085633,string:10090.ENSMUSP00000078972,Chpf2,Slc4a2
Asb10,Nos3,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.338,0.423,string:10090.ENSMUSP00000041539,string:10090.ENSMUSP00000030814,Asb10,Cdk5
Dnajc2,Dnajb6,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.392,0.406,string:10090.ENSMUSP00000030771,string:10090.ENSMUSP00000008733,Dnajc2,Dnajb6
Dpp6,Htr5a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.396,string:10090.ENSMUSP00000113441,string:10090.ENSMUSP00000038884,Dpp6,Htr5a
Tmem60,Prkag2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.392,string:10090.ENSMUSP00000110914,string:10090.ENSMUSP00000030784,Tmem60,Prkag2
Kmt2e,Orc5,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.157,0.358,string:10090.ENSMUSP00000092569,string:10090.ENSMUSP00000030872,Mll5,Orc5
Hadha,Prkag2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352,0.352,string:10090.ENSMUSP00000120976,string:10090.ENSMUSP00000030784,Hadha,Prkag2
Kmt2e,Paxip1,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.334,0.349,string:10090.ENSMUSP00000092569,string:10090.ENSMUSP00000002291,Mll5,Paxip1
Agap3,Paxip1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347,0.347,string:10090.ENSMUSP00000024123,string:10090.ENSMUSP00000002291,Agap3,Paxip1
Kmt2e,Asb10,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.19,0.293,string:10090.ENSMUSP00000092569,string:10090.ENSMUSP00000041539,Mll5,Asb10
Nos3,Ptpn12,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.075,0.288,string:10090.ENSMUSP00000030814,string:10090.ENSMUSP00000030556,Cdk5,Ptpn12
Orc5,Tyms,0.0,0.0,0.0,0.0,0.284,0.0,0.0,0.0,0.284,string:10090.ENSMUSP00000030872,string:10090.ENSMUSP00000026846,Orc5,Tyms
Dpp6,En2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279,0.279,string:10090.ENSMUSP00000113441,string:10090.ENSMUSP00000036761,Dpp6,En2
Gm10221///Atp5l,Tomm7,0.0,0.0,0.0,0.0,0.279,0.0,0.0,0.0,0.279,string:10090.ENSMUSP00000136375,string:10090.ENSMUSP00000030851,Gm10221,Tomm7
Abcf2,Dnajc2,0.0,0.0,0.0,0.0,0.166,0.167,0.0,0.0,0.275,string:10090.ENSMUSP00000030795,string:10090.ENSMUSP00000030771,Abcf2,Dnajc2
Kcnh2,Prkag2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,string:10090.ENSMUSP00000047705,string:10090.ENSMUSP00000030784,Kcnh2,Prkag2
Srpk2,Kmt2c,0.0,0.0,0.0,0.0,0.19,0.067,0.0,0.107,0.266,string:10090.ENSMUSP00000085734,string:10090.ENSMUSP00000043874,Srpk2,Mll3
Kmt2c,Smarcd3,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.242,0.262,string:10090.ENSMUSP00000043874,string:10090.ENSMUSP00000030791,Mll3,Smarcd3
Srpk2,Orc5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.254,string:10090.ENSMUSP00000085734,string:10090.ENSMUSP00000030872,Srpk2,Orc5
Nos3,Prkag2,0.0,0.0,0.0,0.0,0.0,0.178,0.0,0.122,0.247,string:10090.ENSMUSP00000030814,string:10090.ENSMUSP00000030784,Cdk5,Prkag2
Slc4a2,Abcf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.246,string:10090.ENSMUSP00000078972,string:10090.ENSMUSP00000030795,Slc4a2,Abcf2
Kmt2e,Nos3,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.191,0.246,string:10090.ENSMUSP00000092569,string:10090.ENSMUSP00000030814,Mll5,Cdk5
Dpp6,Paxip1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.239,string:10090.ENSMUSP00000113441,string:10090.ENSMUSP00000002291,Dpp6,Paxip1
Cdk5,Tyms,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.23,string:10090.ENSMUSP00000028990,string:10090.ENSMUSP00000026846,Cdk5rap1,Tyms
