gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Hist2h3c2,Hist2h2be,0.0,0.0,0.0,0.0,0.144,0.27,0.9,0.686,0.977,string:10090.ENSMUSP00000096442,string:10090.ENSMUSP00000088287,Hist2h3b,Hist2h2be
Hist2h2aa2///Hist2h2aa1,Hist2h2be,0.0,0.0,0.0,0.0,0.46,0.231,0.8,0.746,0.976,string:10090.ENSMUSP00000100581,string:10090.ENSMUSP00000088287,Hist2h2aa1,Hist2h2be
Hist2h2bb,Hist2h2aa2///Hist2h2aa1,0.0,0.0,0.0,0.0,0.46,0.231,0.8,0.727,0.974,string:10090.ENSMUSP00000135427,string:10090.ENSMUSP00000100581,Hist2h2bb,Hist2h2aa1
Hist2h2bb,Hist2h3c2,0.0,0.0,0.0,0.0,0.144,0.27,0.9,0.639,0.974,string:10090.ENSMUSP00000135427,string:10090.ENSMUSP00000096442,Hist2h2bb,Hist2h3b
Polr3gl,Polr3c,0.0,0.0,0.0,0.0,0.0,0.275,0.9,0.184,0.935,string:10090.ENSMUSP00000089544,string:10090.ENSMUSP00000029741,Polr3gl,Polr3c
Txnip,Rbm8a,0.0,0.0,0.0,0.0,0.0,0.113,0.9,0.063342,0.912,string:10090.ENSMUSP00000110374,string:10090.ENSMUSP00000044548,Rbmx,Rbm8a
Txnip,Sf3b4,0.0,0.0,0.0,0.0,0.0,0.101,0.9,0.024909,0.907,string:10090.ENSMUSP00000110374,string:10090.ENSMUSP00000075709,Rbmx,Sf3b4
Sf3b4,Rbm8a,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000075709,string:10090.ENSMUSP00000044548,Sf3b4,Rbm8a
Hist2h2bb,Hist2h2be,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.007839,0.9,string:10090.ENSMUSP00000135427,string:10090.ENSMUSP00000088287,Hist2h2bb,Hist2h2be
Hist2h3c2,Hist2h2aa2///Hist2h2ac///Hist2h2aa1///Hist2h3c1,0.0,0.0,0.0,0.0,0.176,0.251,0.0,0.846,0.896,string:10090.ENSMUSP00000096442,string:10090.ENSMUSP00000077814,Hist2h3b,Hist2h2aa2
