gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Mapk12,Mapk11,0.0,0.0,0.115898,0.0,0.0,0.37,0.961,0.294254,0.983,string:10090.ENSMUSP00000086207,string:10090.ENSMUSP00000020949,Mapk12,Map2k6
Smdt1,Ndufa6,0.0,0.0,0.0,0.0,0.459,0.0,0.0,0.602,0.775,string:10090.ENSMUSP00000023086,string:10090.ENSMUSP00000023085,Smdt1,Ndufa6
Cyp2d10,Cyp2d26,0.0,0.0,0.009486,0.0,0.686,0.0,0.0,0.010224,0.691,string:10090.ENSMUSP00000072555,string:10090.ENSMUSP00000006094,Cyp2d10,Cyp2d26
Pacsin2///Kcnb1,Ttll1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626,0.626,string:10090.ENSMUSP00000058320,string:10090.ENSMUSP00000016897,Pacsin2,Ttll1
Prr5,Arhgap8,0.0,0.342,0.0,0.0,0.0,0.0,0.0,0.423,0.604,string:10090.ENSMUSP00000066396,string:10090.ENSMUSP00000006029,Prr5,Arhgap8
Arfgap3,Ttll1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569,0.569,string:10090.ENSMUSP00000064893,string:10090.ENSMUSP00000016897,Arfgap3,Ttll1
Nup50,Mapk12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.524,string:10090.ENSMUSP00000131457,string:10090.ENSMUSP00000086207,Nup50,Mapk12
Parvb,Samm50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.523,string:10090.ENSMUSP00000023072,string:10090.ENSMUSP00000023071,Parvb,Samm50
Pnpla3,Samm50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.473,string:10090.ENSMUSP00000043826,string:10090.ENSMUSP00000023071,Pnpla3,Samm50
Alg12,Cerk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,0.469,string:10090.ENSMUSP00000123935,string:10090.ENSMUSP00000038203,Alg12,Cerk
Cyp2d34,Cyp2d9,0.0,0.0,0.006851,0.0,0.448,0.0,0.0,0.0,0.451,string:10090.ENSMUSP00000105141,string:10090.ENSMUSP00000086530,Cyp2d34,Cyp2d9
Alg12,Creld2,0.0,0.0,0.0,0.0,0.282,0.0,0.0,0.207,0.406,string:10090.ENSMUSP00000123935,string:10090.ENSMUSP00000024042,Alg12,Creld2
Brd1,Mapk12,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.339,0.387,string:10090.ENSMUSP00000105007,string:10090.ENSMUSP00000086207,Brd1,Mapk12
Arfgap3,Pacsin2///Kcnb1,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.337,0.366,string:10090.ENSMUSP00000064893,string:10090.ENSMUSP00000058320,Arfgap3,Pacsin2
Smc1b,Mov10l1,0.068,0.0,0.0,0.0,0.0,0.083,0.0,0.306,0.355,string:10090.ENSMUSP00000023068,string:10090.ENSMUSP00000015509,Smc1b,Mov10l1
Smc1b,Ribc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.336,string:10090.ENSMUSP00000023068,string:10090.ENSMUSP00000023067,Smc1b,Ribc2
Wnt7b,Celsr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.317,string:10090.ENSMUSP00000105051,string:10090.ENSMUSP00000016172,Wnt7b,Celsr1
Mapk12,Pim3,0.0,0.0,0.112189,0.0,0.0,0.184,0.0,0.074679,0.313,string:10090.ENSMUSP00000086207,string:10090.ENSMUSP00000044603,Mapk12,Pim3
Tcf20,Ndufa6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.307,string:10090.ENSMUSP00000105136,string:10090.ENSMUSP00000023085,Tcf20,Ndufa6
Alg12,Pim3,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.243,0.299,string:10090.ENSMUSP00000123935,string:10090.ENSMUSP00000044603,Alg12,Pim3
Brd1,Smc1b,0.0,0.0,0.0,0.0,0.108,0.13,0.0,0.132,0.267,string:10090.ENSMUSP00000105007,string:10090.ENSMUSP00000023068,Brd1,Smc1b
Cyp2d10,Cyp2d22,0.0,0.0,0.011067,0.0,0.24,0.0,0.0,0.011907,0.256,string:10090.ENSMUSP00000072555,string:10090.ENSMUSP00000023083,Cyp2d10,Cyp2d22
