gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Nmnat3,Nt5e,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.043,0.9,string:10090.ENSMUSP00000035031,string:10090.ENSMUSP00000034992,Nmnat3,Nt5e
Cep70,Trpc1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000091312,string:10090.ENSMUSP00000005606,Cep70,Prkaca
Atp1b3,Trpc1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.041,0.8,string:10090.ENSMUSP00000034983,string:10090.ENSMUSP00000005606,Atp1b3,Prkaca
Dbr1,Xrn1,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.587,0.668,string:10090.ENSMUSP00000070991,string:10090.ENSMUSP00000034981,Dbr1,Xrn1
Mrps22,Copb2,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.58,0.64,string:10090.ENSMUSP00000035034,string:10090.ENSMUSP00000035033,Mrps22,Copb2
Snap91,Tmed3,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.54,string:10090.ENSMUSP00000074066,string:10090.ENSMUSP00000058723,Snap91,Tmed3
Impg1,Elovl4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,0.538,string:10090.ENSMUSP00000108876,string:10090.ENSMUSP00000034796,Impg1,Elovl4
Tpbg,Trpc1,0.0,0.0,0.0,0.0,0.0,0.201,0.0,0.436,0.53,string:10090.ENSMUSP00000006559,string:10090.ENSMUSP00000005606,Tpbg,Prkaca
Xrn1,Zic1,0.0,0.0,0.0,0.0,0.071,0.114,0.0,0.465,0.522,string:10090.ENSMUSP00000034981,string:10090.ENSMUSP00000034927,Xrn1,Zic1
Nmnat3,Clstn2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511,0.511,string:10090.ENSMUSP00000035031,string:10090.ENSMUSP00000035027,Nmnat3,Clstn2
Zic4,Xrn1,0.0,0.0,0.0,0.0,0.071,0.114,0.0,0.454,0.511,string:10090.ENSMUSP00000133958,string:10090.ENSMUSP00000034981,Zic4,Xrn1
Tmed3,Copb2,0.0,0.0,0.0,0.0,0.116,0.0,0.36,0.174,0.491,string:10090.ENSMUSP00000058723,string:10090.ENSMUSP00000035033,Tmed3,Copb2
