gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Igtp,Ifi47,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.214476,0.968,string:10090.ENSMUSP00000047356,string:10090.ENSMUSP00000041975,Igtp,Ifi47
Irgm2,Igtp,0.0,0.0,0.0,0.0,0.965,0.0,0.0,0.054436,0.966,string:10090.ENSMUSP00000056001,string:10090.ENSMUSP00000047356,Irgm2,Igtp
Mapk9,Ppp2ca,0.0,0.0,0.0,0.0,0.076,0.955,0.0,0.068,0.957,string:10090.ENSMUSP00000078746,string:10090.ENSMUSP00000020608,Stk24,Ppp2ca
Irgm2,Ifi47,0.0,0.0,0.0,0.0,0.908,0.0,0.0,0.20616,0.926,string:10090.ENSMUSP00000056001,string:10090.ENSMUSP00000041975,Irgm2,Ifi47
Irgm1,Ifi47,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.105056,0.919,string:10090.ENSMUSP00000050446,string:10090.ENSMUSP00000041975,Irgm1,Ifi47
Flt4,Sparc,0.0,0.0,0.0,0.0,0.113,0.0,0.9,0.136,0.916,string:10090.ENSMUSP00000033751,string:10090.ENSMUSP00000018737,Figf,Sparc
Irgm1,Igtp,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.02464,0.911,string:10090.ENSMUSP00000050446,string:10090.ENSMUSP00000047356,Irgm1,Igtp
Irgm2,Irgm1,0.0,0.0,0.0,0.0,0.905,0.0,0.0,0.044793,0.909,string:10090.ENSMUSP00000056001,string:10090.ENSMUSP00000050446,Irgm2,Irgm1
Sar1b,Canx,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.064,0.902,string:10090.ENSMUSP00000020653,string:10090.ENSMUSP00000020637,Sar1b,Canx
Skp1a,Ube2b,0.0,0.0,0.0,0.0,0.147,0.598,0.0,0.507,0.816,string:10090.ENSMUSP00000038744,string:10090.ENSMUSP00000020657,Skp1a,Ube2b
Sqstm1,Vdac1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.658,string:10090.ENSMUSP00000099835,string:10090.ENSMUSP00000099819,Sqstm1,Vdac1
Uqcrq,Hint1,0.0,0.0,0.0,0.0,0.622,0.0,0.0,0.0,0.622,string:10090.ENSMUSP00000053145,string:10090.ENSMUSP00000020504,Uqcrq,Hint1
Canx,Hspa4,0.0,0.0,0.0,0.0,0.244,0.27,0.0,0.296,0.578,string:10090.ENSMUSP00000020637,string:10090.ENSMUSP00000020630,Canx,Hspa4
Hnrnpab,Hnrnph1,0.0,0.0,0.0,0.0,0.278,0.196,0.0,0.291,0.552,string:10090.ENSMUSP00000104731,string:10090.ENSMUSP00000070503,Hnrnpab,Hnrnph1
Rad50,Ube2b,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.418,0.546,string:10090.ENSMUSP00000034405,string:10090.ENSMUSP00000020657,Mre11a,Ube2b
Tcf7,Skp1a,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.159,0.523,string:10090.ENSMUSP00000084055,string:10090.ENSMUSP00000038744,Tcf7,Skp1a
Il13,Ube2b,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.37,0.52,string:10090.ENSMUSP00000075094,string:10090.ENSMUSP00000020657,Nfatc2ip,Ube2b
Igtp,Tgtp2///Tgtp1,0.0,0.0,0.0,0.0,0.507,0.0,0.0,0.0,0.507,string:10090.ENSMUSP00000047356,string:10090.ENSMUSP00000045025,Igtp,Tgtp2
Larp1,G3bp1,0.0,0.0,0.0,0.0,0.279,0.166,0.0,0.227,0.495,string:10090.ENSMUSP00000136673,string:10090.ENSMUSP00000018727,Larp1,G3bp1
Hnrnpab,G3bp1,0.0,0.0,0.0,0.0,0.382,0.167,0.0,0.05082,0.484,string:10090.ENSMUSP00000104731,string:10090.ENSMUSP00000018727,Hnrnpab,G3bp1
Hnrnph1,Aff4,0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.0,0.475,string:10090.ENSMUSP00000070503,string:10090.ENSMUSP00000051479,Hnrnph1,Aff4
Gnb2l1,G3bp1,0.0,0.0,0.0,0.0,0.153,0.173,0.0,0.308,0.473,string:10090.ENSMUSP00000020640,string:10090.ENSMUSP00000018727,Gnb2l1,G3bp1
Gria1,Mapk9,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.342,0.472,string:10090.ENSMUSP00000103923,string:10090.ENSMUSP00000078746,Lrfn1,Stk24
Hspa4,Gm2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.468,string:10090.ENSMUSP00000020630,string:10090.ENSMUSP00000000608,Hspa4,Gm2a
Itk,Gnb2l1,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.376,0.465,string:10090.ENSMUSP00000109234,string:10090.ENSMUSP00000020640,Txk,Gnb2l1
Irgm2,Tgtp2///Tgtp1,0.0,0.0,0.0,0.0,0.464,0.0,0.0,0.0,0.463,string:10090.ENSMUSP00000056001,string:10090.ENSMUSP00000045025,Irgm2,Tgtp2
Irgm1,Tgtp2///Tgtp1,0.0,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.434,string:10090.ENSMUSP00000050446,string:10090.ENSMUSP00000045025,Irgm1,Tgtp2
P4ha2,Slc22a5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434,0.434,string:10090.ENSMUSP00000019050,string:10090.ENSMUSP00000019044,P4ha2,Slc22a5
Canx,Gm2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.433,string:10090.ENSMUSP00000020637,string:10090.ENSMUSP00000000608,Canx,Gm2a
Gnb2l1,Hint1,0.0,0.0,0.0,0.0,0.414,0.0,0.0,0.059,0.425,string:10090.ENSMUSP00000020640,string:10090.ENSMUSP00000020504,Gnb2l1,Hint1
Rad50,Ppp2ca,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.244,0.425,string:10090.ENSMUSP00000034405,string:10090.ENSMUSP00000020608,Mre11a,Ppp2ca
