gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Psmd8,Psmc4,0.0,0.0,0.0,0.0,0.109,0.955,0.9,0.212,0.996,string:10090.ENSMUSP00000051657,string:10090.ENSMUSP00000028225,Psmd8,Psmd5
Paf1,Supt5,0.0,0.0,0.0,0.0,0.071,0.894,0.72,0.776,0.993,string:10090.ENSMUSP00000028767,string:10090.ENSMUSP00000003527,Rtf1,Supt5h
Rps16,Eif3k,0.0,0.0,0.0,0.0,0.444,0.0,0.9,0.0,0.942,string:10090.ENSMUSP00000103940,string:10090.ENSMUSP00000066038,Rps16,Eif3k
Rps16,Mrps12,0.214,0.0,0.0,0.0,0.779,0.537,0.0,0.328,0.938,string:10090.ENSMUSP00000103940,string:10090.ENSMUSP00000062066,Rps16,Mrps12
Nfkbib,Psmd8,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.046,0.9,string:10090.ENSMUSP00000070728,string:10090.ENSMUSP00000051657,Btrc,Psmd8
Nfkbib,Psmc4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000070728,string:10090.ENSMUSP00000028225,Btrc,Psmd5
Sirt2,Med29,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,string:10090.ENSMUSP00000066789,string:10090.ENSMUSP00000003536,Ep300,Med29
Map3k10,Akt2,0.531,0.0,0.0,0.0,0.0,0.269,0.0,0.366,0.763,string:10090.ENSMUSP00000103978,string:10090.ENSMUSP00000056530,Map3k10,Phlpp1
Fbxo27,Fbxo17,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.034271,0.729,string:10090.ENSMUSP00000103916,string:10090.ENSMUSP00000032818,Fbxo27,Fbxo17
Plekhg2,Supt5,0.0,0.0,0.0,0.0,0.109,0.0,0.0,0.699,0.72,string:10090.ENSMUSP00000092228,string:10090.ENSMUSP00000003527,Plekhg2,Supt5h
Nfkbib,Fbxo17,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,string:10090.ENSMUSP00000070728,string:10090.ENSMUSP00000032818,Btrc,Fbxo17
Fbxo27,Nfkbib,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,string:10090.ENSMUSP00000103916,string:10090.ENSMUSP00000070728,Fbxo27,Btrc
Sirt2,Lgals4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715,0.715,string:10090.ENSMUSP00000066789,string:10090.ENSMUSP00000066461,Ep300,Lgals4
Sars2,Mrps12,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.67,0.68,string:10090.ENSMUSP00000092216,string:10090.ENSMUSP00000062066,Sars2,Mrps12
Mrps12,Supt5,0.399,0.0,0.0,0.0,0.143,0.0,0.0,0.33,0.624,string:10090.ENSMUSP00000062066,string:10090.ENSMUSP00000003527,Mrps12,Supt5h
Plekhg2,Gmfg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.596,0.596,string:10090.ENSMUSP00000092228,string:10090.ENSMUSP00000077889,Plekhg2,Gmfg
Fbl,Supt5,0.0,0.0,0.0,0.0,0.067,0.193,0.0,0.501,0.592,string:10090.ENSMUSP00000020452,string:10090.ENSMUSP00000003527,Prmt2,Supt5h
Capn12,Actn4,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.551,0.562,string:10090.ENSMUSP00000069055,string:10090.ENSMUSP00000066068,Capn12,Actn4
