ID (num probes:22690)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1423537_at	0.354868620523605	0.000102866152240127	-6.91023326904335	0.333625169184161	-1.95962608044873	Gap43	growth associated protein 43	14432	16 28.37 cM	calmodulin binding	axon choice point recognition///axon guidance///cell differentiation///cell fate commitment///glial cell differentiation///multicellular organismal development///nervous system development///regulation of filopodium assembly///regulation of growth	axon///cell junction///cell periphery///cell projection///cytoplasm///filopodium membrane///membrane///plasma membrane///plasma membrane///postsynaptic density///synapse	GO:0005516	GO:0016198///GO:0007411///GO:0030154///GO:0045165///GO:0010001///GO:0007275///GO:0007399///GO:0051489///GO:0040008	GO:0030424///GO:0030054///GO:0071944///GO:0042995///GO:0005737///GO:0031527///GO:0016020///GO:0005886///GO:0005886///GO:0014069///GO:0045202
1422064_a_at	0.698137961772322	0.00429806400483587	-3.88767468531401	-1.87838489495791	-0.750578231070086	Zbtb20	zinc finger and BTB domain containing 20	56490	16 28.44 cM	DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription///metal ion binding///nucleic acid binding	negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///transcription from RNA polymerase II promoter///transcription, DNA-templated	nucleus///nucleus	GO:0003677///GO:0001078///GO:0046872///GO:0003676	GO:0000122///GO:0000122///GO:0006355///GO:0006366///GO:0006351	GO:0005634///GO:0005634
1420404_at	0.698137961772322	0.00471342760055637	3.82414418276158	-1.94254868635171	0.827535180191973	Cd86	CD86 antigen	12524	16 25.72 cM	receptor binding	B cell activation///defense response to virus///immune system process///negative regulation of T cell anergy///positive regulation of T cell proliferation///positive regulation of T cell proliferation///positive regulation of activated T cell proliferation///toll-like receptor signaling pathway	cell surface///external side of plasma membrane///extracellular vesicular exosome///integral component of membrane///intracellular membrane-bounded organelle///membrane///plasma membrane	GO:0005102	GO:0042113///GO:0051607///GO:0002376///GO:0002668///GO:0042102///GO:0042102///GO:0042104///GO:0002224	GO:0009986///GO:0009897///GO:0070062///GO:0016021///GO:0043231///GO:0016020///GO:0005886
1424730_a_at	0.698137961772322	0.00643205008338607	-3.6128118860203	-2.16146670455396	-0.805306682587261	Slc15a2	solute carrier family 15 (H+/peptide transporter), member 2	57738	16	antibiotic transporter activity///dipeptide transporter activity///high-affinity oligopeptide transporter activity	antibiotic transport///dipeptide transport///oligopeptide transport///transport	extracellular vesicular exosome///integral component of membrane///integral component of plasma membrane///membrane	GO:0042895///GO:0042936///GO:0015334	GO:0042891///GO:0042938///GO:0006857///GO:0006810	GO:0070062///GO:0016021///GO:0005887///GO:0016020
1436500_at	0.698137961772322	0.0111658796114552	3.24715475416148	-2.55915169362793	1.52696181866131	Gm6030///Rps24	predicted gene 6030///ribosomal protein S24	547267///20088	16///14 B	nucleotide binding///poly(A) RNA binding///structural constituent of ribosome///translation initiation factor binding	erythrocyte homeostasis///maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///rRNA processing///ribosomal small subunit biogenesis///translation///translational elongation	cytoplasm///cytosolic small ribosomal subunit///cytosolic small ribosomal subunit///intracellular///membrane///nucleolus///nucleus///ribonucleoprotein complex///ribosome///small ribosomal subunit	GO:0000166///GO:0044822///GO:0003735///GO:0031369	GO:0034101///GO:0000462///GO:0006364///GO:0042274///GO:0006412///GO:0006414	GO:0005737///GO:0022627///GO:0022627///GO:0005622///GO:0016020///GO:0005730///GO:0005634///GO:0030529///GO:0005840///GO:0015935
1429597_at	0.698137961772322	0.0115185176546782	3.22685142863893	-2.58188636026151	0.654294680412577	Dppa4	developmental pluripotency associated 4	73693	16		lung-associated mesenchyme development///lung-associated mesenchyme development///multicellular organismal development///regulation of transcription, DNA-templated///transcription, DNA-templated	nucleus		GO:0060484///GO:0060484///GO:0007275///GO:0006355///GO:0006351	GO:0005634
1449015_at	0.698137961772322	0.0134323194202808	3.12690784043806	-2.69471625522072	1.10251595336466	Retnla	resistin like alpha	57262	16 30.75 cM	hormone activity		extracellular region	GO:0005179		GO:0005576
1426551_at	0.701471093370569	0.0154187265742494	3.03779137030654	-2.79654682891799	0.726301388702892	Sidt1	SID1 transmembrane family, member 1	320007	16	RNA transmembrane transporter activity///molecular_function	biological_process///dsRNA transport	cellular_component///integral component of membrane///membrane	GO:0051033///GO:0003674	GO:0008150///GO:0033227	GO:0005575///GO:0016021///GO:0016020
1417785_at	0.72343869460733	0.030130557170386	2.61069816370384	-3.29751173633079	0.543165702422528	Pla1a	phospholipase A1 member A	85031	16 26.83 cM	1-oxa-2-oxocycloheptane lactonase activity///3,4-dihydrocoumarin hydrolase activity///Ala-tRNA(Pro) hydrolase activity///Cys-tRNA(Pro) hydrolase activity///L-ascorbate 6-phosphate lactonase activity///Ser(Gly)-tRNA(Ala) hydrolase activity///Ser-tRNA(Thr) hydrolase activity///all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity///butyrolactone hydrolase activity///carboxylic ester hydrolase activity///endosulfan lactone lactonase activity///hydrolase activity///lipase activity///mannosyl-oligosaccharide 1,3-alpha-mannosidase activity///mannosyl-oligosaccharide 1,6-alpha-mannosidase activity///methyl indole-3-acetate esterase activity///methyl jasmonate esterase activity///methyl salicylate esterase activity///phosphatidylcholine 1-acylhydrolase activity///phospholipase activity///prenylcysteine methylesterase activity///retinyl-palmitate esterase activity///sulfolactone hydrolase activity	biological_process///lipid catabolic process///lipid metabolic process	acrosomal membrane///extracellular region///extracellular vesicular exosome	GO:0018731///GO:0018733///GO:0043906///GO:0043907///GO:0035460///GO:0043908///GO:0043905///GO:0047376///GO:0018734///GO:0052689///GO:0034892///GO:0016787///GO:0016298///GO:0052768///GO:0052767///GO:0080030///GO:0080032///GO:0080031///GO:0008970///GO:0004620///GO:0010296///GO:0050253///GO:0018732	GO:0008150///GO:0016042///GO:0006629	GO:0002080///GO:0005576///GO:0070062
1431082_a_at	0.72343869460733	0.0443828069096368	2.36629570169525	-3.59007882546529	0.713993170190212	Rabl3	RAB, member RAS oncogene family-like 3	67657	16	GTP binding///molecular_function///nucleotide binding	biological_process///small GTPase mediated signal transduction	cellular_component	GO:0005525///GO:0003674///GO:0000166	GO:0008150///GO:0007264	GO:0005575
