"ID (num probes:45101)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1452878_at"	0.0153202858505684	7.23536259987821e-05	-13.6246273959741	2.60714053948364	-0.255778554611272	"Prkce"	"protein kinase C, epsilon"	"18754"	"17"	"14-3-3 protein binding///ATP binding///SH3 domain binding///actin monomer binding///calcium-independent protein kinase C activity///enzyme activator activity///enzyme binding///ethanol binding///kinase activity///metal ion binding///nucleotide binding///protein binding///protein kinase C activity///protein kinase activity///protein kinase binding///protein serine/threonine kinase activity///receptor activator activity///receptor binding///transferase activity///transferase activity, transferring phosphorus-containing groups"	"TRAM-dependent toll-like receptor 4 signaling pathway///cell adhesion///cell cycle///cell division///cellular response to ethanol///cellular response to hypoxia///chemosensory behavior///immune system process///intracellular signal transduction///lipopolysaccharide-mediated signaling pathway///locomotory exploration behavior///macrophage activation involved in immune response///negative regulation of apoptotic process///negative regulation of mitochondrial calcium ion concentration///negative regulation of mitochondrial membrane potential///negative regulation of release of sequestered calcium ion into cytosol///phosphorylation///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of MAPK cascade///positive regulation of MAPK cascade///positive regulation of actin filament polymerization///positive regulation of catalytic activity///positive regulation of cell-substrate adhesion///positive regulation of cell-substrate adhesion///positive regulation of cellular glucuronidation///positive regulation of cytokinesis///positive regulation of epithelial cell migration///positive regulation of fibroblast migration///positive regulation of insulin secretion///positive regulation of lipid catabolic process///positive regulation of mucus secretion///positive regulation of receptor activity///positive regulation of synaptic transmission, GABAergic///positive regulation of wound healing///protein phosphorylation///protein phosphorylation///regulation of insulin secretion involved in cellular response to glucose stimulus///regulation of lipid metabolic process///regulation of peptidyl-tyrosine phosphorylation///release of sequestered calcium ion into cytosol///response to morphine"	"colocalizes_with Golgi apparatus///Golgi membrane///cell///cell periphery///cytoplasm///cytoplasm///cytoskeleton///cytosol///cytosol///cytosol///endoplasmic reticulum///intracellular///membrane///mitochondrion///mitochondrion///nucleus///perinuclear region of cytoplasm///plasma membrane"	"GO:0071889///GO:0005524///GO:0017124///GO:0003785///GO:0004699///GO:0008047///GO:0019899///GO:0035276///GO:0016301///GO:0046872///GO:0000166///GO:0005515///GO:0004697///GO:0004672///GO:0019901///GO:0004674///GO:0030546///GO:0005102///GO:0016740///GO:0016772"	"GO:0035669///GO:0007155///GO:0007049///GO:0051301///GO:0071361///GO:0071456///GO:0007635///GO:0002376///GO:0035556///GO:0031663///GO:0035641///GO:0002281///GO:0043066///GO:0051562///GO:0010917///GO:0051280///GO:0016310///GO:0043123///GO:0043410///GO:0043410///GO:0030838///GO:0043085///GO:0010811///GO:0010811///GO:2001031///GO:0032467///GO:0010634///GO:0010763///GO:0032024///GO:0050996///GO:0070257///GO:2000273///GO:0032230///GO:0090303///GO:0006468///GO:0006468///GO:0061178///GO:0019216///GO:0050730///GO:0051209///GO:0043278"	"colocalizes_with GO:0005794///GO:0000139///GO:0005623///GO:0071944///GO:0005737///GO:0005737///GO:0005856///GO:0005829///GO:0005829///GO:0005829///GO:0005783///GO:0005622///GO:0016020///GO:0005739///GO:0005739///GO:0005634///GO:0048471///GO:0005886"
"1443884_at"	0.0290432302352628	0.000349657828620606	9.54331468544805	0.933266472172977	1.16112201413507	"Thada"	"thyroid adenoma associated"	"240174"	"17"	"molecular_function"	"biological_process"	"cellular_component"	"GO:0003674"	"GO:0008150"	"GO:0005575"
"1448896_at"	0.0333841718876272	0.000492974631492766	8.82018622546775	0.552733570767431	0.261049936258239	"Pigf"	"phosphatidylinositol glycan anchor biosynthesis, class F"	"18701"	"17 56.9 cM"	"phosphotransferase activity, for other substituted phosphate groups"	"GPI anchor biosynthetic process"	"endoplasmic reticulum///endoplasmic reticulum membrane///integral component of membrane///membrane"	"GO:0016780"	"GO:0006506"	"GO:0005783///GO:0005789///GO:0016021///GO:0016020"
"1426345_at"	0.0523975096188988	0.00138906692238821	-6.9269103055124	-0.616281323138772	-0.559641836055891	"Prepl"	"prolyl endopeptidase-like"	"213760"	"17"	"hydrolase activity///peptidase activity///serine-type endopeptidase activity///serine-type exopeptidase activity///serine-type peptidase activity"	"proteolysis"	"Golgi apparatus///cytoplasm///cytoskeleton"	"GO:0016787///GO:0008233///GO:0004252///GO:0070008///GO:0008236"	"GO:0006508"	"GO:0005794///GO:0005737///GO:0005856"
"1416915_at"	0.0854591825085367	0.00394522854930919	5.38062926385724	-1.81387793470621	0.320503419790947	"Msh6"	"mutS homolog 6 (E. coli)"	"17688"	"17 57.87 cM"	"contributes_to ADP binding///contributes_to ATP binding///contributes_to ATPase activity///DNA binding///DNA binding///DNA-dependent ATPase activity///contributes_to MutLalpha complex binding///chromatin binding///damaged DNA binding///damaged DNA binding///contributes_to double-stranded DNA binding///four-way junction DNA binding///contributes_to four-way junction DNA binding///guanine/thymine mispair binding///contributes_to guanine/thymine mispair binding///contributes_to guanine/thymine mispair binding///contributes_to magnesium ion binding///methylated histone binding///mismatched DNA binding///contributes_to mismatched DNA binding///nucleotide binding///contributes_to oxidized purine DNA binding///single base insertion or deletion binding///contributes_to single guanine insertion binding///contributes_to single thymine insertion binding"	"ATP catabolic process///ATP catabolic process///DNA repair///cellular response to DNA damage stimulus///determination of adult lifespan///intrinsic apoptotic signaling pathway///intrinsic apoptotic signaling pathway in response to DNA damage///isotype switching///maintenance of DNA repeat elements///meiotic mismatch repair///mismatch repair///mismatch repair///mismatch repair///negative regulation of DNA recombination///negative regulation of DNA recombination///positive regulation of helicase activity///reciprocal meiotic recombination///response to UV///somatic hypermutation of immunoglobulin genes///somatic recombination of immunoglobulin gene segments"	"Golgi apparatus///MutSalpha complex///MutSalpha complex///chromosome///cytoplasm///intracellular///intracellular membrane-bounded organelle///nuclear chromatin///nucleus///plasma membrane"	"contributes_to GO:0043531///contributes_to GO:0005524///contributes_to GO:0016887///GO:0003677///GO:0003677///GO:0008094///contributes_to GO:0032405///GO:0003682///GO:0003684///GO:0003684///contributes_to GO:0003690///GO:0000400///contributes_to GO:0000400///GO:0032137///contributes_to GO:0032137///contributes_to GO:0032137///contributes_to GO:0000287///GO:0035064///GO:0030983///contributes_to GO:0030983///GO:0000166///contributes_to GO:0032357///GO:0032138///contributes_to GO:0032142///contributes_to GO:0032143"	"GO:0006200///GO:0006200///GO:0006281///GO:0006974///GO:0008340///GO:0097193///GO:0008630///GO:0045190///GO:0043570///GO:0000710///GO:0006298///GO:0006298///GO:0006298///GO:0045910///GO:0045910///GO:0051096///GO:0007131///GO:0009411///GO:0016446///GO:0016447"	"GO:0005794///GO:0032301///GO:0032301///GO:0005694///GO:0005737///GO:0005622///GO:0043231///GO:0000790///GO:0005634///GO:0005886"
"1457106_at"	0.0922946711903179	0.00449594005909245	5.20832868506193	-1.96439929515017	0.415364653069839	"Thada"	"thyroid adenoma associated"	"240174"	"17"	"molecular_function"	"biological_process"	"cellular_component"	"GO:0003674"	"GO:0008150"	"GO:0005575"
"1428655_at"	0.104936056905614	0.00604706795631339	4.83291600540374	-2.3059171385749	0.254200454809261	"Ppp1r21"	"protein phosphatase 1, regulatory subunit 21"	"73825"	"17"	"phosphatase binding"	"biological_process"	"membrane"	"GO:0019902"	"GO:0008150"	"GO:0016020"
"1423349_at"	0.121783346621116	0.00822761928016096	4.46413593411226	-2.66051723902446	0.134195080047833	"Socs5"	"suppressor of cytokine signaling 5"	"56468"	"17"	"epidermal growth factor receptor binding///kinase inhibitor activity///protein binding///receptor tyrosine kinase binding"	"JAK-STAT cascade///cell growth///cytokine-mediated signaling pathway///epidermal growth factor receptor signaling pathway///intracellular signal transduction///negative regulation of T-helper 2 cell differentiation///negative regulation of catalytic activity///negative regulation of epidermal growth factor-activated receptor activity///negative regulation of phosphorylation///negative regulation of signal transduction///positive regulation of T-helper 1 cell differentiation///positive regulation of proteasomal ubiquitin-dependent protein catabolic process///regulation of growth"	"cytoplasm///intracellular"	"GO:0005154///GO:0019210///GO:0005515///GO:0030971"	"GO:0007259///GO:0016049///GO:0019221///GO:0007173///GO:0035556///GO:0045629///GO:0043086///GO:0007175///GO:0042326///GO:0009968///GO:0045627///GO:0032436///GO:0040008"	"GO:0005737///GO:0005622"
"1416988_at"	0.122347303193042	0.0083172619584902	4.45153006716685	-2.67298749126495	0.56086351440516	"Msh2"	"mutS homolog 2 (E. coli)"	"17685"	"17 57.87 cM"	"contributes_to ADP binding///contributes_to ATP binding///ATPase activity///contributes_to ATPase activity///DNA binding///DNA binding///DNA-dependent ATPase activity///contributes_to MutLalpha complex binding///Y-form DNA binding///centromeric DNA binding///damaged DNA binding///contributes_to dinucleotide insertion or deletion binding///contributes_to dinucleotide repeat insertion binding///double-strand/single-strand DNA junction binding///contributes_to double-stranded DNA binding///enzyme binding///four-way junction DNA binding///contributes_to four-way junction DNA binding///contributes_to guanine/thymine mispair binding///guanine/thymine mispair binding///contributes_to guanine/thymine mispair binding///heteroduplex DNA loop binding///contributes_to magnesium ion binding///mismatched DNA binding///contributes_to mismatched DNA binding///nucleotide binding///contributes_to oxidized purine DNA binding///protein C-terminus binding///protein homodimerization activity///protein kinase binding///single base insertion or deletion binding///contributes_to single guanine insertion binding///contributes_to single thymine insertion binding///contributes_to single-stranded DNA binding"	"ATP catabolic process///ATP catabolic process///B cell differentiation///B cell mediated immunity///DNA repair///DNA repair///cell cycle///cell cycle arrest///cellular response to DNA damage stimulus///determination of adult lifespan///double-strand break repair///germ cell development///in utero embryonic development///NOT in utero embryonic development///intra-S DNA damage checkpoint///intrinsic apoptotic signaling pathway in response to DNA damage///intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator///intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator///isotype switching///maintenance of DNA repeat elements///maintenance of DNA repeat elements///male gonad development///meiotic gene conversion///meiotic mismatch repair///mismatch repair///mismatch repair///mismatch repair///mismatch repair///negative regulation of DNA recombination///negative regulation of DNA recombination///negative regulation of neuron apoptotic process///negative regulation of reciprocal meiotic recombination///oxidative phosphorylation///positive regulation of helicase activity///postreplication repair///postreplication repair///response to UV-B///response to X-ray///somatic hypermutation of immunoglobulin genes///somatic hypermutation of immunoglobulin genes///NOT somatic hypermutation of immunoglobulin genes///somatic recombination of immunoglobulin gene segments///somatic recombination of immunoglobulin gene segments///somatic recombination of immunoglobulin genes involved in immune response"	"MutSalpha complex///MutSalpha complex///MutSbeta complex///MutSbeta complex///intracellular///membrane///nuclear chromosome///nucleus///nucleus///nucleus"	"contributes_to GO:0043531///contributes_to GO:0005524///GO:0016887///contributes_to GO:0016887///GO:0003677///GO:0003677///GO:0008094///contributes_to GO:0032405///GO:0000403///GO:0019237///GO:0003684///contributes_to GO:0032139///contributes_to GO:0032181///GO:0000406///contributes_to GO:0003690///GO:0019899///GO:0000400///contributes_to GO:0000400///contributes_to GO:0032137///GO:0032137///contributes_to GO:0032137///GO:0000404///contributes_to GO:0000287///GO:0030983///contributes_to GO:0030983///GO:0000166///contributes_to GO:0032357///GO:0008022///GO:0042803///GO:0019901///GO:0032138///contributes_to GO:0032142///contributes_to GO:0032143///contributes_to GO:0003697"	"GO:0006200///GO:0006200///GO:0030183///GO:0019724///GO:0006281///GO:0006281///GO:0007049///GO:0007050///GO:0006974///GO:0008340///GO:0006302///GO:0007281///GO:0001701///NOT GO:0001701///GO:0031573///GO:0008630///GO:0042771///GO:0042771///GO:0045190///GO:0043570///GO:0043570///GO:0008584///GO:0006311///GO:0000710///GO:0006298///GO:0006298///GO:0006298///GO:0006298///GO:0045910///GO:0045910///GO:0043524///GO:0045128///GO:0006119///GO:0051096///GO:0006301///GO:0006301///GO:0010224///GO:0010165///GO:0016446///GO:0016446///NOT GO:0016446///GO:0016447///GO:0016447///GO:0002204"	"GO:0032301///GO:0032301///GO:0032302///GO:0032302///GO:0005622///GO:0016020///GO:0000228///GO:0005634///GO:0005634///GO:0005634"
"1439213_at"	0.132111737202786	0.0097485169156088	4.2695938672635	-2.85560832304402	0.823480351734133	"Ston1"	"stonin 1"	"77057"	"17 E5"	"molecular_function"	"endocytosis///intracellular protein transport///regulation of endocytosis///regulation of endocytosis///vesicle-mediated transport"	"clathrin adaptor complex///cytoplasm///membrane"	"GO:0003674"	"GO:0006897///GO:0006886///GO:0030100///GO:0030100///GO:0016192"	"GO:0030131///GO:0005737///GO:0016020"
