ID (num probes:45101)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1456392_at	0.00527330542067073	5.48724962188723e-06	17.7771166538865	4.84402041130396	2.92297614007149	Negr1	neuronal growth regulator 1	320840	3	molecular_function	cell adhesion///feeding behavior///locomotory behavior///positive regulation of neuron projection development///single organismal cell-cell adhesion	anchored component of membrane///dendrite///extracellular vesicular exosome///membrane///neuronal cell body///plasma membrane	GO:0003674	GO:0007155///GO:0007631///GO:0007626///GO:0010976///GO:0016337	GO:0031225///GO:0030425///GO:0070062///GO:0016020///GO:0043025///GO:0005886
1427300_at	0.00716051880931246	5.83869800920073e-05	-11.3376574490903	2.68953022897353	-4.45923779206027	Lhx8	LIM homeobox protein 8	16875	3 H3-H4	DNA binding///metal ion binding///sequence-specific DNA binding///zinc ion binding	female gonad development///forebrain neuron development///forebrain neuron differentiation///learning or memory///odontogenesis of dentin-containing tooth///regulation of transcription, DNA-templated///transcription, DNA-templated	female germ cell nucleus///nucleus	GO:0003677///GO:0046872///GO:0043565///GO:0008270	GO:0008585///GO:0021884///GO:0021879///GO:0007611///GO:0042475///GO:0006355///GO:0006351	GO:0001674///GO:0005634
1450344_a_at	0.00775002578733227	7.73455732659461e-05	10.7391699924765	2.40833021312854	1.71665778030033	Ptger3	prostaglandin E receptor 3 (subtype EP3)	19218	3 81.32 cM	G-protein coupled receptor activity///prostaglandin E receptor activity///prostaglandin E receptor activity///prostaglandin receptor activity///protein binding///signal transducer activity	G-protein coupled receptor signaling pathway///adenylate cyclase-modulating G-protein coupled receptor signaling pathway///bicarbonate transport///fever generation///fever generation///phospholipase C-activating G-protein coupled receptor signaling pathway///positive regulation of cytosolic calcium ion concentration///positive regulation of fever generation///positive regulation of urine volume///response to lipopolysaccharide///signal transduction	cytosol///integral component of membrane///membrane///plasma membrane	GO:0004930///GO:0004957///GO:0004957///GO:0004955///GO:0005515///GO:0004871	GO:0007186///GO:0007188///GO:0015701///GO:0001660///GO:0001660///GO:0007200///GO:0007204///GO:0031622///GO:0035810///GO:0032496///GO:0007165	GO:0005829///GO:0016021///GO:0016020///GO:0005886
1439684_at	0.0106074685102006	0.000211203891757614	8.8295430193487	1.37279977858583	4.93944630347699	4930570G19Rik	RIKEN cDNA 4930570G19 gene	329782	3	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575
1457032_at	0.0112528565198949	0.00026294489905041	8.45597257421514	1.14147874792328	2.09640496803272	Ak5	adenylate kinase 5	229949	3	ATP binding///adenylate kinase activity///kinase activity///nucleobase-containing compound kinase activity///nucleoside diphosphate kinase activity///nucleoside kinase activity///nucleotide binding///transferase activity	ATP metabolic process///nucleobase-containing compound metabolic process///nucleoside diphosphate phosphorylation///nucleoside triphosphate biosynthetic process///phosphorylation	cytoplasm///microtubule organizing center	GO:0005524///GO:0004017///GO:0016301///GO:0019205///GO:0004550///GO:0019206///GO:0000166///GO:0016740	GO:0046034///GO:0006139///GO:0006165///GO:0009142///GO:0016310	GO:0005737///GO:0005815
1435649_at	0.0116884750077999	0.000288299587965452	-8.3032338638839	1.04380386013271	-1.90075997248435	Nexn	nexilin	68810	3	actin binding///actin filament binding///actin filament binding///calmodulin-dependent protein kinase activity///structural constituent of muscle	cardiac muscle fiber development///protein phosphorylation///regulation of cell migration///regulation of cell migration///regulation of cytoskeleton organization	Z disc///Z disc///cell junction///cell-substrate adherens junction///cytoplasm///cytoskeleton///focal adhesion	GO:0003779///GO:0051015///GO:0051015///GO:0004683///GO:0008307	GO:0048739///GO:0006468///GO:0030334///GO:0030334///GO:0051493	GO:0030018///GO:0030018///GO:0030054///GO:0005924///GO:0005737///GO:0005856///GO:0005925
1428488_at	0.0152591958609367	0.000620418930435506	-7.12149520312894	0.220831993335678	-1.22008456705832	Pigk	phosphatidylinositol glycan anchor biosynthesis, class K	329777	3 H4	GPI-anchor transamidase activity///coenzyme F390-A hydrolase activity///coenzyme F390-G hydrolase activity///cysteine-type endopeptidase activity///cysteine-type peptidase activity///hydrolase activity///peptidase activity	GPI anchor biosynthetic process///attachment of GPI anchor to protein///proteolysis	GPI-anchor transamidase complex///endoplasmic reticulum///integral component of membrane///membrane	GO:0003923///GO:0052770///GO:0052771///GO:0004197///GO:0008234///GO:0016787///GO:0008233	GO:0006506///GO:0016255///GO:0006508	GO:0042765///GO:0005783///GO:0016021///GO:0016020
1459573_at	0.0187892272591126	0.000979678888694638	6.48690261251717	-0.276516239433917	1.71097004652228	Rpf1	ribosome production factor 1 homolog (S. cerevisiae)	70285	3 H3	RNA binding///poly(A) RNA binding///rRNA binding	biological_process///rRNA processing///ribosome biogenesis	nucleolus///nucleus	GO:0003723///GO:0044822///GO:0019843	GO:0008150///GO:0006364///GO:0042254	GO:0005730///GO:0005634
1420610_at	0.0206248656888165	0.00118807567591728	-6.23316205664864	-0.487657307557492	-1.03624612468681	Prkacb	protein kinase, cAMP dependent, catalytic, beta	18749	3 H3	ATP binding///ATP binding///cAMP-dependent protein kinase activity///cAMP-dependent protein kinase activity///kinase activity///magnesium ion binding///magnesium ion binding///nucleotide binding///protein kinase activity///protein serine/threonine kinase activity///transferase activity///transferase activity, transferring phosphorus-containing groups///ubiquitin protein ligase binding	adenylate cyclase-modulating G-protein coupled receptor signaling pathway///negative regulation of meiotic cell cycle///negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning///neural tube closure///phosphorylation///protein phosphorylation///protein phosphorylation///regulation of protein processing	cAMP-dependent protein kinase complex///cAMP-dependent protein kinase complex///centrosome///ciliary base///cytoplasm///cytosol///extracellular vesicular exosome///membrane///nucleus///perinuclear region of cytoplasm///plasma membrane	GO:0005524///GO:0005524///GO:0004691///GO:0004691///GO:0016301///GO:0000287///GO:0000287///GO:0000166///GO:0004672///GO:0004674///GO:0016740///GO:0016772///GO:0031625	GO:0007188///GO:0051447///GO:1901621///GO:0001843///GO:0016310///GO:0006468///GO:0006468///GO:0070613	GO:0005952///GO:0005952///GO:0005813///GO:0097546///GO:0005737///GO:0005829///GO:0070062///GO:0016020///GO:0005634///GO:0048471///GO:0005886
1426339_at	0.029573210357668	0.00255268193437843	5.30181778854378	-1.32979044179557	2.17779342357244	Ak5	adenylate kinase 5	229949	3	ATP binding///adenylate kinase activity///kinase activity///nucleobase-containing compound kinase activity///nucleoside diphosphate kinase activity///nucleoside kinase activity///nucleotide binding///transferase activity	ATP metabolic process///nucleobase-containing compound metabolic process///nucleoside diphosphate phosphorylation///nucleoside triphosphate biosynthetic process///phosphorylation	cytoplasm///microtubule organizing center	GO:0005524///GO:0004017///GO:0016301///GO:0019205///GO:0004550///GO:0019206///GO:0000166///GO:0016740	GO:0046034///GO:0006139///GO:0006165///GO:0009142///GO:0016310	GO:0005737///GO:0005815
