"ID (num probes:22690)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1434514_at"	0.000245041354423186	1.19691638160872e-08	-31.5673874121273	7.92972861730904	-6.30501443749262	"Rbm15"	"RNA binding motif protein 15"	"229700"	"3"	"poly(A) RNA binding///protein binding"	"negative regulation of myeloid cell differentiation///negative regulation of myeloid cell differentiation///negative regulation of transcription from RNA polymerase II promoter///patterning of blood vessels///placenta blood vessel development///positive regulation of transcription of Notch receptor target///spleen development///ventricular septum morphogenesis"	"nucleus///nucleus"	"GO:0044822///GO:0005515"	"GO:0045638///GO:0045638///GO:0000122///GO:0001569///GO:0060674///GO:0007221///GO:0048536///GO:0060412"	"GO:0005634///GO:0005634"
"1436137_at"	0.00033587636749666	4.44085104667245e-08	-26.0098601400392	7.45514269732134	-3.17235069934671	"Slc6a17"	"solute carrier family 6 (neurotransmitter transporter), member 17"	"229706"	"3"	"neurotransmitter:sodium symporter activity///symporter activity"	"alanine transport///glycine transport///leucine transport///neurotransmitter transport///neutral amino acid transport///proline transport///transport"	"cell junction///cellular_component///cytoplasmic vesicle///integral component of membrane///integral component of plasma membrane///membrane///synapse///synaptic vesicle"	"GO:0005328///GO:0015293"	"GO:0032328///GO:0015816///GO:0015820///GO:0006836///GO:0015804///GO:0015824///GO:0006810"	"GO:0030054///GO:0005575///GO:0031410///GO:0016021///GO:0005887///GO:0016020///GO:0045202///GO:0008021"
"1425851_a_at"	0.0365488462243828	0.000277056040131946	6.82862188522682	0.991059156159944	1.3067953520906	"Amigo1"	"adhesion molecule with Ig like domain 1"	"229715"	"3"	"protein binding"	"axonal fasciculation///axonal fasciculation///axonogenesis///cell adhesion///cell differentiation///heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules///heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules///homophilic cell adhesion via plasma membrane adhesion molecules///homophilic cell adhesion via plasma membrane adhesion molecules///multicellular organismal development///myelination///nervous system development///positive regulation of axonogenesis///positive regulation of axonogenesis"	"integral component of membrane///membrane///plasma membrane"	"GO:0005515"	"GO:0007413///GO:0007413///GO:0007409///GO:0007155///GO:0030154///GO:0007157///GO:0007157///GO:0007156///GO:0007156///GO:0007275///GO:0042552///GO:0007399///GO:0050772///GO:0050772"	"GO:0016021///GO:0016020///GO:0005886"
"1426082_a_at"	0.111351428650423	0.00382295120840367	4.29234456673469	-1.68013394635462	0.669726972537109	"Slc16a4"	"solute carrier family 16 (monocarboxylic acid transporters), member 4"	"229699"	"3"	"molecular_function///monocarboxylic acid transmembrane transporter activity///symporter activity"	"ion transmembrane transport///monocarboxylic acid transport///transmembrane transport///transport"	"cellular_component///integral component of membrane///membrane///plasma membrane"	"GO:0003674///GO:0008028///GO:0015293"	"GO:0034220///GO:0015718///GO:0055085///GO:0006810"	"GO:0005575///GO:0016021///GO:0016020///GO:0005886"
"1419072_at"	0.139662629199877	0.00663303094294866	-3.8476782654709	-2.25035465283514	-0.350961165774162	"Gstm7"	"glutathione S-transferase, mu 7"	"68312"	"3"	"enzyme binding///glutathione binding///glutathione transferase activity///protein homodimerization activity///receptor binding///transferase activity"	"cellular detoxification of nitrogen compound///cellular response to caffeine///glutathione metabolic process///metabolic process///negative regulation of ryanodine-sensitive calcium-release channel activity///nitrobenzene metabolic process///positive regulation of ryanodine-sensitive calcium-release channel activity///regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum///xenobiotic catabolic process"	"cytoplasm///extracellular vesicular exosome///sarcoplasmic reticulum"	"GO:0019899///GO:0043295///GO:0004364///GO:0042803///GO:0005102///GO:0016740"	"GO:0070458///GO:0071313///GO:0006749///GO:0008152///GO:0060315///GO:0018916///GO:0060316///GO:0010880///GO:0042178"	"GO:0005737///GO:0070062///GO:0016529"
"1418985_at"	0.168402853054235	0.0102367342106936	3.51335389974042	-2.69883789704719	0.378252571234634	"Cttnbp2nl"	"CTTNBP2 N-terminal like"	"80281"	"3"	"protein phosphatase 2A binding"	"negative regulation of transmembrane transport///negative regulation of transporter activity///protein dephosphorylation///protein dephosphorylation"	"actin cytoskeleton///cytoplasm///cytoskeleton"	"GO:0051721"	"GO:0034763///GO:0032410///GO:0006470///GO:0006470"	"GO:0015629///GO:0005737///GO:0005856"
"1425200_at"	0.180899239771256	0.0123010004668179	3.37552556068044	-2.88826178833211	0.392205945830717	"Clcc1"	"chloride channel CLIC-like 1"	"229725"	"3"	"chloride channel activity"	"chloride transmembrane transport///chloride transport"	"Golgi apparatus///colocalizes_with Golgi apparatus///cytoplasm///endoplasmic reticulum///colocalizes_with endoplasmic reticulum///integral component of membrane///intracellular membrane-bounded organelle///membrane///nucleus"	"GO:0005254"	"GO:1902476///GO:0006821"	"GO:0005794///colocalizes_with GO:0005794///GO:0005737///GO:0005783///colocalizes_with GO:0005783///GO:0016021///GO:0043231///GO:0016020///GO:0005634"
"1422072_a_at"	0.192563567908638	0.0149263679289481	-3.23253364409806	-3.08731021181918	-0.34568894778251	"Gstm6"	"glutathione S-transferase, mu 6"	"14867"	"3"	"glutathione transferase activity///transferase activity"	"metabolic process"	"cytoplasm"	"GO:0004364///GO:0016740"	"GO:0008152"	"GO:0005737"
"1416751_a_at"	0.204921390130931	0.0174034164293656	3.12050013657573	-3.24489988814556	0.492055109611751	"Ddx20"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 20"	"53975"	"3 F3"	"ATP binding///DNA binding///helicase activity///hydrolase activity///nucleic acid binding///nucleotide binding///protein binding///protein domain specific binding"	"RNA splicing///mRNA processing///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription, DNA-templated///oogenesis///positive regulation of apoptotic process///positive regulation of apoptotic process///regulation of steroid biosynthetic process///spliceosomal snRNP assembly"	"SMN complex///SMN-Sm protein complex///cytoplasm///cytosol///membrane///nucleus///transcriptional repressor complex"	"GO:0005524///GO:0003677///GO:0004386///GO:0016787///GO:0003676///GO:0000166///GO:0005515///GO:0019904"	"GO:0008380///GO:0006397///GO:0000122///GO:0045892///GO:0048477///GO:0043065///GO:0043065///GO:0050810///GO:0000387"	"GO:0032797///GO:0034719///GO:0005737///GO:0005829///GO:0016020///GO:0005634///GO:0017053"
"1417323_at"	0.275504766537352	0.0352724516216238	-2.61884803624452	-3.9634611188044	-0.358506398928786	"Psrc1"	"proline/serine-rich coiled-coil 1"	"56742"	"3"	"microtubule binding///protein binding"	"cell cycle///cell division///cellular process///microtubule bundle formation///mitotic metaphase plate congression///mitotic nuclear division///negative regulation of cell growth///positive regulation of cyclin-dependent protein serine/threonine kinase activity///positive regulation of microtubule polymerization///positive regulation of transcription, DNA-templated///regulation of mitotic spindle organization"	"cytoplasm///cytoplasm///cytoskeleton///cytosol///microtubule cytoskeleton///midbody///nucleus///spindle///colocalizes_with spindle microtubule///colocalizes_with spindle pole"	"GO:0008017///GO:0005515"	"GO:0007049///GO:0051301///GO:0009987///GO:0001578///GO:0007080///GO:0007067///GO:0030308///GO:0045737///GO:0031116///GO:0045893///GO:0060236"	"GO:0005737///GO:0005737///GO:0005856///GO:0005829///GO:0015630///GO:0030496///GO:0005634///GO:0005819///colocalizes_with GO:0005876///colocalizes_with GO:0000922"
