ID (num probes:12488)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
96046_at	0.016019392317354	9.49137130878595e-06	-15.7878012115233	4.08265003908365	-4.07561728629984	Hdac1	histone deacetylase 1	433759	4 63.26 cM	DNA binding///Krueppel-associated box domain binding///NAD-dependent histone deacetylase activity (H3-K14 specific)///NAD-dependent histone deacetylase activity (H3-K18 specific)///NAD-dependent histone deacetylase activity (H3-K9 specific)///NAD-dependent histone deacetylase activity (H4-K16 specific)///contributes_to RNA polymerase II core promoter proximal region sequence-specific DNA binding///contributes_to RNA polymerase II distal enhancer sequence-specific DNA binding///RNA polymerase II repressing transcription factor binding///RNA polymerase II repressing transcription factor binding///RNA polymerase II transcription corepressor activity///activating transcription factor binding///chromatin binding///core promoter binding///core promoter binding///deacetylase activity///enzyme binding///histone deacetylase activity///histone deacetylase activity///histone deacetylase activity (H3-K14 specific)///histone deacetylase activity (H3-K9 specific)///histone deacetylase activity (H4-K16 specific)///histone deacetylase binding///hydrolase activity///contributes_to nucleosomal DNA binding///protein binding///protein complex binding///protein deacetylase activity///repressing transcription factor binding///sequence-specific DNA binding transcription factor activity///transcription corepressor activity///transcription factor binding///transcription factor binding///transcription regulatory region DNA binding///transcription regulatory region sequence-specific DNA binding	ATP-dependent chromatin remodeling///cellular response to oxidative stress///chromatin modification///circadian regulation of gene expression///circadian rhythm///embryonic digit morphogenesis///endoderm development///endoderm development///epidermal cell differentiation///eyelid development in camera-type eye///fungiform papilla formation///hair follicle placode formation///hippocampus development///histone H3 deacetylation///histone H3 deacetylation///histone H4 deacetylation///histone H4 deacetylation///histone deacetylation///negative regulation by host of viral transcription///negative regulation of I-kappaB kinase/NF-kappaB signaling///negative regulation of androgen receptor signaling pathway///negative regulation of apoptotic process///negative regulation of canonical Wnt signaling pathway///negative regulation of cell proliferation///negative regulation of intrinsic apoptotic signaling pathway///negative regulation of neuron apoptotic process///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription, DNA-templated///negative regulation of transcription, DNA-templated///neuron differentiation///odontogenesis of dentin-containing tooth///positive regulation of cell proliferation///positive regulation of cell proliferation///positive regulation of oligodendrocyte differentiation///positive regulation of receptor biosynthetic process///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///protein deacetylation///regulation of transcription, DNA-templated///rhythmic process///transcription from RNA polymerase II promoter///transcription, DNA-templated	NuRD complex///NuRD complex///NuRD complex///Sin3 complex///chromatin///cytoplasm///cytosol///heterochromatin///histone deacetylase complex///histone deacetylase complex///neuronal cell body///nuclear chromatin///nuclear chromatin///nucleoplasm///nucleus///nucleus///protein complex///protein complex///transcription factor complex///transcription factor complex///transcriptional repressor complex	GO:0003677///GO:0035851///GO:0032041///GO:0097372///GO:0046969///GO:0046970///contributes_to GO:0000978///contributes_to GO:0000980///GO:0001103///GO:0001103///GO:0001106///GO:0033613///GO:0003682///GO:0001047///GO:0001047///GO:0019213///GO:0019899///GO:0004407///GO:0004407///GO:0031078///GO:0032129///GO:0034739///GO:0042826///GO:0016787///contributes_to GO:0031492///GO:0005515///GO:0032403///GO:0033558///GO:0070491///GO:0003700///GO:0003714///GO:0008134///GO:0008134///GO:0044212///GO:0000976	GO:0043044///GO:0034599///GO:0016568///GO:0032922///GO:0007623///GO:0042733///GO:0007492///GO:0007492///GO:0009913///GO:0061029///GO:0061198///GO:0060789///GO:0021766///GO:0070932///GO:0070932///GO:0070933///GO:0070933///GO:0016575///GO:0043922///GO:0043124///GO:0060766///GO:0043066///GO:0090090///GO:0008285///GO:2001243///GO:0043524///GO:0000122///GO:0000122///GO:0000122///GO:0045892///GO:0045892///GO:0030182///GO:0042475///GO:0008284///GO:0008284///GO:0048714///GO:0010870///GO:0045944///GO:0045893///GO:0006476///GO:0006355///GO:0048511///GO:0006366///GO:0006351	GO:0016581///GO:0016581///GO:0016581///GO:0016580///GO:0000785///GO:0005737///GO:0005829///GO:0000792///GO:0000118///GO:0000118///GO:0043025///GO:0000790///GO:0000790///GO:0005654///GO:0005634///GO:0005634///GO:0043234///GO:0043234///GO:0005667///GO:0005667///GO:0017053
104232_at	0.0297788596615919	8.10763315578254e-05	10.5187275776647	2.32195266239761	1.61697936200037	Gjb3	gap junction protein, beta 3	14620	4 61.48 cM	protein binding	cell communication///placenta development///sensory perception of sound	cell junction///cell-cell junction///connexon complex///cytoplasm///gap junction///integral component of membrane///membrane///plasma membrane	GO:0005515	GO:0007154///GO:0001890///GO:0007605	GO:0030054///GO:0005911///GO:0005922///GO:0005737///GO:0005921///GO:0016021///GO:0016020///GO:0005886
100012_at	0.063990273386909	0.000630269348701939	7.03928117628524	0.324582346427884	1.08534565054319	Laptm5	lysosomal-associated protein transmembrane 5	16792	4		transport	integral component of membrane///integral component of plasma membrane///lysosomal membrane///lysosome///membrane		GO:0006810	GO:0016021///GO:0005887///GO:0005765///GO:0005764///GO:0016020
94214_at	0.0916242048275887	0.00145272201760591	5.93421405031925	-0.544029264111164	0.984840740536804	Fabp3	fatty acid binding protein 3, muscle and heart	14077	4 63.43 cM	cytoskeletal protein binding///fatty acid binding///icosatetraenoic acid binding///lipid binding///long-chain fatty acid binding///long-chain fatty acid transporter activity///oleic acid binding///transporter activity	cholesterol homeostasis///long-chain fatty acid import///long-chain fatty acid transport///phospholipid homeostasis///positive regulation of phospholipid biosynthetic process///regulation of fatty acid oxidation///regulation of phosphatidylcholine biosynthetic process///transport	cytoplasm///cytosol///cytosol///extracellular space///extracellular vesicular exosome///sarcoplasm	GO:0008092///GO:0005504///GO:0050543///GO:0008289///GO:0036041///GO:0005324///GO:0070538///GO:0005215	GO:0042632///GO:0044539///GO:0015909///GO:0055091///GO:0071073///GO:0046320///GO:2001245///GO:0006810	GO:0005737///GO:0005829///GO:0005829///GO:0005615///GO:0070062///GO:0016528
103632_at	0.109388584573676	0.00195109941720986	5.57828070964095	-0.855739338304772	1.68444417756396	Hmgb4	high-mobility group box 4	69317	4	DNA binding		chromosome///nucleus	GO:0003677		GO:0005694///GO:0005634
104263_at	0.142207220173266	0.00359791251232847	-4.89016213864541	-1.50824130966976	-0.970074055959353	Gm12942///Zmym6	predicted gene 12942///zinc finger, MYM-type 6	100039968///100177	4///4 61.25 cM	molecular_function///molecular_function	biological_process///cytoskeleton organization///regulation of cell morphogenesis	cellular_component///integral component of membrane///membrane///cellular_component	GO:0003674///GO:0003674	GO:0008150///GO:0007010///GO:0022604	GO:0005575///GO:0016021///GO:0016020///GO:0005575
101508_at	0.144205945129523	0.00369521960613768	-4.86159361909209	-1.53683373038082	-1.03261807879273	Khdrbs1	KH domain containing, RNA binding, signal transduction associated 1	20218	4	RNA binding///RNA binding///SH3 domain binding///SH3/SH2 adaptor activity///SH3/SH2 adaptor activity///poly(A) RNA binding///poly(A) binding///poly(U) RNA binding///protein binding///protein complex binding	cell cycle///cell surface receptor signaling pathway///cell surface receptor signaling pathway///negative regulation of transcription, DNA-templated///positive regulation of RNA export from nucleus///positive regulation of signal transduction///positive regulation of signal transduction///positive regulation of translational initiation///regulation of RNA export from nucleus///regulation of transcription, DNA-templated///transcription, DNA-templated	Grb2-Sos complex///cytoplasm///membrane///nucleus///nucleus	GO:0003723///GO:0003723///GO:0017124///GO:0005070///GO:0005070///GO:0044822///GO:0008143///GO:0008266///GO:0005515///GO:0032403	GO:0007049///GO:0007166///GO:0007166///GO:0045892///GO:0046833///GO:0009967///GO:0009967///GO:0045948///GO:0046831///GO:0006355///GO:0006351	GO:0070618///GO:0005737///GO:0016020///GO:0005634///GO:0005634
92867_at	0.146575867081781	0.00384984660496671	-4.81793053202927	-1.58077316227205	-0.850268648261601	Phc2	polyhomeotic-like 2 (Drosophila)	54383	4 62.12 cM	DNA binding///metal ion binding///protein binding///zinc ion binding	multicellular organismal development///spermatogenesis	PRC1 complex///PcG protein complex///PcG protein complex///heterochromatin///nucleus///nucleus	GO:0003677///GO:0046872///GO:0005515///GO:0008270	GO:0007275///GO:0007283	GO:0035102///GO:0031519///GO:0031519///GO:0000792///GO:0005634///GO:0005634
104016_at	0.171788553001915	0.00524491503567242	4.49695909572856	-1.91281738140638	0.98232668758234	Gjb5	gap junction protein, beta 5	14622	4 61.51 cM		cell communication///labyrinthine layer morphogenesis///spongiotrophoblast differentiation	cell junction///connexon complex///gap junction///integral component of membrane///membrane///plasma membrane		GO:0007154///GO:0060713///GO:0060708	GO:0030054///GO:0005922///GO:0005921///GO:0016021///GO:0016020///GO:0005886
161698_f_at	0.236454925256823	0.01087449896184	-3.79361355582199	-2.69782344344744	-0.602605396479873	Map7d1	MAP7 domain containing 1	245877	4	molecular_function	biological_process///microtubule cytoskeleton organization	cytoplasm///cytoskeleton///microtubule///microtubule cytoskeleton	GO:0003674	GO:0008150///GO:0000226	GO:0005737///GO:0005856///GO:0005874///GO:0015630
