"ID (num probes:22690)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1425329_a_at"	0.91211871100815	0.00450230478769999	-3.47048382096468	-2.79785684679562	-0.565769087420282	"Cyb5r3"	"cytochrome b5 reductase 3"	"109754"	"15 39.4 cM"	"ADP binding///AMP binding///NAD binding///cytochrome-b5 reductase activity, acting on NAD(P)H///flavin adenine dinucleotide binding///oxidoreductase activity///protein binding"	"cholesterol biosynthetic process///cholesterol metabolic process///lipid metabolic process///oxidation-reduction process///steroid biosynthetic process///steroid metabolic process///sterol biosynthetic process"	"cytoplasm///endoplasmic reticulum///endoplasmic reticulum membrane///membrane///mitochondrial inner membrane///mitochondrial outer membrane///mitochondrion"	"GO:0043531///GO:0016208///GO:0051287///GO:0004128///GO:0050660///GO:0016491///GO:0005515"	"GO:0006695///GO:0008203///GO:0006629///GO:0055114///GO:0006694///GO:0008202///GO:0016126"	"GO:0005737///GO:0005783///GO:0005789///GO:0016020///GO:0005743///GO:0005741///GO:0005739"
"1449051_at"	0.933452785956923	0.00523424662217019	-3.38968297788543	-2.86036871174054	-2.00198130371001	"Ppara"	"peroxisome proliferator activated receptor alpha"	"19013"	"15 40.42 cM"	"DNA binding///MDM2/MDM4 family protein binding///NFAT protein binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription///RNA polymerase II repressing transcription factor binding///RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription///drug binding///ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity///lipid binding///lipid binding///metal ion binding///phosphatase binding///protein binding///protein complex binding///protein domain specific binding///protein heterodimerization activity///receptor activity///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity///sequence-specific DNA binding transcription factor activity///steroid hormone receptor activity///steroid hormone receptor activity///ubiquitin conjugating enzyme binding///zinc ion binding"	"behavioral response to nicotine///circadian regulation of gene expression///enamel mineralization///epidermis development///fatty acid metabolic process///fatty acid metabolic process///fatty acid metabolic process///glucose metabolic process///intracellular receptor signaling pathway///lipid metabolic process///lipoprotein metabolic process///negative regulation of appetite///negative regulation of blood pressure///negative regulation of cholesterol storage///negative regulation of macrophage derived foam cell differentiation///negative regulation of neuron death///negative regulation of protein binding///negative regulation of receptor biosynthetic process///negative regulation of sequestering of triglyceride///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription regulatory region DNA binding///positive regulation of fatty acid oxidation///positive regulation of gluconeogenesis///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated///regulation of cellular ketone metabolic process by positive regulation of transcription from RNA polymerase II promoter///regulation of circadian rhythm///regulation of fatty acid metabolic process///regulation of gene expression///regulation of glycolytic by positive regulation of transcription from RNA polymerase II promoter///regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///regulation of transcription, DNA-templated///response to hypoxia///response to insulin///rhythmic process///steroid hormone mediated signaling pathway///transcription from RNA polymerase II promoter///transcription, DNA-templated///wound healing"	"nucleus///nucleus"	"GO:0003677///GO:0097371///GO:0051525///GO:0000978///GO:0001078///GO:0001077///GO:0001103///GO:0001190///GO:0008144///GO:0004879///GO:0008289///GO:0008289///GO:0046872///GO:0019902///GO:0005515///GO:0032403///GO:0019904///GO:0046982///GO:0004872///GO:0043565///GO:0003700///GO:0003700///GO:0003707///GO:0003707///GO:0031624///GO:0008270"	"GO:0035095///GO:0032922///GO:0070166///GO:0008544///GO:0006631///GO:0006631///GO:0006631///GO:0006006///GO:0030522///GO:0006629///GO:0042157///GO:0032099///GO:0045776///GO:0010887///GO:0010745///GO:1901215///GO:0032091///GO:0010871///GO:0010891///GO:0000122///GO:2000678///GO:0046321///GO:0045722///GO:0045944///GO:0045944///GO:0045944///GO:0045944///GO:0045893///GO:0045893///GO:0072366///GO:0042752///GO:0019217///GO:0010468///GO:0072363///GO:0072369///GO:0006355///GO:0006355///GO:0001666///GO:0032868///GO:0048511///GO:0043401///GO:0006366///GO:0006351///GO:0042060"	"GO:0005634///GO:0005634"
"1419040_at"	0.999985834943515	0.0159070797451881	-2.79593915329035	-3.34156973804839	-0.444250565139281	"Cyp2d22"	"cytochrome P450, family 2, subfamily d, polypeptide 22"	"56448"	"15"	"arachidonic acid monooxygenase activity///metal ion binding///monooxygenase activity///oxidoreductase activity///steroid 21-monooxygenase activity"	"arachidonic acid metabolic process///dopamine biosynthetic process///dopamine metabolic process///drug metabolic process///oxidation-reduction process"	"cytoplasm///intracellular membrane-bounded organelle"	"GO:0008391///GO:0046872///GO:0004497///GO:0016491///GO:0004509"	"GO:0019369///GO:0042416///GO:0042417///GO:0017144///GO:0055114"	"GO:0005737///GO:0043231"
"1422185_a_at"	0.999985834943515	0.0502453322427755	-2.17142818462009	-3.86871255096849	-0.218232572388292	"Cyb5r3"	"cytochrome b5 reductase 3"	"109754"	"15 39.4 cM"	"ADP binding///AMP binding///NAD binding///cytochrome-b5 reductase activity, acting on NAD(P)H///flavin adenine dinucleotide binding///oxidoreductase activity///protein binding"	"cholesterol biosynthetic process///cholesterol metabolic process///lipid metabolic process///oxidation-reduction process///steroid biosynthetic process///steroid metabolic process///sterol biosynthetic process"	"cytoplasm///endoplasmic reticulum///endoplasmic reticulum membrane///membrane///mitochondrial inner membrane///mitochondrial outer membrane///mitochondrion"	"GO:0043531///GO:0016208///GO:0051287///GO:0004128///GO:0050660///GO:0016491///GO:0005515"	"GO:0006695///GO:0008203///GO:0006629///GO:0055114///GO:0006694///GO:0008202///GO:0016126"	"GO:0005737///GO:0005783///GO:0005789///GO:0016020///GO:0005743///GO:0005741///GO:0005739"
"1416876_at"	0.999985834943515	0.0534121249248724	-2.13740136266107	-3.89722819890878	-0.266925727168282	"Parvg"	"parvin, gamma"	"64099"	"15"	"actin binding"	"actin cytoskeleton reorganization///biological_process///cell adhesion"	"cell junction///cellular_component///cytoplasm///cytoskeleton///membrane///plasma membrane"	"GO:0003779"	"GO:0031532///GO:0008150///GO:0007155"	"GO:0030054///GO:0005575///GO:0005737///GO:0005856///GO:0016020///GO:0005886"
"1449043_at"	0.999985834943515	0.0855891061043873	1.87001009911119	-4.11757937626152	0.306973234975437	"Naga"	"N-acetyl galactosaminidase, alpha"	"17939"	"15 38.56 cM"	"alpha-N-acetylgalactosaminidase activity///alpha-galactosidase activity///catalytic activity///hydrolase activity///hydrolase activity, acting on glycosyl bonds///hydrolase activity, hydrolyzing O-glycosyl compounds///protein homodimerization activity"	"carbohydrate catabolic process///carbohydrate metabolic process///glycolipid catabolic process///glycoside catabolic process///glycosylceramide catabolic process///metabolic process///oligosaccharide metabolic process"	"cytoplasm///extracellular vesicular exosome///lysosome"	"GO:0008456///GO:0004557///GO:0003824///GO:0016787///GO:0016798///GO:0004553///GO:0042803"	"GO:0016052///GO:0005975///GO:0019377///GO:0016139///GO:0046477///GO:0008152///GO:0009311"	"GO:0005737///GO:0070062///GO:0005764"
"1434176_x_at"	0.999985834943515	0.0909355313088365	1.8348969816397	-4.14585636606707	0.19043293623769	"Poldip3"	"polymerase (DNA-directed), delta interacting protein 3"	"73826"	"15"	"RNA binding///nucleic acid binding///nucleotide binding///poly(A) RNA binding"	"mRNA transport///poly(A)+ mRNA export from nucleus///poly(A)+ mRNA export from nucleus///positive regulation of translation///regulation of translation///transport"	"cell///cytoplasm///colocalizes_with exon-exon junction complex///intracellular///nuclear speck///nucleus///colocalizes_with transcription export complex"	"GO:0003723///GO:0003676///GO:0000166///GO:0044822"	"GO:0051028///GO:0016973///GO:0016973///GO:0045727///GO:0006417///GO:0006810"	"GO:0005623///GO:0005737///colocalizes_with GO:0035145///GO:0005622///GO:0016607///GO:0005634///colocalizes_with GO:0000346"
"1419039_at"	0.999985834943515	0.0986555242826616	-1.78735481257441	-4.18383118433556	-0.331975367571276	"Cyp2d22"	"cytochrome P450, family 2, subfamily d, polypeptide 22"	"56448"	"15"	"arachidonic acid monooxygenase activity///metal ion binding///monooxygenase activity///oxidoreductase activity///steroid 21-monooxygenase activity"	"arachidonic acid metabolic process///dopamine biosynthetic process///dopamine metabolic process///drug metabolic process///oxidation-reduction process"	"cytoplasm///intracellular membrane-bounded organelle"	"GO:0008391///GO:0046872///GO:0004497///GO:0016491///GO:0004509"	"GO:0019369///GO:0042416///GO:0042417///GO:0017144///GO:0055114"	"GO:0005737///GO:0043231"
"1416695_at"	0.999985834943515	0.125240300396935	1.64574931441366	-4.29450514003043	0.150958798118855	"Tspo"	"translocator protein"	"12257"	"15 39.4 cM"	"androgen binding///benzodiazepine receptor activity"	"behavioral response to pain///chloride transport///contact inhibition///glial cell migration///ion transport///lipid transport///negative regulation of glial cell proliferation///negative regulation of nitric oxide biosynthetic process///negative regulation of tumor necrosis factor production///positive regulation of apoptotic process///positive regulation of calcium ion transport///positive regulation of glial cell proliferation///positive regulation of mitochondrial depolarization///positive regulation of necrotic cell death///positive regulation of reactive oxygen species metabolic process///regulation of steroid biosynthetic process///signal transduction///steroid biosynthetic process///synaptic transmission///transport"	"cytoplasm///extracellular vesicular exosome///integral component of membrane///intracellular membrane-bounded organelle///membrane///mitochondrial outer membrane///mitochondrion///mitochondrion///nuclear membrane"	"GO:0005497///GO:0008503"	"GO:0048266///GO:0006821///GO:0060242///GO:0008347///GO:0006811///GO:0006869///GO:0060253///GO:0045019///GO:0032720///GO:0043065///GO:0051928///GO:0060252///GO:0051901///GO:0010940///GO:2000379///GO:0050810///GO:0007165///GO:0006694///GO:0007268///GO:0006810"	"GO:0005737///GO:0070062///GO:0016021///GO:0043231///GO:0016020///GO:0005741///GO:0005739///GO:0005739///GO:0031965"
"1448678_at"	0.999985834943515	0.146404007021945	1.55085515801161	-4.36628965558187	0.319443330895133	"Fam118a"	"family with sequence similarity 118, member A"	"73225"	"15 E3"	"molecular_function"	"biological_process"	"cellular_component///integral component of membrane///membrane"	"GO:0003674"	"GO:0008150"	"GO:0005575///GO:0016021///GO:0016020"
"1448139_at"	0.999985834943515	0.14755278016431	1.54605257934192	-4.36986552424064	0.179631974322545	"Mlc1"	"megalencephalic leukoencephalopathy with subcortical cysts 1 homolog (human)"	"170790"	"15"	"NOT ion channel activity///protein binding///protein complex binding///protein transporter activity"	"caveolin-mediated endocytosis///cellular response to cholesterol///NOT ion transmembrane transport///ion transport///positive regulation of intracellular transport///protein oligomerization///protein transport///regulation of response to osmotic stress///transport///vesicle-mediated transport"	"apical plasma membrane///basolateral plasma membrane///caveola///cell-cell junction///cell-cell junction///cytoplasm///cytoplasmic vesicle///early endosome///endoplasmic reticulum///endoplasmic reticulum///endosome///integral component of membrane///lysosome///membrane///membrane raft///perinuclear region of cytoplasm///plasma membrane///plasma membrane///recycling endosome"	"NOT GO:0005216///GO:0005515///GO:0032403///GO:0008565"	"GO:0072584///GO:0071397///NOT GO:0034220///GO:0006811///GO:0032388///GO:0051259///GO:0015031///GO:0047484///GO:0006810///GO:0016192"	"GO:0016324///GO:0016323///GO:0005901///GO:0005911///GO:0005911///GO:0005737///GO:0031410///GO:0005769///GO:0005783///GO:0005783///GO:0005768///GO:0016021///GO:0005764///GO:0016020///GO:0045121///GO:0048471///GO:0005886///GO:0005886///GO:0055037"
"1421606_a_at"	0.999985834943515	0.156873610087008	-1.50822939351536	-4.39782288306409	-0.129948400634839	"Sult4a1"	"sulfotransferase family 4A, member 1"	"29859"	"15"	"1-hydroxypyrene sulfotransferase activity///1-phenanthrol sulfotransferase activity///2-phenanthrol sulfotransferase activity///3-phenanthrol sulfotransferase activity///4-phenanthrol sulfotransferase activity///9-phenanthrol sulfotransferase activity///HNK-1 sulfotransferase activity///N-acetylgalactosamine 4-O-sulfotransferase activity///N-acetylglucosamine 6-O-sulfotransferase activity///cholesterol sulfotransferase activity///galactose 3-O-sulfotransferase activity///heparan sulfate 2-O-sulfotransferase activity///heparan sulfate 6-O-sulfotransferase activity///hydroxyjasmonate sulfotransferase activity///phenanthrol sulfotransferase activity///proteoglycan sulfotransferase activity///sulfotransferase activity///trans-3,4-dihydrodiolphenanthrene sulfotransferase activity///trans-9R,10R-dihydrodiolphenanthrene sulfotransferase activity///transferase activity"	"lipid metabolic process///steroid metabolic process///sulfur compound metabolic process"	"cytoplasm///cytoplasm"	"GO:0034930///GO:0018722///GO:0018727///GO:0018723///GO:0018724///GO:0018726///GO:0016232///GO:0001537///GO:0001517///GO:0051922///GO:0050694///GO:0004394///GO:0017095///GO:0080131///GO:0019111///GO:0050698///GO:0008146///GO:0018725///GO:0018721///GO:0016740"	"GO:0006629///GO:0008202///GO:0006790"	"GO:0005737///GO:0005737"
"1428790_at"	0.999985834943515	0.162132014057051	-1.48773076422053	-4.41281856431107	-0.185037716191048	"Nfam1"	"Nfat activating molecule with ITAM motif 1"	"74039"	"15 E2"	"transmembrane signaling receptor activity///transmembrane signaling receptor activity"	"B cell differentiation///B cell receptor signaling pathway///intracellular signal transduction///intracellular signal transduction///positive regulation of B cell receptor signaling pathway///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of sequence-specific DNA binding transcription factor activity///regulation of B cell differentiation///signal transduction///signal transduction"	"cell surface///integral component of membrane///integral component of membrane///intracellular///membrane///membrane raft///plasma membrane"	"GO:0004888///GO:0004888"	"GO:0030183///GO:0050853///GO:0035556///GO:0035556///GO:0050861///GO:0051091///GO:0051091///GO:0045577///GO:0007165///GO:0007165"	"GO:0009986///GO:0016021///GO:0016021///GO:0005622///GO:0016020///GO:0045121///GO:0005886"
"1437335_x_at"	0.999985834943515	0.174351472230125	1.44218975506173	-4.44572361916162	0.192403656436458	"Poldip3"	"polymerase (DNA-directed), delta interacting protein 3"	"73826"	"15"	"RNA binding///nucleic acid binding///nucleotide binding///poly(A) RNA binding"	"mRNA transport///poly(A)+ mRNA export from nucleus///poly(A)+ mRNA export from nucleus///positive regulation of translation///regulation of translation///transport"	"cell///cytoplasm///colocalizes_with exon-exon junction complex///intracellular///nuclear speck///nucleus///colocalizes_with transcription export complex"	"GO:0003723///GO:0003676///GO:0000166///GO:0044822"	"GO:0051028///GO:0016973///GO:0016973///GO:0045727///GO:0006417///GO:0006810"	"GO:0005623///GO:0005737///colocalizes_with GO:0035145///GO:0005622///GO:0016607///GO:0005634///colocalizes_with GO:0000346"
"1423673_at"	0.999985834943515	0.217657146015864	-1.29969400808751	-4.54470873628206	-0.143092159613654	"Ldoc1l"	"leucine zipper, down-regulated in cancer 1-like"	"223732"	"15"	"molecular_function"	"biological_process"	"cellular_component"	"GO:0003674"	"GO:0008150"	"GO:0005575"
"1437837_x_at"	0.999985834943515	0.233720130202467	1.2527171019586	-4.57590186084294	0.156635080311852	"Poldip3"	"polymerase (DNA-directed), delta interacting protein 3"	"73826"	"15"	"RNA binding///nucleic acid binding///nucleotide binding///poly(A) RNA binding"	"mRNA transport///poly(A)+ mRNA export from nucleus///poly(A)+ mRNA export from nucleus///positive regulation of translation///regulation of translation///transport"	"cell///cytoplasm///colocalizes_with exon-exon junction complex///intracellular///nuclear speck///nucleus///colocalizes_with transcription export complex"	"GO:0003723///GO:0003676///GO:0000166///GO:0044822"	"GO:0051028///GO:0016973///GO:0016973///GO:0045727///GO:0006417///GO:0006810"	"GO:0005623///GO:0005737///colocalizes_with GO:0035145///GO:0005622///GO:0016607///GO:0005634///colocalizes_with GO:0000346"
"1420892_at"	0.999985834943515	0.245925862272041	-1.21871723373262	-4.59799761597102	-0.126653623076201	"Wnt7b"	"wingless-type MMTV integration site family, member 7B"	"22422"	"15 40.39 cM"	"frizzled binding///protein binding///receptor agonist activity///receptor binding"	"Wnt signaling pathway///Wnt signaling pathway///activation of JUN kinase activity///anatomical structure regression///angiogenesis///angiogenesis///apoptotic process involved in patterning of blood vessels///canonical Wnt signaling pathway///canonical Wnt signaling pathway///canonical Wnt signaling pathway///cell fate commitment///cell proliferation in forebrain///cell-cell signaling///cellular metabolic process///central nervous system vasculogenesis///chorio-allantoic fusion///developmental growth involved in morphogenesis///embryonic organ development///embryonic placenta morphogenesis///establishment or maintenance of polarity of embryonic epithelium///homeostatic process///in utero embryonic development///inner medullary collecting duct development///lobar bronchus development///lung development///lung epithelium development///lung morphogenesis///lung-associated mesenchyme development///metanephric collecting duct development///metanephric epithelium development///metanephric loop of Henle development///metanephros morphogenesis///multicellular organismal development///negative regulation of neurogenesis///negative regulation of smoothened signaling pathway///neuron differentiation///neuron projection development///neuron projection morphogenesis///odontogenesis of dentin-containing tooth///outer medullary collecting duct development///oxygen homeostasis///positive regulation of JNK cascade///positive regulation of JNK cascade///positive regulation of cell proliferation///positive regulation of gene expression///positive regulation of osteoblast differentiation///positive regulation of receptor activity///regulation of cell projection size///renal inner medulla development///renal outer medulla development///signal transduction///signal transduction///smooth muscle cell differentiation///stem cell development///synapse organization///trachea cartilage morphogenesis///vasculature development"	"cell surface///cytoplasm///extracellular region///extracellular space///extracellular space///plasma membrane///proteinaceous extracellular matrix"	"GO:0005109///GO:0005515///GO:0048018///GO:0005102"	"GO:0016055///GO:0016055///GO:0007257///GO:0060033///GO:0001525///GO:0001525///GO:1902262///GO:0060070///GO:0060070///GO:0060070///GO:0045165///GO:0021846///GO:0007267///GO:0044237///GO:0022009///GO:0060710///GO:0060560///GO:0048568///GO:0060669///GO:0016332///GO:0042592///GO:0001701///GO:0072061///GO:0060482///GO:0030324///GO:0060428///GO:0060425///GO:0060484///GO:0072205///GO:0072207///GO:0072236///GO:0003338///GO:0007275///GO:0050768///GO:0045879///GO:0030182///GO:0031175///GO:0048812///GO:0042475///GO:0072060///GO:0032364///GO:0046330///GO:0046330///GO:0008284///GO:0010628///GO:0045669///GO:2000273///GO:0032536///GO:0072053///GO:0072054///GO:0007165///GO:0007165///GO:0051145///GO:0048864///GO:0050808///GO:0060535///GO:0001944"	"GO:0009986///GO:0005737///GO:0005576///GO:0005615///GO:0005615///GO:0005886///GO:0005578"
"1448038_at"	0.999985834943515	0.247168679318844	-1.21533079283679	-4.60017568316825	-0.114528072661424	"1810021B22Rik"	"RIKEN cDNA 1810021B22 gene"	"69120"	"15"	""	""	""	""	""	""
"1416875_at"	0.999985834943515	0.259524688929791	-1.18237064591946	-4.62115511982215	-0.0984548924415691	"Parvg"	"parvin, gamma"	"64099"	"15"	"actin binding"	"actin cytoskeleton reorganization///biological_process///cell adhesion"	"cell junction///cellular_component///cytoplasm///cytoskeleton///membrane///plasma membrane"	"GO:0003779"	"GO:0031532///GO:0008150///GO:0007155"	"GO:0030054///GO:0005575///GO:0005737///GO:0005856///GO:0016020///GO:0005886"
"1422060_at"	0.999985834943515	0.264280334799555	-1.17001130375491	-4.6289177148171	-0.100676937376667	"Parvb"	"parvin, beta"	"170736"	"15 E3"	"actin binding///protein binding"	"actin cytoskeleton reorganization///cell adhesion///cell projection assembly///establishment or maintenance of cell polarity regulating cell shape///lamellipodium assembly"	"cell junction///cell projection///cytoplasm///cytoskeleton///focal adhesion///lamellipodium///membrane///plasma membrane"	"GO:0003779///GO:0005515"	"GO:0031532///GO:0007155///GO:0030031///GO:0071963///GO:0030032"	"GO:0030054///GO:0042995///GO:0005737///GO:0005856///GO:0005925///GO:0030027///GO:0016020///GO:0005886"
"1425365_a_at"	0.999985834943515	0.292135772534412	-1.10087413207675	-4.6712560523803	-0.106961336569573	"Cyp2d13"	"cytochrome P450, family 2, subfamily d, polypeptide 13"	"68444"	"15 38.67 cM"	"molecular_function"	"biological_process"	"cellular_component"	"GO:0003674"	"GO:0008150"	"GO:0005575"
"1422719_s_at"	0.999985834943515	0.293207199628089	-1.09831715923153	-4.67278572979388	-0.192555908689717	"Nup50"	"nucleoporin 50"	"18141"	"15 40.25 cM"	"nucleocytoplasmic transporter activity///protein binding"	"neural tube formation///nucleocytoplasmic transport"	"cell///intracellular///nuclear membrane///nuclear pore///nuclear pore///nucleus///ribonucleoprotein complex"	"GO:0005487///GO:0005515"	"GO:0001841///GO:0006913"	"GO:0005623///GO:0005622///GO:0031965///GO:0005643///GO:0005643///GO:0005634///GO:0030529"
"1416969_at"	0.999985834943515	0.308831704291322	1.06180433843212	-4.69433903914579	0.18039056265498	"Gtse1"	"G two S phase expressed protein 1"	"29870"	"15 40.42 cM"	""	""	"cytoplasm///cytoplasmic microtubule///cytoskeleton///membrane///microtubule"	""	""	"GO:0005737///GO:0005881///GO:0005856///GO:0016020///GO:0005874"
"1452584_at"	0.999985834943515	0.313901813829411	1.05025296140542	-4.70104331748864	0.0939158279951329	"Smdt1"	"single-pass membrane protein with aspartate rich tail 1"	"69029"	"15 E2"	"molecular_function"	"calcium ion transmembrane import into mitochondrion///calcium ion transport///ion transport///mitochondrial calcium ion homeostasis///mitochondrial calcium ion transport///transport"	"integral component of membrane///integral component of mitochondrial inner membrane///membrane///mitochondrial inner membrane///mitochondrion///uniplex complex"	"GO:0003674"	"GO:0036444///GO:0006816///GO:0006811///GO:0051560///GO:0006851///GO:0006810"	"GO:0016021///GO:0031305///GO:0016020///GO:0005743///GO:0005739///GO:1990246"
"1456466_x_at"	0.999985834943515	0.315552119845736	1.04652288303295	-4.70319629859147	0.13978734880952	"Atxn10"	"ataxin 10"	"54138"	"15"	"identical protein binding///protein binding"	"nervous system development///neuron projection development"	"cytoplasm///cytosol///dendrite///extracellular space///membrane///neuronal cell body///perinuclear region of cytoplasm///plasma membrane"	"GO:0042802///GO:0005515"	"GO:0007399///GO:0031175"	"GO:0005737///GO:0005829///GO:0030425///GO:0005615///GO:0016020///GO:0043025///GO:0048471///GO:0005886"
"1438202_at"	0.999985834943515	0.323169500108807	-1.02949009421876	-4.71295300877919	-0.106092802785482	"Fam109b"	"family with sequence similarity 109, member B"	"338368"	"15"	"protein homodimerization activity"	"endosome organization///receptor recycling///retrograde transport, endosome to Golgi"	"Golgi apparatus///clathrin-coated vesicle///cytoplasmic vesicle///early endosome///endosome///recycling endosome///trans-Golgi network"	"GO:0042803"	"GO:0007032///GO:0001881///GO:0042147"	"GO:0005794///GO:0030136///GO:0031410///GO:0005769///GO:0005768///GO:0055037///GO:0005802"
"1425714_a_at"	0.999985834943515	0.330708036836621	-1.01292137594525	-4.72232543924189	-0.133497420306286	"Nfam1"	"Nfat activating molecule with ITAM motif 1"	"74039"	"15 E2"	"transmembrane signaling receptor activity///transmembrane signaling receptor activity"	"B cell differentiation///B cell receptor signaling pathway///intracellular signal transduction///intracellular signal transduction///positive regulation of B cell receptor signaling pathway///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of sequence-specific DNA binding transcription factor activity///regulation of B cell differentiation///signal transduction///signal transduction"	"cell surface///integral component of membrane///integral component of membrane///intracellular///membrane///membrane raft///plasma membrane"	"GO:0004888///GO:0004888"	"GO:0030183///GO:0050853///GO:0035556///GO:0035556///GO:0050861///GO:0051091///GO:0051091///GO:0045577///GO:0007165///GO:0007165"	"GO:0009986///GO:0016021///GO:0016021///GO:0005622///GO:0016020///GO:0045121///GO:0005886"
"1423776_s_at"	0.999985834943515	0.333777606096179	1.00625378822214	-4.72606379350714	0.218953293373733	"Tbc1d22a"	"TBC1 domain family, member 22a"	"223754"	"15 40.56 cM"	"GTPase activator activity///Rab GTPase activator activity///protein homodimerization activity"	"biological_process///regulation of Rab GTPase activity"	"cellular_component"	"GO:0005096///GO:0005097///GO:0042803"	"GO:0008150///GO:0032313"	"GO:0005575"
