ID (num probes:22690)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1450392_at	0.406519476298668	0.0124614156251969	-3.22311697431441	-2.67864995448833	-0.95731566022879	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	11303	4 28.57 cM	ATP binding///ATPase activity///ATPase activity, coupled to transmembrane movement of substances///ATPase binding///anion transmembrane transporter activity///apolipoprotein A-I binding///apolipoprotein A-I receptor activity///apolipoprotein binding///cholesterol transporter activity///cholesterol transporter activity///cholesterol transporter activity///nucleotide binding///phospholipid transporter activity///phospholipid transporter activity///phospholipid transporter activity///protein binding///receptor binding///small GTPase binding///syntaxin binding	ATP catabolic process///G-protein coupled receptor signaling pathway///apolipoprotein A-I-mediated signaling pathway///cellular response to lipopolysaccharide///cellular response to retinoic acid///cholesterol efflux///cholesterol efflux///cholesterol efflux///cholesterol homeostasis///cholesterol metabolic process///cholesterol metabolic process///cholesterol transport///endosomal transport///high-density lipoprotein particle assembly///interleukin-1 beta secretion///intracellular cholesterol transport///ion transmembrane transport///lipoprotein biosynthetic process///lipoprotein biosynthetic process///lipoprotein metabolic process///lysosome organization///peptide secretion///phagocytosis, engulfment///phospholipid efflux///phospholipid efflux///phospholipid efflux///phospholipid homeostasis///phospholipid translocation///phospholipid transport///platelet dense granule organization///positive regulation of cAMP biosynthetic process///positive regulation of cholesterol efflux///protein lipidation///regulation of Cdc42 protein signal transduction///NOT response to high density lipoprotein particle///reverse cholesterol transport///reverse cholesterol transport///transmembrane transport///transport	Golgi apparatus///cell surface///endocytic vesicle///external side of plasma membrane///colocalizes_with high-density lipoprotein particle///integral component of membrane///integral component of plasma membrane///integral component of plasma membrane///intracellular membrane-bounded organelle///membrane///membrane raft///perinuclear region of cytoplasm///phagocytic vesicle///plasma membrane///plasma membrane	GO:0005524///GO:0016887///GO:0042626///GO:0051117///GO:0008509///GO:0034186///GO:0034188///GO:0034185///GO:0017127///GO:0017127///GO:0017127///GO:0000166///GO:0005548///GO:0005548///GO:0005548///GO:0005515///GO:0005102///GO:0031267///GO:0019905	GO:0006200///GO:0007186///GO:0038027///GO:0071222///GO:0071300///GO:0033344///GO:0033344///GO:0033344///GO:0042632///GO:0008203///GO:0008203///GO:0030301///GO:0016197///GO:0034380///GO:0050702///GO:0032367///GO:0034220///GO:0042158///GO:0042158///GO:0042157///GO:0007040///GO:0002790///GO:0006911///GO:0033700///GO:0033700///GO:0033700///GO:0055091///GO:0045332///GO:0015914///GO:0060155///GO:0030819///GO:0010875///GO:0006497///GO:0032489///NOT GO:0055099///GO:0043691///GO:0043691///GO:0055085///GO:0006810	GO:0005794///GO:0009986///GO:0030139///GO:0009897///colocalizes_with GO:0034364///GO:0016021///GO:0005887///GO:0005887///GO:0043231///GO:0016020///GO:0045121///GO:0048471///GO:0045335///GO:0005886///GO:0005886
1420893_a_at	0.429036950075276	0.0148054619616105	-3.10760812949758	-2.84291070027778	-0.655646174419573	Tgfbr1	transforming growth factor, beta receptor I	21812	4 26.02 cM	ATP binding///I-SMAD binding///SMAD binding///SMAD binding///contributes_to growth factor binding///kinase activity///metal ion binding///nucleotide binding///protein binding///protein complex binding///protein heterodimerization activity///protein kinase activity///protein serine/threonine kinase activity///receptor signaling protein serine/threonine kinase activity///transferase activity///transferase activity, transferring phosphorus-containing groups///transforming growth factor beta binding///transforming growth factor beta binding///contributes_to transforming growth factor beta binding///transforming growth factor beta receptor activity, type I///transforming growth factor beta-activated receptor activity///transforming growth factor beta-activated receptor activity///transforming growth factor beta-activated receptor activity///contributes_to transforming growth factor beta-activated receptor activity///transmembrane receptor protein serine/threonine kinase activity///type II transforming growth factor beta receptor binding///ubiquitin protein ligase binding	activation of MAPKK activity///angiogenesis///anterior/posterior pattern specification///apoptotic process///artery morphogenesis///blastocyst development///cell differentiation///cell motility///cellular response to transforming growth factor beta stimulus///cellular response to transforming growth factor beta stimulus///collagen fibril organization///embryo development///embryonic cranial skeleton morphogenesis///endothelial cell migration///epithelial to mesenchymal transition///germ cell migration///heart development///in utero embryonic development///kidney development///lens development in camera-type eye///male gonad development///negative regulation of apoptotic process///negative regulation of chondrocyte differentiation///negative regulation of endothelial cell differentiation///negative regulation of endothelial cell proliferation///negative regulation of extrinsic apoptotic signaling pathway///neuron fate commitment///palate development///palate development///parathyroid gland development///pathway-restricted SMAD protein phosphorylation///peptidyl-serine phosphorylation///peptidyl-threonine phosphorylation///pharyngeal system development///phosphorylation///positive regulation of SMAD protein import into nucleus///positive regulation of apoptotic signaling pathway///positive regulation of cell growth///positive regulation of cell proliferation///positive regulation of cellular component movement///positive regulation of filopodium assembly///positive regulation of pathway-restricted SMAD protein phosphorylation///positive regulation of protein kinase B signaling///positive regulation of transcription, DNA-templated///post-embryonic development///protein autophosphorylation///protein phosphorylation///protein phosphorylation///regulation of gene expression///regulation of growth///regulation of protein binding///regulation of protein ubiquitination///regulation of transcription, DNA-templated///response to cholesterol///response to cholesterol///response to estrogen///signal transduction///skeletal system development///skeletal system morphogenesis///thymus development///transforming growth factor beta receptor signaling pathway///transforming growth factor beta receptor signaling pathway///transforming growth factor beta receptor signaling pathway///transmembrane receptor protein serine/threonine kinase signaling pathway	apical plasma membrane///basolateral plasma membrane///caveola///cell junction///endosome///integral component of membrane///membrane///membrane raft///plasma membrane///protein complex///receptor complex///tight junction	GO:0005524///GO:0070411///GO:0046332///GO:0046332///contributes_to GO:0019838///GO:0016301///GO:0046872///GO:0000166///GO:0005515///GO:0032403///GO:0046982///GO:0004672///GO:0004674///GO:0004702///GO:0016740///GO:0016772///GO:0050431///GO:0050431///contributes_to GO:0050431///GO:0005025///GO:0005024///GO:0005024///GO:0005024///contributes_to GO:0005024///GO:0004675///GO:0005114///GO:0031625	GO:0000186///GO:0001525///GO:0009952///GO:0006915///GO:0048844///GO:0001824///GO:0030154///GO:0048870///GO:0071560///GO:0071560///GO:0030199///GO:0009790///GO:0048701///GO:0043542///GO:0001837///GO:0008354///GO:0007507///GO:0001701///GO:0001822///GO:0002088///GO:0008584///GO:0043066///GO:0032331///GO:0045602///GO:0001937///GO:2001237///GO:0048663///GO:0060021///GO:0060021///GO:0060017///GO:0060389///GO:0018105///GO:0018107///GO:0060037///GO:0016310///GO:0060391///GO:2001235///GO:0030307///GO:0008284///GO:0051272///GO:0051491///GO:0010862///GO:0051897///GO:0045893///GO:0009791///GO:0046777///GO:0006468///GO:0006468///GO:0010468///GO:0040008///GO:0043393///GO:0031396///GO:0006355///GO:0070723///GO:0070723///GO:0043627///GO:0007165///GO:0001501///GO:0048705///GO:0048538///GO:0007179///GO:0007179///GO:0007179///GO:0007178	GO:0016324///GO:0016323///GO:0005901///GO:0030054///GO:0005768///GO:0016021///GO:0016020///GO:0045121///GO:0005886///GO:0043234///GO:0043235///GO:0005923
1451266_at	0.443160424946409	0.0184959969065283	2.95988041241031	-3.05477320055068	0.415098293634088	Mrpl50	mitochondrial ribosomal protein L50	28028	4 26.54 cM	molecular_function	biological_process	mitochondrion///ribonucleoprotein complex///ribosome	GO:0003674	GO:0008150	GO:0005739///GO:0030529///GO:0005840
1427924_at	0.464915419073348	0.0239105331404793	-2.79115243818535	-3.29861011623068	-0.352786144778849	Stx17	syntaxin 17	67727	4	SNAP receptor activity///SNAP receptor activity///SNARE binding///SNARE binding///protein kinase binding///protein phosphatase binding	ER to Golgi vesicle-mediated transport///Golgi organization///autophagic vacuole fusion///autophagy///endoplasmic reticulum-Golgi intermediate compartment organization///exocytosis///intracellular protein transport///protein localization to pre-autophagosomal structure///transport///vesicle-mediated transport	ER to Golgi transport vesicle///ER-mitochondrion membrane contact site///SNARE complex///SNARE complex///autophagic vacuole membrane///cytoplasm///cytoplasmic vesicle///cytosol///endoplasmic reticulum///endoplasmic reticulum membrane///endoplasmic reticulum-Golgi intermediate compartment///integral component of membrane///membrane///smooth endoplasmic reticulum membrane	GO:0005484///GO:0005484///GO:0000149///GO:0000149///GO:0019901///GO:0019903	GO:0006888///GO:0007030///GO:0000046///GO:0006914///GO:0097111///GO:0006887///GO:0006886///GO:0034497///GO:0006810///GO:0016192	GO:0030134///GO:0044233///GO:0031201///GO:0031201///GO:0000421///GO:0005737///GO:0031410///GO:0005829///GO:0005783///GO:0005789///GO:0005793///GO:0016021///GO:0016020///GO:0030868
1452361_at	0.480233259793297	0.0281672248095351	-2.68427261885018	-3.45371693364348	-0.967094021618949	Rnf20	ring finger protein 20	109331	4	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity///chromatin binding///coenzyme F420-0 gamma-glutamyl ligase activity///coenzyme F420-2 alpha-glutamyl ligase activity///histone binding///ligase activity///metal ion binding///p53 binding///protein binding///protein-glutamic acid ligase activity///protein-glycine ligase activity///protein-glycine ligase activity, elongating///protein-glycine ligase activity, initiating///ribosomal S6-glutamic acid ligase activity///transcription coactivator activity///tubulin-glutamic acid ligase activity///tubulin-glycine ligase activity///ubiquitin protein ligase binding///ubiquitin-protein transferase activity///contributes_to ubiquitin-protein transferase activity///zinc ion binding	chromatin modification///histone H2B ubiquitination///histone monoubiquitination///histone ubiquitination///negative regulation of cell migration///positive regulation of histone methylation///positive regulation of transcription, DNA-templated///protein polyubiquitination///regulation of transcription, DNA-templated///ubiquitin-dependent protein catabolic process	HULC complex///nucleus///ubiquitin ligase complex	GO:0008766///GO:0003682///GO:0043773///GO:0043774///GO:0042393///GO:0016874///GO:0046872///GO:0002039///GO:0005515///GO:0070739///GO:0070735///GO:0070737///GO:0070736///GO:0018169///GO:0003713///GO:0070740///GO:0070738///GO:0031625///GO:0004842///contributes_to GO:0004842///GO:0008270	GO:0016568///GO:0033523///GO:0010390///GO:0016574///GO:0030336///GO:0031062///GO:0045893///GO:0000209///GO:0006355///GO:0006511	GO:0033503///GO:0005634///GO:0000151
1426649_at	0.547994599838865	0.0598986536118416	-2.19633872871386	-4.15967027600347	-1.50033640959194	Tmeff1	transmembrane protein with EGF-like and two follistatin-like domains 1	230157	4 B2		multicellular organismal development	integral component of membrane///membrane///plasma membrane		GO:0007275	GO:0016021///GO:0016020///GO:0005886
1426716_at	0.554552268190734	0.0641669433840534	-2.1518803442344	-4.22310604719708	-0.269001486101562	Tdrd7	tudor domain containing 7	100121	4	RNA binding///mRNA binding///protein N-terminus binding///protein binding	cell differentiation///germ cell development///lens fiber cell differentiation///lens fiber cell differentiation///lens morphogenesis in camera-type eye///lens morphogenesis in camera-type eye///multicellular organismal development///posttranscriptional regulation of gene expression///spermatogenesis	P granule///chromatoid body///cytoplasm///mitochondrial matrix///ribonucleoprotein complex///ribonucleoprotein granule	GO:0003723///GO:0003729///GO:0047485///GO:0005515	GO:0030154///GO:0007281///GO:0070306///GO:0070306///GO:0002089///GO:0002089///GO:0007275///GO:0010608///GO:0007283	GO:0043186///GO:0033391///GO:0005737///GO:0005759///GO:0030529///GO:0035770
1448755_at	0.560673789082751	0.0691242237517886	2.10376894589805	-4.29144511452071	0.836687442540265	Col15a1	collagen, type XV, alpha 1	12819	4 B1-B3	structural molecule activity	cell adhesion	basement membrane///collagen trimer///colocalizes_with extracellular matrix///extracellular region///extracellular space///extracellular vesicular exosome///proteinaceous extracellular matrix	GO:0005198	GO:0007155	GO:0005604///GO:0005581///colocalizes_with GO:0031012///GO:0005576///GO:0005615///GO:0070062///GO:0005578
1421059_a_at	0.563717137709834	0.0720026428042224	2.07736604811695	-4.3287976057103	0.352703002656654	Alg2	asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)	56737	4 B2	GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity///alpha-1,3-mannosyltransferase activity///calcium-dependent protein binding///glycolipid 6-alpha-mannosyltransferase activity///protein N-terminus binding///protein anchor///protein heterodimerization activity///transferase activity///transferase activity, transferring glycosyl groups	biosynthetic process///dolichol-linked oligosaccharide biosynthetic process///mannosylation///protein glycosylation in endoplasmic reticulum///response to calcium ion	cytoplasm///endoplasmic reticulum///integral component of membrane///membrane///nucleus///perinuclear region of cytoplasm	GO:0004378///GO:0000033///GO:0048306///GO:0033164///GO:0047485///GO:0043495///GO:0046982///GO:0016740///GO:0016757	GO:0009058///GO:0006488///GO:0097502///GO:0033577///GO:0051592	GO:0005737///GO:0005783///GO:0016021///GO:0016020///GO:0005634///GO:0048471
1421079_at	0.577137858418715	0.0812492718013538	1.99903042099844	-4.43890874030859	0.885639239827559	Nr4a3	nuclear receptor subfamily 4, group A, member 3	18124	4 B2	DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription///ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity///metal ion binding///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity///steroid hormone receptor activity///zinc ion binding	adult behavior///axon guidance///hippocampus development///inner ear morphogenesis///mesoderm formation///negative regulation of apoptotic process///negative regulation of neuron apoptotic process///neuromuscular process controlling balance///positive regulation of cell cycle///positive regulation of leukocyte apoptotic process///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///response to hydrogen peroxide///semicircular canal morphogenesis///steroid hormone mediated signaling pathway///transcription from RNA polymerase II promoter///transcription, DNA-templated///vestibular reflex	nucleus///transcription factor complex	GO:0003677///GO:0001077///GO:0004879///GO:0046872///GO:0043565///GO:0003700///GO:0003707///GO:0008270	GO:0030534///GO:0007411///GO:0021766///GO:0042472///GO:0001707///GO:0043066///GO:0043524///GO:0050885///GO:0045787///GO:2000108///GO:0045944///GO:0045944///GO:0006355///GO:0042542///GO:0048752///GO:0043401///GO:0006366///GO:0006351///GO:0060005	GO:0005634///GO:0005667
