ID (num probes:45101)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1420579_s_at	0.00103353077612635	3.39549499975663e-07	-10.0594639210862	6.89546115601025	-2.2888269791649	Cftr	cystic fibrosis transmembrane conductance regulator	12638	6 8.1 cM	ATP binding///ATPase activity///ATPase activity, coupled to transmembrane movement of substances///PDZ domain binding///bicarbonate transmembrane transporter activity///channel-conductance-controlling ATPase activity///chloride channel activity///chloride channel inhibitor activity///chloride transmembrane transporter activity///enzyme binding///hydrolase activity///nucleotide binding///protein binding	bicarbonate transport///bicarbonate transport///cellular response to cAMP///chloride transmembrane transport///chloride transmembrane transport///chloride transport///chloride transport///cholesterol biosynthetic process///cholesterol transport///intracellular pH elevation///iodide transport///ion transport///lung development///membrane hyperpolarization///positive regulation of vasodilation///positive regulation of voltage-gated chloride channel activity///sperm capacitation///transepithelial chloride transport///transmembrane transport///transport///vasodilation///water transport	apical plasma membrane///basolateral plasma membrane///cell///cell surface///chloride channel complex///cytoplasm///cytoplasmic vesicle membrane///early endosome///colocalizes_with endoplasmic reticulum Sec complex///endosome///extracellular vesicular exosome///integral component of membrane///intracellular///membrane///microvillus///plasma membrane///protein complex	GO:0005524///GO:0016887///GO:0042626///GO:0030165///GO:0015106///GO:0005260///GO:0005254///GO:0019869///GO:0015108///GO:0019899///GO:0016787///GO:0000166///GO:0005515	GO:0015701///GO:0015701///GO:0071320///GO:1902476///GO:1902476///GO:0006821///GO:0006821///GO:0006695///GO:0030301///GO:0051454///GO:0015705///GO:0006811///GO:0030324///GO:0060081///GO:0045909///GO:1902943///GO:0048240///GO:0030321///GO:0055085///GO:0006810///GO:0042311///GO:0006833	GO:0016324///GO:0016323///GO:0005623///GO:0009986///GO:0034707///GO:0005737///GO:0030659///GO:0005769///colocalizes_with GO:0031205///GO:0005768///GO:0070062///GO:0016021///GO:0005622///GO:0016020///GO:0005902///GO:0005886///GO:0043234
1423822_a_at	0.00395392912305781	1.03837465257448e-05	7.23830292247046	3.80181313622395	0.829156064388875	Tmem168	transmembrane protein 168	101118	6 A2	molecular_function	biological_process	integral component of membrane///membrane///transport vesicle	GO:0003674	GO:0008150	GO:0016021///GO:0016020///GO:0030133
1454604_s_at	0.00572971320611173	2.29703061873511e-05	6.67317173715238	3.05278053652318	0.815752514562364	Tspan12	tetraspanin 12	269831	6	NOT Wnt-activated receptor activity	angiogenesis///cell surface receptor signaling pathway///regulation of angiogenesis///retina layer formation	integral component of membrane///integral component of plasma membrane///membrane///plasma membrane	NOT GO:0042813	GO:0001525///GO:0007166///GO:0045765///GO:0010842	GO:0016021///GO:0005887///GO:0016020///GO:0005886
1422990_at	0.00929502492163608	7.6254611228251e-05	5.87097418480723	1.90549166600891	0.875515171456673	Met	met proto-oncogene	17295	6 7.83 cM	ATP binding///beta-catenin binding///hepatocyte growth factor-activated receptor activity///hepatocyte growth factor-activated receptor activity///kinase activity///nucleotide binding///phosphatidylinositol 3-kinase binding///phospholipase binding///protein binding///protein complex binding///protein heterodimerization activity///protein kinase activity///protein phosphatase binding///protein tyrosine kinase activity///receptor activity///transferase activity///transferase activity, transferring phosphorus-containing groups///transmembrane receptor protein tyrosine kinase activity	activation of MAPK activity///adult behavior///brain development///branching morphogenesis of an epithelial tube///endothelial cell morphogenesis///glucose homeostasis///hepatocyte growth factor receptor signaling pathway///hepatocyte growth factor receptor signaling pathway///liver development///multicellular organismal development///muscle cell migration///muscle organ development///muscle organ development///myoblast proliferation///myotube differentiation///negative regulation of hydrogen peroxide-mediated programmed cell death///negative regulation of peptidyl-threonine phosphorylation///negative regulation of transcription from RNA polymerase II promoter///neuron migration///peptidyl-tyrosine phosphorylation///peptidyl-tyrosine phosphorylation///phosphorylation///placenta development///positive chemotaxis///positive chemotaxis///positive regulation of DNA replication///positive regulation of dendrite morphogenesis///positive regulation of endothelial cell chemotaxis///positive regulation of gene expression///positive regulation of glucose transport///positive regulation of mitosis///positive regulation of neuron projection development///positive regulation of peptidyl-serine phosphorylation///positive regulation of peptidyl-threonine phosphorylation///positive regulation of transcription from RNA polymerase II promoter///protein autophosphorylation///protein autophosphorylation///protein phosphorylation///regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling///regulation of excitatory postsynaptic membrane potential///regulation of synaptic transmission///semaphorin-plexin signaling pathway///semaphorin-plexin signaling pathway///skeletal muscle tissue development///sperm motility///transmembrane receptor protein tyrosine kinase signaling pathway	basal plasma membrane///cell surface///cytoplasm///dendrite///excitatory synapse///extracellular space///integral component of membrane///membrane///neuron projection///neuronal cell body///plasma membrane///postsynaptic density///postsynaptic membrane///sperm flagellum	GO:0005524///GO:0008013///GO:0005008///GO:0005008///GO:0016301///GO:0000166///GO:0043548///GO:0043274///GO:0005515///GO:0032403///GO:0046982///GO:0004672///GO:0019903///GO:0004713///GO:0004872///GO:0016740///GO:0016772///GO:0004714	GO:0000187///GO:0030534///GO:0007420///GO:0048754///GO:0001886///GO:0042593///GO:0048012///GO:0048012///GO:0001889///GO:0007275///GO:0014812///GO:0007517///GO:0007517///GO:0051450///GO:0014902///GO:1901299///GO:0010801///GO:0000122///GO:0001764///GO:0018108///GO:0018108///GO:0016310///GO:0001890///GO:0050918///GO:0050918///GO:0045740///GO:0050775///GO:2001028///GO:0010628///GO:0010828///GO:0045840///GO:0010976///GO:0033138///GO:0010800///GO:0045944///GO:0046777///GO:0046777///GO:0006468///GO:0060665///GO:0060079///GO:0050804///GO:0071526///GO:0071526///GO:0007519///GO:0030317///GO:0007169	GO:0009925///GO:0009986///GO:0005737///GO:0030425///GO:0060076///GO:0005615///GO:0016021///GO:0016020///GO:0043005///GO:0043025///GO:0005886///GO:0014069///GO:0045211///GO:0036126
1431379_a_at	0.018734289492865	0.000297831213640145	-5.024924042931	0.586715038501669	-0.919348056122054	Slc13a1	solute carrier family 13 (sodium/sulfate symporters), member 1	55961	6 11.22 cM	secondary active sulfate transmembrane transporter activity///sodium:sulfate symporter activity///symporter activity///transporter activity	ion transport///sodium ion transmembrane transport///sodium ion transport///sulfate transmembrane transport///sulfate transport///sulfate transport///transmembrane transport///transport	integral component of membrane///integral component of plasma membrane///membrane	GO:0008271///GO:0015382///GO:0015293///GO:0005215	GO:0006811///GO:0035725///GO:0006814///GO:1902358///GO:0008272///GO:0008272///GO:0055085///GO:0006810	GO:0016021///GO:0005887///GO:0016020
1434447_at	0.0191026953486167	0.000308456631169814	5.00394626156589	0.552631105026135	0.79919289717504	Met	met proto-oncogene	17295	6 7.83 cM	ATP binding///beta-catenin binding///hepatocyte growth factor-activated receptor activity///hepatocyte growth factor-activated receptor activity///kinase activity///nucleotide binding///phosphatidylinositol 3-kinase binding///phospholipase binding///protein binding///protein complex binding///protein heterodimerization activity///protein kinase activity///protein phosphatase binding///protein tyrosine kinase activity///receptor activity///transferase activity///transferase activity, transferring phosphorus-containing groups///transmembrane receptor protein tyrosine kinase activity	activation of MAPK activity///adult behavior///brain development///branching morphogenesis of an epithelial tube///endothelial cell morphogenesis///glucose homeostasis///hepatocyte growth factor receptor signaling pathway///hepatocyte growth factor receptor signaling pathway///liver development///multicellular organismal development///muscle cell migration///muscle organ development///muscle organ development///myoblast proliferation///myotube differentiation///negative regulation of hydrogen peroxide-mediated programmed cell death///negative regulation of peptidyl-threonine phosphorylation///negative regulation of transcription from RNA polymerase II promoter///neuron migration///peptidyl-tyrosine phosphorylation///peptidyl-tyrosine phosphorylation///phosphorylation///placenta development///positive chemotaxis///positive chemotaxis///positive regulation of DNA replication///positive regulation of dendrite morphogenesis///positive regulation of endothelial cell chemotaxis///positive regulation of gene expression///positive regulation of glucose transport///positive regulation of mitosis///positive regulation of neuron projection development///positive regulation of peptidyl-serine phosphorylation///positive regulation of peptidyl-threonine phosphorylation///positive regulation of transcription from RNA polymerase II promoter///protein autophosphorylation///protein autophosphorylation///protein phosphorylation///regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling///regulation of excitatory postsynaptic membrane potential///regulation of synaptic transmission///semaphorin-plexin signaling pathway///semaphorin-plexin signaling pathway///skeletal muscle tissue development///sperm motility///transmembrane receptor protein tyrosine kinase signaling pathway	basal plasma membrane///cell surface///cytoplasm///dendrite///excitatory synapse///extracellular space///integral component of membrane///membrane///neuron projection///neuronal cell body///plasma membrane///postsynaptic density///postsynaptic membrane///sperm flagellum	GO:0005524///GO:0008013///GO:0005008///GO:0005008///GO:0016301///GO:0000166///GO:0043548///GO:0043274///GO:0005515///GO:0032403///GO:0046982///GO:0004672///GO:0019903///GO:0004713///GO:0004872///GO:0016740///GO:0016772///GO:0004714	GO:0000187///GO:0030534///GO:0007420///GO:0048754///GO:0001886///GO:0042593///GO:0048012///GO:0048012///GO:0001889///GO:0007275///GO:0014812///GO:0007517///GO:0007517///GO:0051450///GO:0014902///GO:1901299///GO:0010801///GO:0000122///GO:0001764///GO:0018108///GO:0018108///GO:0016310///GO:0001890///GO:0050918///GO:0050918///GO:0045740///GO:0050775///GO:2001028///GO:0010628///GO:0010828///GO:0045840///GO:0010976///GO:0033138///GO:0010800///GO:0045944///GO:0046777///GO:0046777///GO:0006468///GO:0060665///GO:0060079///GO:0050804///GO:0071526///GO:0071526///GO:0007519///GO:0030317///GO:0007169	GO:0009925///GO:0009986///GO:0005737///GO:0030425///GO:0060076///GO:0005615///GO:0016021///GO:0016020///GO:0043005///GO:0043025///GO:0005886///GO:0014069///GO:0045211///GO:0036126
1423058_at	0.0392255573447993	0.00113910642533013	4.24568724250671	-0.720133375187936	0.42849490214147	Capza2	capping protein (actin filament) muscle Z-line, alpha 2	12343	6 7.96 cM	actin binding///protein binding	actin filament capping///barbed-end actin filament capping///biological_process	F-actin capping protein complex///cortical cytoskeleton///extracellular vesicular exosome///membrane	GO:0003779///GO:0005515	GO:0051693///GO:0051016///GO:0008150	GO:0008290///GO:0030863///GO:0070062///GO:0016020
1423821_at	0.0470886928247362	0.00158425801878153	4.06050787070955	-1.04163972835576	0.651089267126213	Tmem168	transmembrane protein 168	101118	6 A2	molecular_function	biological_process	integral component of membrane///membrane///transport vesicle	GO:0003674	GO:0008150	GO:0016021///GO:0016020///GO:0030133
1435074_at	0.0470886928247362	0.00158519175459265	4.06017900948867	-1.04221379527469	0.542369849125503	Tmem106b	transmembrane protein 106B	71900	6 A2	molecular_function	dendrite morphogenesis///lysosome localization///transport	endosome///extracellular vesicular exosome///integral component of membrane///lysosomal membrane///lysosome///membrane	GO:0003674	GO:0048813///GO:0032418///GO:0006810	GO:0005768///GO:0070062///GO:0016021///GO:0005765///GO:0005764///GO:0016020
1436107_at	0.067558809849306	0.0031217052816571	-3.68584587218488	-1.70157878837604	-0.368988392087322	Lsm8	LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)	76522	6	RNA binding///poly(A) RNA binding	RNA splicing///biological_process///mRNA processing	cellular_component///nucleus///ribonucleoprotein complex///spliceosomal complex	GO:0003723///GO:0044822	GO:0008380///GO:0008150///GO:0006397	GO:0005575///GO:0005634///GO:0030529///GO:0005681
