"ID (num probes:12488)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"102020_at"	0.99660059809348	0.0133234928484872	-2.77402303623027	-4.21977286623463	-1.90315931698467	"Kcnk3"	"potassium channel, subfamily K, member 3"	"16527"	"5 16.68 cM"	"S100 protein binding///ion channel activity///open rectifier potassium channel activity///potassium channel activity///potassium ion leak channel activity///protein C-terminus binding///protein heterodimerization activity///protein homodimerization activity///voltage-gated ion channel activity"	"cellular response to hypoxia///ion transmembrane transport///ion transport///negative regulation of cytosolic calcium ion concentration///potassium ion transmembrane transport///potassium ion transport///regulation of ion transmembrane transport///response to drug///transport"	"cytosol///integral component of membrane///membrane///plasma membrane"	"GO:0044548///GO:0005216///GO:0005252///GO:0005267///GO:0022841///GO:0008022///GO:0046982///GO:0042803///GO:0005244"	"GO:0071456///GO:0034220///GO:0006811///GO:0051481///GO:0071805///GO:0006813///GO:0034765///GO:0042493///GO:0006810"	"GO:0005829///GO:0016021///GO:0016020///GO:0005886"
"97800_at"	0.99660059809348	0.0174178935851326	2.64426896718711	-4.25025006103668	0.988162065580735	"Fastk"	"Fas-activated serine/threonine kinase"	"66587"	"5"	"ATP binding///Fas-activated serine/threonine kinase activity///kinase activity///nucleotide binding///protein kinase activity///protein serine/threonine kinase activity///transferase activity"	"apoptotic process///phosphorylation///protein phosphorylation///regulation of RNA splicing"	"mitochondrion///nuclear speck"	"GO:0005524///GO:0033867///GO:0016301///GO:0000166///GO:0004672///GO:0004674///GO:0016740"	"GO:0006915///GO:0016310///GO:0006468///GO:0043484"	"GO:0005739///GO:0016607"
"104200_at"	0.99660059809348	0.0194412256838563	-2.59064042368462	-4.26290708126942	-1.43187331750246	"Slc5a6"	"solute carrier family 5 (sodium-dependent vitamin transporter), member 6"	"330064"	"5"	"sodium-dependent multivitamin transmembrane transporter activity///symporter activity///transporter activity"	"biotin transport///ion transport///pantothenate transmembrane transport///sodium ion transmembrane transport///sodium ion transport///transmembrane transport///transport"	"brush border membrane///integral component of membrane///membrane///vesicle membrane"	"GO:0008523///GO:0015293///GO:0005215"	"GO:0015878///GO:0006811///GO:0015887///GO:0035725///GO:0006814///GO:0055085///GO:0006810"	"GO:0031526///GO:0016021///GO:0016020///GO:0012506"
"94535_at"	0.99660059809348	0.0296240047810276	2.38238429564765	-4.3122088734891	0.979912706065322	"Add1"	"adducin 1 (alpha)"	"11518"	"5 17.9 cM"	"T cell receptor binding///actin binding///actin filament binding///calmodulin binding///poly(A) RNA binding///protein heterodimerization activity///protein homodimerization activity///spectrin binding///structural molecule activity///transcription factor binding"	"actin filament bundle assembly///barbed-end actin filament capping///cell morphogenesis///cell volume homeostasis///cellular response to retinoic acid///erythrocyte differentiation///hemoglobin metabolic process///homeostasis of number of cells within a tissue///in utero embryonic development///multicellular organism growth///negative regulation of actin filament polymerization///positive regulation of angiogenesis///positive regulation of endocytosis///positive regulation of protein binding"	"F-actin capping protein complex///cell///cytoplasm///cytoskeleton///dendrite///dendritic spine///focal adhesion///intermediate filament cytoskeleton///membrane///nucleus///perinuclear region of cytoplasm///plasma membrane///postsynaptic density///synapse"	"GO:0042608///GO:0003779///GO:0051015///GO:0005516///GO:0044822///GO:0046982///GO:0042803///GO:0030507///GO:0005198///GO:0008134"	"GO:0051017///GO:0051016///GO:0000902///GO:0006884///GO:0071300///GO:0030218///GO:0020027///GO:0048873///GO:0001701///GO:0035264///GO:0030837///GO:0045766///GO:0045807///GO:0032092"	"GO:0008290///GO:0005623///GO:0005737///GO:0005856///GO:0030425///GO:0043197///GO:0005925///GO:0045111///GO:0016020///GO:0005634///GO:0048471///GO:0005886///GO:0014069///GO:0045202"
"160685_at"	0.99660059809348	0.0308559090407353	-2.36197666834307	-4.31704049516874	-1.4028444069322	"Klhl7"	"kelch-like 7"	"52323"	"5 10.67 cM"	"protein homodimerization activity"	"protein ubiquitination"	"Cul3-RING ubiquitin ligase complex///cytoplasm///nucleus///plasma membrane"	"GO:0042803"	"GO:0016567"	"GO:0031463///GO:0005737///GO:0005634///GO:0005886"
"94167_at"	0.99660059809348	0.0484585149027936	2.13205862766159	-4.37120192917148	1.01590237769194	"Nos3"	"nitric oxide synthase 3, endothelial cell"	"18127"	"5 11.32 cM"	"FMN binding///Hsp90 protein binding///NADP binding///NADPH-hemoprotein reductase activity///actin binding///actin monomer binding///arginine binding///beta-catenin binding///cadherin binding///calmodulin binding///flavin adenine dinucleotide binding///heme binding///iron ion binding///metal ion binding///nitric-oxide synthase activity///nitric-oxide synthase activity///nitric-oxide synthase binding///oxidoreductase activity///scaffold protein binding///tetrahydrobiopterin binding"	"angiogenesis///arginine catabolic process///blood vessel remodeling///cellular response to mechanical stimulus///cellular response to transforming growth factor beta stimulus///endothelial cell migration///in utero embryonic development///lipopolysaccharide-mediated signaling pathway///lung development///negative regulation of blood pressure///negative regulation of calcium ion transport///negative regulation of cell proliferation///negative regulation of hydrolase activity///negative regulation of muscle hyperplasia///negative regulation of potassium ion transport///negative regulation of smooth muscle cell proliferation///nitric oxide biosynthetic process///nitric oxide biosynthetic process///nitric oxide mediated signal transduction///ovulation from ovarian follicle///oxidation-reduction process///positive regulation of angiogenesis///positive regulation of apoptotic process///positive regulation of guanylate cyclase activity///positive regulation of guanylate cyclase activity///positive regulation of vasodilation///regulation of blood vessel size///regulation of sodium ion transport///regulation of systemic arterial blood pressure by endothelin///regulation of the force of heart contraction by chemical signal///response to estradiol///signal transduction///smooth muscle hyperplasia"	"Golgi apparatus///apical part of cell///caveola///cytoplasm///cytoplasm///cytoskeleton///cytosol///cytosol///membrane///membrane raft///mitochondrion///nucleolus///nucleus///nucleus///plasma membrane///sarcolemma///vesicle membrane"	"GO:0010181///GO:0051879///GO:0050661///GO:0003958///GO:0003779///GO:0003785///GO:0034618///GO:0008013///GO:0045296///GO:0005516///GO:0050660///GO:0020037///GO:0005506///GO:0046872///GO:0004517///GO:0004517///GO:0050998///GO:0016491///GO:0097110///GO:0034617"	"GO:0001525///GO:0006527///GO:0001974///GO:0071260///GO:0071560///GO:0043542///GO:0001701///GO:0031663///GO:0030324///GO:0045776///GO:0051926///GO:0008285///GO:0051346///GO:0014740///GO:0043267///GO:0048662///GO:0006809///GO:0006809///GO:0007263///GO:0001542///GO:0055114///GO:0045766///GO:0043065///GO:0031284///GO:0031284///GO:0045909///GO:0050880///GO:0002028///GO:0003100///GO:0003057///GO:0032355///GO:0007165///GO:0014806"	"GO:0005794///GO:0045177///GO:0005901///GO:0005737///GO:0005737///GO:0005856///GO:0005829///GO:0005829///GO:0016020///GO:0045121///GO:0005739///GO:0005730///GO:0005634///GO:0005634///GO:0005886///GO:0042383///GO:0012506"
"104336_at"	0.99660059809348	0.0721493228839834	1.92212482201367	-4.41971392051004	1.59818808562475	"Rbks"	"ribokinase"	"71336"	"5"	"ATP binding///kinase activity///nucleotide binding///phosphotransferase activity, alcohol group as acceptor///ribokinase activity///transferase activity"	"D-ribose metabolic process///carbohydrate metabolic process///phosphorylation"	"extracellular vesicular exosome"	"GO:0005524///GO:0016301///GO:0000166///GO:0016773///GO:0004747///GO:0016740"	"GO:0006014///GO:0005975///GO:0016310"	"GO:0070062"
"160471_at"	0.99660059809348	0.0840021190204238	1.83966055365284	-4.43836187448644	1.34698398542863	"Slbp"	"stem-loop binding protein"	"20492"	"5"	"RNA binding///histone pre-mRNA stem-loop binding///mRNA binding///mRNA binding///poly(A) RNA binding"	"histone mRNA 3'-end processing///mRNA processing///mRNA transport///nuclear cell cycle DNA replication"	"cytoplasm///cytoplasm///histone pre-mRNA 3'end processing complex///nucleus///nucleus///ribonucleoprotein complex"	"GO:0003723///GO:0071207///GO:0003729///GO:0003729///GO:0044822"	"GO:0006398///GO:0006397///GO:0051028///GO:0033260"	"GO:0005737///GO:0005737///GO:0071204///GO:0005634///GO:0005634///GO:0030529"
"103546_at"	0.99660059809348	0.107024106738508	-1.70525710242147	-4.46808757589702	-0.853813460115057	"Fosl2"	"fos-like antigen 2"	"14284"	"5 17.33 cM"	"DNA binding///RNA polymerase II regulatory region sequence-specific DNA binding///double-stranded DNA binding///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity///transcription regulatory region DNA binding"	"positive regulation of fibroblast proliferation///positive regulation of transcription, DNA-templated///regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///response to estradiol///response to hypoxia///transcription from RNA polymerase II promoter///transcription, DNA-templated"	"nucleus"	"GO:0003677///GO:0000977///GO:0003690///GO:0043565///GO:0003700///GO:0044212"	"GO:0048146///GO:0045893///GO:0006357///GO:0006355///GO:0032355///GO:0001666///GO:0006366///GO:0006351"	"GO:0005634"
"161323_f_at"	0.99660059809348	0.120526541100662	-1.63775242010913	-4.48264826616612	-2.07727149396685	"Cad"	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	"69719"	"5"	"ATP binding///UTP binding///amino acid binding///aspartate carbamoyltransferase activity///carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity///carboxyl- or carbamoyltransferase activity///catalytic activity///dihydroorotase activity///enzyme binding///hydrolase activity///hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds///hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides///identical protein binding///ligase activity///metal ion binding///nucleotide binding///protein kinase activity///transferase activity///zinc ion binding"	"'de novo' pyrimidine nucleobase biosynthetic process///UTP biosynthetic process///carbamoyl phosphate biosynthetic process///cellular amino acid metabolic process///drug metabolic process///glutamine catabolic process///metabolic process///nitrogen compound metabolic process///peptidyl-threonine phosphorylation///protein autophosphorylation///pyrimidine nucleotide biosynthetic process"	"cell projection///cytoplasm///cytosol///extracellular vesicular exosome///membrane///neuronal cell body///nuclear matrix///nucleus///protein complex///terminal bouton"	"GO:0005524///GO:0002134///GO:0016597///GO:0004070///GO:0004088///GO:0016743///GO:0003824///GO:0004151///GO:0019899///GO:0016787///GO:0016810///GO:0016812///GO:0042802///GO:0016874///GO:0046872///GO:0000166///GO:0004672///GO:0016740///GO:0008270"	"GO:0006207///GO:0006228///GO:0070409///GO:0006520///GO:0017144///GO:0006543///GO:0008152///GO:0006807///GO:0018107///GO:0046777///GO:0006221"	"GO:0042995///GO:0005737///GO:0005829///GO:0070062///GO:0016020///GO:0043025///GO:0016363///GO:0005634///GO:0043234///GO:0043195"
