"ID (num probes:45101)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1421224_a_at"	0.999931108775055	0.0072275731551162	-3.44373226627582	-3.25331660098922	-0.765473856939932	"Hnf1b"	"HNF1 homeobox B"	"21410"	"11 51.23 cM"	"DNA binding///DNA binding///RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity///RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity///core promoter proximal region DNA binding///protein binding///protein complex binding///protein heterodimerization activity///protein heterodimerization activity///protein homodimerization activity///protein homodimerization activity///protein homodimerization activity///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity///sequence-specific DNA binding transcription factor activity///transcription regulatory region DNA binding"	"anterior/posterior pattern specification///branching morphogenesis of an epithelial tube///circadian regulation of gene expression///embryo development///embryonic digestive tract morphogenesis///endocrine pancreas development///endoderm development///endoderm formation///endodermal cell fate specification///epithelial cell proliferation///epithelium development///genitalia development///hepatoblast differentiation///hindbrain development///inner cell mass cell differentiation///insulin secretion///kidney development///kidney development///kidney morphogenesis///liver development///mesonephric duct development///mesonephric duct formation///mesonephric tubule development///negative regulation of apoptotic process///negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis///negative regulation of mesenchymal cell apoptotic process involved in metanephros development///negative regulation of transcription from RNA polymerase II promoter///nephric duct development///nephric duct formation///positive regulation of gene expression///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription initiation from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated///pronephric nephron tubule development///pronephros development///protein-DNA complex assembly///regulation of Wnt signaling pathway///regulation of branch elongation involved in ureteric bud branching///regulation of endodermal cell fate specification///regulation of pronephros size///regulation of transcription, DNA-templated///response to glucose///transcription from RNA polymerase II promoter///transcription from RNA polymerase II promoter///transcription, DNA-templated///ureteric bud elongation"	"cell///nucleus///nucleus///transcription factor complex"	"GO:0003677///GO:0003677///GO:0003705///GO:0003705///GO:0001159///GO:0005515///GO:0032403///GO:0046982///GO:0046982///GO:0042803///GO:0042803///GO:0042803///GO:0043565///GO:0003700///GO:0003700///GO:0044212"	"GO:0009952///GO:0048754///GO:0032922///GO:0009790///GO:0048557///GO:0031018///GO:0007492///GO:0001706///GO:0001714///GO:0050673///GO:0060429///GO:0048806///GO:0061017///GO:0030902///GO:0001826///GO:0030073///GO:0001822///GO:0001822///GO:0060993///GO:0001889///GO:0072177///GO:0072181///GO:0072164///GO:0043066///GO:0061296///GO:1900212///GO:0000122///GO:0072176///GO:0072179///GO:0010628///GO:0045944///GO:0045944///GO:0060261///GO:0045893///GO:0045893///GO:0039020///GO:0048793///GO:0065004///GO:0030111///GO:0072095///GO:0042663///GO:0035565///GO:0006355///GO:0009749///GO:0006366///GO:0006366///GO:0006351///GO:0060677"	"GO:0005623///GO:0005634///GO:0005634///GO:0005667"
"1436472_at"	0.999931108775055	0.00902646075231641	-3.30456090362882	-3.32512330105857	-0.299914257998003	"Slfn9"	"schlafen 9"	"237886"	"11"	"molecular_function"	"biological_process"	"intracellular///nucleus"	"GO:0003674"	"GO:0008150"	"GO:0005622///GO:0005634"
"1451687_a_at"	0.999931108775055	0.0182833943369874	-2.8697282432364	-3.56572814417579	-0.908660778834939	"Hnf1b"	"HNF1 homeobox B"	"21410"	"11 51.23 cM"	"DNA binding///DNA binding///RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity///RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity///core promoter proximal region DNA binding///protein binding///protein complex binding///protein heterodimerization activity///protein heterodimerization activity///protein homodimerization activity///protein homodimerization activity///protein homodimerization activity///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity///sequence-specific DNA binding transcription factor activity///transcription regulatory region DNA binding"	"anterior/posterior pattern specification///branching morphogenesis of an epithelial tube///circadian regulation of gene expression///embryo development///embryonic digestive tract morphogenesis///endocrine pancreas development///endoderm development///endoderm formation///endodermal cell fate specification///epithelial cell proliferation///epithelium development///genitalia development///hepatoblast differentiation///hindbrain development///inner cell mass cell differentiation///insulin secretion///kidney development///kidney development///kidney morphogenesis///liver development///mesonephric duct development///mesonephric duct formation///mesonephric tubule development///negative regulation of apoptotic process///negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis///negative regulation of mesenchymal cell apoptotic process involved in metanephros development///negative regulation of transcription from RNA polymerase II promoter///nephric duct development///nephric duct formation///positive regulation of gene expression///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription initiation from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated///pronephric nephron tubule development///pronephros development///protein-DNA complex assembly///regulation of Wnt signaling pathway///regulation of branch elongation involved in ureteric bud branching///regulation of endodermal cell fate specification///regulation of pronephros size///regulation of transcription, DNA-templated///response to glucose///transcription from RNA polymerase II promoter///transcription from RNA polymerase II promoter///transcription, DNA-templated///ureteric bud elongation"	"cell///nucleus///nucleus///transcription factor complex"	"GO:0003677///GO:0003677///GO:0003705///GO:0003705///GO:0001159///GO:0005515///GO:0032403///GO:0046982///GO:0046982///GO:0042803///GO:0042803///GO:0042803///GO:0043565///GO:0003700///GO:0003700///GO:0044212"	"GO:0009952///GO:0048754///GO:0032922///GO:0009790///GO:0048557///GO:0031018///GO:0007492///GO:0001706///GO:0001714///GO:0050673///GO:0060429///GO:0048806///GO:0061017///GO:0030902///GO:0001826///GO:0030073///GO:0001822///GO:0001822///GO:0060993///GO:0001889///GO:0072177///GO:0072181///GO:0072164///GO:0043066///GO:0061296///GO:1900212///GO:0000122///GO:0072176///GO:0072179///GO:0010628///GO:0045944///GO:0045944///GO:0060261///GO:0045893///GO:0045893///GO:0039020///GO:0048793///GO:0065004///GO:0030111///GO:0072095///GO:0042663///GO:0035565///GO:0006355///GO:0009749///GO:0006366///GO:0006366///GO:0006351///GO:0060677"	"GO:0005623///GO:0005634///GO:0005634///GO:0005667"
"1418094_s_at"	0.999931108775055	0.0430712591000223	-2.34915485004077	-3.88128325495085	-0.759763328228895	"Car4"	"carbonic anhydrase 4"	"12351"	"11"	"carbonate dehydratase activity///carbonate dehydratase activity///lyase activity///metal ion binding///protein binding///zinc ion binding"	"bicarbonate transport///carbon dioxide transport///one-carbon metabolic process///regulation of pH"	"Golgi apparatus///anchored component of external side of plasma membrane///anchored component of membrane///anchored component of plasma membrane///apical plasma membrane///brush border membrane///cell surface///endoplasmic reticulum-Golgi intermediate compartment///extracellular vesicular exosome///membrane///perinuclear region of cytoplasm///plasma membrane///rough endoplasmic reticulum///sarcolemma///sarcoplasmic reticulum///secretory granule membrane///trans-Golgi network///transport vesicle membrane"	"GO:0004089///GO:0004089///GO:0016829///GO:0046872///GO:0005515///GO:0008270"	"GO:0015701///GO:0015670///GO:0006730///GO:0006885"	"GO:0005794///GO:0031362///GO:0031225///GO:0046658///GO:0016324///GO:0031526///GO:0009986///GO:0005793///GO:0070062///GO:0016020///GO:0048471///GO:0005886///GO:0005791///GO:0042383///GO:0016529///GO:0030667///GO:0005802///GO:0030658"
"1431422_a_at"	0.999931108775055	0.0520208268003299	-2.23422921841331	-3.95372182347641	-0.899408588624633	"Dusp14"	"dual specificity phosphatase 14"	"56405"	"11 51.29 cM"	"MAP kinase tyrosine/serine/threonine phosphatase activity///hydrolase activity///phosphatase activity///phosphoprotein phosphatase activity///poly(A) RNA binding///protein tyrosine phosphatase activity///protein tyrosine/serine/threonine phosphatase activity"	"dephosphorylation///peptidyl-tyrosine dephosphorylation///protein dephosphorylation"	"cytoplasm///nucleus"	"GO:0017017///GO:0016787///GO:0016791///GO:0004721///GO:0044822///GO:0004725///GO:0008138"	"GO:0016311///GO:0035335///GO:0006470"	"GO:0005737///GO:0005634"
"1439232_at"	0.999931108775055	0.0727632309663166	2.02853852821221	-4.08444925371034	0.219111225408172	"Lhx1os"	"LIM homeobox 1, opposite strand"	"78365"	"11"	"molecular_function"	"biological_process"	"cellular_component"	"GO:0003674"	"GO:0008150"	"GO:0005575"
"1434185_at"	0.999931108775055	0.0740448229608964	2.01776614763447	-4.09130826680024	0.201103067201617	"Acaca"	"acetyl-Coenzyme A carboxylase alpha"	"107476"	"11"	"ATP binding///acetyl-CoA carboxylase activity///acetyl-CoA carboxylase activity///acetyl-CoA carboxylase activity///biotin binding///biotin carboxylase activity///catalytic activity///kinase binding///ligase activity///metal ion binding///nucleotide binding///protein binding"	"acetyl-CoA metabolic process///acetyl-CoA metabolic process///fatty acid biosynthetic process///fatty acid biosynthetic process///fatty acid metabolic process///lipid homeostasis///lipid metabolic process///metabolic process///multicellular organismal protein metabolic process///protein homotetramerization///response to organic cyclic compound///tissue homeostasis"	"cytoplasm///cytosol///extracellular vesicular exosome///mitochondrion"	"GO:0005524///GO:0003989///GO:0003989///GO:0003989///GO:0009374///GO:0004075///GO:0003824///GO:0019900///GO:0016874///GO:0046872///GO:0000166///GO:0005515"	"GO:0006084///GO:0006084///GO:0006633///GO:0006633///GO:0006631///GO:0055088///GO:0006629///GO:0008152///GO:0044268///GO:0051289///GO:0014070///GO:0001894"	"GO:0005737///GO:0005829///GO:0070062///GO:0005739"
"1457393_at"	0.999931108775055	0.0745754432906223	2.01335808626853	-4.09411480377988	0.20099117977953	"Heatr6"	"HEAT repeat containing 6"	"217026"	"11 B5"	"poly(A) RNA binding"	"biological_process"	"cellular_component"	"GO:0044822"	"GO:0008150"	"GO:0005575"
"1430403_at"	0.999931108775055	0.0914189750168543	1.88697898374693	-4.17444322202048	0.2289588054989	"Usp32"	"ubiquitin specific peptidase 32"	"237898"	"11"	"cysteine-type peptidase activity///hydrolase activity///peptidase activity///ubiquitin thiolesterase activity"	"proteolysis"	"Golgi apparatus"	"GO:0008234///GO:0016787///GO:0008233///GO:0004221"	"GO:0006508"	"GO:0005794"
"1451444_s_at"	0.999931108775055	0.093908335533098	1.87019807196482	-4.18507530412599	0.193815546236578	"Heatr6"	"HEAT repeat containing 6"	"217026"	"11 B5"	"poly(A) RNA binding"	"biological_process"	"cellular_component"	"GO:0044822"	"GO:0008150"	"GO:0005575"
