ID (num probes:45101)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1449080_at	0.332112695407487	1.49056026845516e-05	-37.6303430455005	1.30402929454735	-10.803728297909	Hdac2	histone deacetylase 2	15182	10 19.44 cM	Krueppel-associated box domain binding///NAD-dependent histone deacetylase activity (H3-K14 specific)///NAD-dependent histone deacetylase activity (H3-K18 specific)///NAD-dependent histone deacetylase activity (H3-K9 specific)///NAD-dependent histone deacetylase activity (H4-K16 specific)///contributes_to RNA polymerase II core promoter proximal region sequence-specific DNA binding///contributes_to RNA polymerase II distal enhancer sequence-specific DNA binding///RNA polymerase II repressing transcription factor binding///chromatin DNA binding///chromatin binding///core promoter binding///deacetylase activity///enzyme binding///enzyme binding///heat shock protein binding///histone deacetylase activity///histone deacetylase activity///histone deacetylase activity///histone deacetylase activity (H3-K14 specific)///histone deacetylase activity (H3-K9 specific)///histone deacetylase activity (H4-K16 specific)///hydrolase activity///contributes_to nucleosomal DNA binding///poly(A) RNA binding///protein binding///protein deacetylase activity///protein deacetylase activity///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity///transcription factor binding///transcription factor binding	ATP-dependent chromatin remodeling///cardiac muscle cell development///chromatin modification///circadian regulation of gene expression///dendrite development///embryonic digit morphogenesis///epidermal cell differentiation///eyelid development in camera-type eye///fungiform papilla formation///hair follicle placode formation///hippocampus development///histone H3 deacetylation///histone H4 deacetylation///histone deacetylation///histone deacetylation///histone deacetylation///maintenance of chromatin silencing///negative regulation of apoptotic process///negative regulation of canonical Wnt signaling pathway///negative regulation of cardiac muscle cell proliferation///negative regulation of intrinsic apoptotic signaling pathway///negative regulation of neuron projection development///negative regulation of neuron projection development///negative regulation of sequence-specific DNA binding transcription factor activity///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription, DNA-templated///negative regulation of transcription, DNA-templated///neuron differentiation///odontogenesis of dentin-containing tooth///positive regulation of cell proliferation///positive regulation of cell proliferation///positive regulation of oligodendrocyte differentiation///positive regulation of proteolysis///positive regulation of receptor biosynthetic process///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of transcription from RNA polymerase II promoter///protein deacetylation///regulation of protein deacetylation///regulation of protein kinase B signaling///regulation of sarcomere organization///regulation of transcription, DNA-templated///rhythmic process///transcription, DNA-templated	ESC/E(Z) complex///NuRD complex///Sin3 complex///chromatin///cytoplasm///cytoplasm///heterochromatin///histone deacetylase complex///nuclear chromatin///nuclear chromatin///nucleus///nucleus///protein complex///replication fork///transcription factor complex///transcriptional repressor complex	GO:0035851///GO:0032041///GO:0097372///GO:0046969///GO:0046970///contributes_to GO:0000978///contributes_to GO:0000980///GO:0001103///GO:0031490///GO:0003682///GO:0001047///GO:0019213///GO:0019899///GO:0019899///GO:0031072///GO:0004407///GO:0004407///GO:0004407///GO:0031078///GO:0032129///GO:0034739///GO:0016787///contributes_to GO:0031492///GO:0044822///GO:0005515///GO:0033558///GO:0033558///GO:0043565///GO:0003700///GO:0008134///GO:0008134	GO:0043044///GO:0055013///GO:0016568///GO:0032922///GO:0016358///GO:0042733///GO:0009913///GO:0061029///GO:0061198///GO:0060789///GO:0021766///GO:0070932///GO:0070933///GO:0016575///GO:0016575///GO:0016575///GO:0006344///GO:0043066///GO:0090090///GO:0060044///GO:2001243///GO:0010977///GO:0010977///GO:0043433///GO:0000122///GO:0000122///GO:0045892///GO:0045892///GO:0030182///GO:0042475///GO:0008284///GO:0008284///GO:0048714///GO:0045862///GO:0010870///GO:0051091///GO:0045944///GO:0006476///GO:0090311///GO:0051896///GO:0060297///GO:0006355///GO:0048511///GO:0006351	GO:0035098///GO:0016581///GO:0016580///GO:0000785///GO:0005737///GO:0005737///GO:0000792///GO:0000118///GO:0000790///GO:0000790///GO:0005634///GO:0005634///GO:0043234///GO:0005657///GO:0005667///GO:0017053
1445684_s_at	0.332112695407487	0.000153036057635723	-18.8367484631717	0.849606917289967	-5.6613542367873	Hdac2	histone deacetylase 2	15182	10 19.44 cM	Krueppel-associated box domain binding///NAD-dependent histone deacetylase activity (H3-K14 specific)///NAD-dependent histone deacetylase activity (H3-K18 specific)///NAD-dependent histone deacetylase activity (H3-K9 specific)///NAD-dependent histone deacetylase activity (H4-K16 specific)///contributes_to RNA polymerase II core promoter proximal region sequence-specific DNA binding///contributes_to RNA polymerase II distal enhancer sequence-specific DNA binding///RNA polymerase II repressing transcription factor binding///chromatin DNA binding///chromatin binding///core promoter binding///deacetylase activity///enzyme binding///enzyme binding///heat shock protein binding///histone deacetylase activity///histone deacetylase activity///histone deacetylase activity///histone deacetylase activity (H3-K14 specific)///histone deacetylase activity (H3-K9 specific)///histone deacetylase activity (H4-K16 specific)///hydrolase activity///contributes_to nucleosomal DNA binding///poly(A) RNA binding///protein binding///protein deacetylase activity///protein deacetylase activity///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity///transcription factor binding///transcription factor binding	ATP-dependent chromatin remodeling///cardiac muscle cell development///chromatin modification///circadian regulation of gene expression///dendrite development///embryonic digit morphogenesis///epidermal cell differentiation///eyelid development in camera-type eye///fungiform papilla formation///hair follicle placode formation///hippocampus development///histone H3 deacetylation///histone H4 deacetylation///histone deacetylation///histone deacetylation///histone deacetylation///maintenance of chromatin silencing///negative regulation of apoptotic process///negative regulation of canonical Wnt signaling pathway///negative regulation of cardiac muscle cell proliferation///negative regulation of intrinsic apoptotic signaling pathway///negative regulation of neuron projection development///negative regulation of neuron projection development///negative regulation of sequence-specific DNA binding transcription factor activity///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription, DNA-templated///negative regulation of transcription, DNA-templated///neuron differentiation///odontogenesis of dentin-containing tooth///positive regulation of cell proliferation///positive regulation of cell proliferation///positive regulation of oligodendrocyte differentiation///positive regulation of proteolysis///positive regulation of receptor biosynthetic process///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of transcription from RNA polymerase II promoter///protein deacetylation///regulation of protein deacetylation///regulation of protein kinase B signaling///regulation of sarcomere organization///regulation of transcription, DNA-templated///rhythmic process///transcription, DNA-templated	ESC/E(Z) complex///NuRD complex///Sin3 complex///chromatin///cytoplasm///cytoplasm///heterochromatin///histone deacetylase complex///nuclear chromatin///nuclear chromatin///nucleus///nucleus///protein complex///replication fork///transcription factor complex///transcriptional repressor complex	GO:0035851///GO:0032041///GO:0097372///GO:0046969///GO:0046970///contributes_to GO:0000978///contributes_to GO:0000980///GO:0001103///GO:0031490///GO:0003682///GO:0001047///GO:0019213///GO:0019899///GO:0019899///GO:0031072///GO:0004407///GO:0004407///GO:0004407///GO:0031078///GO:0032129///GO:0034739///GO:0016787///contributes_to GO:0031492///GO:0044822///GO:0005515///GO:0033558///GO:0033558///GO:0043565///GO:0003700///GO:0008134///GO:0008134	GO:0043044///GO:0055013///GO:0016568///GO:0032922///GO:0016358///GO:0042733///GO:0009913///GO:0061029///GO:0061198///GO:0060789///GO:0021766///GO:0070932///GO:0070933///GO:0016575///GO:0016575///GO:0016575///GO:0006344///GO:0043066///GO:0090090///GO:0060044///GO:2001243///GO:0010977///GO:0010977///GO:0043433///GO:0000122///GO:0000122///GO:0045892///GO:0045892///GO:0030182///GO:0042475///GO:0008284///GO:0008284///GO:0048714///GO:0045862///GO:0010870///GO:0051091///GO:0045944///GO:0006476///GO:0090311///GO:0051896///GO:0060297///GO:0006355///GO:0048511///GO:0006351	GO:0035098///GO:0016581///GO:0016580///GO:0000785///GO:0005737///GO:0005737///GO:0000792///GO:0000118///GO:0000790///GO:0000790///GO:0005634///GO:0005634///GO:0043234///GO:0005657///GO:0005667///GO:0017053
1439096_at	0.357308227419531	0.00185141009319719	-8.89012897345233	-0.484221249382157	-2.94261383994557	Ddo	D-aspartate oxidase	70503	10	D-amino-acid oxidase activity///D-aspartate oxidase activity///D-aspartate oxidase activity///cofactor binding///cofactor binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor///receptor binding	D-amino acid catabolic process///D-amino acid catabolic process///aspartate catabolic process///aspartate metabolic process///grooming behavior///hormone metabolic process///insemination///oxidation-reduction process///oxidation-reduction process	peroxisome	GO:0003884///GO:0008445///GO:0008445///GO:0048037///GO:0048037///GO:0016491///GO:0016641///GO:0005102	GO:0019478///GO:0019478///GO:0006533///GO:0006531///GO:0007625///GO:0042445///GO:0007320///GO:0055114///GO:0055114	GO:0005777
1443063_at	0.380168539325575	0.00302610819311948	-7.64225583462875	-0.879518125524601	-1.37890278062818	Clvs2	clavesin 2	215890	10	lipid binding///phosphatidylinositol-3,5-bisphosphate binding///transporter activity	lysosome organization///transport	Golgi apparatus///clathrin-coated vesicle///cytoplasmic vesicle///endosome///intracellular///membrane///trans-Golgi network	GO:0008289///GO:0080025///GO:0005215	GO:0007040///GO:0006810	GO:0005794///GO:0030136///GO:0031410///GO:0005768///GO:0005622///GO:0016020///GO:0005802
1427389_at	0.536050766994908	0.0149052298230023	-4.59091139826052	-2.40507179436055	-0.868482797083103	BC021785	cDNA sequence BC021785	215928	10	glucose transmembrane transporter activity	glucose transport///hexose transmembrane transport	cellular_component	GO:0005355	GO:0015758///GO:0035428	GO:0005575
1454720_at	0.584400978973802	0.0227684520575714	-3.97580803012075	-2.85498193030138	-1.55844257590832	Hs3st5///Apba3	heparan sulfate (glucosamine) 3-O-sulfotransferase 5///amyloid beta (A4) precursor protein-binding, family A, member 3	319415///57267	10///10	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity///sulfotransferase activity///transferase activity///beta-amyloid binding///enzyme binding///enzyme inhibitor activity	heparan sulfate proteoglycan biosynthetic process, enzymatic modification///negative regulation of coagulation///protein sulfation///regulation of viral entry into host cell///in utero embryonic development///negative regulation of catalytic activity///protein transport///regulation of gene expression///synaptic transmission///transport	Golgi apparatus///cellular_component///integral component of membrane///membrane///cytoplasm///perinuclear region of cytoplasm	GO:0008467///GO:0008146///GO:0016740///GO:0001540///GO:0019899///GO:0004857	GO:0015015///GO:0050819///GO:0006477///GO:0046596///GO:0001701///GO:0043086///GO:0015031///GO:0010468///GO:0007268///GO:0006810	GO:0005794///GO:0005575///GO:0016021///GO:0016020///GO:0005737///GO:0048471
1447591_x_at	0.635428263065969	0.0370584487979417	3.34387338538772	-3.38495785719416	4.08191467517354	A830082N09Rik	RIKEN cDNA A830082N09 gene	414093	10 18.85 cM						
1439704_at	0.639807351857858	0.0388498002015684	-3.28641614632954	-3.43679522386663	-1.42696087025603	Hdac2	histone deacetylase 2	15182	10 19.44 cM	Krueppel-associated box domain binding///NAD-dependent histone deacetylase activity (H3-K14 specific)///NAD-dependent histone deacetylase activity (H3-K18 specific)///NAD-dependent histone deacetylase activity (H3-K9 specific)///NAD-dependent histone deacetylase activity (H4-K16 specific)///contributes_to RNA polymerase II core promoter proximal region sequence-specific DNA binding///contributes_to RNA polymerase II distal enhancer sequence-specific DNA binding///RNA polymerase II repressing transcription factor binding///chromatin DNA binding///chromatin binding///core promoter binding///deacetylase activity///enzyme binding///enzyme binding///heat shock protein binding///histone deacetylase activity///histone deacetylase activity///histone deacetylase activity///histone deacetylase activity (H3-K14 specific)///histone deacetylase activity (H3-K9 specific)///histone deacetylase activity (H4-K16 specific)///hydrolase activity///contributes_to nucleosomal DNA binding///poly(A) RNA binding///protein binding///protein deacetylase activity///protein deacetylase activity///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity///transcription factor binding///transcription factor binding	ATP-dependent chromatin remodeling///cardiac muscle cell development///chromatin modification///circadian regulation of gene expression///dendrite development///embryonic digit morphogenesis///epidermal cell differentiation///eyelid development in camera-type eye///fungiform papilla formation///hair follicle placode formation///hippocampus development///histone H3 deacetylation///histone H4 deacetylation///histone deacetylation///histone deacetylation///histone deacetylation///maintenance of chromatin silencing///negative regulation of apoptotic process///negative regulation of canonical Wnt signaling pathway///negative regulation of cardiac muscle cell proliferation///negative regulation of intrinsic apoptotic signaling pathway///negative regulation of neuron projection development///negative regulation of neuron projection development///negative regulation of sequence-specific DNA binding transcription factor activity///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription, DNA-templated///negative regulation of transcription, DNA-templated///neuron differentiation///odontogenesis of dentin-containing tooth///positive regulation of cell proliferation///positive regulation of cell proliferation///positive regulation of oligodendrocyte differentiation///positive regulation of proteolysis///positive regulation of receptor biosynthetic process///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of transcription from RNA polymerase II promoter///protein deacetylation///regulation of protein deacetylation///regulation of protein kinase B signaling///regulation of sarcomere organization///regulation of transcription, DNA-templated///rhythmic process///transcription, DNA-templated	ESC/E(Z) complex///NuRD complex///Sin3 complex///chromatin///cytoplasm///cytoplasm///heterochromatin///histone deacetylase complex///nuclear chromatin///nuclear chromatin///nucleus///nucleus///protein complex///replication fork///transcription factor complex///transcriptional repressor complex	GO:0035851///GO:0032041///GO:0097372///GO:0046969///GO:0046970///contributes_to GO:0000978///contributes_to GO:0000980///GO:0001103///GO:0031490///GO:0003682///GO:0001047///GO:0019213///GO:0019899///GO:0019899///GO:0031072///GO:0004407///GO:0004407///GO:0004407///GO:0031078///GO:0032129///GO:0034739///GO:0016787///contributes_to GO:0031492///GO:0044822///GO:0005515///GO:0033558///GO:0033558///GO:0043565///GO:0003700///GO:0008134///GO:0008134	GO:0043044///GO:0055013///GO:0016568///GO:0032922///GO:0016358///GO:0042733///GO:0009913///GO:0061029///GO:0061198///GO:0060789///GO:0021766///GO:0070932///GO:0070933///GO:0016575///GO:0016575///GO:0016575///GO:0006344///GO:0043066///GO:0090090///GO:0060044///GO:2001243///GO:0010977///GO:0010977///GO:0043433///GO:0000122///GO:0000122///GO:0045892///GO:0045892///GO:0030182///GO:0042475///GO:0008284///GO:0008284///GO:0048714///GO:0045862///GO:0010870///GO:0051091///GO:0045944///GO:0006476///GO:0090311///GO:0051896///GO:0060297///GO:0006355///GO:0048511///GO:0006351	GO:0035098///GO:0016581///GO:0016580///GO:0000785///GO:0005737///GO:0005737///GO:0000792///GO:0000118///GO:0000790///GO:0000790///GO:0005634///GO:0005634///GO:0043234///GO:0005657///GO:0005667///GO:0017053
1437942_x_at	0.672676466214527	0.0514059893103331	-2.95782974276072	-3.74526272459157	-0.651588886293578	Tube1	epsilon-tubulin 1	71924	10	GTP binding///GTPase activity///nucleotide binding	GTP catabolic process///microtubule-based process///protein polymerization	cytoplasm///cytoskeleton///microtubule///protein complex	GO:0005525///GO:0003924///GO:0000166	GO:0006184///GO:0007017///GO:0051258	GO:0005737///GO:0005856///GO:0005874///GO:0043234
1444666_at	0.698318155250435	0.0689143057251046	-2.63442880220284	-4.06865110977791	-0.530769205154566	Rpf2	ribosome production factor 2 homolog (S. cerevisiae)	67239	10	poly(A) RNA binding	biological_process	nucleus	GO:0044822	GO:0008150	GO:0005634
