"ID (num probes:45101)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1448724_at"	0.999848934610288	0.0387460353946371	-2.23881632722082	-3.91046148378827	-0.800918658093681	"Cish"	"cytokine inducible SH2-containing protein"	"12700"	"9 57.99 cM"	"protein binding"	"intracellular signal transduction///negative regulation of signal transduction///protein kinase C-activating G-protein coupled receptor signaling pathway///regulation of growth"	"plasma membrane"	"GO:0005515"	"GO:0035556///GO:0009968///GO:0007205///GO:0040008"	"GO:0005886"
"1439030_at"	0.999848934610288	0.0436463701434663	2.17844313236346	-3.95393715569419	0.309128207312773	"Gmppb"	"GDP-mannose pyrophosphorylase B"	"331026"	"9"	"GTP binding///mannose-1-phosphate guanylyltransferase activity///nucleotide binding///nucleotidyltransferase activity///transferase activity"	"biosynthetic process"	"cytoplasm///mitochondrion"	"GO:0005525///GO:0004475///GO:0000166///GO:0016779///GO:0016740"	"GO:0009058"	"GO:0005737///GO:0005739"
"1428221_at"	0.999848934610288	0.0780654632694099	-1.87435573795609	-4.16642530348565	-0.287679814982307	"Klhdc8b"	"kelch domain containing 8B"	"78267"	"9"	"molecular_function"	"biological_process"	"cytoplasm"	"GO:0003674"	"GO:0008150"	"GO:0005737"
"1426970_a_at"	0.999848934610288	0.0841708439568879	-1.83362167283181	-4.1938623212443	-0.454222319030831	"Uba7"	"ubiquitin-like modifier activating enzyme 7"	"74153"	"9 59.07 cM"	"ISG15 activating enzyme activity///ISG15 activating enzyme activity///ubiquitin activating enzyme activity///ubiquitin-protein transferase activity"	"ISG15-protein conjugation///ISG15-protein conjugation///cellular protein modification process///modification-dependent protein catabolic process///protein ubiquitination"	"cytosol///nucleus"	"GO:0019782///GO:0019782///GO:0004839///GO:0004842"	"GO:0032020///GO:0032020///GO:0006464///GO:0019941///GO:0016567"	"GO:0005829///GO:0005634"
"1452694_at"	0.999848934610288	0.0934621271268384	-1.7763675418549	-4.23193246978473	-0.230579460536711	"Ip6k1"	"inositol hexaphosphate kinase 1"	"27399"	"9"	"ATP binding///inositol hexakisphosphate 1-kinase activity///inositol hexakisphosphate 3-kinase activity///inositol hexakisphosphate 5-kinase activity///inositol-1,4,5-trisphosphate 3-kinase activity///kinase activity///nucleotide binding///transferase activity"	"inositol metabolic process///inositol phosphate biosynthetic process///phosphatidylinositol phosphorylation///phosphorylation"	"cytoplasm///nucleolus///nucleus///nucleus"	"GO:0005524///GO:0052723///GO:0052724///GO:0000832///GO:0008440///GO:0016301///GO:0000166///GO:0016740"	"GO:0006020///GO:0032958///GO:0046854///GO:0016310"	"GO:0005737///GO:0005730///GO:0005634///GO:0005634"
"1448855_at"	0.999848934610288	0.0990281872062092	-1.74441268548993	-4.25291499507405	-0.165727189822463	"Rassf1"	"Ras association (RalGDS/AF-6) domain family member 1"	"56289"	"9"	"identical protein binding///metal ion binding///protein N-terminus binding///protein binding"	"Ras protein signal transduction///cell cycle///cell cycle arrest///cellular response to DNA damage stimulus///intracellular signal transduction///negative regulation of cell cycle arrest///positive regulation of protein ubiquitination///protein stabilization///signal transduction"	"cytoplasm///cytoskeleton///microtubule///microtubule cytoskeleton///nucleus///plasma membrane"	"GO:0042802///GO:0046872///GO:0047485///GO:0005515"	"GO:0007265///GO:0007049///GO:0007050///GO:0006974///GO:0035556///GO:0071157///GO:0031398///GO:0050821///GO:0007165"	"GO:0005737///GO:0005856///GO:0005874///GO:0015630///GO:0005634///GO:0005886"
"1442430_at"	0.999848934610288	0.101679848360081	1.72973578328457	-4.2624858515503	0.138974554350558	"BC048562"	"cDNA sequence BC048562"	"434439"	"9"	"molecular_function"	"biological_process"	"cellular_component"	"GO:0003674"	"GO:0008150"	"GO:0005575"
"1426971_at"	0.999848934610288	0.102703810933558	-1.72415691496745	-4.26611265086599	-0.544022020333637	"Uba7"	"ubiquitin-like modifier activating enzyme 7"	"74153"	"9 59.07 cM"	"ISG15 activating enzyme activity///ISG15 activating enzyme activity///ubiquitin activating enzyme activity///ubiquitin-protein transferase activity"	"ISG15-protein conjugation///ISG15-protein conjugation///cellular protein modification process///modification-dependent protein catabolic process///protein ubiquitination"	"cytosol///nucleus"	"GO:0019782///GO:0019782///GO:0004839///GO:0004842"	"GO:0032020///GO:0032020///GO:0006464///GO:0019941///GO:0016567"	"GO:0005829///GO:0005634"
"1452186_at"	0.999848934610288	0.131519691500347	-1.58394477756207	-4.35510998391991	-0.196620704583695	"Rbm5"	"RNA binding motif protein 5"	"83486"	"9"	"RNA binding///mRNA binding///metal ion binding///nucleic acid binding///nucleotide binding///poly(A) RNA binding///zinc ion binding"	"RNA splicing///apoptotic process///mRNA processing///positive regulation of apoptotic process///regulation of alternative mRNA splicing, via spliceosome///spliceosomal complex assembly"	"nucleus///spliceosomal complex"	"GO:0003723///GO:0003729///GO:0046872///GO:0003676///GO:0000166///GO:0044822///GO:0008270"	"GO:0008380///GO:0006915///GO:0006397///GO:0043065///GO:0000381///GO:0000245"	"GO:0005634///GO:0005681"
"1432147_at"	0.999848934610288	0.166376512553684	1.44555118704411	-4.43845891798545	0.104105926003549	"4930447F24Rik"	"RIKEN cDNA 4930447F24 gene"	"76873"	"9"	""	""	""	""	""	""
